"attachments/0/accessibilityCaption","attachments/0/id","attachments/0/type","attachments/0/url","attachments/1/accessibilityCaption","attachments/1/id","attachments/1/type","attachments/1/url","attachments/2/accessibilityCaption","attachments/2/id","attachments/2/type","attachments/2/url","attachments/3/accessibilityCaption","attachments/3/id","attachments/3/type","attachments/3/url","attachments/4/accessibilityCaption","attachments/4/id","attachments/4/type","attachments/4/url","author/id","author/name","author/profilePicture","author/profileUrl","commentsCount","postId","postText","reactions/anger","reactions/haha","reactions/like","reactions/love","reactions/sorry","reactions/support","reactions/wow","reactionsCount","sharesCount","timestamp","url"
,"1566692010552836","video",,,,,,,,,,,,,,,,,,"100064957951102","ABS-CBN News","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/612193561_1385784586930127_8766501501849307524_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx513x511&ctp=s40x40&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=BDsIev3SqvYQ7kNvwEwjFpv&_nc_oc=Adr-TNsb3neE6qHEhYa6pv5oYB2bVQuNt_PLPxIszZG6kBBVPsBQ_mvActTLsZeevDw&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=IpufoVci39ZbO4Pj94ttcQ&_nc_ss=7e2a8&oh=00_AQDYm8fivCTdQjQdT2Rv9Ebr03Wz-ZzWZopoN_waiArbHQ&oe=6A5E4CDC","https://www.facebook.com/abscbnNEWS","300","926105892898001","LOOK: The Marikina LGU conducts clearing operations in flood-affected areas in the city as floodwaters slowly subside this Thursday morning. #FloodPatrol

(📹 : Jessie Cruzat, ABS-CBN News)",,"16","7168","518","660","255","58","8675","471","1721863805000","https://www.facebook.com/abscbnNEWS/videos/1566692010552836/"
"No photo description available.","913500170813863","photo","https://www.facebook.com/photo.php?fbid=913500170813863&set=a.602294435267773&type=3","No photo description available.","913500197480527","photo","https://www.facebook.com/photo.php?fbid=913500197480527&set=a.602294435267773&type=3","No photo description available.","913500237480523","photo","https://www.facebook.com/photo.php?fbid=913500237480523&set=a.602294435267773&type=3","No photo description available.","913500280813852","photo","https://www.facebook.com/photo.php?fbid=913500280813852&set=a.602294435267773&type=3",,,,,"100064616655120","Philippine Star","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/341858556_918415572727450_374717831366242673_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx1000x1000&ctp=s40x40&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=g5LUxtqmcMcQ7kNvwGrCCb_&_nc_oc=AdqwT0iSHfjJrEynTvWl_Rf75EUvulu_kXSCM0TGB40aoEpO5Rc5l7oXfm4I20RFPo8&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=IpufoVci39ZbO4Pj94ttcQ&_nc_ss=7e2a8&oh=00_AQCBRx2jdbjEkZ7UxNC-hNPu4Fo7iG2BQsJ2BHAk9egVyA&oe=6A5E5FC0","https://www.facebook.com/PhilippineSTAR","168","913501427480404","FLOOD SITUATION AT UST 

The University of Santo Tomas is submerged in flood due to non-stop rains brought by southwest monsoon and #CarinaPH on Wednesday. 

According to PAGASA, Typhoon #CarinaPH further intensifies as it heads towards Taiwan. (Facebook/Varsitarian)","1","6","949","34","2403","74","71","3538","696","1721793139000","https://www.facebook.com/PhilippineSTAR/posts/pfbid02km5cnwT7Bg63fQJ4mwetQ4RWYw1sq4NPuEyJWfgHRHXNas4mm44rSRL3dQMCmdUtl"
"No photo description available.","790537473243317","photo","https://www.facebook.com/photo.php?fbid=790537473243317&set=a.162321879398216&type=3","No photo description available.","790538733243191","photo","https://www.facebook.com/photo.php?fbid=790538733243191&set=a.162321879398216&type=3",,,,,,,,,,,,,"100068612142206","MMDA","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/242803846_162321929398211_6744508622629887688_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx604x604&ctp=s40x40&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=-GxMrIa-rlcQ7kNvwGRO-kJ&_nc_oc=AdpUQybURjxOTZD0RHBH1MQpY4DneLGflXGdCtS8BfiXWy81f3VPoCXXHxwg8P97CDQ&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=IpufoVci39ZbO4Pj94ttcQ&_nc_ss=7e2a8&oh=00_AQDQnyDCP7YzZR-2CpGve08VUO6gwJceulhXX0DKZQuMqA&oe=6A5E6CD2","https://www.facebook.com/MMDAPH","23","790537489909982","FLOOD ALERT 

As of 7:44pm:
Marcos Highway Sta. Lucia WB; knee deep

As of 7:34pm: 
EDSA Balintawak; gutter deep outermost lane

As of  06:50 pm:

1. Bonifacio/ 25th St - Gutter deep, still passable.
2. Katigbak/ Roxas Blvd. NB/SB - Above gutter deep level, passable all types of vehicles
3. Roxas Blvd/ Kalaw NB/SB - Above gutter deep. Not passable for light vehicles.
4. Roxas Blvd/ UN - Above the gutter deep. Passable for 4 and up wheeled vehicles.

( Quirino Ave/ Taft Ave)

1. Quirino Ave cor Singalong - Above Gutter deep, passable to all types of vehicle
2. Guazon corner Quirino/Uniliver - Gutter deep, passable to all types of vehicles.
3.Quirino/ Taft Ave. - Above gutter deep, not passable to light vehicles
4.Pedro Gil / Taft - Knee deep not passable to all types of vehicles.
5. Escoda St going to Taft Ave - above gutter deep, not passable to light vehicles.
6. Un Ave cor Otis - Above knee level not passable to all types of vehicles.
7. Quirino Ave. Cor. Leon Ginto - gutter deep,  passable to all types of vehicles
8. San Marcelino Cor. Quirino Ave. - above gutter deep not passable for light vehicles.
9. P Ocampo Cor. Zobel Roxas - Above knee deep. Not passable to all types of vehicles.

( RMB/ España/ Lacson)

1. RMB cor. Lacson Jocson St. - Above knee level, not passable to all types of vehicles
2. RMB  / Pureza St. - Flooded subsided.  Passable for all types of vehicles.
3. RMB/ Plaza Avelino - Above gutter. Still passable to all types of vehicles.
4. Ayala Blvd/Natividad St both bounds - Above knee level, not passable to light vehicles.
5. Stretch of España from Dela Fuente to Morayta - Above knee level, not passable to light vehicles.
6. Recto/ Mendiola - Above gutter deep. Not passable for light vehicles.
7. Solano / San Miguel Church - Above gutter deep. Not passable for light vehicles.

Subsided Area

Quezon City Area
Edsa Dario   As of 06:32 pm Subsided
Edsa Oliveros  As of 07:10 pm Subsided

Commonwealth Pearl Drive  As of 06:58 pm Subsided

#MMDA #FloodAlert","1",,"50","1","22","3","1","78","35","1721822244000","https://www.facebook.com/MMDAPH/posts/pfbid0qtneMQ7oWee5HAiH1xjhyHoZFxXDigfo98MaJtd6UJSo6YiPk7CB2DL6uFKCEAnyl"
,"356502814163883","video",,,,,,,,,,,,,,,,,,"100064957951102","ABS-CBN News","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/612193561_1385784586930127_8766501501849307524_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx513x511&ctp=s40x40&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=BDsIev3SqvYQ7kNvwEwjFpv&_nc_oc=Adr-TNsb3neE6qHEhYa6pv5oYB2bVQuNt_PLPxIszZG6kBBVPsBQ_mvActTLsZeevDw&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=IpufoVci39ZbO4Pj94ttcQ&_nc_ss=7e2a8&oh=00_AQDYm8fivCTdQjQdT2Rv9Ebr03Wz-ZzWZopoN_waiArbHQ&oe=6A5E4CDC","https://www.facebook.com/abscbnNEWS","36","925450472963543","LOOK: Situation along NLEX Valenzuela northbound this Wednesday. | via RG Cruz, ABS-CBN News
 #FloodPatrol #CarinaPH 

(Courtesy: Office of Senator Joel Villanueva)",,,"152","2","168","7","9","338","188","1721797718000","https://www.facebook.com/abscbnNEWS/videos/356502814163883/"
"No photo description available.","913607460803134","photo","https://www.facebook.com/photo.php?fbid=913607460803134&set=a.602294435267773&type=3","No photo description available.","913607504136463","photo","https://www.facebook.com/photo.php?fbid=913607504136463&set=a.602294435267773&type=3","No photo description available.","913607530803127","photo","https://www.facebook.com/photo.php?fbid=913607530803127&set=a.602294435267773&type=3","No photo description available.","913607564136457","photo","https://www.facebook.com/photo.php?fbid=913607564136457&set=a.602294435267773&type=3","No photo description available.","913607587469788","photo","https://www.facebook.com/photo.php?fbid=913607587469788&set=a.602294435267773&type=3","100064616655120","Philippine Star","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/341858556_918415572727450_374717831366242673_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx1000x1000&ctp=s40x40&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=g5LUxtqmcMcQ7kNvwGrCCb_&_nc_oc=AdqwT0iSHfjJrEynTvWl_Rf75EUvulu_kXSCM0TGB40aoEpO5Rc5l7oXfm4I20RFPo8&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=IpufoVci39ZbO4Pj94ttcQ&_nc_ss=7e2a8&oh=00_AQCBRx2jdbjEkZ7UxNC-hNPu4Fo7iG2BQsJ2BHAk9egVyA&oe=6A5E5FC0","https://www.facebook.com/PhilippineSTAR","75","913607850803095","Residents rescue other stranded residents as flood waters continue to rise at Barangay Bagong Silangan in Quezon City due to torrential rain brought by #CarinaPH and southwest monsoon on Wednesday. 

As of 2PM, PAGASA raised red rainfall warning over Zambales, Bataan, Metro Manila, Rizal, Bulacan, Pampanga and Tarlac, which has a risk of serious flooding in flood-prone areas. (Photos by Miguel De Guzman/The Philippine STAR)",,,"383","184","609","131","3","1310","266","1721806045000","https://www.facebook.com/PhilippineSTAR/posts/pfbid0246UAvgoPM5PX5VwJ8k617qcVEB1xykkW8h5YNpw32NCCPE92VcCq377ny89XNB3Fl"
,"464875123138573","video",,,,,,,,,,,,,,,,,,"100064616655120","Philippine Star","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/341858556_918415572727450_374717831366242673_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx1000x1000&ctp=s40x40&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=g5LUxtqmcMcQ7kNvwGrCCb_&_nc_oc=AdqwT0iSHfjJrEynTvWl_Rf75EUvulu_kXSCM0TGB40aoEpO5Rc5l7oXfm4I20RFPo8&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=XriARIh62SeRWI4TalRvoA&_nc_ss=7e2a8&oh=00_AQDH43-QMjzq4dYDnSzuUVkQWdLQPIufJDSf7BC9plYgtg&oe=6A5E5FC0","https://www.facebook.com/PhilippineSTAR","118","913654914131722","FLOOD SITUATION INSIDE UST

The St. Raymund de Peñafort building at the University of Santo Tomas in Manila is submerged in floodwaters as of 3 PM on Wednesday due to continuous downpours brought upon by #CarinaPH and the southwest monsoon. 

Knee-to-waist-deep flooding reached the first floor of the building. (Video courtesy of The Flame - The official student publication of UST Faculty of Arts and Letters)","1","6","571","5","1367","38","73","2061","608","1721812322000","https://www.facebook.com/PhilippineSTAR/videos/464875123138573/"
,"1006545774472476","video",,,,,,,,,,,,,,,,,,"100064562324642","Rappler","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/312485121_544389621056444_1709176195648106042_n.jpg?stp=c214.214.652.652a_cp0_dst-jpg_tt6&cstp=mx652x652&ctp=s40x40&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=ivhhtnso5b0Q7kNvwEWcFnv&_nc_oc=AdqyTnDpPLhHCKuMwFFXnSnsvm7GKGsCmmsFKAXiqzFFthuUFW3grIBm6Mzq92H0kBs&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=XriARIh62SeRWI4TalRvoA&_nc_ss=7e2a8&oh=00_AQCze30dVJp4CK7J7EwT2fvPAigsqwqBsk9SZNiqFnTtYg&oe=6A5E6A40","https://www.facebook.com/rapplerdotcom","13","977616111067124","Rappler covers the flood situation along EDSA in Muñoz, Quezon City around 6pm, where chest-deep floodwaters have brought traffic at a standstill for hours. #HabagatPH

Live updates: https://www.rappler.com/philippines/weather/typhoon-carina-habagat-updates-floods-landslides-damage-relief-efforts/",,"2","77","2","36","10","7","134","25","1721826226000","https://www.facebook.com/rapplerdotcom/videos/1006545774472476/"
,"922852876275208","video",,,,,,,,,,,,,,,,,,"100064616655120","Philippine Star","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/341858556_918415572727450_374717831366242673_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx1000x1000&ctp=s40x40&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=g5LUxtqmcMcQ7kNvwGrCCb_&_nc_oc=AdqwT0iSHfjJrEynTvWl_Rf75EUvulu_kXSCM0TGB40aoEpO5Rc5l7oXfm4I20RFPo8&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=XriARIh62SeRWI4TalRvoA&_nc_ss=7e2a8&oh=00_AQDH43-QMjzq4dYDnSzuUVkQWdLQPIufJDSf7BC9plYgtg&oe=6A5E5FC0","https://www.facebook.com/PhilippineSTAR","493","913389707491576","WAIST-DEEP FLOOD IN ESPAÑA BLVD 

As of 7:20 AM, España Boulevard corner Vicente Cruz is submerged in waist-deep flood due to incessant rains brought by the southwest monsoon and #CarinaPH. 

According to PAGASA, #CarinaPH will cross the rugged terrain of Taiwan and exit the Philippine Area of Responsibility (PAR) tonight or tomorrow (July 25, 2024) early morning. (Video by Fernan Nebres/The Philippine STAR)","1","9","1259","19","2924","130","108","4450","2502","1721778946000","https://www.facebook.com/PhilippineSTAR/videos/922852876275208/"
,"1212654929917606","video",,,,,,,,,,,,,,,,,,"100069028928005","INQUIRER.net","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/278901640_295125766131719_6117651967592833577_n.png?stp=cp0_dst-png&cstp=mx320x320&ctp=s40x40&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=ema3SF95LIgQ7kNvwFAwLBC&_nc_oc=Ado82iGQUOvHvvY8szCjEvNmBqLD4R824gPc1hUghB_K2IQbaI4nboy2xkySovFQ8jQ&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=XriARIh62SeRWI4TalRvoA&_nc_ss=7e2a8&oh=00_AQD2I0VNFhaKnFjEiRijGBC1q3EebWMiuVyOpcnGGhZoFg&oe=6A5E5501","https://www.facebook.com/inquirerdotnet","19","897842585860031","WATCH: Here's the flood situation along Brgy. Lawa in Meycauayan, Bulacan, as of 5:30 p.m.
 
•⁠ ⁠Visit https://inqnews.net/CarinaPH to stay updated with the latest #CarinaPH news and stories.",,"1","71","1","36","12","1","122","29","1721815723000","https://www.facebook.com/inquirerdotnet/videos/1212654929917606/"
,"460563900227813","video",,,,,,,,,,,,,,,,,,"100064746458701","MANILA BULLETIN","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/486278506_1099976158837256_5940999471121737534_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx960x960&ctp=s40x40&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=SPUObSUmnT4Q7kNvwGAFLfI&_nc_oc=Adrocg2nlAB89HU-fjv2KqMSdCEvZr3GXnPJiSreXG2Qt6a-2TFn-d7dIlHMtM4UJFI&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=XriARIh62SeRWI4TalRvoA&_nc_ss=7e2a8&oh=00_AQBYokKAR_YFRAcx5bYu2PTxMW9b5xMolS-8rgMY8UwcaQ&oe=6A5E6629","https://www.facebook.com/ManilaBulletin","211","909821154519425","WARNING: SENSITIVE CONTENT

WATCH: A lifeless body of an unknown man was seen floating along Almeda, Tayuman amid the onslaught of Typhoon #CarinaPH on Wednesday, July 24.

According to the residents, the man was electrocuted due to the electric wires in the flood that resulted in his death. (Video Courtesy of Angelo Cayabyab Buquel)",,"2","758","6","4123","55","41","4985","347","1721807301000","https://www.facebook.com/ManilaBulletin/videos/460563900227813/"
