"attachments/0/accessibilityCaption","attachments/0/id","attachments/0/type","attachments/0/url","attachments/1/accessibilityCaption","attachments/1/id","attachments/1/type","attachments/1/url","attachments/2/accessibilityCaption","attachments/2/id","attachments/2/type","attachments/2/url","attachments/3/accessibilityCaption","attachments/3/id","attachments/3/type","attachments/3/url","attachments/4/accessibilityCaption","attachments/4/id","attachments/4/type","attachments/4/url","author/id","author/name","author/profilePicture","author/profileUrl","commentsCount","postId","postText","reactions/anger","reactions/haha","reactions/like","reactions/love","reactions/sorry","reactions/support","reactions/wow","reactionsCount","sharesCount","timestamp","url"
,"255403830579104","video",,,,,,,,,,,,,,,,,,"100064957951102","ABS-CBN News","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/612193561_1385784586930127_8766501501849307524_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx513x511&ctp=s40x40&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=BDsIev3SqvYQ7kNvwE8gNPF&_nc_oc=Adoe79sgKMC800jiiIOUv0UgH2QDLS--zl7iM6RCM82t245GbH2_hkyK_TNPjuGssJ4&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=8WjYX62pZD0ZZDGs3ElBtw&_nc_ss=7e2a8&oh=00_AQBVQnw1eUpqtZd1UAtfqfHFiQebX7SZ9sGe0k1SArslQA&oe=6A5E851C","https://www.facebook.com/abscbnNEWS","44","681472550694671","TINGNAN: Lubog na sa baha ang Sitio Pandan, Brgy. Claudio Salgado, Sablayan, Occidental Mindoro ngayong Martes, dulot ng #EgayPH | via Dennis Datu, ABS-CBN News","1","1","455","5","382","56","12","912","116","1690262789000","https://www.facebook.com/abscbnNEWS/videos/255403830579104/"
,"1739620149817128","video",,,,,,,,,,,,,,,,,,"100064849986224","GMA News","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/658216539_1459297662908553_7892569438724908023_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx1200x1200&ctp=s40x40&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=_9Kw3PkUnsIQ7kNvwFXpWg4&_nc_oc=AdqCsNxIY4WWTn4w-WW58wGWxgiR2Skxy9yl32oj-IZpJIx2jqCAY34wk8l2djwj204&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=8WjYX62pZD0ZZDGs3ElBtw&_nc_ss=7e2a8&oh=00_AQB0GossWtAvX0OpMQubkDkkRGnGf0yUXaWl70DyJ7gPRg&oe=6A5EAA3F","https://www.facebook.com/gmanews","43","682440440594283","Nalubog din sa baha ang malaking bahagi ng Bacolod City.","1","3","1397","22","514","26","4","1967","283","1690402852000","https://www.facebook.com/gmanews/videos/1739620149817128/"
,"305075108718335","video",,,,,,,,,,,,,,,,,,"100064849986224","GMA News","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/658216539_1459297662908553_7892569438724908023_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx1200x1200&ctp=s40x40&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=_9Kw3PkUnsIQ7kNvwFXpWg4&_nc_oc=AdqCsNxIY4WWTn4w-WW58wGWxgiR2Skxy9yl32oj-IZpJIx2jqCAY34wk8l2djwj204&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=8WjYX62pZD0ZZDGs3ElBtw&_nc_ss=7e2a8&oh=00_AQB0GossWtAvX0OpMQubkDkkRGnGf0yUXaWl70DyJ7gPRg&oe=6A5EAA3F","https://www.facebook.com/gmanews","14","682110280627299","Nasa dulong hilagang Luzon ang sentro ng Bagyong Egay pero hanggang Visayas at Mindanao, ramdam ang masamang panahon dahil sa pinapalakas nitong hanging habagat.",,,"1064","16","229","12","2","1323","71","1690355669000","https://www.facebook.com/gmanews/videos/305075108718335/"
,"1217615656306314","video",,,,,,,,,,,,,,,,,,"100064957951102","ABS-CBN News","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/612193561_1385784586930127_8766501501849307524_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx513x511&ctp=s40x40&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=BDsIev3SqvYQ7kNvwE8gNPF&_nc_oc=Adoe79sgKMC800jiiIOUv0UgH2QDLS--zl7iM6RCM82t245GbH2_hkyK_TNPjuGssJ4&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=8WjYX62pZD0ZZDGs3ElBtw&_nc_ss=7e2a8&oh=00_AQBVQnw1eUpqtZd1UAtfqfHFiQebX7SZ9sGe0k1SArslQA&oe=6A5E851C","https://www.facebook.com/abscbnNEWS","13","681649930676933","Lubog na sa baha ang maraming lugar sa bayan ng Sablayan, Occidental Mindoro dahil sa habagat na pinalakas ng super typhoon #EgayPH kaya pwersahan na ang pagpapalikas sa daan-daang residente dito.

BASAHIN: https://news.abs-cbn.com/news/07/25/23/ph-orders-evacuations-ahead-of-super-typhoon-egay",,,"317","6","133","10","2","468","63","1690288858000","https://www.facebook.com/abscbnNEWS/videos/1217615656306314/"
,"332068435811643","video",,,,,,,,,,,,,,,,,,"100064773907046","TV Patrol","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/608518829_1379498824219235_6894079646221905019_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx1079x1079&ctp=s40x40&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=eBZ3DoBYorkQ7kNvwH_XHaL&_nc_oc=AdoXbzu3b95Agh11aJzLbx8xAuLhKgF8-n-4q6NyqbPrxc7ENsYixco-G93qaIv1tbU&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=8WjYX62pZD0ZZDGs3ElBtw&_nc_ss=7e2a8&oh=00_AQAyheDnQe90EB03RxrnlrU-RZ8kUuW-XUPBmH2pOIXC2Q&oe=6A5E770F","https://www.facebook.com/tvpatrol.abscbn","58","678510734318051","Nalubog sa baha ang apat na bayan sa Occidental Mindoro nang umapaw ang ilang ilog dahil sa malakas na ulang dulot ng habagat.

Isolated ang isang sitio sa bayan ng Rizal dahil sa rumaragasang ilog. #FloodPatrol

Kaugnay na ulat: http://news.abs-cbn.com/video/news/07/25/23/ilang-lugar-sa-occidental-mindoro-binaha-dahil-sa-habagat","2","3","1897","71","1017","40","7","3037","471","1690371300000","https://www.facebook.com/tvpatrol.abscbn/videos/332068435811643/"
,"664377591920904","video",,,,,,,,,,,,,,,,,,"100064957951102","ABS-CBN News","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/612193561_1385784586930127_8766501501849307524_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx513x511&ctp=s40x40&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=BDsIev3SqvYQ7kNvwE8gNPF&_nc_oc=Adoe79sgKMC800jiiIOUv0UgH2QDLS--zl7iM6RCM82t245GbH2_hkyK_TNPjuGssJ4&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=RtQ7Bx8z2_hOspXduLJr6w&_nc_ss=7e2a8&oh=00_AQBk6qKBxk2NLouYEfQ31D7ipDEcHk__NitbP9jEumY-BA&oe=6A5E851C","https://www.facebook.com/abscbnNEWS","10","681924593982800","TINGNAN: Lubog pa rin sa baha ang MH Del Pilar St., Arkong Bato sa Valenzuela City ngayong umaga ng Miyerkoles, July 26.

Ayon sa Valenzuela City Command, Control and Communications Center, nakakadaan pa rin ang anumang uri ng sasakyan sa mga apektadong kalsada. #EgayPH #WeatherPatrol | via Lyza Aquino, ABS-CBN News",,,"106","4","22","12","3","147","25","1690328887000","https://www.facebook.com/abscbnNEWS/videos/664377591920904/"
"No photo description available.","685607413686531","photo","https://www.facebook.com/photo.php?fbid=685607413686531&set=a.188831410030803&type=3","No photo description available.","685607363686536","photo","https://www.facebook.com/photo.php?fbid=685607363686536&set=a.188831410030803&type=3","No photo description available.","685607370353202","photo","https://www.facebook.com/photo.php?fbid=685607370353202&set=a.188831410030803&type=3","No photo description available.","685607423686530","photo","https://www.facebook.com/photo.php?fbid=685607423686530&set=a.188831410030803&type=3",,,,,"100067118364824","PTV","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/469778811_1010174501229819_6318900398083369956_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx768x768&ctp=s40x40&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=FaGq-qwGxNAQ7kNvwGa0wwN&_nc_oc=Adrt3AvB-nEjsTMDhXbuvgQXCWmUswXoVPoOTtIYWbJJeUqlkYu1YYxJG78OSK1YESM&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=RtQ7Bx8z2_hOspXduLJr6w&_nc_ss=7e2a8&oh=00_AQAj9CWpxPgP-Uw8VBREWph0CZufzLZgtvxTYjMn2JJLFA&oe=6A5E7CE5","https://www.facebook.com/PTVph","96","685607983686474","TINGNAN: Kasalukuyang hanggang dibdib ang baha sa mga barangay ng Canayun at Calog Sur sa Abulug, Cagayan, ngayong Huwebes, Hulyo 27. 

Makikitang nasa bubong na ng kanilang mga bahay ang ilang residente. 

Kasabay ito ng pag-angat ng tubig sa Apayao-Abulug river.  (📸: Cagayan PIO)",,,"730","9","1014","157","16","1926","195","1690415425000","https://www.facebook.com/PTVph/posts/pfbid02EZEwDwkKCzk2YCJzj4NrbmuN97tbgE3NzXDTLaDcE2wXqdh9X2QMZ1mNh63T3wCYl"
,"820566066246137","video",,,,,,,,,,,,,,,,,,"100069304665221","24 Oras","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/724552267_1341729854813824_3561841891807506997_n.jpg?stp=c420.0.1080.1080a_cp0_dst-jpg_tt6&cstp=mx1080x1080&ctp=s40x40&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=I5zbAXjbERQQ7kNvwHcC0Sx&_nc_oc=Adrjw2U-NRIprr0dxVnAGOmDZDxO8c3rRzjtzTwkA-2eOQDPUr7Xq8XkkgdxppCqO8k&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=RtQ7Bx8z2_hOspXduLJr6w&_nc_ss=7e2a8&oh=00_AQBNvzv8blEn72yZ-ooQ8O4b_iDVvmoY3aig8QJLCgPlCg&oe=6A5E7920","https://www.facebook.com/24OrasGMA","26","602223148764502","Sa Occidental Mindoro, daan-daang pamilya ang kinailangang sagipin matapos malubog sa baha ang kanilang mga bahay!

May mga stranded namang pasahero sa ilang pantalan sa Quezon.",,"1","714","7","174","17","3","916","57","1690288047000","https://www.facebook.com/24OrasGMA/videos/820566066246137/"
,"1423737911745605","video",,,,,,,,,,,,,,,,,,"100064849986224","GMA News","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/658216539_1459297662908553_7892569438724908023_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx1200x1200&ctp=s40x40&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=_9Kw3PkUnsIQ7kNvwFXpWg4&_nc_oc=AdqCsNxIY4WWTn4w-WW58wGWxgiR2Skxy9yl32oj-IZpJIx2jqCAY34wk8l2djwj204&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=RtQ7Bx8z2_hOspXduLJr6w&_nc_ss=7e2a8&oh=00_AQCqkD_6gvEXlw8rfdOWN8lJSSWRGXj-h8lycLiHqMKfUQ&oe=6A5EAA3F","https://www.facebook.com/gmanews","2","682418497263144","Kahit hindi direktang tinamaan ng bagyo, nalubog pa rin sa baha ang malaking bahagi ng Bacolod City.

May istruktura pang inanod ng ilog.",,,"111","2","15","1",,"129","6","1690396658000","https://www.facebook.com/gmanews/videos/1423737911745605/"
,"307542335074517","video",,,,,,,,,,,,,,,,,,"100064957951102","ABS-CBN News","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/612193561_1385784586930127_8766501501849307524_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx513x511&ctp=s40x40&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=BDsIev3SqvYQ7kNvwE8gNPF&_nc_oc=Adoe79sgKMC800jiiIOUv0UgH2QDLS--zl7iM6RCM82t245GbH2_hkyK_TNPjuGssJ4&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=RtQ7Bx8z2_hOspXduLJr6w&_nc_ss=7e2a8&oh=00_AQBk6qKBxk2NLouYEfQ31D7ipDEcHk__NitbP9jEumY-BA&oe=6A5E851C","https://www.facebook.com/abscbnNEWS","32","681601267348466","TINGNAN: Lubog na sa baha ang 11 barangay sa Rizal, Occidental Mindoro. Patuloy pa rin ang paglilikas sa mga residente. #EgayPH #FloodPatrol (📹: LGU Rizal) | via Dennis Datu, ABS-CBN News",,,"192","15","182","40","2","431","40","1690281055000","https://www.facebook.com/abscbnNEWS/videos/307542335074517/"
