"attachments/0/accessibilityCaption","attachments/0/id","attachments/0/type","attachments/0/url","attachments/1/accessibilityCaption","attachments/1/id","attachments/1/type","attachments/1/url","attachments/2/accessibilityCaption","attachments/2/id","attachments/2/type","attachments/2/url","attachments/3/accessibilityCaption","attachments/3/id","attachments/3/type","attachments/3/url","attachments/4/accessibilityCaption","attachments/4/id","attachments/4/type","attachments/4/url","author/id","author/name","author/profilePicture","author/profileUrl","commentsCount","postId","postText","reactions/anger","reactions/haha","reactions/like","reactions/love","reactions/sorry","reactions/support","reactions/wow","reactionsCount","sharesCount","timestamp","url"
"No photo description available.","611895431124249","photo","https://www.facebook.com/photo.php?fbid=611895431124249&set=a.162290442751419&type=3","No photo description available.","611895464457579","photo","https://www.facebook.com/photo.php?fbid=611895464457579&set=a.162290442751419&type=3",,,,,,,,,,,,,"100069113923869","Manila Public Information Office","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/531972991_1095292109451243_3338505384562559199_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx1500x1500&ctp=s40x40&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=2e62wYhTcs8Q7kNvwFVVvc_&_nc_oc=AdpKl9O-QaIDV1vEKD6mAU7Y2G22V58vLJ7zNpDisVnQDAXdiFXMwlFM5DBJAK8Tys4&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=mUIRrCD5F_cMPP8p97zeew&_nc_ss=7e2a8&oh=00_AQD-hRsODHpT-O4L7gFdpUeNujZulBYAQUjdQOzYNUZo5g&oe=6A5EA3C7","https://www.facebook.com/ManilaPIO","183","611895484457577","FLOOD ALERT: Gutter deep flood along Taft Avenue in front of NBI as of 7:30am, according to Manila Traffic and Parking Bureau.

Update as of 8:53AM: Flood in the area has subsided.

#AlertoManileno","7","196","492","5","182","13","28","923","255","1690414842000","https://www.facebook.com/ManilaPIO/posts/pfbid025wAfvhBCNCpNjAwAKAa6RTJFHNZvW5uTcDQxjM1juMzG6jQKpBnJTcsrWdnYqpjNl"
"No photo description available.","668878598609356","photo","https://www.facebook.com/photo.php?fbid=668878598609356&set=a.602294451934438&type=3","No photo description available.","668878605276022","photo","https://www.facebook.com/photo.php?fbid=668878605276022&set=a.602294451934438&type=3","No photo description available.","668878571942692","photo","https://www.facebook.com/photo.php?fbid=668878571942692&set=a.602294451934438&type=3","No photo description available.","668878611942688","photo","https://www.facebook.com/photo.php?fbid=668878611942688&set=a.602294451934438&type=3",,,,,"100064616655120","Philippine Star","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/341858556_918415572727450_374717831366242673_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx1000x1000&ctp=s40x40&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=g5LUxtqmcMcQ7kNvwGrCCb_&_nc_oc=AdqwT0iSHfjJrEynTvWl_Rf75EUvulu_kXSCM0TGB40aoEpO5Rc5l7oXfm4I20RFPo8&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=mUIRrCD5F_cMPP8p97zeew&_nc_ss=7e2a8&oh=00_AQDe8KzZq74OR0B1RjfRwkE4yr5pONApKz5SJD0eFo3sgw&oe=6A5E9800","https://www.facebook.com/PhilippineSTAR","22","668878818609334","Residents experience knee deep flood in Zone 7, Simbaluca, Santa Teresita in Cagayan due to heavy rains and strong winds brought by Super Typhoon #EgayPH.

As of 8:00 AM, the center of the eye of #EgayPH was estimated based on all available data over the coastal waters of Aparri, Cagayan. (Facebook/Cagayan Provincial Information Office via Jeff Tactac-IOLG)",,,"114","2","210","36","4","366","40","1690335128000","https://www.facebook.com/PhilippineSTAR/posts/pfbid02sJoZNP2PHY7yCmMfQchbchQkbcroBh2t8AMg5eTh2TUA1u5MxZyJ5DjNmif3uDDKl"
,"105186345986646","video",,,,,,,,,,,,,,,,,,"100063668965885","Flood Guard - Car Bag","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/302699487_486582063474088_4738966777434431211_n.png?stp=cp0_dst-png&cstp=mx600x600&ctp=s40x40&_nc_cat=101&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=qrV87_jjpAcQ7kNvwHLVDJ8&_nc_oc=AdpbRSLLs8k3FGOPna_k96R4n4_8Kk0ty3bF6LXOM7nBEIeg3rgaD1u8JC4Un66aIXc&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=mUIRrCD5F_cMPP8p97zeew&_nc_ss=7e2a8&oh=00_AQDa-R7jiSN9NpaFjYdwFXozHCLXsjp4ThCxoqWZfFc6_A&oe=6A5E8AA4","https://www.facebook.com/floodguardph","40","743751127757179","we appreciate the feature Insider!",,,"53","6",,,"3","62","17","1690343787000","https://www.facebook.com/floodguardph/videos/105186345986646/"
"No photo description available.","669008005263082","photo","https://www.facebook.com/photo.php?fbid=669008005263082&set=a.602294435267773&type=3","No photo description available.","669008035263079","photo","https://www.facebook.com/photo.php?fbid=669008035263079&set=a.602294435267773&type=3","No photo description available.","669008075263075","photo","https://www.facebook.com/photo.php?fbid=669008075263075&set=a.602294435267773&type=3","No photo description available.","669008158596400","photo","https://www.facebook.com/photo.php?fbid=669008158596400&set=a.602294435267773&type=3","No photo description available.","669008195263063","photo","https://www.facebook.com/photo.php?fbid=669008195263063&set=a.602294435267773&type=3","100064616655120","Philippine Star","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/341858556_918415572727450_374717831366242673_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx1000x1000&ctp=s40x40&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=g5LUxtqmcMcQ7kNvwGrCCb_&_nc_oc=AdqwT0iSHfjJrEynTvWl_Rf75EUvulu_kXSCM0TGB40aoEpO5Rc5l7oXfm4I20RFPo8&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=mUIRrCD5F_cMPP8p97zeew&_nc_ss=7e2a8&oh=00_AQDe8KzZq74OR0B1RjfRwkE4yr5pONApKz5SJD0eFo3sgw&oe=6A5E9800","https://www.facebook.com/PhilippineSTAR","7","669008328596383","Motorists and residents brave the flood brought by #EgayPH along H. Del Pilar Street in Arkong Bato, Malabon City on Wednesday.

PAGASA said that #EgayPH will continue to bring occasional monsoon rains over the western portions of Central Luzon, Southern Luzon, and Visayas in the next three days. (Photos by Michael Varcas/The Philippine STAR)",,,"49","4","19","3","1","76","107","1690355926000","https://www.facebook.com/PhilippineSTAR/posts/pfbid0zBK68NbGBJZPgafpR3MGTmkJ1wmSNbN7FTUysfPZif3yRrM1hKVgYzwSs9q1tTVKl"
"No photo description available.","677290167766317","photo","https://www.facebook.com/photo.php?fbid=677290167766317&set=a.486287836866552&type=3","No photo description available.","677290197766314","photo","https://www.facebook.com/photo.php?fbid=677290197766314&set=a.486287836866552&type=3","No photo description available.","677290227766311","photo","https://www.facebook.com/photo.php?fbid=677290227766311&set=a.486287836866552&type=3","No photo description available.","677290254432975","photo","https://www.facebook.com/photo.php?fbid=677290254432975&set=a.486287836866552&type=3","No photo description available.","677290291099638","photo","https://www.facebook.com/photo.php?fbid=677290291099638&set=a.486287836866552&type=3","100064560197865","The Fraternal Order of Eagles - Philippine Eagles","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/297645560_3251942441755824_3628464930098925191_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx960x960&ctp=s40x40&_nc_cat=100&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=WujisTX8B6wQ7kNvwE9ulEE&_nc_oc=AdqCHBbTk8IGF4Nzp1vld9BK6mGeRQsIx8E-T-68zOFiARpk99sq9dtz9c_dtG2HBzU&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=mUIRrCD5F_cMPP8p97zeew&_nc_ss=7e2a8&oh=00_AQD2pjCl5hth7G1gL34YIxnZu8siyv1hVVwWQvzpy8WC7Q&oe=6A5E9CCB","https://www.facebook.com/tfoeofficial","12","677290394432961","PRAY FOR BONTOC 🙏

The water level at Chico River, which has been placed at red level, has been rising rapidly due to heavy rains brought by Typhoon Egay, posing a serious threat to the surrounding communities and infrastructure, said local officials.

The Municipal Disaster Risk Reduction and Management Council, chaired by Bontoc Mayor Jerome “Chagsen” Tudlong Jr., reminded the public to remain cautious and vigilant.

Some families living in low-lying or flood-prone areas near Chico River or its tributaries in Mountain Province have been advised to evacuate to higher ground or evacuation centers.

📷Municipality of Bontoc",,,"99","5","111","10","1","226","35","1690410289000","https://www.facebook.com/tfoeofficial/posts/pfbid0P38AqyyQ1yZ2X5ir3NpN4nsgK1oGZXdDjif2dYMEyorzHqFYDs24rJPAnR2jgBJZl"
"No photo description available.","683956097109380","photo","https://www.facebook.com/photo/?fbid=683956097109380&set=a.365711365600523",,,,,,,,,,,,,,,,,"100064849864375","DOST-PAGASA","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/487303686_1099355335569452_7045424019269009221_n.png?stp=cp0_dst-png&cstp=mx1001x1001&ctp=s40x40&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=j7B0Y7UwOxsQ7kNvwFhPWMj&_nc_oc=Ado2rVK3A28LBKEdj0RZ2UxGXH9gwujks-ZLwiy2HxURfjZglroRBPmY2t4fHyKk-sU&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=Ef0k-GJ-0hWvoCSxXhZi2A&_nc_ss=7e2a8&oh=00_AQDZzc8sdU-vYY_sCwpv1xr32SCvPbbKcFCy-SCkNBlXfA&oe=6A5EAE5F","https://www.facebook.com/PAGASA.DOST.GOV.PH","0","683956167109373","Flood Situationer for Ambuklao- Binga Sub-Basins No.2
Issued at 9AM, 26 July 2023",,,"73","2",,,,"75","5","1690341222000","https://www.facebook.com/PAGASA.DOST.GOV.PH/posts/pfbid0bVL9LE31KoRQwP5H2Mr1gxuUH6SR56yAbdpGQAHLPAGYzdsK4NcxL1UJ41M8saAKl"
"No photo description available.","684390993732557","photo","https://www.facebook.com/photo/?fbid=684390993732557&set=a.365711365600523",,,,,,,,,,,,,,,,,"100064849864375","DOST-PAGASA","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/487303686_1099355335569452_7045424019269009221_n.png?stp=cp0_dst-png&cstp=mx1001x1001&ctp=s40x40&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=j7B0Y7UwOxsQ7kNvwFhPWMj&_nc_oc=Ado2rVK3A28LBKEdj0RZ2UxGXH9gwujks-ZLwiy2HxURfjZglroRBPmY2t4fHyKk-sU&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=Ef0k-GJ-0hWvoCSxXhZi2A&_nc_ss=7e2a8&oh=00_AQDZzc8sdU-vYY_sCwpv1xr32SCvPbbKcFCy-SCkNBlXfA&oe=6A5EAE5F","https://www.facebook.com/PAGASA.DOST.GOV.PH","1","684391023732554","Flood Bulletin No. 2 for Agno River Basin
Issued at 5AM, 27 July 2023",,,"68","1","1","3",,"73","5","1690405774000","https://www.facebook.com/PAGASA.DOST.GOV.PH/posts/pfbid0MNFkJDXJZ23T9on7FL4DFXyJ1tryQPdHyqD7m9Xfv71LprK9b44WociLWPRfMcdhl"
"No photo description available.","683510717153918","photo","https://www.facebook.com/photo/?fbid=683510717153918&set=a.365711365600523",,,,,,,,,,,,,,,,,"100064849864375","DOST-PAGASA","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/487303686_1099355335569452_7045424019269009221_n.png?stp=cp0_dst-png&cstp=mx1001x1001&ctp=s40x40&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=j7B0Y7UwOxsQ7kNvwFhPWMj&_nc_oc=Ado2rVK3A28LBKEdj0RZ2UxGXH9gwujks-ZLwiy2HxURfjZglroRBPmY2t4fHyKk-sU&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=Ef0k-GJ-0hWvoCSxXhZi2A&_nc_ss=7e2a8&oh=00_AQDZzc8sdU-vYY_sCwpv1xr32SCvPbbKcFCy-SCkNBlXfA&oe=6A5EAE5F","https://www.facebook.com/PAGASA.DOST.GOV.PH","6","683510750487248","Flood Bulletin No.2 for Cagayan River Basin
Issued at 5pm, 25 July 2023",,,"103","8","1","1",,"113","13","1690275220000","https://www.facebook.com/PAGASA.DOST.GOV.PH/posts/pfbid0373P8yshcemaB76XNugVqbc73WiydRayaSTcNQwmgcgykt1qhvNX8p5XDax7Fnqiol"
"No photo description available.","678485080994616","photo","https://www.facebook.com/photo.php?fbid=678485080994616&set=a.237728148403647&type=3","No photo description available.","678485187661272","photo","https://www.facebook.com/photo.php?fbid=678485187661272&set=a.237728148403647&type=3","No photo description available.","678485147661276","photo","https://www.facebook.com/photo.php?fbid=678485147661276&set=a.237728148403647&type=3","No photo description available.","678485194327938","photo","https://www.facebook.com/photo.php?fbid=678485194327938&set=a.237728148403647&type=3",,,,,"100064993891753","Philippine News Agency","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/243376967_237728188403643_1202162057650160894_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx1258x1258&ctp=s40x40&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=qaGEHl1Gu2EQ7kNvwHjbSaa&_nc_oc=AdqLWaprJNAScbok1_r37q6-mi2mlcyFVyd-6kzRClbnxrs9i2PeRHdYSz1Dq40Sbt8&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=Ef0k-GJ-0hWvoCSxXhZi2A&_nc_ss=7e2a8&oh=00_AQAJW90ysgLfj7NTG7ras4sWShIYOSDTpcYVN9E9c-zq0g&oe=6A5E796E","https://www.facebook.com/pnagovph","14","678485280994596","LOOK | Personnel of the Bureau of Fire Protection rescue flood-hit residents in Barangays Sum-ag, Pahanocoy and Singcang-Airport in Bacolod City as heavy rains brought about by Super Typhoon #EgayPH caused waters to rise in low-lying areas in the city Tuesday (July 25, 2023). | Nanette Guadalquiver 📷: BFP-Bacolod City Fire Station",,,"125","24","69","54","2","274","112","1690262931000","https://www.facebook.com/pnagovph/posts/pfbid02nuUFon6QbZd6RRPQkY8i2f3PqSvQt8HYbC8gqSPmN7nMUYQmRibWsYkwcHn8T28rl"
,,,,,,,,,,,,,,,,,,,,"100064292755906","Quezon City Disaster Risk Reduction and Management Council","https://scontent-iad3-2.xx.fbcdn.net/v/t39.30808-1/637750859_1323656803120732_8818298628802657709_n.jpg?stp=c32.32.527.527a_cp0_dst-jpg_tt6&cstp=mx527x527&ctp=s40x40&_nc_cat=111&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=smcKn7N-XuQQ7kNvwGuOIO2&_nc_oc=Adpzigtx2gQA83DwD-8SmBrK1WhsivZfWYeFOKrlJ8olzvWV9QQ6_Fpx2OWtBs9q3jU&_nc_zt=24&_nc_ht=scontent-iad3-2.xx&_nc_gid=Ef0k-GJ-0hWvoCSxXhZi2A&_nc_ss=7e2a8&oh=00_AQAFd6DLrjtjh3HAjSePx_NXxOLizD42BERNgGRI9J-olg&oe=6A5E9ED5","https://www.facebook.com/qcdrrmc","19","596684969312813","Ang Bagyong ""Egay"" ay napapanatili ang kanyang lakas habang patuloy ang banta nito sa Hilagang Luzon.

Kasalukuyan itong nasa 135 km East Northeast of Aparri, Cagayan at may lakas na hangin na aabot sa 185 km bawat oras malapit sa sentro at may pagbugso na aabot sa 230 km bawat oras. 

Maaaring lumapit o tumama ang bagyo sa Babuyan Islands at kalupaan sa hilagang-silangang bahagi ng mainland Cagayan ngayong gabi hanggang bukas ng umaga. 

Inaasahang lalabas ang Bagyong Egay ng Philippine Area of Responsibility (PAR) sa Huwebes ng umaga.

𝐄𝐏𝐄𝐊𝐓𝐎 𝐒𝐀 𝐐𝐔𝐄𝐙𝐎𝐍 𝐂𝐈𝐓𝐘:
Kasalukuyang nakataas ang Tropical Cyclone Wind Signal (TCWS) No. 1 sa Quezon City. Ngayong gabi, asahan ang maulap na papawirin na may katamtamang tyansa ng mahinang pag-ulan, na maaaring magdulot ng pagbaha sa mga flood-prone area.","1",,"78","1","1","1",,"82","8","1690290905000","https://www.facebook.com/QCGov/posts/pfbid0uAA9a4U79NpvnrTPRo6G6Ro2LUdKRuWgz8JVtivWoAyiVHJ8smNytQxSvSdKHuuvl"
