"attachments/0/accessibilityCaption","attachments/0/id","attachments/0/type","attachments/0/url","attachments/1/accessibilityCaption","attachments/1/id","attachments/1/type","attachments/1/url","attachments/2/accessibilityCaption","attachments/2/id","attachments/2/type","attachments/2/url","attachments/3/accessibilityCaption","attachments/3/id","attachments/3/type","attachments/3/url","attachments/4/accessibilityCaption","attachments/4/id","attachments/4/type","attachments/4/url","author/id","author/name","author/profilePicture","author/profileUrl","commentsCount","postId","postText","reactions/anger","reactions/haha","reactions/like","reactions/love","reactions/sorry","reactions/support","reactions/wow","reactionsCount","sharesCount","timestamp","url"
,"691321928385642","video",,,,,,,,,,,,,,,,,,"100069230216913","San Mateo Ngayon","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/307284824_414131537571183_8964870160562893944_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx595x595&ctp=s40x40&_nc_cat=109&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=2XNQBpttrE0Q7kNvwFVOwFF&_nc_oc=AdqhqXqohOcgktYvrypVgSy4VAoT7iwHIMrPXeB7-N-eS4876lj228iGj2v0GztylTc&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=c3Q5yaOOQVpeYW9uWMwagQ&_nc_ss=7e2a8&oh=00_AQC-jr69CDoZV6O7x3DMZzn8h-4-TZUYn7oMBom1DJZ2xA&oe=6A5E969F","https://www.facebook.com/SanMateoNgayon","63","124636883179690","𝗣𝗔𝗡𝗢𝗢𝗥𝗜𝗡: Sitwasyon kahapon sa Patiis Road, kung saan mabilis tumaas ang tubig baha dahil na rin sa malakas na ulan kahapon. 

Marami na sa mga motorista ang inirereklamo na ang daang ito dahil bukod sa lubak-lubak ay kadalasan hindi na madaanan ang lugar na ito dahil mabilis tumaas ang baha. 

Ayon sa ilang mga residente na nakatira dito, makailang beses na silang nagrequest kay Mayor Tina Diaz at sa Pamahalaang Bayan ng San Mateo upang magkaroon man lang sana ng drainage ang kalyeng ito. Ngunit hanggang sa ngayon ay walang ginagawang aksyon ang Pamahalaang Bayan tungkol dito. 

- Allan Angeles | News Correspondent | San Mateo Ngayon","3","16","55",,"40",,"2","116","40","1627014680000","https://www.facebook.com/SanMateoNgayon/videos/691321928385642/"
,,,,,,,,,,,,,,,,,,,,"100068305025993","Diocesan Shrine and Parish of Nuestra Señora de los Desamparados","https://scontent-iad3-2.xx.fbcdn.net/v/t39.30808-1/711190024_1287470626873093_3640352090487554227_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx1080x1080&ctp=s40x40&_nc_cat=111&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=tF7KHyiioT0Q7kNvwGenUsa&_nc_oc=Ado716Xds96BPhxpVB-Vek_LL_m2GQnf06kmG-ZjTe7PYYzY-L_E_IhiEpOigTCMj70&_nc_zt=24&_nc_ht=scontent-iad3-2.xx&_nc_gid=c3Q5yaOOQVpeYW9uWMwagQ&_nc_ss=7e2a8&oh=00_AQB5OiTOhJzshuZvBPoZc6NSdsSVVLkbpXOF-uA72rUnJQ&oe=6A5EBAB0","https://www.facebook.com/OLAMarikinaOfficial","15","2744803805774931","MANALANGIN TAYO 

Panginoon, sa hudyat ng iyong salita sumusunod ang hangin at dagat. Iunat mo ang iyong mapagpalang kamay upang huminto na ang ulan at pagbaha.

Lingapin mo ang aming mga kapatid na ngayo’y giniginaw, nagugutom at lubog sa baha. Pawiin mo ang lahat ng aming mga takot at pangamba.

Imulat mo ang aming mga puso upang makatugon kami sa pangangailangan ng bawat isa.

Amen.

Kami'y iyong ipagtanggol, Ina ng mga Walang Mag-ampon 

#OLAmarikina #BirhenNgMarikina",,,"310","202",,"5",,"517","8","1627060148000","https://www.facebook.com/LaJumentaOLAMarikina/posts/pfbid0V9Bbu2pjnrc5Fxa2VxaCManpLEgjjeCGgyQcEKWStK2xbBQxHF7MLA14MrwvhMPXl"
"No photo description available.","856590981647834","photo","https://www.facebook.com/photo.php?fbid=856590981647834&set=a.110502939589979&type=3","No photo description available.","856591028314496","photo","https://www.facebook.com/photo.php?fbid=856591028314496&set=a.110502939589979&type=3","No photo description available.","856591071647825","photo","https://www.facebook.com/photo.php?fbid=856591071647825&set=a.110502939589979&type=3",,,,,,,,,"100018908192763","DA Tabs","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/642753266_1917797035527218_180496086313288085_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx960x958&ctp=s40x40&_nc_cat=102&ccb=1-7&_nc_sid=1d2534&_nc_ohc=qHPAX5a_eD8Q7kNvwFrYpo-&_nc_oc=AdqgINZ88EYkJeBcuPd9KstC5QWqH7A1V0uyYBv0uA3ynCeY4LOsQCek--4ORQhvEKM&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=c3Q5yaOOQVpeYW9uWMwagQ&_nc_ss=7e2a8&oh=00_AQCZLeya5qK7o3x3TQXAB3xQLs3Pju9G3uw17F6jefVNXQ&oe=6A5E961A","https://www.facebook.com/dolfanthony.yauntabarejo","36","856591098314489","Baha ka lang, LOYAL kami ❤️😅
#Buddy",,"3","68","29","2","9","2","113","0","1627049934000","https://www.facebook.com/dolfanthony.yauntabarejo/posts/pfbid029Qmc244FyUtysrmfKND7kPp43GkRBRHGfDeoMEp5oLEi9Kr6ba7ZqWHAHaTYozVNl"
"No photo description available.","1158212984670224","photo","https://www.facebook.com/photo/?fbid=1158212984670224&set=a.412792627666285",,,,,,,,,,,,,,,,,"100068066533268","Ang Panunukso Kay Hesus","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/334181550_3596054924054304_272009433617778636_n.jpg?stp=c0.160.1200.1200a_cp0_dst-jpg_tt6&cstp=mx1200x1200&ctp=s40x40&_nc_cat=109&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=ZZm4r7jFHTUQ7kNvwGXJFvm&_nc_oc=Adr4KY675W5BNoRIx4WFjth9PjzZKON0cF5V1CS4iZZhWwxjheZ3tNhOaXqO0trqlr8&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=c3Q5yaOOQVpeYW9uWMwagQ&_nc_ss=7e2a8&oh=00_AQDr_Kb6RBIHMXezDBzMEBgOZ2RocXI1R4wf94_dGSVJzg&oe=6A5EBE24","https://www.facebook.com/AngPanunuksoOLAMarikina","13","1158213424670180","MANALANGIN TAYO 

Panginoon, sa hudyat ng iyong salita sumusunod ang hangin at dagat. Iunat mo ang iyong mapagpalang kamay upang huminto na ang ulan at pagbaha.

Lingapin mo ang aming mga kapatid na ngayo’y giniginaw, nagugutom at lubog sa baha. Pawiin mo ang lahat ng aming mga takot at pangamba.

Imulat mo ang aming mga puso upang makatugon kami sa pangangailangan ng bawat isa.

Amen.",,,"79","44",,,,"123","7","1627059094000","https://www.facebook.com/AngPanunuksoOLAMarikina/posts/pfbid0iWFKfNBGRra4KwHPmri1npx6G4Z6kuaovzNGyTtEbEJUqhAM6zgxYfRftVRDLhWzl"
"No photo description available.","208331521297300","photo","https://www.facebook.com/photo/?fbid=208331521297300&set=a.128995239230929",,,,,,,,,,,,,,,,,"100063613605122","Desamparats PH","https://scontent-iad3-1.xx.fbcdn.net/v/t1.6435-1/118031961_1744806032336900_4878487547352969328_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx1080x1080&ctp=s40x40&_nc_cat=110&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=jRe7g9ehn-cQ7kNvwGgnKcc&_nc_oc=AdoyUV2l3guuP7XUl3COI_aHGN5RNAHnLyO-QknbNMeE5ISJUxnSB5uC22BXtIuzsI8&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=c3Q5yaOOQVpeYW9uWMwagQ&_nc_ss=7e2a8&oh=00_AQBsB0J9iihrhgUEEsgH6NvqidgIyz6oJZwkibcVQPQj1g&oe=6A80617D","https://www.facebook.com/desamparatsPH","48","208331737963945","MANALANGIN TAYO

Panginoon, sa hudyat ng iyong salita sumusunod ang hangin at dagat. Iunat mo ang iyong mapagpalang kamay upang huminto na ang ulan at pagbaha.

Lingapin mo ang aming mga kapatid na ngayo’y giniginaw, nagugutom at lubog sa baha. Pawiin mo ang lahat ng aming mga takot at pangamba.

Imulat mo ang aming mga puso upang makatugon kami sa pangangailangan ng bawat isa.

Amen.",,,"95","107",,"7",,"209","34","1627074022000","https://www.facebook.com/desamparatsPH/posts/pfbid034qnpVFhjJzckUghXbDcjrZDsWoc3EjNSw78CmtJuTWMJHYBMsbcEqZae8a2tLQal"
"No photo description available.","207435664720219","photo","https://www.facebook.com/photo/?fbid=207435664720219&set=a.128995239230929",,,,,,,,,,,,,,,,,"100063613605122","Desamparats PH","https://scontent-iad3-1.xx.fbcdn.net/v/t1.6435-1/118031961_1744806032336900_4878487547352969328_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx1080x1080&ctp=s40x40&_nc_cat=110&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=jRe7g9ehn-cQ7kNvwGgnKcc&_nc_oc=AdoyUV2l3guuP7XUl3COI_aHGN5RNAHnLyO-QknbNMeE5ISJUxnSB5uC22BXtIuzsI8&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=c3Q5yaOOQVpeYW9uWMwagQ&_nc_ss=7e2a8&oh=00_AQBsB0J9iihrhgUEEsgH6NvqidgIyz6oJZwkibcVQPQj1g&oe=6A80617D","https://www.facebook.com/desamparatsPH","35","207436131386839","MANALANGIN TAYO

Panginoon, sa hudyat ng iyong salita sumusunod ang hangin at dagat. Iunat mo ang iyong mapagpalang kamay upang huminto na ang ulan at pagbaha.

Lingapin mo ang aming mga kapatid na ngayo’y giniginaw, nagugutom at lubog sa baha. Pawiin mo ang lahat ng aming mga takot at pangamba.

Imulat mo ang aming mga puso upang makatugon kami sa pangangailangan ng bawat isa.

Amen.",,,"103","94",,"5",,"202","30","1626955238000","https://www.facebook.com/desamparatsPH/posts/pfbid02uV3uKu8xKVsskzbqeyCqbHbzzC5uMwQno4P1cCP5KGY92LyX3eioyzjrqqSoYoghl"
"No photo description available.","3983860194996370","photo","https://www.facebook.com/photo/?fbid=3983860194996370&set=gm.4175093049195484",,,,,,,,,,,,,,,,,"100001172873217","Amelia Tabuso - Tan","https://scontent-iad3-2.xx.fbcdn.net/v/t39.30808-1/449206503_7493368140712207_8970023510795849310_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx822x811&ctp=s24x24&_nc_cat=105&ccb=1-7&_nc_sid=e99d92&_nc_ohc=dCqwji-f-aUQ7kNvwEWqAAz&_nc_oc=Adpm6Mq9XpVZP9noD-5QdUMPQ0a9YO9XHv6fgr9aph3CGlOGNG4vyIcxOpGKlhCeQwg&_nc_zt=24&_nc_ht=scontent-iad3-2.xx&_nc_gid=C1LSxr_JP-pmmdViKNzImw&_nc_ss=7e2a8&oh=00_AQC23DEUDWbu3Zh1yZkbGnWLC17XZ48jj6XOsFEp7YgdWw&oe=6A5EBFD0","https://www.facebook.com/amelia.taboso.73","6","4175093049195484","PLS...TAMA NA ULAN😢BAHA NA ANG SAMPALOC.....KAWAWA MGA KUTING SA KALYE😢😢😢..RESCUE KITTENS 3 CLA ...2 LANG NAKUHA KO MAILAP YUNG ISA KAHIT BASA NA BASTA MAKUHA KO MUNA CLA...DNT WORRY MGA MING2X HAHANAPAN KO KAYO NG FUREVER HOME",,,"22","37","2","20",,"81","0","1627044215000","https://www.facebook.com/groups/4045296968841760/permalink/4175093049195484/"
,"844381943168309","video",,,,,,,,,,,,,,,,,,"100064039481986","Gie Motto","https://scontent-iad3-2.xx.fbcdn.net/v/t39.30808-1/641372285_1374466518031318_3973186588778192393_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx1440x1450&ctp=s40x40&_nc_cat=103&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=oFPVLYMtRIkQ7kNvwEIqpbE&_nc_oc=Adrl-n1cOHGrLG8VfGA7Bb_yWcEZzOjZOk65F0NH5Dj5UiPIAZLO8PhHDKoh2bBEswg&_nc_zt=24&_nc_ht=scontent-iad3-2.xx&_nc_gid=C1LSxr_JP-pmmdViKNzImw&_nc_ss=7e2a8&oh=00_AQCyI3d5zzKSdaOHGve7-CiE9sd_KNqAT1cEFKtzvm4XAQ&oe=6A5E9144","https://www.facebook.com/profile.php?id=100064039481986","0","350705059949950","Baha nanaman 
Pedro gil LRT station along taft ave.🥲",,,,,,,,"0","0","1626948734000","https://www.facebook.com/100064039481986/videos/844381943168309/"
,,,,,,,,,,,,,,,,,,,,"100068632824297","Marlou Avecilla Parro","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/370096291_3215775701900708_7040126639035697634_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx1599x1598&ctp=s24x24&_nc_cat=101&ccb=1-7&_nc_sid=1d2534&_nc_ohc=k9PQPW7FdOsQ7kNvwHIlLO4&_nc_oc=AdpLy7W6F_DmQPZEIk-pkelcG-ZSdTrAvi4sIV-uyHnExcrXX-KBQp6KYHxq__wBQnA&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=C1LSxr_JP-pmmdViKNzImw&_nc_ss=7e2a8&oh=00_AQAD5Egjlq0eFZCz9Si0PkFO67fjODnKwjU-e39vIVtk6Q&oe=6A5E8C81","https://www.facebook.com/marlou.parro.1","1","565449321498739","Update po sana sa Nangka baha na po ba? Ingat po sa lahat ng Marikeño",,,"25",,"7",,"1","33","18","1627060494000","https://www.facebook.com/RigsMotoCaloocan/posts/pfbid0CSvhxBLtsFQToLtxr2XwpDGbZMfBsstqmquniQNhXPMZ895PPyWt5VTtDkT4TG19l"
"No photo description available.","4673436099350572","photo","https://www.facebook.com/photo.php?fbid=4673436099350572&set=a.198880340139526&type=3","No photo description available.","4673436202683895","photo","https://www.facebook.com/photo.php?fbid=4673436202683895&set=a.198880340139526&type=3",,,,,,,,,,,,,"100000526857441","Lumar Sosa","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/413790682_7586569081370578_5286150995236105608_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx960x960&ctp=s40x40&_nc_cat=108&ccb=1-7&_nc_sid=1d2534&_nc_ohc=POeGh8zBYUoQ7kNvwEa2E6a&_nc_oc=AdrZsFk62IWocfE9lpl5aLjiqGxL8L6P6eo9tEnGjgQF9KJTpq-9XIyn69nV64eC9f4&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=C1LSxr_JP-pmmdViKNzImw&_nc_ss=7e2a8&oh=00_AQDdmAYvXbp9lOpuVTEJWKySXGOMHyyGt7e1TEzDqybacw&oe=6A5E9D64","https://www.facebook.com/lumar.sosa","2","4673436276017221","Maulan at walang baha",,"1","12","2",,,,"15","0","1626926898000","https://www.facebook.com/lumar.sosa/posts/pfbid02PPSGaTTKGBgFBMQV6j6B3LyhgUdsnhFHS4sLVUNUirFxwrUArXHg1NBy3LHYU8xGl"
