"attachments/0/accessibilityCaption","attachments/0/id","attachments/0/type","attachments/0/url","attachments/1/accessibilityCaption","attachments/1/id","attachments/1/type","attachments/1/url","attachments/2/accessibilityCaption","attachments/2/id","attachments/2/type","attachments/2/url","attachments/3/accessibilityCaption","attachments/3/id","attachments/3/type","attachments/3/url","attachments/4/accessibilityCaption","attachments/4/id","attachments/4/type","attachments/4/url","author/id","author/name","author/profilePicture","author/profileUrl","commentsCount","postId","postText","reactions/anger","reactions/haha","reactions/like","reactions/love","reactions/sorry","reactions/support","reactions/wow","reactionsCount","sharesCount","timestamp","url"
,"178297440998053","video",,,,,,,,,,,,,,,,,,"100063973842506","Flood Control Asia RS","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/292046102_423758326433292_6095856213619851414_n.png?stp=cp0_dst-png&cstp=mx1080x1080&ctp=s40x40&_nc_cat=106&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=SufljAMHZZEQ7kNvwGvBjPi&_nc_oc=AdqZa_6jUtAOFAF7bdPZjScMDivbusmIol-Bddd4Y1pFY2RVTM1ETY-zvss-RWCjCAc&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=7F2vamKv4rVtotaYVgFrBg&_nc_ss=7e2a8&oh=00_AQDnVwgwPD4z2Nk-bvYBBFG1l4K5T8K5DVoWCUs8CGysNQ&oe=6A5EAD8F","https://www.facebook.com/floodcontrol.asia","521","2842107802617072","WORRIED ABOUT FLOOD DAMAGE? 😲

✅ Let the Flood Experts help you protect your properties against floods!

Contact us now, and get peace of mind with a worry-free flood protection solution.

Send us a message:
https://m.me/floodcontrol.asia?ref=GetProtected

or call us:
+63 998 963 6950 (Smart)
+63 917 631  4188 (Globe)

CONTACT US NOW!","1","17","1712","63","14","12","232","2051","540","1626955864000","https://www.facebook.com/floodcontrol.asia/videos/178297440998053/"
"No photo description available.","6061741723866282","photo","https://www.facebook.com/photo/?fbid=6061741723866282&set=a.749960130472991",,,,,,,,,,,,,,,,,"100063770336259","Antipolo City Snippets","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/360096187_749960160472988_7645245376402697436_n.jpg?stp=c120.0.480.480a_cp0_dst-jpg_tt6&cstp=mx480x480&ctp=s40x40&_nc_cat=101&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=mJbb-s1pfa4Q7kNvwEEnW76&_nc_oc=Ado41zraXhiRSeVdljigKbxBdyZHIVtGadhSBMqYCKoSeC975BGZKR8lCmMhQf4qRBY&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=7F2vamKv4rVtotaYVgFrBg&_nc_ss=7e2a8&oh=00_AQB74kgbxeEwkACgjdB5-Rw4F5jL1dvkvGNd-Tv8uYGX-Q&oe=6A5EA167","https://www.facebook.com/vivaantipolo","13","6061741803866274","Flood/Travel Advisory as of 12:00am * July 24, 2021

■ Marcos Highway - passable to all types of vehicles
■ Sumulong Highway (Texas Cockpit area) - NOT passable to LIGHT vehicles 
■ BV Soliven Avenue - NOT passable to LIGHT vehicles

#antipoloalerts",,,"32","1","50",,"2","85","53","1627058417000","https://www.facebook.com/vivaantipolo/posts/pfbid02CDAYFRM8TcbK8QEgVKBfSjFcqHPojo4yR4Dt58Z2fmd7THmFRJX3D1nhCHa2FSYHl"
"No photo description available.","2623403787962082","photo","https://www.facebook.com/photo.php?fbid=2623403787962082&set=a.357721383037849&type=3","No photo description available.","2623403814628746","photo","https://www.facebook.com/photo.php?fbid=2623403814628746&set=a.357721383037849&type=3","No photo description available.","2623403927962068","photo","https://www.facebook.com/photo.php?fbid=2623403927962068&set=a.357721383037849&type=3","No photo description available.","2623403854628742","photo","https://www.facebook.com/photo.php?fbid=2623403854628742&set=a.357721383037849&type=3","No photo description available.","2623403871295407","photo","https://www.facebook.com/photo.php?fbid=2623403871295407&set=a.357721383037849&type=3","100063999699602","Town and Country Executive Village-TCEVHOA","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/277764030_357721396371181_2225112107246160281_n.png?stp=cp0_dst-png&cstp=mx434x434&ctp=s40x40&_nc_cat=102&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=TMeJzju_Cm8Q7kNvwGcZeVM&_nc_oc=AdrwbumT2TcJGtaVpB8-nNo01TYvyda1IKhgfxoNqbige11-teN3IJopb8pPMBSGYoU&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=7F2vamKv4rVtotaYVgFrBg&_nc_ss=7e2a8&oh=00_AQAI_2H8kiQHu3PZr-j7s9aO42BuH8w-aHvibHF7iMeKNg&oe=6A5EA500","https://www.facebook.com/tcevha","12","2623407897961671","TCEV FLOOD PREVENTION BRIGADE
07.21.2021

Our team assigned to mitigate flooding from pump operation, drainage clearing, traffic control and monitoring. This is Muntindilaw creek, Antipolo side. 

TCEVHOA BOD",,,"85","2",,"1",,"88","5","1626927890000","https://www.facebook.com/tcevha/posts/pfbid02po7n9Fr8gQVJiFgdyyxH8WcfWSV1iy5Pk37vmAW2yJYDgv8A9z9aGUS2CydVVpr4l"
,,,,,,,,,,,,,,,,,,,,"100067118364824","Pagasa Nationalcapitalregionprsd","https://scontent-iad6-1.xx.fbcdn.net/v/t1.6435-1/117890349_325012645508210_7691668635129397714_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx960x960&ctp=s24x24&_nc_cat=109&ccb=1-7&_nc_sid=e99d92&_nc_ohc=nzJFNRcbOIIQ7kNvwETA3Q9&_nc_oc=Adrx04jG2AP-wDDq37gcnEr3uZ5LLaqFOMGDEvIxlUEN6pp1KXBanBCaDNsui9i4DCM&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=7F2vamKv4rVtotaYVgFrBg&_nc_ss=7e2a8&oh=00_AQCxb3QepIDZXJcmXczzNJ727Y_en5GQRQyQAWyWUxtbKg&oe=6A8042E1","https://www.facebook.com/pagasa.nationalcapitalregion","2","4783511028376196","Heavy Rainfall Warning No. 11  #NCR_PRSD
Weather System: Southwest Monsoon 
Issued at: 8:00 AM,22 July 2021

Yellow Warning: Quezon(Dolores, Tiaong, Candelaria, Sariaya, Lucena, Tayabas, SanAntonio), Cavite, Laguna, Batangas, Zambales, Bataan.
Associated Hazard: FLOODING in flood-prone areas

Meanwhile, light to moderate with occasional heavy rains affecting Metro Manila, Pampanga and Rizal(Cardona, JalaJala)  which may persist within 3 hours.

Expect light to moderate rains over Nueva Ecija, Bulacan, Tarlac, and the rest of Rizal and Quezon within the next 3 hours. 

The public and the Disaster Risk Reduction and Management Offices concerned are advised to MONITOR the weather condition and watch for the next advisory to be issued at 11:00 AM Today.

For more information and queries, please call telephone numbers 8922-1992 and 8927-1335 or log on to bagong.pagasa.dost.gov.ph.",,"1","51",,"3","1",,"56","11","1626915617000","https://www.facebook.com/PTVph/posts/pfbid02QvzH3QhQgkGBQ6qUnB1knVNUfk5MRYvDNQ424Rk8iBJHCrSkh67Jw8ZJNY7TXTJcl"
,,,,,,,,,,,,,,,,,,,,"100064849864375","Pagasa Nationalcapitalregionprsd","https://scontent-iad6-1.xx.fbcdn.net/v/t1.6435-1/117890349_325012645508210_7691668635129397714_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx960x960&ctp=s24x24&_nc_cat=109&ccb=1-7&_nc_sid=e99d92&_nc_ohc=nzJFNRcbOIIQ7kNvwETA3Q9&_nc_oc=Adrx04jG2AP-wDDq37gcnEr3uZ5LLaqFOMGDEvIxlUEN6pp1KXBanBCaDNsui9i4DCM&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=7F2vamKv4rVtotaYVgFrBg&_nc_ss=7e2a8&oh=00_AQCxb3QepIDZXJcmXczzNJ727Y_en5GQRQyQAWyWUxtbKg&oe=6A8042E1","https://www.facebook.com/pagasa.nationalcapitalregion","11","3987712241338655","Heavy Rainfall Warning No. 15  NCR_PRSD
Weather System: Southwest Monsoon 
Issued at: 8:00 PM,22 July 2021","1",,"303","2","52",,"1","359","80","1626962267000","https://www.facebook.com/PAGASA.DOST.GOV.PH/posts/pfbid035tKvWCeto2tigDnuCkgR6RUey82R5TqgUW1uNgz2D6K5HpPoLPPLBsUaTqbRn18Bl"
,,,,,,,,,,,,,,,,,,,,"100064473288858","Pagasa Nationalcapitalregionprsd","https://scontent-iad6-1.xx.fbcdn.net/v/t1.6435-1/117890349_325012645508210_7691668635129397714_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx960x960&ctp=s24x24&_nc_cat=109&ccb=1-7&_nc_sid=e99d92&_nc_ohc=nzJFNRcbOIIQ7kNvwETA3Q9&_nc_oc=Adrx04jG2AP-wDDq37gcnEr3uZ5LLaqFOMGDEvIxlUEN6pp1KXBanBCaDNsui9i4DCM&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=i7WTCb3_Jh0izJZq0LBy3w&_nc_ss=7e2a8&oh=00_AQAxSznoA9dRsqKSW466z5mAcPuC72KBhDdnzeVfu2zALg&oe=6A8042E1","https://www.facebook.com/pagasa.nationalcapitalregion","0","4589928567707543","Heavy Rainfall Warning No. 13  #NCR_PRSD
Weather System: Southwest Monsoon 
Issued at: 2:00 PM, 22 July 2021

Orange Warning: #Bulacan 
Associated Hazard: FLOODING is THREATENING

The public and the Disaster Risk Reduction and Management Offices concerned are advised to MONITOR the weather condition and watch for the next advisory to be issued at 5:00 PM Today.",,,"48","2","1","1",,"52","18","1626938431000","https://www.facebook.com/municipalityofsanildefonso/posts/pfbid029xDpqBnFWCskqBaYBstshqi2jcB5G2WuBbbGsBNUEjyBgbY9yAYcqjcXjC8bXDaxl"
,,,,,,,,,,,,,,,,,,,,"100064542948515","Pagasa Nationalcapitalregionprsd","https://scontent-iad6-1.xx.fbcdn.net/v/t1.6435-1/117890349_325012645508210_7691668635129397714_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx960x960&ctp=s24x24&_nc_cat=109&ccb=1-7&_nc_sid=e99d92&_nc_ohc=nzJFNRcbOIIQ7kNvwETA3Q9&_nc_oc=Adrx04jG2AP-wDDq37gcnEr3uZ5LLaqFOMGDEvIxlUEN6pp1KXBanBCaDNsui9i4DCM&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=i7WTCb3_Jh0izJZq0LBy3w&_nc_ss=7e2a8&oh=00_AQAxSznoA9dRsqKSW466z5mAcPuC72KBhDdnzeVfu2zALg&oe=6A8042E1","https://www.facebook.com/pagasa.nationalcapitalregion","32","4107969562633730","Heavy Rainfall Warning No. 25A  #NCR_PRSD
Weather System: Southwest Monsoon 
Issued at: 2:45 AM,24 July 2021
Yellow Warning: #MetroManila, #Tarlac, #Zambales, #Bataan, #Pampanga, #Rizal, #Cavite.
Associated Hazard: FLOODING in flood-prone areas
Meanwhile, Light to moderate with occasional heavy rains affecting #NuevaEcija, #Bulacan, #Batangas, #Laguna, #Quezon.
The public and the Disaster Risk Reduction and Management Offices concerned are advised to MONITOR the weather condition and watch for the next advisory to be issued at 5:00 AM Today.
For more information and queries, please call telephone numbers 8922-1992 and 8927-1335 or log on to bagong.pagasa.dost.gov.ph.",,,"149","1","57","1","1","209","60","1627066440000","https://www.facebook.com/MarikinaRescue161/posts/pfbid085Lj5arDC7jSHHzMjHotuWeVEzT3LSoJZTdLHBSzZxNfYMPQ2Sw21QP9gVPvouWhl"
"No photo description available.","540999183909554","photo","https://www.facebook.com/photo.php?fbid=540999183909554&set=gm.4285547654825839&type=3","No photo description available.","541000083909464","photo","https://www.facebook.com/photo.php?fbid=541000083909464&set=gm.4285547654825839&type=3",,,,,,,,,,,,,"100039984321173","Pagasa Nationalcapitalregionprsd","https://scontent-iad6-1.xx.fbcdn.net/v/t1.6435-1/117890349_325012645508210_7691668635129397714_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx960x960&ctp=s24x24&_nc_cat=109&ccb=1-7&_nc_sid=e99d92&_nc_ohc=nzJFNRcbOIIQ7kNvwETA3Q9&_nc_oc=Adrx04jG2AP-wDDq37gcnEr3uZ5LLaqFOMGDEvIxlUEN6pp1KXBanBCaDNsui9i4DCM&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=i7WTCb3_Jh0izJZq0LBy3w&_nc_ss=7e2a8&oh=00_AQAxSznoA9dRsqKSW466z5mAcPuC72KBhDdnzeVfu2zALg&oe=6A8042E1","https://www.facebook.com/pagasa.nationalcapitalregion","18","4285547654825839","Heavy Rainfall Warning No. 27  #NCR_PRSD
Weather System: Southwest Monsoon 
Issued at: 7:55 AM,24 July 2021

Orange Warning: #MetroManila, #Bataan.
Associated Hazard: FLOODING is THREATENING

Yellow Warning: #Cavite, #Batangas, #Pampanga, #Rizal, #Zambales.
Associated Hazard: FLOODING in flood-prone areas

Meanwhile, expect light to moderate with occasional heavy rains over #NuevaEcija, and #Quezon within the next 3 hours.

Light to moderate with occasional heavy rains are affecting #Laguna,  #Bulacan, and #Tarlac which may persist within 3 hours.

The public and the Disaster Risk Reduction and Management Offices concerned are advised to MONITOR the weather condition and watch for the next advisory to be issued at 11:00 AM Today.

For more information and queries, please call telephone numbers 8922-1992 and 8927-1335 or log on to bagong.pagasa.dost.gov.ph.","1",,"170",,"46","1","2","220","401","1627084661000","https://www.facebook.com/groups/NCR.PAGASA/permalink/4285547654825839/"
,,,,,,,,,,,,,,,,,,,,"100064542948515","Pagasa Nationalcapitalregionprsd","https://scontent-iad6-1.xx.fbcdn.net/v/t1.6435-1/117890349_325012645508210_7691668635129397714_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx960x960&ctp=s24x24&_nc_cat=109&ccb=1-7&_nc_sid=e99d92&_nc_ohc=nzJFNRcbOIIQ7kNvwETA3Q9&_nc_oc=Adrx04jG2AP-wDDq37gcnEr3uZ5LLaqFOMGDEvIxlUEN6pp1KXBanBCaDNsui9i4DCM&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=i7WTCb3_Jh0izJZq0LBy3w&_nc_ss=7e2a8&oh=00_AQAxSznoA9dRsqKSW466z5mAcPuC72KBhDdnzeVfu2zALg&oe=6A8042E1","https://www.facebook.com/pagasa.nationalcapitalregion","4","4106533006110719","Heavy Rainfall Warning No. 22A  #NCR_PRSD
Weather System: Southwest Monsoon 
Issued at: 5:34 PM,23 July 2021
Yellow Warning: #MetroManila, #Bataan, #Zambales, #Tarlac(Capas, Bamban), #Pampanga(Porac, Floridablanca, Lubao, Guagua, SantaRita, Sasmuan, Mabalacat, AngelesCity).
Associated Hazard: FLOODING in flood-prone areas
Meanwhile, Expect light to moderate rains over #Quezon within the next 3 hours.
Light to moderate with occasional heavy rains affecting #NuevaEcija, #Bulacan, #Cavite, #Laguna, #Rizal, #Batangas and other areas of Tarlac, and Pampanga which may persist within 3 hours.
The public and the Disaster Risk Reduction and Management Offices concerned are advised to MONITOR the weather condition and watch for the next advisory to be issued at 8:00 PM Today.
For more information and queries, please call telephone numbers 8922-1992 and 8927-1335 or log on to bagong.pagasa.dost.gov.ph.",,,"77",,"12","1","1","91","15","1627033626000","https://www.facebook.com/MarikinaRescue161/posts/pfbid02j9AC9Qjpwt3uGQjHnPLWgpwhjTe6CuTV4GqZhfBPbCRXyr4be8nh2rmg39CXYAsTl"
,,,,,,,,,,,,,,,,,,,,"100044158011195","Pagasa Nationalcapitalregionprsd","https://scontent-iad6-1.xx.fbcdn.net/v/t1.6435-1/117890349_325012645508210_7691668635129397714_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx960x960&ctp=s24x24&_nc_cat=109&ccb=1-7&_nc_sid=e99d92&_nc_ohc=nzJFNRcbOIIQ7kNvwETA3Q9&_nc_oc=Adrx04jG2AP-wDDq37gcnEr3uZ5LLaqFOMGDEvIxlUEN6pp1KXBanBCaDNsui9i4DCM&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=i7WTCb3_Jh0izJZq0LBy3w&_nc_ss=7e2a8&oh=00_AQAxSznoA9dRsqKSW466z5mAcPuC72KBhDdnzeVfu2zALg&oe=6A8042E1","https://www.facebook.com/pagasa.nationalcapitalregion","25","3028893834018764","WEATHER UPDATE: As of 2:00 PM, 22 JULY 2021, Tarlac is under orange warning level according to PAGASA. 

Associated Hazard: FLOODING is THREATENING

For emergencies, please contact (045) 470 8647/ 09952312411/ 09219300047 (AKSYON ANGHEL).

#MagkaisaBawatOrasSamaSama",,,"190","4","2","1",,"197","86","1626940418000","https://www.facebook.com/congcristyangeles/posts/pfbid02Mp8tZ2Vj9H2EENGYwYACZgphrxMwgYC5tWthejDNqDWffYnyq39f6TzPHW69kBzGl"
