"attachments/0/accessibilityCaption","attachments/0/id","attachments/0/type","attachments/0/url","attachments/1/accessibilityCaption","attachments/1/id","attachments/1/type","attachments/1/url","attachments/2/accessibilityCaption","attachments/2/id","attachments/2/type","attachments/2/url","attachments/3/accessibilityCaption","attachments/3/id","attachments/3/type","attachments/3/url","attachments/4/accessibilityCaption","attachments/4/id","attachments/4/type","attachments/4/url","author/id","author/name","author/profilePicture","author/profileUrl","commentsCount","postId","postText","reactions/anger","reactions/haha","reactions/like","reactions/love","reactions/sorry","reactions/support","reactions/wow","reactionsCount","sharesCount","timestamp","url"
,,,,,,,,,,,,,,,,,,,,"100063976422351","South Snippets","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/426545594_818461220296418_812090733392051357_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx1080x1080&ctp=s40x40&_nc_cat=106&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=spcchizEs9wQ7kNvwFxbRd8&_nc_oc=Adp4b2WO4lsI6TwZYMddQlTuvWXLf62J3Ck14Beo7YiSmMtPqhRCgx3thvsoRWxcEuQ&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=zc-3yxpWccr73q_X8ZQV_g&_nc_ss=7e2a8&oh=00_AQC1YeBXh_xVdj2ONKQ_M4evfuxpxwyB7ZcxIEW3VwawMg&oe=6A5EBB03","https://www.facebook.com/southsnippets","26","3957697654341262","Bicycles are truly resilient form of transport. But we can't just let people pedal through deep flood waters to go to work and home. Government has to do better, yesterday.","1",,"105","3","62","2","2","175","9","1627006987000","https://www.facebook.com/aldrinpelican0/posts/pfbid02LuVp3LiMfxXDsxUEw1NQtAq6KvJnnbXMbRVUMkmi4ZWqGxS9ukVyi7b8TNfhKA7hl"
,,,,,,,,,,,,,,,,,,,,"100068612142206","MMDA","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/242803846_162321929398211_6744508622629887688_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx604x604&ctp=s40x40&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=-GxMrIa-rlcQ7kNvwHs_4Wx&_nc_oc=AdoZlN3ugJ8_slIcYIfTvPIVbg7qjZ9O6y27LCWxoVsRUl_Fz_5i3S9UDrQ8EwABiis&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=zc-3yxpWccr73q_X8ZQV_g&_nc_ss=7e2a8&oh=00_AQDDVpbfzjJDVEFFUyyDltgl64DkMddIZrBvVm8WlEY8iQ&oe=6A5EA512","https://www.facebook.com/MMDAPH","52","4394006130638015","[Admin 28] FLOOD ALERT: As of 7:30 AM.                                             Malabon City 
Ma. Clara - Brgy. Acacia  (3 to 4 inches)                                                M.H. del Pilar - Maysilo (gutter deep)
Don Basilio - Panghulo (3 to 4 inches)                                                 C. Arellano Brgy. Baba (5 ot 6 inches)                                              Rizal ave. Brgy, San Agustin (2 to 3 inches)                                          F. Sevilla Market (5 to 6 inches).
#mmda",,,"276","1","40","2","1","320","71","1627084229000","https://www.facebook.com/MMDAPH/posts/pfbid0ixts4pLGxBvwy9uyFCUnXbNLcqp8F3EfCDkp7fZJ1cian5kVEwtfKgBimT7zCHFUl"
,,,,,,,,,,,,,,,,,,,,"100068612142206","MMDA","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/242803846_162321929398211_6744508622629887688_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx604x604&ctp=s40x40&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=-GxMrIa-rlcQ7kNvwHs_4Wx&_nc_oc=AdoZlN3ugJ8_slIcYIfTvPIVbg7qjZ9O6y27LCWxoVsRUl_Fz_5i3S9UDrQ8EwABiis&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=zc-3yxpWccr73q_X8ZQV_g&_nc_ss=7e2a8&oh=00_AQDDVpbfzjJDVEFFUyyDltgl64DkMddIZrBvVm8WlEY8iQ&oe=6A5EA512","https://www.facebook.com/MMDAPH","47","4388576091181019","[Admin 12]

METROBASE FLOOD ALERT:

As of 2:02pm
WHAT: Flood (Gutter Deep) 

LOCATION: 
1. Edsa Shrine NB 
2. Edsa Ortigas split NB
3. Edsa POEA SB 

As of 2:12pm
WHAT: Flood (Gutter Deep) 

LOCATION: 
1. Roxas Blvd Pedro Gil SB
2. Roxas Blvd Quirino NB",,,"173","1","2",,"1","177","28","1626935106000","https://www.facebook.com/MMDAPH/posts/pfbid0T1EGymZSFZSz2g5WKH6XyVpCyhxfduBdQEo68zisujagkCo9Zkvj8VPpN9yV6nugl"
,,,,,,,,,,,,,,,,,,,,"100068612142206","MMDA","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/242803846_162321929398211_6744508622629887688_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx604x604&ctp=s40x40&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=-GxMrIa-rlcQ7kNvwHs_4Wx&_nc_oc=AdoZlN3ugJ8_slIcYIfTvPIVbg7qjZ9O6y27LCWxoVsRUl_Fz_5i3S9UDrQ8EwABiis&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=zc-3yxpWccr73q_X8ZQV_g&_nc_ss=7e2a8&oh=00_AQDDVpbfzjJDVEFFUyyDltgl64DkMddIZrBvVm8WlEY8iQ&oe=6A5EA512","https://www.facebook.com/MMDAPH","37","4390467710991857","[Admin 04] 

MMDA FLOOD ALERT: 

As of 3:20 AM

WHAT: Flooded Areas (Gutter Deep) 

LOCATION:

* SM Parañaque 

* Malabon area
 - Arellano Camus St.
 - Sevilla, in front of the market
 - Brgy. Tenejeros - Avha Court

*Passable to all types of vehicle

Marikina River Update - 13.8 meters",,,"138",,,"1",,"139","21","1626986938000","https://www.facebook.com/MMDAPH/posts/pfbid0quzLzs4RZcexcWNYdSSvKNX1bw8K2yGfxPSpA8soNiKV6cPU2CMfJYBfEhJgJ2ANl"
"No photo description available.","1975016719341274","photo","https://www.facebook.com/photo.php?fbid=1975016719341274&set=a.206414061730215&type=3","No photo description available.","1975016789341267","photo","https://www.facebook.com/photo.php?fbid=1975016789341267&set=a.206414061730215&type=3","No photo description available.","1975016836007929","photo","https://www.facebook.com/photo.php?fbid=1975016836007929&set=a.206414061730215&type=3","No photo description available.","1975016889341257","photo","https://www.facebook.com/photo.php?fbid=1975016889341257&set=a.206414061730215&type=3","No photo description available.","1975016926007920","photo","https://www.facebook.com/photo.php?fbid=1975016926007920&set=a.206414061730215&type=3","100070848672128","Pasig City DRRMO","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/308945245_206414081730213_8484921738392209629_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx1440x1440&ctp=s40x40&_nc_cat=107&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=8QlDoQEaMMgQ7kNvwFWbESV&_nc_oc=AdrUNxmg1KAt9QEibIcHkOeR-3n4hfswX2qOBVI7i05RDdg22rNpoUoZEX0TTnx_KxQ&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=zc-3yxpWccr73q_X8ZQV_g&_nc_ss=7e2a8&oh=00_AQAvd1nWLf8x3Kz0T215CcJ1GsqMf8nWfV6NAMzI1fTYLQ&oe=6A5EABCF","https://www.facebook.com/PasigCityDRRMO","6","1975016972674582","July 22, 2021

Flood monitoring and occular of pumping stations led by Pasig CDRRMO Chief Bryant Wong with Operations and Warning Division. The Pasig CDRRM Council and BDRRMC are on standby in preparedness for the effects of 'Habagat'.

#pasighanda2021
#pasigcdrrmo",,,"207","6",,"4",,"217","6","1626968497000","https://www.facebook.com/PasigCityDRRMO/posts/pfbid0WFWQwAitm5oUfUWPn8vtc7rSva88kRCZxUYHRTeeqDh5BKUfvq8iPV8KoTkfo5aDl"
,,,,,,,,,,,,,,,,,,,,"100064542948515","Pagasa Nationalcapitalregionprsd","https://scontent-iad6-1.xx.fbcdn.net/v/t1.6435-1/117890349_325012645508210_7691668635129397714_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx960x960&ctp=s24x24&_nc_cat=109&ccb=1-7&_nc_sid=e99d92&_nc_ohc=nzJFNRcbOIIQ7kNvwF1xIox&_nc_oc=Ado4EcQ_GtRYEEGcPxD5GUL9gaVV7BoYwrOjd13YXxnfS4Z2GMY7jhqaSCAQPLGn6kg&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=kJcQsUG817NZntcN__d27Q&_nc_ss=7e2a8&oh=00_AQDmIioTnfAxY6iecxVOf8-N-KtI_Wl1XAPUgKOv1ClvkQ&oe=6A8042E1","https://www.facebook.com/pagasa.nationalcapitalregion","32","4107969562633730","Heavy Rainfall Warning No. 25A  #NCR_PRSD
Weather System: Southwest Monsoon 
Issued at: 2:45 AM,24 July 2021
Yellow Warning: #MetroManila, #Tarlac, #Zambales, #Bataan, #Pampanga, #Rizal, #Cavite.
Associated Hazard: FLOODING in flood-prone areas
Meanwhile, Light to moderate with occasional heavy rains affecting #NuevaEcija, #Bulacan, #Batangas, #Laguna, #Quezon.
The public and the Disaster Risk Reduction and Management Offices concerned are advised to MONITOR the weather condition and watch for the next advisory to be issued at 5:00 AM Today.
For more information and queries, please call telephone numbers 8922-1992 and 8927-1335 or log on to bagong.pagasa.dost.gov.ph.",,,"149","1","57","1","1","209","60","1627066440000","https://www.facebook.com/MarikinaRescue161/posts/pfbid085Lj5arDC7jSHHzMjHotuWeVEzT3LSoJZTdLHBSzZxNfYMPQ2Sw21QP9gVPvouWhl"
,,,,,,,,,,,,,,,,,,,,"100068612142206","Pagasa Nationalcapitalregionprsd","https://scontent-iad6-1.xx.fbcdn.net/v/t1.6435-1/117890349_325012645508210_7691668635129397714_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx960x960&ctp=s24x24&_nc_cat=109&ccb=1-7&_nc_sid=e99d92&_nc_ohc=nzJFNRcbOIIQ7kNvwF1xIox&_nc_oc=Ado4EcQ_GtRYEEGcPxD5GUL9gaVV7BoYwrOjd13YXxnfS4Z2GMY7jhqaSCAQPLGn6kg&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=kJcQsUG817NZntcN__d27Q&_nc_ss=7e2a8&oh=00_AQDmIioTnfAxY6iecxVOf8-N-KtI_Wl1XAPUgKOv1ClvkQ&oe=6A8042E1","https://www.facebook.com/pagasa.nationalcapitalregion","7","4389275507777744","PAGASA HEAVY RAINFALL WARNING I Orange Warning: Metro Manila, Bataan, Cavite, Zambales.

Associated Hazard: FLOODING is still THREATENING

The public and the Disaster Risk Reduction and Management Offices concerned are advised to MONITOR the weather condition. 
#MMDA
#mmdaatyourservice",,,"143","1","17","2",,"163","56","1626956144000","https://www.facebook.com/MMDAPH/posts/pfbid025Kg5x4XYUxyCx8Z8QPbiE4guUqUzJDh8x24UEvNMtpnMiznEDQng4bwHakPvnEP5l"
,,,,,,,,,,,,,,,,,,,,"100068612142206","Pagasa Nationalcapitalregionprsd","https://scontent-iad6-1.xx.fbcdn.net/v/t1.6435-1/117890349_325012645508210_7691668635129397714_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx960x960&ctp=s24x24&_nc_cat=109&ccb=1-7&_nc_sid=e99d92&_nc_ohc=nzJFNRcbOIIQ7kNvwF1xIox&_nc_oc=Ado4EcQ_GtRYEEGcPxD5GUL9gaVV7BoYwrOjd13YXxnfS4Z2GMY7jhqaSCAQPLGn6kg&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=kJcQsUG817NZntcN__d27Q&_nc_ss=7e2a8&oh=00_AQDmIioTnfAxY6iecxVOf8-N-KtI_Wl1XAPUgKOv1ClvkQ&oe=6A8042E1","https://www.facebook.com/pagasa.nationalcapitalregion","2","4392378077467487","PAGASA HEAVY RAINFALL WARNING I Orange Warning: Metro Manila.

Associated Hazard: FLOODING is THREATENING

The public and the Disaster Risk Reduction and Management Offices concerned are advised to MONITOR the weather condition. 

#MMDA
#mmdaatyourservice","1",,"96",,"2",,"1","100","47","1627042990000","https://www.facebook.com/MMDAPH/posts/pfbid03umWKHNje4Tep8FUy9gkmkC9wj63mp4k4xHzLfABH56fJx6W76r4Hwkab6hwUtbYl"
,,,,,,,,,,,,,,,,,,,,"100064542948515","Pagasa Nationalcapitalregionprsd","https://scontent-iad6-1.xx.fbcdn.net/v/t1.6435-1/117890349_325012645508210_7691668635129397714_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx960x960&ctp=s24x24&_nc_cat=109&ccb=1-7&_nc_sid=e99d92&_nc_ohc=nzJFNRcbOIIQ7kNvwF1xIox&_nc_oc=Ado4EcQ_GtRYEEGcPxD5GUL9gaVV7BoYwrOjd13YXxnfS4Z2GMY7jhqaSCAQPLGn6kg&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=kJcQsUG817NZntcN__d27Q&_nc_ss=7e2a8&oh=00_AQDmIioTnfAxY6iecxVOf8-N-KtI_Wl1XAPUgKOv1ClvkQ&oe=6A8042E1","https://www.facebook.com/pagasa.nationalcapitalregion","4","4103723239725029","Heavy Rainfall Warning No. 15  NCR_PRSD
Weather System: Southwest Monsoon 
Issued at: 8:00 PM,22 July 2021
Orange Warning: MetroManila, Bataan, Cavite, Zambales.
Associated Hazard: FLOODING is still THREATENING
Yellow Warning: Pampanga, Bulacan, Laguna, Batangas, Rizal.
Associated Hazard: FLOODING in flood-prone areas
Meanwhile, Expect light to moderate rains over NuevaEcija within the next 3 hours.
Light to moderate with occasional heavy rains affecting Tarlac, Quezon which may persist within 3 hours and may affect nearby areas.",,,"112","1","26","2",,"141","51","1626954309000","https://www.facebook.com/MarikinaRescue161/posts/pfbid028L5krVCXFY5TQoDhtZDtGg1n2kmxMNkGpwriakyiSvwtTzNF3Fs5rFZ1anBP5oE2l"
,,,,,,,,,,,,,,,,,,,,"100064542948515","Pagasa Nationalcapitalregionprsd","https://scontent-iad6-1.xx.fbcdn.net/v/t1.6435-1/117890349_325012645508210_7691668635129397714_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx960x960&ctp=s24x24&_nc_cat=109&ccb=1-7&_nc_sid=e99d92&_nc_ohc=nzJFNRcbOIIQ7kNvwF1xIox&_nc_oc=Ado4EcQ_GtRYEEGcPxD5GUL9gaVV7BoYwrOjd13YXxnfS4Z2GMY7jhqaSCAQPLGn6kg&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=kJcQsUG817NZntcN__d27Q&_nc_ss=7e2a8&oh=00_AQDmIioTnfAxY6iecxVOf8-N-KtI_Wl1XAPUgKOv1ClvkQ&oe=6A8042E1","https://www.facebook.com/pagasa.nationalcapitalregion","4","4106533006110719","Heavy Rainfall Warning No. 22A  #NCR_PRSD
Weather System: Southwest Monsoon 
Issued at: 5:34 PM,23 July 2021
Yellow Warning: #MetroManila, #Bataan, #Zambales, #Tarlac(Capas, Bamban), #Pampanga(Porac, Floridablanca, Lubao, Guagua, SantaRita, Sasmuan, Mabalacat, AngelesCity).
Associated Hazard: FLOODING in flood-prone areas
Meanwhile, Expect light to moderate rains over #Quezon within the next 3 hours.
Light to moderate with occasional heavy rains affecting #NuevaEcija, #Bulacan, #Cavite, #Laguna, #Rizal, #Batangas and other areas of Tarlac, and Pampanga which may persist within 3 hours.
The public and the Disaster Risk Reduction and Management Offices concerned are advised to MONITOR the weather condition and watch for the next advisory to be issued at 8:00 PM Today.
For more information and queries, please call telephone numbers 8922-1992 and 8927-1335 or log on to bagong.pagasa.dost.gov.ph.",,,"77",,"12","1","1","91","15","1627033626000","https://www.facebook.com/MarikinaRescue161/posts/pfbid02j9AC9Qjpwt3uGQjHnPLWgpwhjTe6CuTV4GqZhfBPbCRXyr4be8nh2rmg39CXYAsTl"
