"attachments/0/accessibilityCaption","attachments/0/id","attachments/0/type","attachments/0/url","attachments/1/accessibilityCaption","attachments/1/id","attachments/1/type","attachments/1/url","attachments/2/accessibilityCaption","attachments/2/id","attachments/2/type","attachments/2/url","attachments/3/accessibilityCaption","attachments/3/id","attachments/3/type","attachments/3/url","attachments/4/accessibilityCaption","attachments/4/id","attachments/4/type","attachments/4/url","author/id","author/name","author/profilePicture","author/profileUrl","commentsCount","postId","postText","reactions/haha","reactions/like","reactions/love","reactions/sorry","reactions/support","reactions/wow","reactionsCount","sharesCount","timestamp","url"
"No photo description available.","624271086057046","photo","https://www.facebook.com/photo.php?fbid=624271086057046&set=a.544845570982063&type=3","No photo description available.","624271759390312","photo","https://www.facebook.com/photo.php?fbid=624271759390312&set=a.544845570982063&type=3","No photo description available.","624271836056971","photo","https://www.facebook.com/photo.php?fbid=624271836056971&set=a.544845570982063&type=3","No photo description available.","624271879390300","photo","https://www.facebook.com/photo.php?fbid=624271879390300&set=a.544845570982063&type=3","No photo description available.","624271909390297","photo","https://www.facebook.com/photo.php?fbid=624271909390297&set=a.544845570982063&type=3","100063698747985","Shelter's Garden","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/728213233_1636841448449131_2833467829463186204_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx1773x1773&ctp=s40x40&_nc_cat=101&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=xymiMMNIzTIQ7kNvwEPrZa_&_nc_oc=AdodihmSyOtKYHaf6Xfizo-QUIyIHUK0WMz_NHhPfp-b6tZRS5PFEWmjqrZCRtnKSf0&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=x5X8W4yuVyHhorv-37vxPw&_nc_ss=7e2a8&oh=00_AQCzp_JHpRKQOQwmAdjrrRriJIm5j-A0fqhnZFodTwbINw&oe=6A5E8E0A","https://www.facebook.com/Halaman25","57","624272146056940","Nakakapanlumo ang sitwasyon bumaba pa yan sa lagay na yan...salamat po ama hindi lahat nalubog sa baha...",,"61","4","285","112","2","464","1","1664150271000","https://www.facebook.com/Halaman25/posts/pfbid02gkTmz2E3vCJJgoEkL5j7MwezoLoQhAjDEHvtnwagEYnSJVsXQqW8LtnMskHoPB9Ml"
"No photo description available.","1129626361003745","photo","https://www.facebook.com/photo/?fbid=1129626361003745&set=a.659621992861002",,,,,,,,,,,,,,,,,"100064396225442","Kagawad Marlou Parro","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/661323543_1356168383206356_7508916730248132311_n.jpg?stp=cp6_dst-jpg_tt6&cstp=mx2048x2048&ctp=s40x40&_nc_cat=106&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=Sw8DOhjp070Q7kNvwGd5Pja&_nc_oc=AdpG-1AWOySJ12t7oNzG6P2PUYQwVOjzdigxcnjUi0HJX1oEM3luIEVcYjkjqfHKcw4&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=x5X8W4yuVyHhorv-37vxPw&_nc_ss=7e2a8&oh=00_AQCiWRchkCXo0CUBXkovSRWZjVugmLRIT9RnCV-XGzU-Zg&oe=6A5E8B9D","https://www.facebook.com/KABATAANGTUMANA","25","1129626847670363","hindi alintana ang tubig baha, makapag update lang.","1","136","175","8","41",,"361","9","1664120202000","https://www.facebook.com/KABATAANGTUMANA/posts/pfbid0tNwmevNJxdYCXaruo1wUEdWuWfuVs9ToGUtkuqw4WpFwzvRjj6pSvjWzASqJtKABl"
,,,,,,,,,,,,,,,,,,,,"100057935115279","Location: Marikina","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/306082235_489948139613019_5250457360377828529_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx591x591&ctp=s40x40&_nc_cat=107&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=HIOSQHCNA4UQ7kNvwGWt05T&_nc_oc=AdrqwvTEyKMSIk6WBt_jw85bUjuMHTVGtT2viFoNbiL-m5C4MZ5vbmCzzeBkSEvVius&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=x5X8W4yuVyHhorv-37vxPw&_nc_ss=7e2a8&oh=00_AQB5Xwnh4d4jDRNLOvBt9FoCc8jOFD-ti9ABRn1BAHAQZw&oe=6A5EA8A3","https://www.facebook.com/locationmarikina","3","502421555032344","Ala-sais (6am) ng umaga, nasa Dona Petra , Barangay Tumana na Mayor Marcy Teodoro upang kamustahin ang mga residente at gayundin ay tignan ang pagpapatuloy ng clearing operation bunsod ng mga apektado ng bagyong #KardingPh.

Sinisiguro ng Ama ng Lungsod na maayos na nagagawa ang lahat upang tuloy tuloy na makabalik sa normal na pamumuhay ang mga residente.

Apektado man ng dumaang bagyo, positibo pa rin ang reaksyon ng mga taga-Tumana dahil lubos na mababaw daw ang tubig sa kanila kahit na 18.4M ang lebel ng Marikina River (3rd Alarm). 

Dati rati daw ay lubog na ang kanilang kabahayan sa basta’t umabot sa ganung alarma ang ilog.

Regular na drainage declogging umano at dredging ang naging malaking tulong kaya hindi tumaas ng husto ang baha sa kanilang lugar.",,"101","37",,"1",,"139","20","1664231840000","https://www.facebook.com/locationmarikina/posts/pfbid02T9RJeyuUHZMxKMAXfE2jc1gX9aj9AFrRigGy15Pb8y32Zcrf1o318JDBmqnxjKb1l"
"No photo description available.","179855387883105","photo","https://www.facebook.com/photo.php?fbid=179855387883105&set=a.161088056426505&type=3","No photo description available.","179855424549768","photo","https://www.facebook.com/photo.php?fbid=179855424549768&set=a.161088056426505&type=3","No photo description available.","179855464549764","photo","https://www.facebook.com/photo.php?fbid=179855464549764&set=a.161088056426505&type=3","No photo description available.","179855487883095","photo","https://www.facebook.com/photo.php?fbid=179855487883095&set=a.161088056426505&type=3","No photo description available.","179855514549759","photo","https://www.facebook.com/photo.php?fbid=179855514549759&set=a.161088056426505&type=3","100075759352022","Councilor Carl Africa","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/495577588_692169716651667_653147460879386594_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx960x960&ctp=s40x40&_nc_cat=110&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=Hfv8sAarVhAQ7kNvwG21z55&_nc_oc=Ado9EjMQEwbm2awB5W2fYQ6-9C0p9M1qtximgKTNC6nsrZclxqIn04mQtOxGu5lSUNw&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=x5X8W4yuVyHhorv-37vxPw&_nc_ss=7e2a8&oh=00_AQBlpY8DC7EOdsc-wRSQmk-lA7juZ1F8_JCm_lpwr0meNQ&oe=6A5EB4EE","https://www.facebook.com/KonsiCarlAfrica","4","179856227883021","Personal na bumisita si Konsehal Carl Africa sa iba't ibang barangay sa ating Lungsod na siyang sinalanta ng Bagyong Karding.

Sinigurado ni Konsehal Carl Africa na walang nasaktan o napahamak na pamilya dulot ng mabilis na pataas ng tubig baha sa mga mababang lugar sa ating Lungsod.

Base sa mga report, ang lahat ng mga evacuees ay ligtas ng nakauwi sa kani-kanilang mga bahay.

Ingat po tayong lahat, Marikina! 

#KardingPH #ConsistentInAction #CouncilorCarlAfrica #SerbisyongAfrica #AlagangAfrica",,"84","45","1","16",,"146","14","1664188874000","https://www.facebook.com/KonsiCarlAfrica/posts/pfbid02MobCCn5kfMnj5J22FqZiuivmrMoSBSLSkdqAeHiy7pH7MLvsbxG6mXs3oPnwKUQFl"
"No photo description available.","483967260409519","photo","https://www.facebook.com/photo.php?fbid=483967260409519&set=a.469245498548362&type=3","No photo description available.","483967297076182","photo","https://www.facebook.com/photo.php?fbid=483967297076182&set=a.469245498548362&type=3","No photo description available.","483967320409513","photo","https://www.facebook.com/photo.php?fbid=483967320409513&set=a.469245498548362&type=3",,,,,,,,,"100063887472685","Kuya Jo Store","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/302052370_469245525215026_1601320177542051333_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx960x960&ctp=s40x40&_nc_cat=104&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=VmqXskJDLLsQ7kNvwGLi0le&_nc_oc=AdoUmodJscUvuurJ_CZ_yO_JRvYCdvPdin_B-Jf9fc34bKZR8EV-E4gN2h7C-sY0mIQ&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=x5X8W4yuVyHhorv-37vxPw&_nc_ss=7e2a8&oh=00_AQDzhlwqlsbC3ZbfMuezkmyS0lPg8Zw1kwhz3L6uSPjTVg&oe=6A5E9FA7","https://www.facebook.com/profile.php?id=100063887472685","35","483967337076178","Happy Birthday Kuya Jo Store! 6 years old na po ako. At anim na taon na narin nakikipag buno kapag may baha at bagyo. 🤣😍

Pero andito pa rin kami.  Lalong lumalakas at tumitibay sa pagsubok ng buhay. 🙏🙏🙏

Salamat sa mga suki, parokyanos, kaibigan at kapit-bahay na patuloy pa rin kaming tinatangkilik. ❤❤❤.",,"26","45",,,"1","72","1","1664167233000","https://www.facebook.com/permalink.php?story_fbid=pfbid02nsitFJNuuPPFWpZx7NxZdLkNmNP7fEzDg8fFkaPuuKf1MvNZg7yBDeVThBZq5ET9l&id=100063887472685"
,,,,,,,,,,,,,,,,,,,,"100055533397121","Ferdinand Bong Deyto Laureta","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/734705971_1523562499504849_8025891182486940535_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx960x960&ctp=s40x40&_nc_cat=100&ccb=1-7&_nc_sid=1d2534&_nc_ohc=568I5xXzrpEQ7kNvwFdTxVG&_nc_oc=AdojDu4hvVI8GKE84TViDkjp2MFOHlL90VECdDQeKiYNYsg-KMar2sY0FkDJgq2qyiw&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=x5X8W4yuVyHhorv-37vxPw&_nc_ss=7e2a8&oh=00_AQAQxCMJBjsen-dsbjtRDoWNP8TqzMYdkmY1XH59bBcIEg&oe=6A5E84B3","https://www.facebook.com/bong.laureta.566","13","575113864349722","Sa mga inabot na ng baha , pwede pa po kayong mag park sa gilid ng bahay ko basta wag lang pong harangan ang driveway. Ingat Po kayo.",,"68","29",,"14",,"111","0","1664121671000","https://www.facebook.com/bong.laureta.566/posts/pfbid02JZkRDRaVhxeRgCXard7B5RM22R3duqskDYHZNR3SDESYhshV8UtHJxabxjtkRevLl"
"No photo description available.","130251823097229","photo","https://www.facebook.com/photo/?fbid=130251823097229&set=a.124211143701297",,,,,,,,,,,,,,,,,"100083372347516","EZQ Preloved and Brandnew Kids Clothing","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/289338818_104456928980065_7618389872299974805_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx960x960&ctp=s40x40&_nc_cat=108&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=Gp0_GA2ym5QQ7kNvwH_2gWF&_nc_oc=AdoxAsAVbyJpRreaM_AEOYdbovnfwD5-PuTcZubsShh5tYyaVL480gq4rHc7BCS222g&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=aq-wN1BfyPcH2las7HHsjw&_nc_ss=7e2a8&oh=00_AQAChFYOSQbCPfqk5O1NWP-_WPbItr0kcDlEpZy2sf4btA&oe=6A5E8399","https://www.facebook.com/profile.php?id=100083372347516","2","130251839763894","Ganyan un baha kagabi😔",,,,"7",,,"7","0","1664175678000","https://www.facebook.com/permalink.php?story_fbid=pfbid0YvNKBnaR2hH8dsJpsi9LEGw4GDNHPy5eXprB889thTJW5xjn5B2JX5GdDqjmVro3l&id=100083372347516"
"No photo description available.","202538722198906","photo","https://www.facebook.com/photo/?fbid=202538722198906&set=a.106177768501669",,,,,,,,,,,,,,,,,"100073283379341","Jadder Perol","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/554988371_829614916157947_6686294882566344015_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx960x958&ctp=s40x40&_nc_cat=106&ccb=1-7&_nc_sid=e99d92&_nc_ohc=36F0Z308cw4Q7kNvwGhO6NX&_nc_oc=Ado3Ra6LnA9MipgL18gOly4ZokTg9xxnXcifWTx8hN16ZzSNXI4cJjqv3q2WPP2ng9I&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=aq-wN1BfyPcH2las7HHsjw&_nc_ss=7e2a8&oh=00_AQAzivVz8stYbywD5g7LF67nSwWZUiPHR2wMN8sPLf_WBg&oe=6A5EAF3A","https://www.facebook.com/jadder.perol.2025","9","202538748865570","evacuate na 
 baha na",,"9",,"8","2",,"19","0","1664123236000","https://www.facebook.com/jadder.perol.2025/posts/pfbid0hQuUCant8xXKWvDaRZQyETw3RPVTHsthyphAQ5RzsefhZcYuLTtui6Qbq5mvR4XMl"
"No photo description available.","5928672773862866","photo","https://www.facebook.com/photo.php?fbid=5928672773862866&set=a.558373840892813&type=3","No photo description available.","5928672850529525","photo","https://www.facebook.com/photo.php?fbid=5928672850529525&set=a.558373840892813&type=3","No photo description available.","5928672973862846","photo","https://www.facebook.com/photo.php?fbid=5928672973862846&set=a.558373840892813&type=3","No photo description available.","5928673087196168","photo","https://www.facebook.com/photo.php?fbid=5928673087196168&set=a.558373840892813&type=3","No photo description available.","5928673173862826","photo","https://www.facebook.com/photo.php?fbid=5928673173862826&set=a.558373840892813&type=3","100001606064872","Joselyn Atienza Paulino","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/706946312_27484400137863485_6041577893525227596_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx1536x1546&ctp=s40x40&_nc_cat=108&ccb=1-7&_nc_sid=1d2534&_nc_ohc=WrP_H5ABTxcQ7kNvwGwooWo&_nc_oc=Ado8XGozrIaKkyFZPo-pylHa4Le5CWE5QsMoCentu0wl3b2UzhBOPdzMICUHdnW5Q18&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=aq-wN1BfyPcH2las7HHsjw&_nc_ss=7e2a8&oh=00_AQAMUxKGIVgRqVrdcp9WuDQYDydMkFbZyiG4epSgao4Dfg&oe=6A5E8697","https://www.facebook.com/joselyn.paulino.3","10","5928673483862795","baha😞haist ...",,"8","3","8","4",,"23","0","1664130911000","https://www.facebook.com/joselyn.paulino.3/posts/pfbid02reUHSUkbGZu5Mks4N92oPeXqpABSiM6jjyenjxkp4jnPZ92BJaxdMXsQqyZdWwKkl"
,"461872175986035","video","https://www.facebook.com/wengweng.bautista.2024/videos/461872175986035/",,"626702678863701","video","https://www.facebook.com/wengweng.bautista.2024/videos/626702678863701/",,,,,,,,,,,,,"100084198944061","Wengweng Bautista","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/602897864_840306878785936_5029728583227284881_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx1536x1546&ctp=s40x40&_nc_cat=108&ccb=1-7&_nc_sid=1d2534&_nc_ohc=Ewrn3FwY5qcQ7kNvwENoP9t&_nc_oc=AdpUI_K--URVZvqzAJK_If_HDWhnP0favx5svYgguGHhV7ouV_cQ23bqToYXx1qv2SM&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=aq-wN1BfyPcH2las7HHsjw&_nc_ss=7e2a8&oh=00_AQCtjhp4rJAlBoGtFP7OAYgnkwOqMdT5hxgdlggCdtm81w&oe=6A5E848F","https://www.facebook.com/wengweng.bautista.2024","1","125850266898271","Marikina river baha na",,,,,,,"0","1","1664125510000","https://www.facebook.com/wengweng.bautista.2024/posts/pfbid02kuvgoMarP9WgiQ2TmthA1yUrUtRzoD2kN2aMPqXSwBEMQxnHHuL7n6EamZLxwM1ol"
