"attachments/0/accessibilityCaption","attachments/0/id","attachments/0/type","attachments/0/url","attachments/1/accessibilityCaption","attachments/1/id","attachments/1/type","attachments/1/url","attachments/2/accessibilityCaption","attachments/2/id","attachments/2/type","attachments/2/url","attachments/3/accessibilityCaption","attachments/3/id","attachments/3/type","attachments/3/url","attachments/4/accessibilityCaption","attachments/4/id","attachments/4/type","attachments/4/url","author/id","author/name","author/profilePicture","author/profileUrl","commentsCount","postId","postText","reactions/anger","reactions/haha","reactions/like","reactions/love","reactions/sorry","reactions/support","reactions/wow","reactionsCount","sharesCount","timestamp","url"
"May be an image of 2 people and body of water","10160566145790168","photo","https://www.facebook.com/photo.php?fbid=10160566145790168&set=a.650104283831498&type=3","May be an image of 5 people, people standing and body of water","10160566145820168","photo","https://www.facebook.com/photo.php?fbid=10160566145820168&set=a.650104283831498&type=3","May be an image of 6 people and body of water","10160566145785168","photo","https://www.facebook.com/photo.php?fbid=10160566145785168&set=a.650104283831498&type=3","May be an image of 5 people and body of water","10160566145800168","photo","https://www.facebook.com/photo.php?fbid=10160566145800168&set=a.650104283831498&type=3","May be an image of 4 people, body of water and tree","10160566145860168","photo","https://www.facebook.com/photo.php?fbid=10160566145860168&set=a.650104283831498&type=3","100064957951102","ABS-CBN News","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/612193561_1385784586930127_8766501501849307524_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx513x511&ctp=s40x40&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=BDsIev3SqvYQ7kNvwEPs1vB&_nc_oc=AdpBgTfMtYU_zVQyP-rGgEfoCCIKYIJgOSKSlWPp_VDFngA6j9ZTiTkKzm25-16LZBQ&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=WI-ppDnE7fW2vGuqANyEqQ&_nc_ss=7e2a8&oh=00_AQBroHP32PpMM6KaMY3kaKDLUiVkHZ6TZfDaYTE9i_0UVA&oe=6A5E851C","https://www.facebook.com/abscbnNEWS","378","10160566147610168","LOOK: Waist to chest-deep flood hits residential homes in Barangay Poblacion, San Miguel, Bulacan on September 26, 2022 because of typhoon #KardingPH. | Mark Demayo, ABS-CBN News

Related story: https://news.abs-cbn.com/news/09/26/22/74000-people-across-luzon-flee-homes-due-to-karding","5","4","2725","69","6851","316","30","10000","1037","1664164647000","https://www.facebook.com/abscbnNEWS/posts/pfbid0iKSDL4pUgbx7D33nH1AMiy12MBw8WRccQUvmULEu33MemwMrLLDHp1uvQNjKsQA4l"
,,,,,,,,,,,,,,,,,,,,"100069028928005","INQUIRER.net","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/278901640_295125766131719_6117651967592833577_n.png?stp=cp0_dst-png&cstp=mx320x320&ctp=s40x40&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=ema3SF95LIgQ7kNvwGsz-bd&_nc_oc=AdooOAvJApVYVSaZJmxjYKWEt8ellFK-Vop1X8m-d0XHtBJALOq0osgoSUHWmRP0EvY&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=WI-ppDnE7fW2vGuqANyEqQ&_nc_ss=7e2a8&oh=00_AQCN_id9Q3yLuvLzrJOoZ0-3TdJiwVAn2QHhp7pGAJMoMg&oe=6A5E8D41","https://www.facebook.com/inquirerdotnet","401","434806305496997","Authorities confirmed on Monday, Sept. 26, that the five local rescuers, who went missing, had been found dead after they drowned while responding to flood-hit villages in San Miguel town. | via Carmela Reyes-Estrope, Philippine Daily Inquirer","3","5","251","11","5762","96","9","6137","154","1664157638000","https://www.facebook.com/inquirerdotnet/posts/pfbid02Jo5Bv9ezy7zyVLuK59FQZ35DoPvaVftbAeCSGDtHegRrYG3UGoinBxm9J5GNhKaJl"
"No photo description available.","434555372188757","photo","https://www.facebook.com/photo.php?fbid=434555372188757&set=a.295125726131723&type=3","No photo description available.","434555025522125","photo","https://www.facebook.com/photo.php?fbid=434555025522125&set=a.295125726131723&type=3","No photo description available.","434555485522079","photo","https://www.facebook.com/photo.php?fbid=434555485522079&set=a.295125726131723&type=3",,,,,,,,,"100069028928005","INQUIRER.net","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/278901640_295125766131719_6117651967592833577_n.png?stp=cp0_dst-png&cstp=mx320x320&ctp=s40x40&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=ema3SF95LIgQ7kNvwGsz-bd&_nc_oc=AdooOAvJApVYVSaZJmxjYKWEt8ellFK-Vop1X8m-d0XHtBJALOq0osgoSUHWmRP0EvY&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=WI-ppDnE7fW2vGuqANyEqQ&_nc_ss=7e2a8&oh=00_AQCN_id9Q3yLuvLzrJOoZ0-3TdJiwVAn2QHhp7pGAJMoMg&oe=6A5E8D41","https://www.facebook.com/inquirerdotnet","133","434559012188393","LOOK: Nueva Ecija 1 Electric Cooperative has yet to restore power to areas affected by Typhoon #KardingPH due to the extent of its damage. Currently, NEECO 1's own compound is inundated, and infrastructures have been affected.

NEECO 1 says that it will start power restoration once floodwaters have receded and the weather clears up. | 📸: NEECO 1/FB

• Follow live updates for #KardingPH: inq.news/KardingPH",,"4","1167","17","2927","80","14","4209","371","1664129746000","https://www.facebook.com/inquirerdotnet/posts/pfbid0KRSXrrt7Ykgp241TveVNB83zdbegsViQTnvqDZ9e1ey3AsQsrCusv6vwdHypMvwyl"
,,,,,,,,,,,,,,,,,,,,"100064957951102","ABS-CBN News","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/612193561_1385784586930127_8766501501849307524_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx513x511&ctp=s40x40&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=BDsIev3SqvYQ7kNvwEPs1vB&_nc_oc=AdpBgTfMtYU_zVQyP-rGgEfoCCIKYIJgOSKSlWPp_VDFngA6j9ZTiTkKzm25-16LZBQ&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=WI-ppDnE7fW2vGuqANyEqQ&_nc_ss=7e2a8&oh=00_AQBroHP32PpMM6KaMY3kaKDLUiVkHZ6TZfDaYTE9i_0UVA&oe=6A5E851C","https://www.facebook.com/abscbnNEWS","1","10160565052790168","Hundreds of families living in flood-prone areas were evacuated by local rescue teams in Quezon City on Sunday afternoon in preparation for the landfall of typhoon #KardingPH.",,,"74","1","36","13",,"124","5","1664117106000","https://www.facebook.com/abscbnNEWS/posts/pfbid0999rK4PYov1Trjp6xJmC6p7GH2ZE97Co1wreGTyny2DUtbhgPfFBt5b4s67o1bopl"
,"473860011423905","video",,,,,,,,,,,,,,,,,,"100064616655120","Philippine Star","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/341858556_918415572727450_374717831366242673_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx1000x1000&ctp=s40x40&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=g5LUxtqmcMcQ7kNvwGSYvuE&_nc_oc=AdruuCNsj6167uRKCmcN2REzKfdMjsgM0CsIqb5EeVcZmoW9Hb10e1I6gVptloVmKkY&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=WI-ppDnE7fW2vGuqANyEqQ&_nc_ss=7e2a8&oh=00_AQA1l2UCH-TQ8pCD8cFKdzuVr9Tapz6o6DHc4DxHog9UEg&oe=6A5E9800","https://www.facebook.com/PhilippineSTAR","5","2865840866902909","A resident of Barangay San Vicente in San Miguel, Bulacan wades through waist-deep flood on Monday.

Tropical Cyclone Wind Signal No. 3 has been lifted as Typhoon #KardingPH continued to move away from the Luzon landmass, PAGASA said Monday morning. (Video by Jesse Bustos/The Philippine STAR)",,,"39","2","52","2","1","96","24","1664160225000","https://www.facebook.com/PhilippineSTAR/videos/473860011423905/"
"No photo description available.","5269906449785888","photo","https://www.facebook.com/photo/?fbid=5269906449785888&set=a.365711365600523",,,,,,,,,,,,,,,,,"100064849864375","DOST-PAGASA","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/487303686_1099355335569452_7045424019269009221_n.png?stp=cp0_dst-png&cstp=mx1001x1001&ctp=s40x40&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=j7B0Y7UwOxsQ7kNvwFO4RYe&_nc_oc=AdrBP_65ctUDmKqhWqW3qQfbvs1oDPbubusOu-jGp6iiWS6KcmNypLDjfhldlHXc1wo&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=l7W66YhZAZadnTPBVNTGiw&_nc_ss=7e2a8&oh=00_AQD_KP1VKuFvRLmzbUBq8xJP5QBeMGhAfuvzcMV7qUQL7Q&oe=6A5EAE5F","https://www.facebook.com/PAGASA.DOST.GOV.PH","5","5269906579785875","FLOOD BULLETIN NO.1
CAGAYAN RIVER BASIN

Issued at: 5:00 PM 25 September, 2022
Valid until: 5:00 AM Tomorrow",,,"271","3","56","10",,"340","28","1664096596000","https://www.facebook.com/PAGASA.DOST.GOV.PH/posts/pfbid0puZZCSGztVBgvdMmb3ecXfwNwGfnu2zb4HrHpcp4K2P1LSVF27LdNK3dUL7Mpvntl"
,"839741187396962","video",,,,,,,,,,,,,,,,,,"100069028928005","INQUIRER.net","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/278901640_295125766131719_6117651967592833577_n.png?stp=cp0_dst-png&cstp=mx320x320&ctp=s40x40&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=ema3SF95LIgQ7kNvwGsz-bd&_nc_oc=AdooOAvJApVYVSaZJmxjYKWEt8ellFK-Vop1X8m-d0XHtBJALOq0osgoSUHWmRP0EvY&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=l7W66YhZAZadnTPBVNTGiw&_nc_ss=7e2a8&oh=00_AQB_M_N8x0_0c_348otxFkDO0w9bXXtzUoCii8bQjfheKg&oe=6A5E8D41","https://www.facebook.com/inquirerdotnet","37","434710535506574","WATCH: Several areas in San Miguel, Bulacan on Monday are submerged in flood due to heavy rains brought by Typhoon #KardingPH.",,"1","263","2","648","21","6","941","382","1664146390000","https://www.facebook.com/inquirerdotnet/videos/839741187396962/"
"May be an image of 5 people, child and body of water","434837672160527","photo","https://www.facebook.com/photo.php?fbid=434837672160527&set=a.295125726131723&type=3","May be an image of 3 people, child, body of water and tree","434837698827191","photo","https://www.facebook.com/photo.php?fbid=434837698827191&set=a.295125726131723&type=3","May be an image of outdoors","434837758827185","photo","https://www.facebook.com/photo.php?fbid=434837758827185&set=a.295125726131723&type=3",,,,,,,,,"100069028928005","INQUIRER.net","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/278901640_295125766131719_6117651967592833577_n.png?stp=cp0_dst-png&cstp=mx320x320&ctp=s40x40&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=ema3SF95LIgQ7kNvwGsz-bd&_nc_oc=AdooOAvJApVYVSaZJmxjYKWEt8ellFK-Vop1X8m-d0XHtBJALOq0osgoSUHWmRP0EvY&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=l7W66YhZAZadnTPBVNTGiw&_nc_ss=7e2a8&oh=00_AQB_M_N8x0_0c_348otxFkDO0w9bXXtzUoCii8bQjfheKg&oe=6A5E8D41","https://www.facebook.com/inquirerdotnet","12","434838835493744","LOOK: Residents wade through waist-deep flood waters after Typhoon #KardingPH, in San Miguel, Bulacan province on Monday, Sept. 26.

Five rescue workers were killed in Bulacan province, Governor Daniel Fernando told DZMM radio station. | 📷: REUTERS/Eloisa Lopez

READ: https://bit.ly/3BF1JTg","1",,"307","5","753","30","3","1099","144","1664160678000","https://www.facebook.com/inquirerdotnet/posts/pfbid0Myrff3vjMtNzsjti5ZMdf8ct4jyzaANyBuNWdo9noJBC2FTL23QxdfChhBacmNAWl"
,"766701737935287","video",,,,,,,,,,,,,,,,,,"100064957951102","ABS-CBN News","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/612193561_1385784586930127_8766501501849307524_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx513x511&ctp=s40x40&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=BDsIev3SqvYQ7kNvwEPs1vB&_nc_oc=AdpBgTfMtYU_zVQyP-rGgEfoCCIKYIJgOSKSlWPp_VDFngA6j9ZTiTkKzm25-16LZBQ&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=l7W66YhZAZadnTPBVNTGiw&_nc_ss=7e2a8&oh=00_AQAJiBpLb7irQO2Yxb1wgOHBM7yRACW9zub1pq-oeTJ6Lg&oe=6A5E851C","https://www.facebook.com/abscbnNEWS","13","10160565567260168","LOOK: Deep flood at a street going to Hagonoy Municipal Hall as strong winds and heavy rains brought by #KardingPH continue to batter some parts of Bulacan. | via Nico Bagsic, ABS-CBN News #WeatherPatrol

Visit news.abs-cbn.com/weather for more updates on weather.",,,"233","4","100","12","1","350","17","1664139442000","https://www.facebook.com/abscbnNEWS/videos/766701737935287/"
,"774611686985732","video",,,,,,,,,,,,,,,,,,"100064746458701","MANILA BULLETIN","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/486278506_1099976158837256_5940999471121737534_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx960x960&ctp=s40x40&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=SPUObSUmnT4Q7kNvwEBxrcq&_nc_oc=Ado2W_QWXHBKU_1LdqzhQKhvbXyBLeVZ84hIi5Pmxj1yboMkb8ljc0AdWHRKDjs4e_c&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=l7W66YhZAZadnTPBVNTGiw&_nc_ss=7e2a8&oh=00_AQBmbIKwN3QJq7Th3l5xWP82JGF2kJBz8CG83lus6DxV-Q&oe=6A5E9E69","https://www.facebook.com/ManilaBulletin","5","10161396810002985","WATCH: Aerial shot of Brgy. Salangan, San Miguel, Bulacan are still submerged in flood after the onslaught of Super Typhoon Karding, on September 26, 2022. (MB Video of Mark Balmores)",,,"39","1","35","9",,"84","32","1664170057000","https://www.facebook.com/ManilaBulletin/videos/774611686985732/"
