"attachments/0/accessibilityCaption","attachments/0/id","attachments/0/type","attachments/0/url","attachments/1/accessibilityCaption","attachments/1/id","attachments/1/type","attachments/1/url","attachments/2/accessibilityCaption","attachments/2/id","attachments/2/type","attachments/2/url","attachments/3/accessibilityCaption","attachments/3/id","attachments/3/type","attachments/3/url","attachments/4/accessibilityCaption","attachments/4/id","attachments/4/type","attachments/4/url","author/id","author/name","author/profilePicture","author/profileUrl","commentsCount","postId","postText","reactions/like","reactionsCount","sharesCount","timestamp","url"
"No photo description available.","768222973216367","photo","https://www.facebook.com/photo.php?fbid=768222973216367&set=a.162321872731550&type=3","No photo description available.","768222996549698","photo","https://www.facebook.com/photo.php?fbid=768222996549698&set=a.162321872731550&type=3","No photo description available.","768222993216365","photo","https://www.facebook.com/photo.php?fbid=768222993216365&set=a.162321872731550&type=3","No photo description available.","768222989883032","photo","https://www.facebook.com/photo.php?fbid=768222989883032&set=a.162321872731550&type=3","No photo description available.","768222983216366","photo","https://www.facebook.com/photo.php?fbid=768222983216366&set=a.162321872731550&type=3","100068612142206","MMDA","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/242803846_162321929398211_6744508622629887688_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx604x604&ctp=s40x40&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=-GxMrIa-rlcQ7kNvwEsiFXw&_nc_oc=Adpg2Si80FIoK5JER_fpWztdCog_ZhsYhlA9EAlUjiggEEZMhDy2jBQscPG1DPhwC80&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=fHD8HAsitHuaEvi4n9970Q&_nc_ss=7c2a8&oh=00_AQB2xI9XmV2N0zaQVCwKbcbOi9meZ-4MWhzJXtqtVIvx5A&oe=6A602ED2","https://www.facebook.com/MMDAPH","58","768223246549673","[Admin 03] [Admin 03] FLOOD ALERT: Espana cor. P. Noval St. as of 3:38pm. Photo courtesy of Mr. Rolando Claveria","732","732","761","1411113060000","https://www.facebook.com/MMDAPH/posts/pfbid0d7aa8N1cM7mbtvQZnS9aY7x1uVzmBSgtGPY1aNKEWWgrjMw1PHbUDpbF6g8n4AvEl"
,,,,,,,,,,,,,,,,,,,,"100068612142206","MMDA","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/242803846_162321929398211_6744508622629887688_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx604x604&ctp=s40x40&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=-GxMrIa-rlcQ7kNvwEsiFXw&_nc_oc=Adpg2Si80FIoK5JER_fpWztdCog_ZhsYhlA9EAlUjiggEEZMhDy2jBQscPG1DPhwC80&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=fHD8HAsitHuaEvi4n9970Q&_nc_ss=7c2a8&oh=00_AQB2xI9XmV2N0zaQVCwKbcbOi9meZ-4MWhzJXtqtVIvx5A&oe=6A602ED2","https://www.facebook.com/MMDAPH","18","768172323221432","[Admin 03] FLOOD UPDATES as of 11:54 AM, (2/2)

Quezon Ave.

6:15 AM, Commonwealth T. Sora EB Subsided 6:29 AM. (Passable) 
7:17 AM, Commonwealth Balara (NPATV) Subsided 9:44 AM, (Passable) 
6:19 AM, Maria Clara (NPATV)
11:43 AM, Biak na Bato (NPATV) 
6:42 AM, Quezon Ave Capitol EB Gutter Deep
6:57 AM, Gilmore EB (NPATV) Subsided 10:13 AM, (Passable) 
7:19 AM, Broadway 9th St. (NPATV) Subsided 10:09 AM, (Passable) 
7:24 AM, Aurora SM C. Point (NPATV)
7:36 AM, Kamias/Kalayaan (NPATV)
7:46 AM, Along E. Road (NPATV)
7:51 AM, Chino St. J.P Rizal (NPATV)
8:14 AM, Luna Anonas (NPATV)
8:14 AM, V. Luna Anonas (NPATV)
7: 46 AM, Whiteplains Katipunan Gutter Deep
7:35 AM, Along Project 4 Brgy. Tagumpay (NPATV)

North

6:34 AM, Sangandaan Gutter Deep
8:05 AM, Monumento Circle Gutter Deep
7:25 AM, Calle uno (NPALV)
8:30 AM, Maypajo Caloocan (NPATV)
9:53 AM, C3 10th Ave Dagat Dagatan (NPATV)","71","71","93","1411099420000","https://www.facebook.com/MMDAPH/posts/pfbid0mSBLjxBgp4x6J7DKXN6Tt8j47aptn5Gs7Yo2Rw8yFh61jq3g8nK5Xx9SMUHunLyUl"
"No photo description available.","768123746559623","photo","https://www.facebook.com/photo.php?fbid=768123746559623&set=a.162321872731550&type=3","No photo description available.","768123739892957","photo","https://www.facebook.com/photo.php?fbid=768123739892957&set=a.162321872731550&type=3","No photo description available.","768123743226290","photo","https://www.facebook.com/photo.php?fbid=768123743226290&set=a.162321872731550&type=3",,,,,,,,,"100068612142206","MMDA","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/242803846_162321929398211_6744508622629887688_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx604x604&ctp=s40x40&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=-GxMrIa-rlcQ7kNvwEsiFXw&_nc_oc=Adpg2Si80FIoK5JER_fpWztdCog_ZhsYhlA9EAlUjiggEEZMhDy2jBQscPG1DPhwC80&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=fHD8HAsitHuaEvi4n9970Q&_nc_ss=7c2a8&oh=00_AQB2xI9XmV2N0zaQVCwKbcbOi9meZ-4MWhzJXtqtVIvx5A&oe=6A602ED2","https://www.facebook.com/MMDAPH","220","768123919892939","[Admin 09] Flooding along Ortigas Extension. (photo courtesy of Mr. Carlo Briones)","1521","1521","4731","1411091577000","https://www.facebook.com/MMDAPH/posts/pfbid04euXxa8pBdGSiCckeHw6cpVdwGwZVw5u56bSikCvf96cvSUxP9Aqd8UQ9SfnRMK2l"
"No photo description available.","10153208182603135","photo","https://www.facebook.com/photo/?fbid=10153208182603135&set=a.557577123071665",,,,,,,,,,,,,,,,,"100064581467987","Glass Garden","https://scontent-iad3-2.xx.fbcdn.net/v/t39.30808-1/317737332_10162364839958135_1237259279765066022_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx740x740&ctp=s40x40&_nc_cat=105&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=nsWfpnvDzoAQ7kNvwHY3wI7&_nc_oc=AdoaaQTcFjFrGi3p8IF3PjHXC5qXN58pJ4XKkmT2RV9mfHZs14_bW9y0Fxp6Bp8N33Y&_nc_zt=24&_nc_ht=scontent-iad3-2.xx&_nc_gid=fHD8HAsitHuaEvi4n9970Q&_nc_ss=7c2a8&oh=00_AQBBdqWIqw4jx6Lb7nEvnPUYHTqlfjkZCa4X6sdbpuY2cg&oe=6A600B3F","https://www.facebook.com/GlassGardenEvents","6","10153208182603135","As of 9:25 today, The Glass Garden is flood free. We pray everyone is safe and dry.","65","65","5","1411090055000","https://www.facebook.com/photo.php?fbid=10153208182603135&set=a.557577123071665&type=3"
"No photo description available.","713405645416903","photo","https://www.facebook.com/photo/?fbid=713405645416903&set=a.492854702845047",,,,,,,,,,,,,,,,,"100063615651629","Ms. Ruby's Home","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/299607798_492854719511712_5051750946524480438_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx266x266&ctp=s40x40&_nc_cat=110&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=H9OqqtN5kI8Q7kNvwESIeGU&_nc_oc=AdqHh3X0IW4OsfsUlyCT4FM37Dl4lwBL4Xk9-vfAfB-seS3i0_r99tcF0ve1Nzd2i7E&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=fHD8HAsitHuaEvi4n9970Q&_nc_ss=7c2a8&oh=00_AQBmpyZ4GmdyCalKRHma9rKnMMIT3OPHCNwFkffqbfqLKQ&oe=6A603A06","https://www.facebook.com/rubydoobeedoowah","13","713405645416903","Surveying the flood waters in our driveway early this morning. Thank goodness the water's receded. Hope it does too in other places. Praying for everyone's safety. AND PLEASE TELL FRIENDS, FAMILY, NEIGHBORS TO KEEP THE PETS SAFE -- MOVE THEM AWAY FROM THE FLOOD AND RAIN, ETC.","16","16","0","1411091293000","https://www.facebook.com/photo.php?fbid=713405645416903&set=a.492854702845047&type=3"
"No photo description available.","768154813223183","photo","https://www.facebook.com/photo.php?fbid=768154813223183&set=a.162321872731550&type=3","No photo description available.","768154816556516","photo","https://www.facebook.com/photo.php?fbid=768154816556516&set=a.162321872731550&type=3",,,,,,,,,,,,,"100068612142206","MMDA","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/242803846_162321929398211_6744508622629887688_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx604x604&ctp=s40x40&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=-GxMrIa-rlcQ7kNvwEsiFXw&_nc_oc=Adpg2Si80FIoK5JER_fpWztdCog_ZhsYhlA9EAlUjiggEEZMhDy2jBQscPG1DPhwC80&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=luMYM689UNrC9XwJGOF8_Q&_nc_ss=7c2a8&oh=00_AQB-JvmIvf58Ff7GhZvA7RcmCwqI6WzatT1s05yjhatKOA&oe=6A602ED2","https://www.facebook.com/MMDAPH","33","768155026556495","[Admin 09] Flooding along Regalado Avenue - Commonwealth Ext.
Fairview. (Credits to jonathan reyes)","391","391","451","1411095547000","https://www.facebook.com/MMDAPH/posts/pfbid0w8wQLJLLhXcCEARhqoNi2a2UPf4z5nWTSQQmCTWznhC8MEZbqGCHeY2cnqNi7ReSl"
"No photo description available.","768162396555758","photo","https://www.facebook.com/photo.php?fbid=768162396555758&set=a.162321872731550&type=3","No photo description available.","768162393222425","photo","https://www.facebook.com/photo.php?fbid=768162393222425&set=a.162321872731550&type=3","No photo description available.","768162399889091","photo","https://www.facebook.com/photo.php?fbid=768162399889091&set=a.162321872731550&type=3",,,,,,,,,"100068612142206","MMDA","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/242803846_162321929398211_6744508622629887688_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx604x604&ctp=s40x40&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=-GxMrIa-rlcQ7kNvwEsiFXw&_nc_oc=Adpg2Si80FIoK5JER_fpWztdCog_ZhsYhlA9EAlUjiggEEZMhDy2jBQscPG1DPhwC80&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=luMYM689UNrC9XwJGOF8_Q&_nc_ss=7c2a8&oh=00_AQB-JvmIvf58Ff7GhZvA7RcmCwqI6WzatT1s05yjhatKOA&oe=6A602ED2","https://www.facebook.com/MMDAPH","23","768162626555735","[Admin 09] Flooding along Kamias Rd. Anonas Rd. Ext. and V. Luna Ext. (Credits to Gunrev Razonov)","272","272","240","1411097104000","https://www.facebook.com/MMDAPH/posts/pfbid02KUArPwVRAWStTjiR6iK7uhu9JyksHQ8upZSzm1Ege87xp8tnWTMQFXHZfhjRi8wbl"
,,,,,,,,,,,,,,,,,,,,"100068612142206","MMDA","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/242803846_162321929398211_6744508622629887688_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx604x604&ctp=s40x40&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=-GxMrIa-rlcQ7kNvwEsiFXw&_nc_oc=Adpg2Si80FIoK5JER_fpWztdCog_ZhsYhlA9EAlUjiggEEZMhDy2jBQscPG1DPhwC80&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=luMYM689UNrC9XwJGOF8_Q&_nc_ss=7c2a8&oh=00_AQB-JvmIvf58Ff7GhZvA7RcmCwqI6WzatT1s05yjhatKOA&oe=6A602ED2","https://www.facebook.com/MMDAPH","44","768172166554781","[Admin 03] FLOOD UPDATES as of 11:54 AM, (1/2)

EDSA
6:12 AM, Fema Rd. Gutter Deep
6:12 AM, Dario Bridge Gutter Deep
6:27 AM, Balintawak Not Passable all Types of Vehicles
6:05 AM, North Ave Subsided 8:06 AM. (Passable).
6:31 AM, Quezon Ave SB Subsided 7:57 AM. (Passable)
6:57 AM, Quezon Ave NB (Not Passable all Types of Vehicles)

C5 Area

7:48 AM, C5 Tiendesitas NB/SB Gutter Deep Subsided 9:41 AM (Passable)
6:39 AM, C5 Libis Gutter Deep
6:23 AM, C5 Ateneo Gate 2 Gutter Deep Subsided 8:48 AM, (Passable)
10:25 AM, C5 Eagle St. Gutter Deep 
7:46 AM, C5 BCDA SB Gutter Deep

Manila Area
7:12 AM, RMB V. Mapa Gutter Deep
7:12 AM, Along España (Not Passable all Types of Vehicles)
7:30 AM, Nagtahan NB/SB Gutter Deep
RMB Vicente Cruz Gutter Deep
M. Dela Fuente Gutter Deep
7:45 AM, Delpan SB Gutter Deep
7:53 AM, RIO Mariones Gutter Deep
RIO Capulong Gutter Deep
7:53 AM, Quirino Taft EB (Not Passable all Types of Vehicles)
8:06 AM, RMB Pureza (Not Passable all Types of Vehicles)
9:18 AM Lacson Fajardo Gutter Deep

South
6:16 AM, Dr, A Santos Subsided 7:59 AM. (Passable.)
7:15 AM, Andrews Tramo Gutter Deep
7:50 AM, Osmeña Buendia (Not Passable all Types of Vehicles)

East
6:10 AM, Ortigas WB C. Raymundo Gutter Deep
7:12 AM, Marcos Highway EB/WB Before Masinag (Not Passable all Types of Vehicles)
Gil Fernando Dragon St. Gutter Deep
7:48 AM, San Juan area
F. Manalo (Not Passable all Types of Vehicles)
Brgy. Salapan (Not Passable all Types of Vehicles)
Brgy. Batis (Not Passable all Types of Vehicles)
8:00 AM, Ortigas Santolan WB Gutter Deep","150","150","297","1411099362000","https://www.facebook.com/MMDAPH/posts/pfbid02oYbuPvLt5sh6Vkct91QNF6GhU8BpfJdPcdPNE6su8WLejLQBA7cNbYsPW4Z3HPgql"
,,,,,,,,,,,,,,,,,,,,"1583265344","Triish Romans","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/657838692_10238641872497163_1891306813564435352_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx960x960&ctp=s24x24&_nc_cat=110&ccb=1-7&_nc_sid=1d2534&_nc_ohc=7TJdLGYJ5K0Q7kNvwEfdqhX&_nc_oc=AdqzfQ1L0OeniDdTleTdD0F6zYV8-3Xc38j3QPiR66vJaMMPfoFq7RTYDLjOHs6Q7WI&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=luMYM689UNrC9XwJGOF8_Q&_nc_ss=7c2a8&oh=00_AQBQGoJz0xvxq-yFHqCwk7XFl_LnDTSlBhHVMLtsIVXh5Q&oe=6A60262E","https://www.facebook.com/romanstriish","148","375552515934864","PLEASE!! If mag-evacaute kayo, evacuate with your pets!! Family din sila diba? :(( Mukhang preggy pa yung isang doggy. :(( If hope they're okay! 󾌺󾌺

Stay dry and safe!","246","246","0","1411095780000","https://www.facebook.com/groups/dog.ph/permalink/375552515934864/"
,,,,,,,,,,,,,,,,,,,,"100064861410995","Yellow Cab Pizza Co.","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/633976410_1375912084580826_3310721813171174809_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx1080x1080&ctp=s40x40&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=JWizc2d3rPAQ7kNvwEahHQH&_nc_oc=AdoLfaFQVTcarlH4qCMQSFvA8yVYoRxHdbE5j7KqHb05Jt_tlWvsGzmhEvw5jZcJL-g&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=luMYM689UNrC9XwJGOF8_Q&_nc_ss=7c2a8&oh=00_AQA_e-VhbtQIXciZKONeaxYnQ-F5cl8f28jAbN0GusUnVg&oe=6A60337E","https://www.facebook.com/YellowCabPizzaCoOfficial","11","888394177838921","Just a friendly reminder from Yellow Cab, in case you ordered for delivery today, we might experience some delays due to flood. Thank you for your patience! 

We're hoping everyone's safe despite the heavy rains today! #BiteIntoYellow","99","99","3","1411088480000","https://www.facebook.com/YellowCabPizzaCoOfficial/posts/pfbid02TL1kDskiBP6U3Cgzq75tcziiuiJkBHobnyLkASqf25eV9BfAMJhBeKRPsTSVEjLRl"
