"attachments/0/accessibilityCaption","attachments/0/id","attachments/0/type","attachments/0/url","attachments/1/accessibilityCaption","attachments/1/id","attachments/1/type","attachments/1/url","attachments/2/accessibilityCaption","attachments/2/id","attachments/2/type","attachments/2/url","attachments/3/accessibilityCaption","attachments/3/id","attachments/3/type","attachments/3/url","attachments/4/accessibilityCaption","attachments/4/id","attachments/4/type","attachments/4/url","author/id","author/name","author/profilePicture","author/profileUrl","commentsCount","postId","postText","reactions/like","reactions/love","reactionsCount","sharesCount","timestamp","url"
"No photo description available.","1149199771844072","photo","https://www.facebook.com/photo/?fbid=1149199771844072&set=a.226680419493388",,,,,,,,,,,,,,,,,"100064542948515","Marikina City Rescue 161","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/541379745_1210200924474661_5482984993472514193_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx1024x1024&ctp=s40x40&_nc_cat=104&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=JyOFt-nYG3sQ7kNvwFoL6_l&_nc_oc=AdptbiyurnhilHwtOiiIWZiS_joIEU_WIwDCm-Oms-iowIVqp9mL6hNyk0HO6pKjRgY&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=sPOvgmoIjKHssocs-EC1dA&_nc_ss=7c2a8&oh=00_AQC8F-ElkFcX6yKFxD0DKMNUwl4XRZ2I7NNxD_rk5gSkzg&oe=6A601102","https://www.facebook.com/MarikinaRescue161","0","1149205095176873","As of 3:00 AM December 26, 2016

Monitoring for typhoon ""NINA""
TCWS # 2 Metro Manila

Water level : 12.3 meters

Rainfall level:
Mt. Boso - Boso: 1 mm
Mt. Aris: 0 mm
Mt. Campana: 2 mm
Mt. Oro: 0 mm
Nangka: 0 mm

Flood Gates open : NONE","13",,"13","1","1482693309000","https://www.facebook.com/MarikinaRescue161/posts/pfbid02LKyExMeeW1mcqYMumRZrTB7965dyfCPjSigrjWFAJi9bCSTayE7dq6yTkXophLYVl"
"No photo description available.","859065017569371","photo","https://www.facebook.com/photo.php?fbid=859065017569371&set=a.187948680281094&type=3","No photo description available.","859065024236037","photo","https://www.facebook.com/photo.php?fbid=859065024236037&set=a.187948680281094&type=3","No photo description available.","859065020902704","photo","https://www.facebook.com/photo.php?fbid=859065020902704&set=a.187948680281094&type=3","No photo description available.","859065064236033","photo","https://www.facebook.com/photo.php?fbid=859065064236033&set=a.187948680281094&type=3","No photo description available.","859065070902699","photo","https://www.facebook.com/photo.php?fbid=859065070902699&set=a.187948680281094&type=3","100071978890983","Rent to Own Brand New House  Lot","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/300061691_187948700281092_8765515882086426205_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx225x225&ctp=s40x40&_nc_cat=110&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=0UnOYqmVdPwQ7kNvwH-t5GC&_nc_oc=AdqagPrkFCoXtEEtDneZVUVOjSxPFR8DsXaLV3VUXCOMR5YEgFpzKLP758bnQ8L1nwI&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=sPOvgmoIjKHssocs-EC1dA&_nc_ss=7c2a8&oh=00_AQDghEjudCOGYUHRC0f-v3Nj0ao01ftmFQk4r3HB5CG_1A&oe=6A5FEB4A","https://www.facebook.com/Daoresidences","8","859065300902676","√ Sawa kana ba sa taon taong baha
√ Nagsisimula ng Pamilya
√ naghahanap ng bagong bahay para sa inyong pamilya?
√ Dream House?
√ Flexible Payments

Rent to Own Brand New Town House
5-10% Down Payment only. 90-95% Bank Financing.
Flood Free, Near Main Road.
√ NO HIDDEN CHARGES!!!!
√ NO MISCELLANEOUS FEE!!!!
√ No MOVE IN FEE!!!!
√ GUARANTTED FLOOD FREE!!!

For More Info Please Contact: Alex 0916 743 0374","7",,"7","0","1482737384000","https://www.facebook.com/Daoresidences/posts/pfbid0CAKwCcGFbT2EEviVZEpxFfxUD929rXt4txYEbtw26LPYgXwhf6Lz4czRvjSVXhK9l"
"No photo description available.","1558449227649609","photo","https://www.facebook.com/photo.php?fbid=1558449227649609&set=a.423758313099960&type=3","No photo description available.","1558449277649604","photo","https://www.facebook.com/photo.php?fbid=1558449277649604&set=a.423758313099960&type=3",,,,,,,,,,,,,"100063973842506","Flood Control Asia RS","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/292046102_423758326433292_6095856213619851414_n.png?stp=cp0_dst-png&cstp=mx1080x1080&ctp=s40x40&_nc_cat=106&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=SufljAMHZZEQ7kNvwFxjZdC&_nc_oc=AdpX5CVlxfxlno5yDXZHE3Zkl9QMBlNxS-fMnVQ1QiI4GyM0XZJQVO09cklopQEUq4U&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=sPOvgmoIjKHssocs-EC1dA&_nc_ss=7c2a8&oh=00_AQB6sdVCvsclm78CTVAn-Wm4IZt-V2y0KIbk2ArOTSXbeA&oe=6A5FFF0F","https://www.facebook.com/floodcontrol.asia","0","1558449327649599","Latest PAGASA Forecast for Typhoon #NinaPH
As of December 25, 2016 08:00 PM

Flood Control Asia is wishing everyone a flood free and worry free holiday season.

Want to be protected? Visit floodcontrol.asia for more info.","2",,"2","0","1482673024000","https://www.facebook.com/floodcontrol.asia/posts/pfbid02yAmvuknzyrkKkURmEwXSjdf2WGD6p8EzcuREdZLZycCyQLnN4CMvUgzyJ2ypA53Zl"
"No photo description available.","735222136630510","photo","https://www.facebook.com/photo.php?fbid=735222136630510&set=a.211666577859944&type=3","No photo description available.","735222159963841","photo","https://www.facebook.com/photo.php?fbid=735222159963841&set=a.211666577859944&type=3","No photo description available.","735222176630506","photo","https://www.facebook.com/photo.php?fbid=735222176630506&set=a.211666577859944&type=3",,,,,,,,,"100070498081098","HOUSE & LOT 4SALE / Yan Yan Real Estate Information Services","https://scontent-iad3-2.xx.fbcdn.net/v/t39.30808-1/311362169_2313566872129354_5320508150548198053_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx960x960&ctp=s40x40&_nc_cat=103&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=O2MRuWxkkHQQ7kNvwGM_z0A&_nc_oc=Adr7PQ7ppmqy1orIFefelHB7MBTRtm8gZEGwm-vML19QTG-Q_BcvnJWy3iCwjnIthtw&_nc_zt=24&_nc_ht=scontent-iad3-2.xx&_nc_gid=sPOvgmoIjKHssocs-EC1dA&_nc_ss=7c2a8&oh=00_AQA-0zXrCl14D3bsVKa2POFW-KwEp_IbS0-QvKt1OeqOGQ&oe=6A6017BD","https://www.facebook.com/Marianneiballa","4","735223686630355","Flood free !!! 🍂🍃🍂🍃  3,1M php

Looking for town house in PONTE VERDE 
#pre selling 

3 bedroom 
3 toilet & bath 
1car garage 

Text to view & other details 
Smart 0939-01-44286
Globe 0905-36-01420","4",,"4","19","1482690722000","https://www.facebook.com/Marianneiballa/posts/pfbid0fZSexPmkTYEiRdSt6XWT3XyFFrKYWA3tywh5M4fwgFREEwWQJuajuBpDdZT8j9c8l"
"No photo description available.","1730426427274646","photo","https://www.facebook.com/photo/?fbid=1730426427274646&set=a.553725023218294",,,,,,,,,,,,,,,,,"100057424032176","Antipolo City Townhouse Overlooking","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/316941206_610672624190200_4648698270134072435_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx960x956&ctp=s40x40&_nc_cat=104&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=hqpEpBvMg7gQ7kNvwEl4lK0&_nc_oc=AdoTq5dkLXpLN9rOJnDzSVTv12T5m3hMK7ULF7UVthb5u6zGHHu3EcN6jEKIwLTBllc&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=sPOvgmoIjKHssocs-EC1dA&_nc_ss=7c2a8&oh=00_AQDpp7gdEmax7ZO0NCpWdXkpmtH4ToXjFNdeBS4M8sW9_Q&oe=6A60115F","https://www.facebook.com/antipolocitybloomfieldheightstownhouse","2","1730426427274646","💙💙💙Crystal Homes 
""as low as 5K per month DP""

15K per month thru bank
also available thru Pagibig Financing

 3kms away only from SM=10mins away
Flood free area!

DUPLEX-Fully-finished Turnover
💙 3 Bedrooms
💙 2 Toilets & bath
💙 1 car garage
💙 Terrace
💙 Laundry area

Lot Area 60 sqm
Floor Area 61.9 sqm
Price 2,220,000
10% DP 222,000
Reservation Fee 50,000
OPTIONS FOR DP PAYMENT:
Option 2- 24 mos 7,167
Option 1- 18 mos 9,556
Bank 20 yrs 15,485

FREE tripping call or text me: Yane Moral

#floodfreehouseforsaleinsanmateorizalhouse
#singleattachedinsanmateonearmarikinacity
#nearquezoncityhouseforsale
#crystalhomessanmateorizal","1",,"1","0","1482748870000","https://www.facebook.com/photo.php?fbid=1730426427274646&set=a.553725023218294&type=3"
"No photo description available.","1149789951785054","photo","https://www.facebook.com/photo/?fbid=1149789951785054&set=a.226680419493388",,,,,,,,,,,,,,,,,"100064542948515","Marikina City Rescue 161","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/541379745_1210200924474661_5482984993472514193_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx1024x1024&ctp=s40x40&_nc_cat=104&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=JyOFt-nYG3sQ7kNvwFoL6_l&_nc_oc=AdptbiyurnhilHwtOiiIWZiS_joIEU_WIwDCm-Oms-iowIVqp9mL6hNyk0HO6pKjRgY&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=2dwUiyGa0F8kUavWOvUYmg&_nc_ss=7c2a8&oh=00_AQCpcKfX2AzRuxDI-1wAGTR8z0CH97Qg2L2aB93XUAoMsA&oe=6A601102","https://www.facebook.com/MarikinaRescue161","0","1149790305118352","ALISTO MARIKINA!

Kaligtasan niyo ang inuuna

As of 11:00pm 12/26/2016

No Tropical Cyclone Weather Signal

Water Level: 12.7m (Going Down)

Rainfall as of 11:00pm
Mt. Campana: 0mm
Mt. Boso-Boso: 0mm
Mt. Aris: 0mm
Mt. Oro: 0mm
Nangka: 0mm

Flood Gates Open: ALL 8 GATES OPEN

Flooded Areas:
No Flooded Areas

Lahat ay pinapayuhang maging alerto at alisto.

For any EMERGENCY CALL:
161
646 2436 - 38
0928 559 3341 (smart)
0917 584 2168 (globe)","7",,"7","1","1482764781000","https://www.facebook.com/MarikinaRescue161/posts/pfbid0t9jQe6xt9T8DJSqynfzY9owkpWSyQfbV24PMkwi6GedDejedRQzBwzZxJr7865gil"
"No photo description available.","1149275321836517","photo","https://www.facebook.com/photo/?fbid=1149275321836517&set=a.226680419493388",,,,,,,,,,,,,,,,,"100064542948515","Marikina City Rescue 161","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/541379745_1210200924474661_5482984993472514193_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx1024x1024&ctp=s40x40&_nc_cat=104&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=JyOFt-nYG3sQ7kNvwFoL6_l&_nc_oc=AdptbiyurnhilHwtOiiIWZiS_joIEU_WIwDCm-Oms-iowIVqp9mL6hNyk0HO6pKjRgY&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=2dwUiyGa0F8kUavWOvUYmg&_nc_ss=7c2a8&oh=00_AQCpcKfX2AzRuxDI-1wAGTR8z0CH97Qg2L2aB93XUAoMsA&oe=6A601102","https://www.facebook.com/MarikinaRescue161","0","1149275635169819","As of 5:00 AM December 26, 2016

Monitoring for typhoon ""NINA""
TCWS # 2 Metro Manila

Water level : 12.3 meters

Rainfall level:
Mt. Boso - Boso: 1 mm
Mt. Aris: 1 mm
Mt. Campana: 1 mm
Mt. Oro: 1 mm
Nangka: 0 mm

Flood Gates open : NONE",,,"0","0","1482700054000","https://www.facebook.com/MarikinaRescue161/posts/pfbid0cq67Km3eAN2h7vQ4hCsrD1xk54SvL3w7wQ7KmLfFhC15Gh6scwTj3GNLU1sV24T7l"
"No photo description available.","1149674801796569","photo","https://www.facebook.com/photo/?fbid=1149674801796569&set=a.226680419493388",,,,,,,,,,,,,,,,,"100064542948515","Marikina City Rescue 161","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/541379745_1210200924474661_5482984993472514193_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx1024x1024&ctp=s40x40&_nc_cat=104&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=JyOFt-nYG3sQ7kNvwFoL6_l&_nc_oc=AdptbiyurnhilHwtOiiIWZiS_joIEU_WIwDCm-Oms-iowIVqp9mL6hNyk0HO6pKjRgY&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=2dwUiyGa0F8kUavWOvUYmg&_nc_ss=7c2a8&oh=00_AQCpcKfX2AzRuxDI-1wAGTR8z0CH97Qg2L2aB93XUAoMsA&oe=6A601102","https://www.facebook.com/MarikinaRescue161","0","1149677101796339","ALISTO MARIKINA!
Kaligtasan niyo ang inuuna

As of 08:00pm 12/26/2016

No Tropical Cyclone Weather Signal

Water Level: 13.0m (Going Down)

Rainfall as of 08:00pm
Mt. Campana: 0mm
Mt. Boso-Boso: 0mm
Mt. Aris: 0mm
Mt. Oro: 0mm
Nangka: 0mm

Flood Gates Open: ALL 8 GATES OPEN

Flooded Areas:
No Flooded Areas

Lahat ay pinapayuhang maging alerto at alisto.

For any EMERGENCY CALL:
161
646 2436 - 38
0928 559 3341 (smart)
0917 584 2168 (globe)","7",,"7","0","1482753990000","https://www.facebook.com/MarikinaRescue161/posts/pfbid02pv7C5TnowLEH4bvsmRwNYnFSw7QDmiLuTWBCc2EqDNPEdFXS57QipJL5QUfhEwqql"
"No photo description available.","10154432937243075","photo","https://www.facebook.com/photo/?fbid=10154432937243075&set=a.627874062706116",,,,,,,,,,,,,,,,,"100064505841988","Sanggunian ng mga Mag-aaral ng mga Paaralang Loyola ng Ateneo de Manila","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/550227610_1204667711693412_8688323089565189072_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx1080x1080&ctp=s40x40&_nc_cat=104&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=EP2K2rVOu0cQ7kNvwHpa5fL&_nc_oc=AdqcMbQviPOW1XliRXYWaKNVBn4d4qHzGdRBm_5S5BOEqkY5MFJgd3Dw0MtP6udGmYM&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=2dwUiyGa0F8kUavWOvUYmg&_nc_ss=7c2a8&oh=00_AQCg9BT81-NiXQ2q8Wb3bnTgYBvbIXicHdH6522xCEhnFw&oe=6A600260","https://www.facebook.com/admusanggu","0","10154432937243075","Please help us keep track of the weather situation in your area by answering the Constituency Check at bit.ly/ConstituencyCheck1617. Stay safe, everyone. #NinaPH

For those in need of emergency assistance, please comment below the following: Name, year/course, location, and condition (e.g. deep flood, etc.)","5",,"5","23","1482710414000","https://www.facebook.com/photo.php?fbid=10154432937243075&set=a.627874062706116&type=3"
"No photo description available.","1149744378456278","photo","https://www.facebook.com/photo/?fbid=1149744378456278&set=a.226680419493388",,,,,,,,,,,,,,,,,"100064542948515","Marikina City Rescue 161","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/541379745_1210200924474661_5482984993472514193_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx1024x1024&ctp=s40x40&_nc_cat=104&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=JyOFt-nYG3sQ7kNvwFoL6_l&_nc_oc=AdptbiyurnhilHwtOiiIWZiS_joIEU_WIwDCm-Oms-iowIVqp9mL6hNyk0HO6pKjRgY&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=2dwUiyGa0F8kUavWOvUYmg&_nc_ss=7c2a8&oh=00_AQCpcKfX2AzRuxDI-1wAGTR8z0CH97Qg2L2aB93XUAoMsA&oe=6A601102","https://www.facebook.com/MarikinaRescue161","0","1149744461789603","ALISTO MARIKINA!
Kaligtasan niyo ang inuuna
As of 10:00pm 12/26/2016
No Tropical Cyclone Weather Signal
Water Level: 12.8m (Going Down)
Rainfall as of 10:00pm
Mt. Campana: 0mm
Mt. Boso-Boso: 0mm
Mt. Aris: 0mm
Mt. Oro: 0mm
Nangka: 0mm
Flood Gates Open: ALL 8 GATES OPEN
Flooded Areas:
No Flooded Areas
Lahat ay pinapayuhang maging alerto at alisto.
For any EMERGENCY CALL:
161
646 2436 - 38
0928 559 3341 (smart)
0917 584 2168 (globe)","4",,"4","1","1482761219000","https://www.facebook.com/MarikinaRescue161/posts/pfbid028bhcuB3bXULnPPANrDziRqvTeSJoy2rr2fVKdgmTvJy7hvxfmjreQ2qvXWux2p2el"
