"attachments/0/accessibilityCaption","attachments/0/id","attachments/0/type","attachments/0/url","attachments/1/accessibilityCaption","attachments/1/id","attachments/1/type","attachments/1/url","attachments/2/accessibilityCaption","attachments/2/id","attachments/2/type","attachments/2/url","attachments/3/accessibilityCaption","attachments/3/id","attachments/3/type","attachments/3/url","attachments/4/accessibilityCaption","attachments/4/id","attachments/4/type","attachments/4/url","author/id","author/name","author/profilePicture","author/profileUrl","commentsCount","postId","postText","reactions/haha","reactions/like","reactions/love","reactions/sorry","reactions/support","reactions/wow","reactionsCount","sharesCount","timestamp","url"
"No photo description available.","505661668244071","photo","https://www.facebook.com/photo.php?fbid=505661668244071&set=a.442128954597343&type=3","No photo description available.","505661734910731","photo","https://www.facebook.com/photo.php?fbid=505661734910731&set=a.442128954597343&type=3","No photo description available.","505661834910721","photo","https://www.facebook.com/photo.php?fbid=505661834910721&set=a.442128954597343&type=3",,,,,,,,,"100064007256552","NIAS News Weather - Philippines","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/442495333_889199469890287_1586523659688786986_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx954x960&ctp=s40x40&_nc_cat=102&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=oyS0-1Nwk3EQ7kNvwGRRoSB&_nc_oc=AdqlpMgK-uh6FNaAXflt32kgAN2qE1tfY6Fjj2UntJfW9awnnBSDyh_bztQZOGq7bz0&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=bV6ncvv_mqA18_NnKqDIuQ&_nc_ss=7e2a8&oh=00_AQAoTVwGRsL_dn80wXswaSMhTzO_h-ijLphmHDD_GNOFBw&oe=6A5E7DB7","https://www.facebook.com/NIASNewsWeather","8","505661941577377","MGA BAHAY SA ISANG BARANGAY SA LAGUNA NALUBOG NA SA BAHA 🌧️. Dahil sa walang patid na buhos ng ulan dulot ng Severe Tropical Storm #PaengPH ay nalubog na ang mga kabahayan na nasa low lying areas sa Barangay Maitim, Bay, Laguna kanina. RVG, NIAS News Philippines #NewsALERT #FloodPH #maybagyo

Kanias I share ang post na ito para sa pinakasariwang balita at inpormasyon",,"77",,"211","4",,"292","90","1667049368000","https://www.facebook.com/NIASNewsWeather/posts/pfbid02fhxfLyk1SZXnWsnyvTRFCWgZFcitL15kp1pyQ6k6btXrVGKStnK9JWbpewN8i8H9l"
"No photo description available.","505691261574445","photo","https://www.facebook.com/photo.php?fbid=505691261574445&set=a.442128954597343&type=3","No photo description available.","505691301574441","photo","https://www.facebook.com/photo.php?fbid=505691301574441&set=a.442128954597343&type=3",,,,,,,,,,,,,"100064007256552","NIAS News Weather - Philippines","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/442495333_889199469890287_1586523659688786986_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx954x960&ctp=s40x40&_nc_cat=102&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=oyS0-1Nwk3EQ7kNvwGRRoSB&_nc_oc=AdqlpMgK-uh6FNaAXflt32kgAN2qE1tfY6Fjj2UntJfW9awnnBSDyh_bztQZOGq7bz0&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=bV6ncvv_mqA18_NnKqDIuQ&_nc_ss=7e2a8&oh=00_AQAoTVwGRsL_dn80wXswaSMhTzO_h-ijLphmHDD_GNOFBw&oe=6A5E7DB7","https://www.facebook.com/NIASNewsWeather","0","505691321574439","KAILANGAN NG RESCUE ⚠️. Isang mag-anak ang na-trap sa bubungan ng kanilang bahay sa Barangay San Juan 1, Noveleta, Cavite ngayong gabi matapos umabot sa lagpas bahay ang baha sa kanilang lugar dulot ng Severe Tropical Storm #PaengPH. RVG, NIAS News Philippines #NewsALERT #FloodPH #maybagyo [Photos via Ria Dela Cruz]

Kanias I share ang post na ito para sa pinakasariwang balita at inpormasyon",,"14",,"37","1",,"52","21","1667051912000","https://www.facebook.com/NIASNewsWeather/posts/pfbid05ZDatR1m2wAHWm5mijWuNHsrnagcDjnzHn41r6SAVsKqb3Wsqjvc5aJ9c9v16PA1l"
"No photo description available.","505686481574923","photo","https://www.facebook.com/photo/?fbid=505686481574923&set=a.442128954597343",,,,,,,,,,,,,,,,,"100064007256552","NIAS News Weather - Philippines","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/442495333_889199469890287_1586523659688786986_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx954x960&ctp=s40x40&_nc_cat=102&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=oyS0-1Nwk3EQ7kNvwGRRoSB&_nc_oc=AdqlpMgK-uh6FNaAXflt32kgAN2qE1tfY6Fjj2UntJfW9awnnBSDyh_bztQZOGq7bz0&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=bV6ncvv_mqA18_NnKqDIuQ&_nc_ss=7e2a8&oh=00_AQAoTVwGRsL_dn80wXswaSMhTzO_h-ijLphmHDD_GNOFBw&oe=6A5E7DB7","https://www.facebook.com/NIASNewsWeather","0","505686514908253","HOSPITAL SA LAGUNA PINASOK NA RIN NG BAHA 🌧️. Pinasok na rin ng tubig-baha ang loob ng LPH-San Pedro District Hospital sa San Pedro, Laguna ngayong gabi dahil din sa pananalasa ng Severe Tropical Storm #PaengPH. RVG, NIAS News Philippines #NewsALERT #FloodPH #maybagyo [Photo via Christina Arciaga Herrera]

Kanias I share ang post na ito para sa pinakasariwang balita at inpormasyon",,"13",,"36","3","1","53","7","1667051468000","https://www.facebook.com/NIASNewsWeather/posts/pfbid0rHcWnzVoP8ZMEZ8CpJZBFUUdYRBNXtkouJ56fNMcd8by7pmHfXcdhLstvL3jNXWUl"
,,,,,,,,,,,,,,,,,,,,"100076847001621","Neozeke","https://scontent-iad3-2.xx.fbcdn.net/v/t39.30808-1/271624373_101748729070767_1221990042309121054_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx960x960&ctp=s40x40&_nc_cat=103&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=yvOD2g147VIQ7kNvwGfb9NZ&_nc_oc=Adqqc8sBFyJQ6oar9Corm4MtT3FtUlVIE47CcKRPBwRaoawcOLNPSBX-7GnqmUsM_5w&_nc_zt=24&_nc_ht=scontent-iad3-2.xx&_nc_gid=bV6ncvv_mqA18_NnKqDIuQ&_nc_ss=7e2a8&oh=00_AQCzw7n-crT8sOlHki5bgzcQp3V0W3df0xgH93fr3EOgww&oe=6A5EACB3","https://www.facebook.com/iamneozeke","1","441626154782842","🔥🔥🔥",,"51","17",,"2",,"70","1","1666961650000","https://www.facebook.com/permalink.php?story_fbid=pfbid0qETNRVr1VYMGSPGr3ZvhhwSg5jRKkfYr1W5EByUJRJSqm2YxMfy1BLmsQcK5EL72l&id=100068063823731"
"No photo description available.","505668464910058","photo","https://www.facebook.com/photo.php?fbid=505668464910058&set=a.442128954597343&type=3","No photo description available.","505668681576703","photo","https://www.facebook.com/photo.php?fbid=505668681576703&set=a.442128954597343&type=3","No photo description available.","505668761576695","photo","https://www.facebook.com/photo.php?fbid=505668761576695&set=a.442128954597343&type=3","No photo description available.","505668841576687","photo","https://www.facebook.com/photo.php?fbid=505668841576687&set=a.442128954597343&type=3","No photo description available.","505669031576668","photo","https://www.facebook.com/photo.php?fbid=505669031576668&set=a.442128954597343&type=3","100064007256552","NIAS News Weather - Philippines","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/442495333_889199469890287_1586523659688786986_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx954x960&ctp=s40x40&_nc_cat=102&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=oyS0-1Nwk3EQ7kNvwGRRoSB&_nc_oc=AdqlpMgK-uh6FNaAXflt32kgAN2qE1tfY6Fjj2UntJfW9awnnBSDyh_bztQZOGq7bz0&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=bV6ncvv_mqA18_NnKqDIuQ&_nc_ss=7e2a8&oh=00_AQAoTVwGRsL_dn80wXswaSMhTzO_h-ijLphmHDD_GNOFBw&oe=6A5E7DB7","https://www.facebook.com/NIASNewsWeather","3","505669234909981","BAHA SA BATANGAS 🌧️. Binaha rin ang ilang kalsada sa Lipa, Batangas dahil sa walang patid na buhos ng ulan dala ng Severe Tropical Storm #PaengPH, kaninang hapon ay nasa vicinity ng San Juan Batangas ang sentro ng bagyo. RVG, NIAS News Philippines #NewsALERT #FloodPH #maybagyo [Photos via Jevs Villanueva]

Kanias I share ang post na ito para sa pinakasariwang balita at inpormasyon",,"48",,"41","7","1","97","18","1667049956000","https://www.facebook.com/NIASNewsWeather/posts/pfbid0kBfR89QEXwWAEWpXuahT2pzatkXT2Pb2AawSCfHGbRCRQCMLeiouRT6dVQ952FbFl"
"No photo description available.","505578374919067","photo","https://www.facebook.com/photo.php?fbid=505578374919067&set=a.442128954597343&type=3","No photo description available.","505578408252397","photo","https://www.facebook.com/photo.php?fbid=505578408252397&set=a.442128954597343&type=3","No photo description available.","505578508252387","photo","https://www.facebook.com/photo.php?fbid=505578508252387&set=a.442128954597343&type=3","No photo description available.","505582891585282","photo","https://www.facebook.com/photo.php?fbid=505582891585282&set=a.442128954597343&type=3",,,,,"100064007256552","NIAS News Weather - Philippines","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/442495333_889199469890287_1586523659688786986_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx954x960&ctp=s40x40&_nc_cat=102&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=oyS0-1Nwk3EQ7kNvwGRRoSB&_nc_oc=AdqlpMgK-uh6FNaAXflt32kgAN2qE1tfY6Fjj2UntJfW9awnnBSDyh_bztQZOGq7bz0&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=bV6ncvv_mqA18_NnKqDIuQ&_nc_ss=7e2a8&oh=00_AQAoTVwGRsL_dn80wXswaSMhTzO_h-ijLphmHDD_GNOFBw&oe=6A5E7DB7","https://www.facebook.com/NIASNewsWeather","1","505582914918613","KATAWAN NG BABAENG TINANGAY NAREKOBER NA. Narekober na ng mga tauhan ng  Bureau of Fire Protection sa  Antique ang labi ng babaeng tinangay ng baha sa kasagsagan ng pananalasa ng Severe Tropical Storm #PaengPH. [Photos via BFP]

Kanias I share ang post na ito para sa pinakasariwang balita at inpormasyon",,"13",,"53",,,"66","7","1667041459000","https://www.facebook.com/NIASNewsWeather/posts/pfbid02n4Kr7LpizUsiLaZ3dPBxWxqC9PGxV15AtEYzKLDV8L2nRFeNR3wrGL8j8uNeUZWJl"
"No photo description available.","504417898368448","photo","https://www.facebook.com/photo.php?fbid=504417898368448&set=a.442128954597343&type=3","No photo description available.","504418408368397","photo","https://www.facebook.com/photo.php?fbid=504418408368397&set=a.442128954597343&type=3","No photo description available.","504418451701726","photo","https://www.facebook.com/photo.php?fbid=504418451701726&set=a.442128954597343&type=3","No photo description available.","504418505035054","photo","https://www.facebook.com/photo.php?fbid=504418505035054&set=a.442128954597343&type=3","No photo description available.","504418538368384","photo","https://www.facebook.com/photo.php?fbid=504418538368384&set=a.442128954597343&type=3","100064007256552","NIAS News Weather - Philippines","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/442495333_889199469890287_1586523659688786986_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx954x960&ctp=s40x40&_nc_cat=102&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=oyS0-1Nwk3EQ7kNvwGRRoSB&_nc_oc=AdqlpMgK-uh6FNaAXflt32kgAN2qE1tfY6Fjj2UntJfW9awnnBSDyh_bztQZOGq7bz0&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=wsqAbjY1NOJ_Illrtsu7lA&_nc_ss=7e2a8&oh=00_AQAYeunvdeJN3zQk4u4ASoDRlHNMkk-wT4zxj6NPIotK5A&oe=6A5E7DB7","https://www.facebook.com/NIASNewsWeather","3","504418738368364","NAMATAY NA MGA HAYOP DAHIL SA BAHA 🌧️. Nasawi naman sa matinding pagbaha ang ilang alagang hayop  sa bayan ng Datu Blah Sinsuat sa Maguindanao dahil pa rin sa  walang patid na buhos ng malakas na ulang dulot ng Tropical Storm #PaengPH, nasira din ang ilang sasakyan at motorsiklo matapos mabagsakan ng puno at mga kahoy . RVG, NIAS News Philippines #NewsALERT #FloodPH #maybagyo [Photos via Norhanna Bandon]

Kanias I share ang post na ito para sa pinakasariwang balita at inpormasyon",,"22",,"47","1",,"70","10","1666923913000","https://www.facebook.com/NIASNewsWeather/posts/pfbid02p8296hepKr1dPYwkfSBjBN4DpDZBnQWEWQ3GwRw3Db7mGhB7UF9Ab6sgBkHqA7Rml"
"No photo description available.","115862481312139","photo","https://www.facebook.com/photo.php?fbid=115862481312139&set=a.108657402032647&type=3","No photo description available.","115862507978803","photo","https://www.facebook.com/photo.php?fbid=115862507978803&set=a.108657402032647&type=3",,,,,,,,,,,,,"100086651629701","Gala ni Victor","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/338690634_907748743850109_3448003463881385919_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx945x960&ctp=s40x40&_nc_cat=107&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=ZRO5FxWIW48Q7kNvwF-UZQT&_nc_oc=Adr0fu_tDrjnAtgzhet5AnYnoXo9j1KAqQBHnXMA4i4VT6VlTQqhgPzs_hyTAXyY28Q&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=wsqAbjY1NOJ_Illrtsu7lA&_nc_ss=7e2a8&oh=00_AQDnHnYPnH77nAI93rrJsIQQiVfPTk3rS7a1NDLWHcTLJg&oe=6A5E9B20","https://www.facebook.com/profile.php?id=100086651629701","5","115862524645468","Story time... alas kwatro Ng hapon umakyat ako Ng tagaytay Ng naka motor mga ka gala...sinalubong ko si bagyong paeng Kaya Naman .. pero pag dating sa bacoor Ang baha abot upuan Ng motor ikot hanap Ng daan sugod sa mga kayang TaaS Ng baha at Nung malapit na ako sa amadeo...dahil ginabi na ako  nde ko na Makita yung laki Ng tubig na sinasalubong ko hanggang sa nagulat na Lang ako😱 at na out balance sa lakas Ng ragasa Ng tubig pasalubong sa akin Buti na Lang may tumakbong lalaki papalapit sakin at tinulungan nia akong makaalis sa sobrang lakas na agos, kung nde nia agad ako natulungan malamang inanod na Ang motor😭 goodbye adv ...nadala nia ako sa gilid, Kya Pala may mga sasakyan na nakaparada sa tabi 🚙🚗🛻dahil may mas matinde pa lang tatawirin, Hanggang tuhod lang Ang tubig pero sobrang lakas Ng current,bumaba ako sa motor at tiningnan ko kung anung pede kong Gawin.. no choice pero Ang salubungin Ang rumaragasang tubig dahil sa tingin ko pag nagtagal pa ako Ng ilang minuto dun sa lakas Ng ulan at walang tigil ma trap din ako at goodbye adv🛵🏍️ Talaga..Kya agad agad akong huminge  Ng tulong sa mga nandun dahil nakikita ko kinakaya Ng jeep makalusot, sinabi ko na itatawid ko yung motor ko pero isasabay ko sa dadaan na sasakyan para maawat Ang lakas Ng tubig nakakita ako Ng truck 🚛hinarang ko at pinakiusapan na sasabay ako sa pag tawid nya, SB nila Basta walang sisihan kung Anu man Ang mangyari🥺 nagtulong tulong kameng 🧒🧑🧔🧑‍🦲🧑‍🦱5 para itulak Ang motor🛵 binigay ko Ang 💯Isang Daan porsyento Ng aking lakas, kahit sinabi sakin Ng mga tumulong na walang sisihan pag nde namin naitawid Ang motor 🛵dahil delikado Talaga at totoo namn Yun..pero pinilit ko Talaga sila dahil walang choice..sa awa Ng diyos na itawid namin at Yung iBang sasakyan nag sitawid na din..grabe Ang naramdaman ko Ang puso💓 ko parang gusto Ng lumabas sa takot at pagod ..pero nde pa natapos dun dahil Nung andito na ako sa tagaytay ramdam na ramdam ko na Yung sinasabing signal number 3 grabe ka PAENG⛈️ Yung pinatatakbo ko ung motor pero parang may pwersa na pumipigil sakin ganun katinde Ang hangin...pero syempre sa lahat Ng pinag daanan ko dasal 🙏lang Ang naging sandata ko..Thank you Lord 🙏sa pag guide sa akin at nakaratng ako Ng matiwasay sa aming bahay...kakaibang experience na nde ko malilimutan..
kayo na bahala sa lesson learn🤣

Ps: kuha yan Nung nag stop over ako Kase kumain ako Ng la paz batchoy🍜 na paborito ko..at syempre kape is life💓☕💓",,"14","4",,"4",,"22","0","1667080817000","https://www.facebook.com/permalink.php?story_fbid=pfbid02JAAD6Qv5Lcu53DAt2FGzaLKuVqA2tmUCUQLdFidi6EV6Hgy2pMc3tdhWraHzVoNql&id=100086651629701"
"No photo description available.","505308448279393","photo","https://www.facebook.com/photo.php?fbid=505308448279393&set=a.442128954597343&type=3","No photo description available.","505308551612716","photo","https://www.facebook.com/photo.php?fbid=505308551612716&set=a.442128954597343&type=3","No photo description available.","505308611612710","photo","https://www.facebook.com/photo.php?fbid=505308611612710&set=a.442128954597343&type=3",,,,,,,,,"100064007256552","NIAS News Weather - Philippines","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/442495333_889199469890287_1586523659688786986_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx954x960&ctp=s40x40&_nc_cat=102&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=oyS0-1Nwk3EQ7kNvwGRRoSB&_nc_oc=AdqlpMgK-uh6FNaAXflt32kgAN2qE1tfY6Fjj2UntJfW9awnnBSDyh_bztQZOGq7bz0&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=wsqAbjY1NOJ_Illrtsu7lA&_nc_ss=7e2a8&oh=00_AQAYeunvdeJN3zQk4u4ASoDRlHNMkk-wT4zxj6NPIotK5A&oe=6A5E7DB7","https://www.facebook.com/NIASNewsWeather","2","505308631612708","BAHA SA MARINDUQUE 🌀⛈️. Nakaranas na rin ng matinding pagbaha ang mga residente sa Barangay Malusak, Boac, Marinduque, dahil sa bagyong #PaengPH ngayong araw. RVG, NIAS News Philippines #NewsALERT #FloodPH #maybagyo [Photos via Alex Fellizar]

Kanias I share ang post na ito para sa pinakasariwang balita at inpormasyon",,"19",,"30","2",,"51","4","1667014718000","https://www.facebook.com/NIASNewsWeather/posts/pfbid0TTYpEcT7zJdCAZB2mJaQVpXP2zdtb7j53nAGVVDWJdJfxvEgRxGyQcFikbJFefiPl"
"No photo description available.","504415238368714","photo","https://www.facebook.com/photo.php?fbid=504415238368714&set=a.442128954597343&type=3","No photo description available.","504415285035376","photo","https://www.facebook.com/photo.php?fbid=504415285035376&set=a.442128954597343&type=3","No photo description available.","504415348368703","photo","https://www.facebook.com/photo.php?fbid=504415348368703&set=a.442128954597343&type=3","No photo description available.","504415411702030","photo","https://www.facebook.com/photo.php?fbid=504415411702030&set=a.442128954597343&type=3","No photo description available.","504415481702023","photo","https://www.facebook.com/photo.php?fbid=504415481702023&set=a.442128954597343&type=3","100064007256552","NIAS News Weather - Philippines","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/442495333_889199469890287_1586523659688786986_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx954x960&ctp=s40x40&_nc_cat=102&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=oyS0-1Nwk3EQ7kNvwGRRoSB&_nc_oc=AdqlpMgK-uh6FNaAXflt32kgAN2qE1tfY6Fjj2UntJfW9awnnBSDyh_bztQZOGq7bz0&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=wsqAbjY1NOJ_Illrtsu7lA&_nc_ss=7e2a8&oh=00_AQAYeunvdeJN3zQk4u4ASoDRlHNMkk-wT4zxj6NPIotK5A&oe=6A5E7DB7","https://www.facebook.com/NIASNewsWeather","1","504415575035347","BAHA SA MAGUINDANAO DAHIL SA BAGYONG PAENG 🌀🌧️. : Binaha rin ang mga residente sa Brgy. Tambunan 1, Talayan, sa probinsya ng Maguindanao dahil sa mataas na pagbaha dulot ng tuloy-tuloy na buhos ng malakas na ulan na epekto ng Tropical Storm #PaengPH, inilikas na rin ang mga apektadonh residente. RVG, NIAS News Philippines #NewsALERT #FloodPH #maybagyo [Photos via Lino Layagin Mid]

Kanias I share ang post na ito para sa pinakasariwang balita at inpormasyon",,"10",,"10","2",,"22","6","1666923608000","https://www.facebook.com/NIASNewsWeather/posts/pfbid02QPeNBF66F3RoApfbU9oRQGVFbntYYUEtqJ2i3y6xvmhabZSftgT9oy2djTNXJ1NSl"
