"attachments/0/accessibilityCaption","attachments/0/id","attachments/0/type","attachments/0/url","attachments/1/accessibilityCaption","attachments/1/id","attachments/1/type","attachments/1/url","attachments/2/accessibilityCaption","attachments/2/id","attachments/2/type","attachments/2/url","attachments/3/accessibilityCaption","attachments/3/id","attachments/3/type","attachments/3/url","attachments/4/accessibilityCaption","attachments/4/id","attachments/4/type","attachments/4/url","author/id","author/name","author/profilePicture","author/profileUrl","commentsCount","postId","postText","reactions/haha","reactions/like","reactions/love","reactions/sorry","reactions/support","reactions/wow","reactionsCount","sharesCount","timestamp","url"
"No photo description available.","450917550461291","photo","https://www.facebook.com/photo.php?fbid=450917550461291&set=a.194220279464354&type=3","No photo description available.","450917623794617","photo","https://www.facebook.com/photo.php?fbid=450917623794617&set=a.194220279464354&type=3","No photo description available.","450917673794612","photo","https://www.facebook.com/photo.php?fbid=450917673794612&set=a.194220279464354&type=3","No photo description available.","450917740461272","photo","https://www.facebook.com/photo.php?fbid=450917740461272&set=a.194220279464354&type=3","No photo description available.","450917670461279","photo","https://www.facebook.com/photo.php?fbid=450917670461279&set=a.194220279464354&type=3","100066291500027","Pasig City Public Information Office","https://scontent-iad3-2.xx.fbcdn.net/v/t39.30808-1/241304413_194220316131017_8817860418863376271_n.jpg?stp=c320.250.1429.1429a_cp0_dst-jpg_tt6&cstp=mx1429x1429&ctp=s40x40&_nc_cat=111&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=i_9ty_nGnm0Q7kNvwEThftK&_nc_oc=AdqSxnHEBANWy1WG_gvWzV8nRltT7CJxPugAkeWrc8ODRO0YlI5kOHuH44hk7gPVMaI&_nc_zt=24&_nc_ht=scontent-iad3-2.xx&_nc_gid=xSzi17GU5oZxGJ0-baRBYA&_nc_ss=7e2a8&oh=00_AQCcFuHRg7_lkOOmn8p2JasAlKuf-41SNTRQfEE1uPlnjw&oe=6A5E8D96","https://www.facebook.com/PasigPIO","26","450934420459604","TINGNAN: Updating Meeting at ilan sa Response Efforts ng Pamahalaang Lungsod ng Pasig kaugnay ng Severe Tropical Storm #PaengPH

Kaninang 05:00PM ay nagkaroon ng updating meeting ang mga miyembro ng Incident Management Team ukol sa response efforts ng Pamahalaang Lungsod ng Pasig. 

Ilan sa mga napag-usapan sa meeting ay updates ukol sa latest na kalagayan ng panahon; efforts ukol sa clearing lalo na ng mga nagbagsakang puno na makakaabala sa daan; camp management at peace and order concerns; at medical management sa evacuation centers.

-Rumeresponde sa mga report ng fallen trees ang iba't-ibang units ng Pamahalaang Lungsod ng Pasig, kabilang ang koordinasyon sa Meralco kung sakaling may mga natamaang linya ng kuryente kaugnay ng pagbasak ng mga puno.  

-As of 06:00PM, nasa 64 families o 269 individuals na ang nasa ating evacuation centers. Nasa 19 ang evacuation centers na kasalukuyang nakabukas ngunit nakahanda rin ang iba pang eskwelahan o usual evacuation centers kung sakaling kailanganin din silang mag-operate. 

Kaya naman kung may evacuation order na mula sa mga awtoridad sa inyong mga barangay (pre-emptive man o forced evacuation) ay lumikas na po tayo. Lalo pong mahirap lumikas kung kailan mataas na ang tubig. 

-Bawat evacuation center ay may naka-deploy na mga kinatawan ng City Health Department-Barangay Health Centers para masiguro na makakapagbigay ng medical assistance sa mga ito. Ilan sa medical assistance ang paga-administer ng rapid antigen test para sa mga may sintomas ng COVID-19 at pagdidistribute ng mga gamot, maging ng face masks. Coordinated rin ang case management sa ating CESU kung sakaling magkaroon ng confirmed case ng COVID-19 sa evacuation sites. Mayroon ding nakahandang mga gamot na anti-tetano para sa ating responders.

-Kaakibat ng camp management ang Community Kitchen para sa pagbibigay ng pagkain di lamang sa evacuees, kundi para sa ating DRRM responders.

-Lahat naman ng pumping stations ng Lungsod ng Pasig ay may nakadeploy para masigurong gumagana at continuous ang pagpu-pump ng tubig para makatulong sa flood management ng lungsod.

Mag-ingat po ang lahat!

#pasighanda2022","1","923","278",,"27","1","1230","50","1667041312000","https://www.facebook.com/PasigPIO/posts/pfbid029g4PcRihwu9jKmVG1YJJJ1bui5ZcF3rZAKa6y1J3hjprw2NDjpZLNEZ5CwZyy6CLl"
"No photo description available.","402330182106498","photo","https://www.facebook.com/photo.php?fbid=402330182106498&set=a.363745329298317&type=3","No photo description available.","402330208773162","photo","https://www.facebook.com/photo.php?fbid=402330208773162&set=a.363745329298317&type=3","No photo description available.","402330235439826","photo","https://www.facebook.com/photo.php?fbid=402330235439826&set=a.363745329298317&type=3","No photo description available.","402330265439823","photo","https://www.facebook.com/photo.php?fbid=402330265439823&set=a.363745329298317&type=3","No photo description available.","402330312106485","photo","https://www.facebook.com/photo.php?fbid=402330312106485&set=a.363745329298317&type=3","100069885572699","Vista Verde Executive Village Homeowners Association Inc","https://scontent-iad3-2.xx.fbcdn.net/v/t39.30808-1/305093958_363745352631648_2115086023015462556_n.jpg?stp=c265.0.1518.1518a_cp0_dst-jpg_tt6&cstp=mx1518x1518&ctp=s40x40&_nc_cat=111&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=cRfYQfZnoMUQ7kNvwGp14NE&_nc_oc=Ado2PJputIKRdw9wqsX_-4Qdb0hGL3k8CieKyyxvLK7ZoxkeOdOnw08W8CEorC25YoI&_nc_zt=24&_nc_ht=scontent-iad3-2.xx&_nc_gid=xSzi17GU5oZxGJ0-baRBYA&_nc_ss=7e2a8&oh=00_AQAmanzmPSb089JMWavJD0q7_Va6iZHB5BUVO0Z7Jv7MwA&oe=6A5EAD64","https://www.facebook.com/VVEVHAI","17","402331192106397","Update Flood monitoring ❗❗❗
mga area's po na may baha kuha sa Cctv. 

#BagyongPaengPH #keepsafeevery0ne",,"59",,"23","1","1","84","28","1667025351000","https://www.facebook.com/VVEVHAI/posts/pfbid0dN6zc5kXyubJTWxAPX14mpdUcg2nvEeRPWMVczKhnp9QCy9JCr9cc9RjrcBoqRt7l"
"No photo description available.","509422514539136","photo","https://www.facebook.com/photo.php?fbid=509422514539136&set=a.358583032956419&type=3","No photo description available.","509422557872465","photo","https://www.facebook.com/photo.php?fbid=509422557872465&set=a.358583032956419&type=3","No photo description available.","509422604539127","photo","https://www.facebook.com/photo.php?fbid=509422604539127&set=a.358583032956419&type=3","No photo description available.","509422667872454","photo","https://www.facebook.com/photo.php?fbid=509422667872454&set=a.358583032956419&type=3",,,,,"100064141751110","Ctrl Shift","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/398404518_751992860282099_3894172302902469725_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx960x960&ctp=s40x40&_nc_cat=109&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=S0iZ08nXnKQQ7kNvwG4gs20&_nc_oc=AdqJQMZA01ehBYcePsNi3nGv7dt55ySs0Gbiyn59NUHKn8YBInX5msPsTlOulzVSLQ4&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=xSzi17GU5oZxGJ0-baRBYA&_nc_ss=7e2a8&oh=00_AQDz7OsOLadgiX3X_cJHI8tUpgrM5rUYaE5V_bCKlnp9yA&oe=6A5EB12B","https://www.facebook.com/ctrlshiftstudio","0","509422797872441","𝗘𝗠𝗘𝗥𝗚𝗘𝗡𝗖𝗬 𝗛𝗢𝗧𝗟𝗜𝗡𝗘 𝗡𝗨𝗠𝗕𝗘𝗥𝗦 ☎️

Let's help spread these emergency hotline numbers which we can call in cases of emergency and immediate rescue. Keep safe everyone! 🫂

PNP
(02) 722-0650
+63 917 847 5757

BFP
(02) 426-0219
(02) 425-3812
(02) 426-0246

PHIVOLCS
(02) 426-1468
(02) 426-1469

RED CROSS
Hotline (143)
Staff (134)
Manager (132)
Radio Room (133)
(02) 527-0000
(02) 527-8385
(02) 527-8386
(02) 527-0864

PAGASA
(02) 4342696

DOTR
Action Center Hotline 7890
Trunkline (02) 8790-8300

MMDA
Hotline 136
(02) 882-0925 (Flood Control)
(02) 882-4150-77
Loc. 337 (Rescue)
Loc. 255 (Metrobase)
Loc. 319 (Road Safety
Loc. 374 (Public Safety)
Loc. 320 (Road Emergency)

DICT
Trunkline 8920-0101

DPWH
+632 5304-3000
+632 5304-3370 (Trunkline)
165-02 (Hotline)
+63 961-684-7084

PHILIPPINE COAST GUARD
(02) 527-8481
(02) 527-8482
(02) 527-8483
(02) 527-8484
(02) 527-8485
(02) 527-8486
(02) 527-8487
(02) 527-8488
(02) 527-8489
(02) 527-3877
0917 724 3682 (Globe)
0918 967 4697 (Smart)

NDRRMC
8911 1406
8912 2665
8912 5668
8912 3046
89122 5061 to 65 (TRUNK LINE)
Local: 100

#PaengPH",,"38","96",,"11",,"145","446","1667057957000","https://www.facebook.com/ctrlshiftstudio/posts/pfbid0qevCjfGRcHdzA7yVDScHHsW6rLNTKjcbHk5XpcTCtqqGSmTpc4SxS6xmxRb1u5Cpl"
"No photo description available.","122233053984342","photo","https://www.facebook.com/photo/?fbid=122233053984342&set=a.108481442026170",,,,,,,,,,,,,,,,,"100085929427595","Eastern Police District NCRPO","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/320063912_1114994375811031_4640545466221553293_n.jpg?stp=c111.143.823.823a_cp0_dst-jpg_tt6&cstp=mx823x823&ctp=s40x40&_nc_cat=107&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=d4FSK19RaxAQ7kNvwHVZWyl&_nc_oc=Adpwkh-AwISdFPAb3j1g5Zi_kKJbmm_03P69lIYPVG9VfbZ4wEr1eViaounTuu7Wu9k&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=xSzi17GU5oZxGJ0-baRBYA&_nc_ss=7e2a8&oh=00_AQDOmPLP1rgFMBQJGLokBN8YTvmVIvYv2kE7kufmlgL8Ww&oe=6A5EAE1B","https://www.facebook.com/EasternPoliceDistrictPAMAMARISAN","0","122233073984340","Eastern Police District Always Ready to Serve and Protect!

Public Safety is EPDs Priority, continues flood monitoring in a 24hrs round the clock operation is what Team EPD PaMaMariSan prioritizing now that Tropical Storm ""Paeng"" is within the AOR  to ensure that Search and Rescue Operation will be effectively implemented with a mission to save the lives of the people.

#TeamPNP
#PNPKakampiNyo
#WeServeAndProtect
#MKKequalsK
#malasakitkaayusankapayapaantungosakaunlaran
#lifeisbeautiful
#KaligtasanNiyoSagotKo
#TulongTulongTayo
#TeamNCRPO
#SAFENCRPO
#WeCareWeDare
#PilipinasMuna
#MAKATAO
#Makabansa
PGEN RODOLFO S AZURIN JR👮‍♂️⭐️⭐️⭐️⭐️ 
Office of the Chief PNP 
PBGEN Jonnel C Estomo 
Drdo Ncrpo React 
SAFE NCRPO 
RPRMD, NCRPO
Rod Ncrpo
Buhay Lespu
Philippine National Police
Romeo Palgue
Rcadd Ncrpo
NCRPO RIDMD Investigation
DILG National Capital Region
Pio Ncrpo
PIO NCRPO
Police-Big Brother
Napolcom NCR
Police Community Affairs and Development Group
PCADG Metro Manila
National Intelligence Coordinating Agency
Pasig City Public Information Office
PASIG City  Police Station
Mandaluyong City Public Information Office
Mandaluyong City Police Station NCRPO
Marikina City Police Station
Marikina PIO
La Liga Mariquina Inc.
San Juan City Police Station
Aaron Miravalles
Imelda Ogsimer Garcia
Kenzo Sardea
Manuel P. Espejo
Ramon Fernando Jr. 
Wilson Caubat 
WIlson Asueta
TheAction Man
Marcy Teodoro
Marion Andres",,"71","4",,"1",,"76","7","1667032304000","https://www.facebook.com/EasternPoliceDistrictPAMAMARISAN/posts/pfbid02AjDXyvNVqNqQK2zZFW2jvCqifJbTbZEdYFZVSJtjuvVCeAH8CF8oZQdwncBheMwfl"
"No photo description available.","450835927136120","photo","https://www.facebook.com/photo/?fbid=450835927136120&set=a.194220272797688",,,,,,,,,,,,,,,,,"100066291500027","Pasig City Public Information Office","https://scontent-iad3-2.xx.fbcdn.net/v/t39.30808-1/241304413_194220316131017_8817860418863376271_n.jpg?stp=c320.250.1429.1429a_cp0_dst-jpg_tt6&cstp=mx1429x1429&ctp=s40x40&_nc_cat=111&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=i_9ty_nGnm0Q7kNvwEThftK&_nc_oc=AdqSxnHEBANWy1WG_gvWzV8nRltT7CJxPugAkeWrc8ODRO0YlI5kOHuH44hk7gPVMaI&_nc_zt=24&_nc_ht=scontent-iad3-2.xx&_nc_gid=xSzi17GU5oZxGJ0-baRBYA&_nc_ss=7e2a8&oh=00_AQCcFuHRg7_lkOOmn8p2JasAlKuf-41SNTRQfEE1uPlnjw&oe=6A5E8D96","https://www.facebook.com/PasigPIO","1","450839473802432","Kasalukuyang nakataas ang Tropical Cyclone Wind Signal (TWCS) No. 3 sa Metro Manila kaugnay ng Severe Tropical Storm #PaengPH. Itinaas na rin ang second alarm dahil as of 03:00PM, 16.54 meters na ang Marikina River Water Level. 

Narito ang ilang Flood Safety Tips na dapat tandaan at sundin bago, habang, at pagkatapos bumaha dala ng bagyo.

Para sa emergencies, tumawag sa Pasig City Emergency Hotline: 8643 0000.",,"208","33",,"20",,"261","80","1667028574000","https://www.facebook.com/PasigPIO/posts/pfbid0KA9iqFaZjd6q4ts3T9ZZ5QffAs35ePWG5XhwocRoMeY9K9RCx2Z8bZf1ezKjhpNal"
"No photo description available.","489878039861317","photo","https://www.facebook.com/photo.php?fbid=489878039861317&set=a.229479829234474&type=3","No photo description available.","489882053194249","photo","https://www.facebook.com/photo.php?fbid=489882053194249&set=a.229479829234474&type=3","No photo description available.","489882093194245","photo","https://www.facebook.com/photo.php?fbid=489882093194245&set=a.229479829234474&type=3","No photo description available.","489882123194242","photo","https://www.facebook.com/photo.php?fbid=489882123194242&set=a.229479829234474&type=3",,,,,"100065173764057","Volta Delos Santos-my page","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/244254663_229479845901139_8503631736778890302_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx1440x1437&ctp=s40x40&_nc_cat=107&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=gLdJ9c1lCrYQ7kNvwFxDkJC&_nc_oc=AdoW58qByQ_GI7YgzW3IaJ6Hm-xPp_5avuntbfRPIA3ha7XrKrWkke16LCHCyqpfsTI&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=A_WX-OKztXijnXz9zWFdbg&_nc_ss=7e2a8&oh=00_AQDAcbPHQ8WsgejovQ974pfiwIT5hVovtiPfkryeq0g59g&oe=6A5EB42E","https://www.facebook.com/PapaVoltz","10","489878059861315","Bumabagyo man, itinuloy na rin po ang pamamahagi ng reading glasses sa may Bagong Ilog Covered Court.

Salamat Sir Rino Intalan sa assistance.

Iikot din kami sa mga flood control natin para ma kamusta ang magdamag natin personnel na nagbabantay sa baha.",,"155","15",,,,"170","14","1667011040000","https://www.facebook.com/PapaVoltz/posts/pfbid02RJwSz9Q7HYwgSo4J8vRUUZn4Q84giLifW1TxxEiXwqDxm2C2v28PsgoMpSgbxjCDl"
"No photo description available.","503512588476970","photo","https://www.facebook.com/photo/?fbid=503512588476970&set=a.481148200713409",,,,,,,,,,,,,,,,,"100064546997868","OneCainta","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/309180511_481148234046739_5583952041084651645_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx1600x1600&ctp=s40x40&_nc_cat=102&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=qOXG8ovi8esQ7kNvwFtGvcs&_nc_oc=AdodRfeRXUynsvWx1tJrsBhAOmE3qpDaTqx6xT33TsRBgicfuRulR5okcm8kSCH_rn4&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=A_WX-OKztXijnXz9zWFdbg&_nc_ss=7e2a8&oh=00_AQCyvgpwIyrUrVSVTMxQnGovxfYEGfCenbSsH_cWcgNVig&oe=6A5EADBF","https://www.facebook.com/onecainta.onecainta","23","503512825143613","Heavy Rainfall Warning No. 2  #NCR_PRSD
Weather System: Severe Tropical Storm #PaengPH
Issued at: 8:00 AM,29 October 2022
Yellow Warning: 
📍Rizal
📍Quezon, 
📍Laguna, 
📍Batangas.
Associated Hazard: FLOODING in flood-prone areas
Meanwhile, Light to moderate with occasional heavy rains affecting 
📍MetroManila
📍Bulacan,
📍Tarlac, 
📍NuevaEcija, 
📍Zambales, 
📍Bataan,
📍Pampanga 
which may persist within 3 hours and may affect nearby areas.
The public and the Disaster Risk Reduction and Management Offices concerned are advised to MONITOR the weather condition and watch for the next advisory to be issued at 11:00 AM Today..

- PIO & DRRMO

#onecaintaweatherupdate",,"183","1","52","21",,"257","41","1667002854000","https://www.facebook.com/onecainta.onecainta/posts/pfbid06GAt1BQ9LEHgSwXqRhgjizhmj7ezYPF4FgBYmePTPxiw3K7NuKz2f1UEjEm7HuQil"
"No photo description available.","485268303634597","photo","https://www.facebook.com/photo.php?fbid=485268303634597&set=a.226680419493388&type=3","No photo description available.","485268330301261","photo","https://www.facebook.com/photo.php?fbid=485268330301261&set=a.226680419493388&type=3",,,,,,,,,,,,,"100064542948515","Marikina City Rescue 161","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/541379745_1210200924474661_5482984993472514193_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx1024x1024&ctp=s40x40&_nc_cat=104&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=JyOFt-nYG3sQ7kNvwEog244&_nc_oc=AdpyBvt5lgv4Y5GKj5mwtGlWeXeqsDa9Cau364160KuOx6jnBWhhkV5UE5rLFcKEalU&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=A_WX-OKztXijnXz9zWFdbg&_nc_ss=7e2a8&oh=00_AQBUKpirlAGe_W_GqvycPzxLoeFNI3y_flVUVaNyPX8jdg&oe=6A5E8742","https://www.facebook.com/MarikinaRescue161","0","485268763634551","Heavy Rainfall Warning No. 3  #NCR_PRSD
Weather System: Severe Tropical Storm #PaengPH
Issued at: 11:00 AM,29 October 2022

Red Warning: #Quezon.
Associated Hazard: Serious FLOODING in flood-prone areas
Orange Warning: #Laguna, #Batangas, #Rizal.

Associated Hazard: FLOODING is still THREATENING
Yellow Warning: #MetroManila, #Cavite, #Bulacan.

Associated Hazard: FLOODING in flood-prone areas
Meanwhile, Light to moderate with occasional heavy rains affecting #Tarlac, #NuevaEcija, #Zambales, #Bataan, #Pampanga, and #Bulacan which may persist within 3 hours and may affect nearby areas.

The public and the Disaster Risk Reduction and Management Offices concerned are advised to MONITOR the weather condition and watch for the next advisory to be issued at 2:00 PM Today.

For more information and queries, please call telephone numbers 8922-1992 and 8927-1335 or log on to bagong.pagasa.dost.gov.ph.",,"42","2","9","1","1","55","15","1667013930000","https://www.facebook.com/MarikinaRescue161/posts/pfbid0uW9HBuwmCKaFtmDcZSEohrqFrBB7nCUbq7ok2fbgBLF5n4euQaTXb9ffS5EnZtZ5l"
,,,,,,,,,,,,,,,,,,,,"100067332053563","Holy Trinity Parish - Village East Cainta","https://scontent-iad3-2.xx.fbcdn.net/v/t39.30808-1/730049829_1331154295805626_5562000230532276598_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx2000x2000&ctp=s40x40&_nc_cat=105&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=Zuw6X3hyJ5AQ7kNvwEA8X1B&_nc_oc=AdrgsS2dZPomi5s0mdtFtJE9YkWE4zc2YZHWWfogM-YLddGvmksBH6trEzy2X7HADDk&_nc_zt=24&_nc_ht=scontent-iad3-2.xx&_nc_gid=A_WX-OKztXijnXz9zWFdbg&_nc_ss=7e2a8&oh=00_AQDFzrFWE8mVTRn3FX6S6MDCMh-3EpqheUJ3XNsV7TFofw&oe=6A5EA444","https://www.facebook.com/HTPCHURCH","8","443578494563215","Announcement:
There will be no morning mass today due waist deep flood surrounding the church. 
Stay safe everyone.",,"56","18","24","5",,"103","4","1667075287000","https://www.facebook.com/HTPCHURCH/posts/pfbid02YHzyF5MJSzbQCRkv3qHZUm9gVxjumFJ21Fq6qy3XqUz4K11jjBXU5M517R7qx9fYl"
,,,,,,,,,,,,,,,,,,,,"100064542948515","Marikina City Rescue 161","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/541379745_1210200924474661_5482984993472514193_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx1024x1024&ctp=s40x40&_nc_cat=104&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=JyOFt-nYG3sQ7kNvwEog244&_nc_oc=AdpyBvt5lgv4Y5GKj5mwtGlWeXeqsDa9Cau364160KuOx6jnBWhhkV5UE5rLFcKEalU&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=A_WX-OKztXijnXz9zWFdbg&_nc_ss=7e2a8&oh=00_AQBUKpirlAGe_W_GqvycPzxLoeFNI3y_flVUVaNyPX8jdg&oe=6A5E8742","https://www.facebook.com/MarikinaRescue161","9","485057463655681","#ABISO MARIKEÑ0
#ALERTO MARIKEÑO

Heavy Rainfall Warning No. 1  #NCR_PRSD
Weather System: Severe Tropical Storm #PaengPH
Issued at: 5:00 AM,29 October 2022
Yellow Warning: #Quezon.
Associated Hazard: Possible FLOODING in flood-prone areas
Meanwhile, Expect light to moderate rains over #Tarlac, and #NuevaEcija within the next 3 hours.
Light to moderate with occasional heavy rains affecting MetroManila, #Rizal, #Laguna, #Cavite, #Batangas, #Bataan, #Pampanga, #Bulacan, and #Zambales which may persist within 3 hours.
The public and the Disaster Risk Reduction and Management Offices concerned are advised to MONITOR the weather condition and watch for the next advisory to be issued at 8:00 AM Today.",,"311","4","5","5",,"325","26","1666992013000","https://www.facebook.com/MarikinaRescue161/posts/pfbid02rNdoVrgApHihNYiUbFvfiaNsZHV63CeLAhkYVPBCziJwodqSY4sVTru5yR7MwX2pl"
