"attachments/0/accessibilityCaption","attachments/0/id","attachments/0/type","attachments/0/url","attachments/1/accessibilityCaption","attachments/1/id","attachments/1/type","attachments/1/url","attachments/2/accessibilityCaption","attachments/2/id","attachments/2/type","attachments/2/url","attachments/3/accessibilityCaption","attachments/3/id","attachments/3/type","attachments/3/url","attachments/4/accessibilityCaption","attachments/4/id","attachments/4/type","attachments/4/url","author/id","author/name","author/profilePicture","author/profileUrl","commentsCount","postId","postText","reactions/anger","reactions/haha","reactions/like","reactions/love","reactions/sorry","reactions/support","reactions/wow","reactionsCount","sharesCount","timestamp","url"
,"397135608313153","video",,,,,,,,,,,,,,,,,,"100064957951102","ABS-CBN News","https://scontent-iad3-2.xx.fbcdn.net/v/t39.30808-1/612193561_1385784586930127_8766501501849307524_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx513x511&ctp=s40x40&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=jjMlUL_Ip04Q7kNvwEk60m5&_nc_oc=AdoAE3CyuykMvw1toGpOHANyY21RajbqXJroVXXnCVqGVyDDfbN0eQo4i-8MM0woA5I&_nc_zt=24&_nc_ht=scontent-iad3-2.xx&_nc_gid=0uBusSw3d-b6Au2aeQXHgA&_nc_ss=7c2a8&oh=00_AQCrOH8EsjUVfcpxr-30u4rfySAhGVQg9r1yyZwL7MZrMg&oe=6A5F9E5C","https://www.facebook.com/abscbnNEWS","2142","10158944436205168","Dahil sa lakas ng ulan at hangin dulot ng Super Typhoon #RollyPH, bumigay at tuluyang nagiba umano ang dike sa Ilawod, Camalig, Albay na siyang dahilan ng pagbaha ngayong Linggo ng umaga. (Video mula sa SK Barangay ILAWOD-Camalig FB page)

BASAHIN: https://bit.ly/2TGqlp7","7","9","3871","46","5847","69","151","10000","11699","1604196907000","https://www.facebook.com/abscbnNEWS/videos/397135608313153/"
,"3423532977714021","video",,,,,,,,,,,,,,,,,,"100064957951102","ABS-CBN News","https://scontent-iad3-2.xx.fbcdn.net/v/t39.30808-1/612193561_1385784586930127_8766501501849307524_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx513x511&ctp=s40x40&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=jjMlUL_Ip04Q7kNvwEk60m5&_nc_oc=AdoAE3CyuykMvw1toGpOHANyY21RajbqXJroVXXnCVqGVyDDfbN0eQo4i-8MM0woA5I&_nc_zt=24&_nc_ht=scontent-iad3-2.xx&_nc_gid=0uBusSw3d-b6Au2aeQXHgA&_nc_ss=7c2a8&oh=00_AQCrOH8EsjUVfcpxr-30u4rfySAhGVQg9r1yyZwL7MZrMg&oe=6A5F9E5C","https://www.facebook.com/abscbnNEWS","1354","10158944304905168","Tila rumaragasang ilog na ang baha sa Ilawod, Camalig, Albay ngayong Linggo ng umaga dahil sa walang tigil na pag-ulan na dulot ng super typhoon #RollyPH. (Video mula kay Bryll Czysr Vibar)

BASAHIN: https://bit.ly/2TGqlp7","8","5","3477","53","6242","94","121","10000","11265","1604193979000","https://www.facebook.com/abscbnNEWS/videos/3423532977714021/"
"No photo description available.","10158945019380168","photo","https://www.facebook.com/photo.php?fbid=10158945019380168&set=a.650104283831498&type=3","No photo description available.","10158945020105168","photo","https://www.facebook.com/photo.php?fbid=10158945020105168&set=a.650104283831498&type=3","No photo description available.","10158945019185168","photo","https://www.facebook.com/photo.php?fbid=10158945019185168&set=a.650104283831498&type=3","No photo description available.","10158945019075168","photo","https://www.facebook.com/photo.php?fbid=10158945019075168&set=a.650104283831498&type=3","No photo description available.","10158945018645168","photo","https://www.facebook.com/photo.php?fbid=10158945018645168&set=a.650104283831498&type=3","100064957951102","ABS-CBN News","https://scontent-iad3-2.xx.fbcdn.net/v/t39.30808-1/612193561_1385784586930127_8766501501849307524_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx513x511&ctp=s40x40&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=jjMlUL_Ip04Q7kNvwEk60m5&_nc_oc=AdoAE3CyuykMvw1toGpOHANyY21RajbqXJroVXXnCVqGVyDDfbN0eQo4i-8MM0woA5I&_nc_zt=24&_nc_ht=scontent-iad3-2.xx&_nc_gid=0uBusSw3d-b6Au2aeQXHgA&_nc_ss=7c2a8&oh=00_AQCrOH8EsjUVfcpxr-30u4rfySAhGVQg9r1yyZwL7MZrMg&oe=6A5F9E5C","https://www.facebook.com/abscbnNEWS","9467","10158945020715168","Umabot hanggang bubong ang baha sa Brgy Busay sa Daraga, Albay na dulot ng pananalasa ng typhoon #RollyPH ngayong Linggo. Sa kuha ni AJ Miraflor kanina alas-9 ng umaga, rumaragasang tubig at abot bubong na baha ang naranasan ng mga residente malapit sa Cagsawa Ruins. 

Ang ibang bahay at tindahan naman ay lumubog sa buhangin na tinangay dahil din sa bagyong Rolly. | Kuha ni AJ Miraflor

BASAHIN: https://bit.ly/2HT1YlN","3","10","2708","66","7014","151","48","10000","48801","1604212275000","https://www.facebook.com/abscbnNEWS/posts/pfbid022dHXmqkH4R3qmK6WSvg6nsfi5EBCv5BACdaZRnduDEZPvkk6vdaVVFhmGYt4DLr3l"
,"1780682655422023","video",,,,,,,,,,,,,,,,,,"100064849986224","GMA News","https://scontent-iad3-2.xx.fbcdn.net/v/t39.30808-1/658216539_1459297662908553_7892569438724908023_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx1200x1200&ctp=s40x40&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=_9Kw3PkUnsIQ7kNvwGpyVjd&_nc_oc=Ado8luoMoYyeAgOo9uxgV6lE58M9xqY6erKuvrGw_DDKkt2BVpC3qxx6RSDv8tP1_aw&_nc_zt=24&_nc_ht=scontent-iad3-2.xx&_nc_gid=0uBusSw3d-b6Au2aeQXHgA&_nc_ss=7c2a8&oh=00_AQCVcA99kmBhcMwO6Y1INnH0c-8snJ1PtxP2a9R_rxOv1w&oe=6A5FC37F","https://www.facebook.com/gmanews","165","10159408927066977","Lubog sa baha ang ilang bahagi ng probinsya ng Albay matapos dumaan doon ang Bagyong #RollyPH. 

Bisitahin ang www.gmanews.tv para sa latest na balita tungkol sa bagyo.","17","10","5999","129","2746","74","35","9010","1318","1604224656000","https://www.facebook.com/gmanews/videos/1780682655422023/"
,"400584944606439","video",,,,,,,,,,,,,,,,,,"100069804660667","One PH","https://scontent-iad3-2.xx.fbcdn.net/v/t39.30808-1/352501237_782570273579321_6360131420091538342_n.png?stp=cp0_dst-png&cstp=mx1638x1638&ctp=s40x40&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=l9ABQ7r1D0AQ7kNvwHhiNrH&_nc_oc=AdpxSbzPXkVBUG8ag3Yjdm8HWZyACi160DZWmdO4ouz0BI4s_pdbamoaehnwI0thtQI&_nc_zt=24&_nc_ht=scontent-iad3-2.xx&_nc_gid=0uBusSw3d-b6Au2aeQXHgA&_nc_ss=7c2a8&oh=00_AQAMkFRHkWb431_b0fQZs4WjVvjZ2lsHskfRQlJHO2HHhQ&oe=6A5FB96E","https://www.facebook.com/OnePHonCignal","345","885696545505410","Pagragasa ng baha sa Ilawod, Camalig sa Albay ngayong 10 a.m. kasabay ng pananalasa ng bagyong #RollyPH.

📹 Bryll Czysr Vibar","4","1","1709","19","2571","48","38","4390","2171","1604198375000","https://www.facebook.com/OnePHonCignal/videos/400584944606439/"
,"660233331361438","video",,,,,,,,,,,,,,,,,,"100064957951102","ABS-CBN News","https://scontent-iad3-2.xx.fbcdn.net/v/t39.30808-1/612193561_1385784586930127_8766501501849307524_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx513x511&ctp=s40x40&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=jjMlUL_Ip04Q7kNvwEk60m5&_nc_oc=AdoAE3CyuykMvw1toGpOHANyY21RajbqXJroVXXnCVqGVyDDfbN0eQo4i-8MM0woA5I&_nc_zt=24&_nc_ht=scontent-iad3-2.xx&_nc_gid=mJcDlDMwYMV4lRlsZfKaSg&_nc_ss=7c2a8&oh=00_AQBrVgyV0A_8UAfNAY75cuKfyp19typ1VTbKh4U6ludjSQ&oe=6A5F9E5C","https://www.facebook.com/abscbnNEWS","8","10158949418915168","Matinding takot ang idinulot sa mga residente ng Batangas City ng biglaang pagtaas ng baha bunsod ng malakas pag-ulan dulot ng bagyong Rolly.

Sa Tierra Verde subdivision, napilitan nang umakyat sa bubong ng mga residente dahil umabot hanggang dibdib ang taas ng baha nitong Linggo nang gabi. 

Sumama sa ating patuloy na pagpa-Patrol sa news.abs-cbn.com/tvpatrol, fb.com/tvpatrol.abscbn/, at youtube.com/ABSCBNNews.","1","3","650","30","166","13",,"863","79","1604328319000","https://www.facebook.com/abscbnNEWS/videos/660233331361438/"
,"402361797834835","video",,,,,,,,,,,,,,,,,,"100064957951102","ABS-CBN News","https://scontent-iad3-2.xx.fbcdn.net/v/t39.30808-1/612193561_1385784586930127_8766501501849307524_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx513x511&ctp=s40x40&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=jjMlUL_Ip04Q7kNvwEk60m5&_nc_oc=AdoAE3CyuykMvw1toGpOHANyY21RajbqXJroVXXnCVqGVyDDfbN0eQo4i-8MM0woA5I&_nc_zt=24&_nc_ht=scontent-iad3-2.xx&_nc_gid=mJcDlDMwYMV4lRlsZfKaSg&_nc_ss=7c2a8&oh=00_AQBrVgyV0A_8UAfNAY75cuKfyp19typ1VTbKh4U6ludjSQ&oe=6A5F9E5C","https://www.facebook.com/abscbnNEWS","341","10158945269930168","TINGNAN: Tuluyang nalubog sa baha ang ilang bahay sa Magurang, Polangui, Albay sa gitna ng malakas na pagbuhos ng ulan dahil sa Typhoon #RollyPH. (📹:Lea Salalima) | via Anjo Bagaoisan, ABS-CBN News

BASAHIN DITO ang kaugnay na ulat: https://bit.ly/34KYv18","5","6","1838","29","5888","77","33","7876","2496","1604219963000","https://www.facebook.com/abscbnNEWS/videos/402361797834835/"
"No photo description available.","2257704944386247","photo","https://www.facebook.com/photo.php?fbid=2257704944386247&set=a.647063397452197&type=3","No photo description available.","2257704941052914","photo","https://www.facebook.com/photo.php?fbid=2257704941052914&set=a.647063397452197&type=3","No photo description available.","2257704931052915","photo","https://www.facebook.com/photo.php?fbid=2257704931052915&set=a.647063397452197&type=3","No photo description available.","2257704934386248","photo","https://www.facebook.com/photo.php?fbid=2257704934386248&set=a.647063397452197&type=3","No photo description available.","2257704924386249","photo","https://www.facebook.com/photo.php?fbid=2257704924386249&set=a.647063397452197&type=3","100064456281701","News5","https://scontent-iad3-2.xx.fbcdn.net/v/t39.30808-1/352531091_590012623265943_7503745415624331533_n.png?stp=cp0_dst-png&cstp=mx719x719&ctp=s40x40&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=VZI5zKGnILYQ7kNvwE6CjAd&_nc_oc=AdqbJ7t5nKR3v_dNUMOruAMRNBzCJ88Jhhwy-64xwbE-Iz_e2HjeTAAtb14tb8JpoDM&_nc_zt=24&_nc_ht=scontent-iad3-2.xx&_nc_gid=mJcDlDMwYMV4lRlsZfKaSg&_nc_ss=7c2a8&oh=00_AQBvwJqkiTk_gNFXYnGdpAIr520PGwhH892C6ArOmeV9qg&oe=6A5FAECF","https://www.facebook.com/News5Everywhere","545","2257705137719561","Netflix and chill ang ginawa ng netizen na si Victor Tadia habang binabaha ang kanilang bahay sa Batangas City kahapon.

“Napag-tripan lang namin kasi bumaha sa lugar namin,” ayon kay Victor.

Nasa 50,000 na ang shares ng post sa Facebook. Pero mga kapatid, ingat-ingat din sa mga kable ng kuryente kapag baha.

📷: Victor Jose Tadia/Gino Lontoc","8","2595","1034","29","8","5","77","3756","573","1604282851000","https://www.facebook.com/News5Everywhere/posts/pfbid03STz3rLBPHgCjxW5uvLEia7m5ZB2qk1WmJ1i4xuw5JWgEggXJ7PqipZU86Ybh5FDl"
,"3694765923953318","video",,,,,,,,,,,,,,,,,,"100064957951102","ABS-CBN News","https://scontent-iad3-2.xx.fbcdn.net/v/t39.30808-1/612193561_1385784586930127_8766501501849307524_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx513x511&ctp=s40x40&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=jjMlUL_Ip04Q7kNvwEk60m5&_nc_oc=AdoAE3CyuykMvw1toGpOHANyY21RajbqXJroVXXnCVqGVyDDfbN0eQo4i-8MM0woA5I&_nc_zt=24&_nc_ht=scontent-iad3-2.xx&_nc_gid=mJcDlDMwYMV4lRlsZfKaSg&_nc_ss=7c2a8&oh=00_AQBrVgyV0A_8UAfNAY75cuKfyp19typ1VTbKh4U6ludjSQ&oe=6A5F9E5C","https://www.facebook.com/abscbnNEWS","22","10158945935575168","PANOORIN: Mas maraming residente pa ng Tierra Verde Subdivision, Barangay Pallocan West, Batangas City ang nailikas matapos tumaas ang nibel ng baha sa lugar.

Umabot hanggang dibdib ang baha sa naturang lugar dahil sa tuloy-tuloy na pag-ulan dulot ng typhoon. #RollyPH | via Jeck Batallones, ABS-CBN News 

BASAHIN ang buong ulat dito: https://bit.ly/3kQtKxq","1",,"391","27","322","25",,"766","136","1604238446000","https://www.facebook.com/abscbnNEWS/videos/3694765923953318/"
"No photo description available.","10158614673621066","photo","https://www.facebook.com/photo.php?fbid=10158614673621066&set=a.554632122685656&type=3","No photo description available.","10158614673786066","photo","https://www.facebook.com/photo.php?fbid=10158614673786066&set=a.554632122685656&type=3","No photo description available.","10158614674151066","photo","https://www.facebook.com/photo.php?fbid=10158614674151066&set=a.554632122685656&type=3","No photo description available.","10158614674106066","photo","https://www.facebook.com/photo.php?fbid=10158614674106066&set=a.554632122685656&type=3","No photo description available.","10158614673876066","photo","https://www.facebook.com/photo.php?fbid=10158614673876066&set=a.554632122685656&type=3","100044166202847","GMA Public Affairs","https://scontent-iad3-2.xx.fbcdn.net/v/t39.30808-1/376885946_912466956902169_1886388560392625402_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx484x484&ctp=s40x40&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=U0QjaWhxGrMQ7kNvwHjJDIU&_nc_oc=Adp6weCZojKTsBfimDnWs25XAWy15us4OYFAA86kWZnvHD6E_EdbTzJ2n46uk0zsg5M&_nc_zt=24&_nc_ht=scontent-iad3-2.xx&_nc_gid=mJcDlDMwYMV4lRlsZfKaSg&_nc_ss=7c2a8&oh=00_AQCgf33SmVw3ytcFhkDiLDXCkn106NGpzEuoTLFWFo5N4w&oe=6A5FA87D","https://www.facebook.com/gmapublicaffairs","3687","10158614692526066","BARANGAY SA ALBAY, TILA NILAMON NG PUTIK AT BAHA DAHIL SA BAGYO

Nagmistulang nabaon sa putik ang ilang bahagi ng Brgy. Ilawod, Camalig, Albay matapos umapaw ang tubig sa mega dike sa lugar. At ang baha, may kasama umanong lahar mula sa Mayon Volcano, ayon kay Rich Mortel Nopia! 

Wala pa raw silang nababalitaang nasawi sa trahedya, pero natabunan daw ng putik ang kanilang mga taniman ng palay habang lubog naman sa hanggang bewang na baha ang ilang bahay.

📸: Rich Mortel Nopia, Ryan Mortel Navales

Bisitahin ang www.gmanews.tv para sa iba pang mga balita.","7","8","3438","63","6363","100","21","10000","18779","1604208087000","https://www.facebook.com/gmapublicaffairs/posts/pfbid02aah1MKMURBfsWDKJi1GRkfq24hb8C9arQ5q28tHUderhMPrTAk976fzC5eN1MvENl"
