"attachments/0/accessibilityCaption","attachments/0/id","attachments/0/type","attachments/0/url","attachments/1/accessibilityCaption","attachments/1/id","attachments/1/type","attachments/1/url","attachments/2/accessibilityCaption","attachments/2/id","attachments/2/type","attachments/2/url","attachments/3/accessibilityCaption","attachments/3/id","attachments/3/type","attachments/3/url","attachments/4/accessibilityCaption","attachments/4/id","attachments/4/type","attachments/4/url","author/id","author/name","author/profilePicture","author/profileUrl","commentsCount","postId","postText","reactions/haha","reactions/like","reactions/love","reactions/sorry","reactions/support","reactions/wow","reactionsCount","sharesCount","timestamp","url"
"No photo description available.","2773630189582938","photo","https://www.facebook.com/photo.php?fbid=2773630189582938&set=a.1602119876733981&type=3","No photo description available.","2773630222916268","photo","https://www.facebook.com/photo.php?fbid=2773630222916268&set=a.1602119876733981&type=3","No photo description available.","2773630276249596","photo","https://www.facebook.com/photo.php?fbid=2773630276249596&set=a.1602119876733981&type=3","No photo description available.","2773630309582926","photo","https://www.facebook.com/photo.php?fbid=2773630309582926&set=a.1602119876733981&type=3","No photo description available.","2773630332916257","photo","https://www.facebook.com/photo.php?fbid=2773630332916257&set=a.1602119876733981&type=3","100008079528360","Berzie BC Cayton","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/726380864_4440422626237011_4011812713250392217_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx2039x2048&ctp=s40x40&_nc_cat=106&ccb=1-7&_nc_sid=1d2534&_nc_ohc=ObDwZHjY8yQQ7kNvwEzs5Y1&_nc_oc=AdoJTdgvKR3vMxRt7NecsIvYCyRSZd9QxCFpTmh2deL1I1sGXp1u6oVTENA553jE3ig&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=Xm3f4iTNmZTk8pHSqi0A4A&_nc_ss=7c2a8&oh=00_AQBEyzdfDziaFYRCA1Va2WG0_vTmUvkCxmTgtUVOcTAuwA&oe=6A5FCC40","https://www.facebook.com/berzie.c.cayton","3","2773631079582849","Hangad po namin ang kaligtasan ng bawat isa. Patuloy po tayo mag momonitor sa ating mga nasasakupan. Nawa ay huwag ng tumaas ang tubig sa at posibleng mag cause ng baha sa atin dulot ng Typhoon Rolly. Pinapayuhan po ang lahat na mag ingat at maging handa po ang bawat isa. Patuloy din po tayo manalangin na maging ligtas ang lahat.

#beyondcommunity",,"70","1",,"2",,"73","1","1604208792000","https://www.facebook.com/berzie.c.cayton/posts/pfbid02PfAR8smxnfffgof6ufn1vDepGarCVaCwZASjHiTjW25kNL3WTMbLvw1HQCZSZygil"
"No photo description available.","2732169217043413","photo","https://www.facebook.com/photo.php?fbid=2732169217043413&set=a.473183491506861&type=3","No photo description available.","2732169393710062","photo","https://www.facebook.com/photo.php?fbid=2732169393710062&set=a.473183491506861&type=3","No photo description available.","2732169260376742","photo","https://www.facebook.com/photo.php?fbid=2732169260376742&set=a.473183491506861&type=3","No photo description available.","2732169347043400","photo","https://www.facebook.com/photo.php?fbid=2732169347043400&set=a.473183491506861&type=3","No photo description available.","2732169537043381","photo","https://www.facebook.com/photo.php?fbid=2732169537043381&set=a.473183491506861&type=3","100064456431072","Pamahalaang Barangay Sta. Ana, Taytay, Rizal","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/615559204_1315787573913111_6709049940981676637_n.jpg?stp=c211.211.578.578a_cp0_dst-jpg_tt6&cstp=mx578x578&ctp=s40x40&_nc_cat=100&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=5BpX25xZouQQ7kNvwGUP6UK&_nc_oc=Adq_5-IkVPTA-fznVK0Eulm20A5Qd1h8vSsBC19PS8EAeYQBH7ZWhO1SAxRk-KJSNdo&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=Xm3f4iTNmZTk8pHSqi0A4A&_nc_ss=7c2a8&oh=00_AQAynEofNEx0PUEwtHOV6CJI6dTUlkLVNxjhWVwD90N0tQ&oe=6A5FC39E","https://www.facebook.com/BarangayStaAnaTR","10","2732172300376438","Monitoring ng ating Barangay Disaster Risk Reduction Management Council, sa pangunguna ni Kap Michael A. Cruz, Chairman ng BDRRMC.

Personal nilang binisita ngayong araw ang mga lugar sa ating Barangay na maaaring maapektuhan ng Bagyong #RollyPH (Lupang Arenda, Lupang Mitra, Exodus at Purok 8 Bagong Pag-asa sa Floodway, Sitio Kalikuan at ilang kritikal na bahagi sa Poblacion/Central) at nagbigay ng instruction para sa maayos na coordination ng mga Purok na mangangailangan ng tulong.

Para sa mga paglikas oras na tumaas ang tubig-baha at sa relief goods sa mga apektadong lugar, narito po ang mga hotlines/emergency numbers na dapat ninyong tawagan:

Taytay MDRRMO (02) 8286-6159
Sta. Ana BDRRMO (02) 706-6332, 0920-9192434

#NagkakaIsangStaAna",,"163","15",,"14",,"192","23","1604214932000","https://www.facebook.com/BarangayStaAnaTR/posts/pfbid0RxQAC7p4zHWphRVddRfbju7CVrLHihTRbdkqfaR1vFS6tRTJNKECEF9ZRbAzhDnKl"
,,,,,,,,,,,,,,,,,,,,"100044530415473","Vico Sotto","https://scontent-iad3-2.xx.fbcdn.net/v/t39.30808-1/242750332_412430730251271_7365294697476263126_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx446x450&ctp=p40x40&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=J3WPp1oPDQUQ7kNvwHPzlGz&_nc_oc=AdqGLlSdbAOzra1pr5ksYSnuBlmC6HB5hgrrD8h3i8EWgspZeWty8WkLRikc0otTjhg&_nc_zt=24&_nc_ht=scontent-iad3-2.xx&_nc_gid=Xm3f4iTNmZTk8pHSqi0A4A&_nc_ss=7c2a8&oh=00_AQD_qJ_Pt_qIeildqgOZWgvZhiwNVsqDzPjjAqcJpbSSLg&oe=6A5FB43B","https://www.facebook.com/VicoSotto","5","3745952972090648","Ingat mga Santoleno! Ingat mga Ka-Lungsod!!",,"315","14",,"10","1","340","5","1604225622000","https://www.facebook.com/OfficialUgnayanSaPasig/posts/pfbid02Y24CnioJkK82vuMv1CRjzmr841R2qLZjWNxvDew5YyWS3fzygnFCwjRnsFeiQkBRl"
"No photo description available.","3468024136619410","photo","https://www.facebook.com/photo.php?fbid=3468024136619410&set=a.302282152084649&type=3","No photo description available.","3468024209952736","photo","https://www.facebook.com/photo.php?fbid=3468024209952736&set=a.302282152084649&type=3","No photo description available.","3468024289952728","photo","https://www.facebook.com/photo.php?fbid=3468024289952728&set=a.302282152084649&type=3","No photo description available.","3468024376619386","photo","https://www.facebook.com/photo.php?fbid=3468024376619386&set=a.302282152084649&type=3","No photo description available.","3468024476619376","photo","https://www.facebook.com/photo.php?fbid=3468024476619376&set=a.302282152084649&type=3","100069085992938","DepEd Cainta Senior High School","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/465796403_888102313502627_8260149232464783424_n.jpg?stp=c0.351.1545.1545a_cp0_dst-jpg_tt6&cstp=mx1545x1545&ctp=s40x40&_nc_cat=100&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=v0pAfK3VEdAQ7kNvwEIYsqd&_nc_oc=AdrJVdy4xus3PocDXXK4w1TEVk6gUEfiutQEe-fOcjQIICO-cpnHWmbtHcWGi8ZnGdU&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=Xm3f4iTNmZTk8pHSqi0A4A&_nc_ss=7c2a8&oh=00_AQCnjnTHYkbewJfVpR33oeCiuCp4JhJLtpAbyaaS0pdBsw&oe=6A5FBC5D","https://www.facebook.com/caintaseniorhighschoolofficial","1","3468024653286025","Ang Cainta Senior High School (Sitio Victoria St., Brgy San Juan) ay bukas po para sa mga evacuees bunsod ng bagyong Rolly. Pwede na pong magtungo sa paaralan anumang oras kung nararamdaman po nating manganganib tayo sa baha o anumang sakuna dala ng malakas na pagbaha at pag ulan. 

Mag iingat po ang lahat. Kaawaan nawa tayo ng Maykapal.

#BidaAngHanda
#SulongBlueRizal",,"25","110",,"1",,"136","65","1604200883000","https://www.facebook.com/caintaseniorhighschoolofficial/posts/pfbid0eqj2AD6wfRCQC3To3obgHqpq7VysMpRk2SUUawPfnVqrLsUyUGuHDh2iGzAaE2Zal"
"No photo description available.","3609396405786672","photo","https://www.facebook.com/photo.php?fbid=3609396405786672&set=gm.2569637763327913&type=3","No photo description available.","3609396522453327","photo","https://www.facebook.com/photo.php?fbid=3609396522453327&set=gm.2569637763327913&type=3","No photo description available.","3609396595786653","photo","https://www.facebook.com/photo.php?fbid=3609396595786653&set=gm.2569637763327913&type=3",,,,,,,,,"100067077134330","Riders Anti-Crime & Emergency Response","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/464321013_867267315519165_6464339749292358717_n.jpg?stp=c0.0.568.568a_cp0_dst-jpg_tt6&cstp=mx568x568&ctp=s24x24&_nc_cat=101&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=CGb9ZVQ6w3gQ7kNvwFrLzW2&_nc_oc=AdrzuplsI4NdpO39ZGVZMbX9kPSn3CwBLb-v_hw2eTmBBAKKksDt5nqxtlI9WJR2kDc&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=Xm3f4iTNmZTk8pHSqi0A4A&_nc_ss=7c2a8&oh=00_AQD8p0xlW4YGAAkwXor7TZ4layapZmCtXNf0uGuiHA8GkA&oe=6A5FC9B7","https://www.facebook.com/racervolunteer","1","2569637763327913","#SituationReport Baha na po sa Polangui, Albay, Philippines dahil sa #BagyongRolly

📷 Boyet Samson",,"20",,"42",,"4","66","36","1604205779000","https://www.facebook.com/groups/RACER.volunteer/permalink/2569637763327913/"
,,,,,,,,,,,,,,,,,,,,"100064763650024","Taga Santolan Ako","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/348254322_222867710472521_5310229546146402976_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx919x908&ctp=s40x40&_nc_cat=101&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=vx2UGqJYXRYQ7kNvwFRnuSS&_nc_oc=AdoNojEnRannr9RO2cns4Q_0PWiM_tNm1LyKGJXKwKUukoJn5Gt5rSh_c8yuKa7Hws4&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=Xm3f4iTNmZTk8pHSqi0A4A&_nc_ss=7c2a8&oh=00_AQDj1aJejahgiIPihRacyVItYzIu0sOfP-1I2_Ei-4-fOg&oe=6A5FB714","https://www.facebook.com/TagaSantolanAko","10","3390899437667492","IN PHOTOS: Preemptive evacuation in Brgy. Santolan.

Kapag sinabihan po tayo ng Incident Management Team o Barangay na kailanganglumikas, mag-cooperate tayo kaagad.

Mas mabuti nang nag-ingat tayo at di naman lumakas ang ulan, kaysa masyado tayong kampante tapos biglang tumaas ang baha.

Strongest rains/winds expected around 8pm. Praying for the best, preparing for the worst... Stay safe, mga Pasigueño! (MVS)",,"122","19",,"1","1","143","11","1604225207000","https://www.facebook.com/TagaSantolanAko/posts/pfbid02WyzQFFhG9FHqTStpzRMejRcNR3qP7UfBfSGW23jmWjAe6XQnJUTE2szGV4FjTbfRl"
"No photo description available.","4115336231816551","photo","https://www.facebook.com/photo.php?fbid=4115336231816551&set=a.450601887091693&type=3","No photo description available.","4115336305149877","photo","https://www.facebook.com/photo.php?fbid=4115336305149877&set=a.450601887091693&type=3","No photo description available.","4115336431816531","photo","https://www.facebook.com/photo.php?fbid=4115336431816531&set=a.450601887091693&type=3","No photo description available.","4115336518483189","photo","https://www.facebook.com/photo.php?fbid=4115336518483189&set=a.450601887091693&type=3","No photo description available.","4115336668483174","photo","https://www.facebook.com/photo.php?fbid=4115336668483174&set=a.450601887091693&type=3","100064256551876","NIAS News","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/444152820_840613411423870_2227677054895348915_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx954x960&ctp=s40x40&_nc_cat=100&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=FddyXKxGAxgQ7kNvwHtHyWB&_nc_oc=Ado3A6o4ISNLdKE340P3VYF92T_LfZHBgy3nPm6IhlAD1bujKZCpvwuTTt5wW0GpqR0&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=jRxb9R58GVjmEB_H1L85iQ&_nc_ss=7c2a8&oh=00_AQBxcjqiyNzAN8HgfR41fGw8iF_3zI_I_mi_2tSaUfNzbw&oe=6A5F9786","https://www.facebook.com/NIASNews","0","4115337318483109","LIVE: Nabalot ng putik ang Brgy. Ilawod, sa Camalig, Albay matapos umapaw ang tubig mula sa kanilang dike, bumaha din ng lahar na nagmula pa sa Bulkang Mayon dulot ng malakas na ulan dala ng Typhoon #RollyPH, umabot sa hanggang baywang ang baha sa kanilang lugar. RVG, NIAS News Philippines #NewsALERT #maybagyo ☔🍃🌀⚠️[Photos via Rich Mortel Nopia]

Kanias I share ang post na ito para sa pinakasariwang balita at inpormasyon",,"9",,"11",,,"20","5","1604211314000","https://www.facebook.com/NIASNews/posts/pfbid02CH6a2iX1t2tJxhQiAYXj2qzJfagh5ZP4JcvGt83nKJMVMN8Jo6GEAr3ZC5oJjLpCl"
,"650338615870157","video",,,,,,,,,,,,,,,,,,"100064256551876","NIAS News","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/444152820_840613411423870_2227677054895348915_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx954x960&ctp=s40x40&_nc_cat=100&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=FddyXKxGAxgQ7kNvwHtHyWB&_nc_oc=Ado3A6o4ISNLdKE340P3VYF92T_LfZHBgy3nPm6IhlAD1bujKZCpvwuTTt5wW0GpqR0&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=jRxb9R58GVjmEB_H1L85iQ&_nc_ss=7c2a8&oh=00_AQBxcjqiyNzAN8HgfR41fGw8iF_3zI_I_mi_2tSaUfNzbw&oe=6A5F9786","https://www.facebook.com/NIASNews","10","4114796878537153","LIVE: Nagmistulang ng rumaragasang ilog na ang baha sa Ilawod, sa bayan ng Camalig, Albay dahil sa walang tigil na pag-ulan na dulot ng super typhoon #RollyPH, nasa Tropical Cyclone Wind Signal no. 5 ang Albay. RVG, NIAS News Philippines #NewsALERT #maybagyo 🌀☔🍃⚠️. [Video via Bryll Czr Vibar]

Kanias I share ang post na ito para sa pinakasariwang balita at inpormasyon

https://m.youtube.com/channel/UCz47FmZvYqfz0Y9z3FxOvSQ",,"5",,"27","2","2","36","54","1604194957000","https://www.facebook.com/NIASNews/videos/650338615870157/"
"No photo description available.","170445684708732","photo","https://www.facebook.com/photo.php?fbid=170445684708732&set=a.514341684030448&type=3","No photo description available.","170445704708730","photo","https://www.facebook.com/photo.php?fbid=170445704708730&set=a.514341684030448&type=3","No photo description available.","170445724708728","photo","https://www.facebook.com/photo.php?fbid=170445724708728&set=a.514341684030448&type=3","No photo description available.","170445744708726","photo","https://www.facebook.com/photo.php?fbid=170445744708726&set=a.514341684030448&type=3","No photo description available.","170445764708724","photo","https://www.facebook.com/photo.php?fbid=170445764708724&set=a.514341684030448&type=3","100063638623455","Arcangel대천사","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/289733758_556596689426961_6619238843147857891_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx960x960&ctp=s40x40&_nc_cat=110&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=RQsd4KNzIdkQ7kNvwFS21k3&_nc_oc=Adpr-HVNsqmdKqdCCefElWP3hb8n3ArG_BRL7NhsDC4ErCJsJQWfs3U6SLuo3HkGDpg&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=jRxb9R58GVjmEB_H1L85iQ&_nc_ss=7c2a8&oh=00_AQBNP6KKZh2xB8Z3h2N7t0clXQZmiTybbQzulnQwiNcXSw&oe=6A5FB01F","https://www.facebook.com/raymondarcangelicious","2","170445788042055","Umabot hanggang bubong ang baha sa Brgy Busay sa Daraga, Albay na dulot ng pananalasa ng typhoon #RollyPH ngayong Linggo. Sa kuha ni AJ Miraflor kanina alas-9 ng umaga, rumaragasang tubig at abot bubong na baha ang naranasan ng mga residente malapit sa Cagsawa Ruins.

Keep safe everyone at ipagdasal natin na maging maayos ulit ang panahon 🙏🏻❤️",,,"1","24",,,"25","1","1604223412000","https://www.facebook.com/raymondarcangelicious/posts/pfbid02zyHipUSDbEgWdErqGnwSGp2LryTQpFFM7LUbEMFE6LFAEWwFPw4phomumXdTu6wil"
,,,,,,,,,,,,,,,,,,,,"100064135270298","Damulag Memes","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/302291342_448529157294923_3300681659991774089_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx462x470&ctp=p40x40&_nc_cat=109&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=Y6mkEt4xh2oQ7kNvwHNrp0I&_nc_oc=AdpcFhMcMpfStm6dbLRaYk5dGI3AOBXmWNplOS7TgqkCjTAo6Qr33LbvgpyMWjIiyZM&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=jRxb9R58GVjmEB_H1L85iQ&_nc_ss=7c2a8&oh=00_AQABnsB-KjADVTxcmOiZw6Vu6XlTCwZCXyhDWFyDkeiceQ&oe=6A5FA43C","https://www.facebook.com/pinoytrending247","0","170146164835263","😭😭😭😭😭",,,,"3",,,"3","0","1604205952000","https://www.facebook.com/pinoytrending247/posts/pfbid033tg4z3fmL4nUAdosec8ScMCt8WQ6iMhMRUdH8FJG2AC2VFQcpfzKDy2CqyzH4JCjl"
