"attachments/0/accessibilityCaption","attachments/0/id","attachments/0/type","attachments/0/url","attachments/1/accessibilityCaption","attachments/1/id","attachments/1/type","attachments/1/url","attachments/2/accessibilityCaption","attachments/2/id","attachments/2/type","attachments/2/url","attachments/3/accessibilityCaption","attachments/3/id","attachments/3/type","attachments/3/url","attachments/4/accessibilityCaption","attachments/4/id","attachments/4/type","attachments/4/url","author/id","author/name","author/profilePicture","author/profileUrl","commentsCount","postId","postText","reactions/anger","reactions/haha","reactions/like","reactions/love","reactions/sorry","reactions/support","reactions/wow","reactionsCount","sharesCount","timestamp","url"
,"696689811277315","video",,,,,,,,,,,,,,,,,,"100064773907046","TV Patrol","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/608518829_1379498824219235_6894079646221905019_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx1079x1079&ctp=s40x40&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=eBZ3DoBYorkQ7kNvwH_OZej&_nc_oc=AdpSWlp44FT8xB5iEw99vpnd5t43ts5MzzOE2TzPYMUTB3x3PFrML2e9_N8P9fGt5aQ&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=C3wL-q9rhg98qhT9vh_vfA&_nc_ss=7c2a8&oh=00_AQC3mvVyrzN_TFyH1U70UJY4n61_T-5QXmJPab62Ee6PlQ&oe=6A5F904F","https://www.facebook.com/tvpatrol.abscbn","19","3596441203744576","Lubog pa rin sa baha ang malaking bahagi ng barangay Ilawod sa Camalig, Albay dahil sa bagyong #RollyPH.

Bukod sa baha, ang ilang bahay naman ay hindi pa rin mapasok ng mga residente dahil ito'y lubog sa lahar.

Panoorin ang #TVPatrolLive ngayong araw, Nobyembre 5, 2020
Facebook: bit.ly/34YAKmm
YouTube: bit.ly/3mVJyjb","2","5","3495","68","1315","26","6","4917","135","1604583353000","https://www.facebook.com/tvpatrol.abscbn/videos/696689811277315/"
,"271655854272053","video",,,,,,,,,,,,,,,,,,"100064957951102","ABS-CBN News","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/612193561_1385784586930127_8766501501849307524_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx513x511&ctp=s40x40&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=jjMlUL_Ip04Q7kNvwFv9Z3T&_nc_oc=Adrpv72IN0atEszVpgdBXO15o5NBoqvS6RJEHQmsFo3FniHeINs5lOY7vQYj44XlgB0&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=C3wL-q9rhg98qhT9vh_vfA&_nc_ss=7c2a8&oh=00_AQDownQkgPb9t1QJ4KQlQbpticbxUKLZbPySL__3KracDA&oe=6A5F9E5C","https://www.facebook.com/abscbnNEWS","217","10158955065690168","“Pa, bangon ka na. Bangon ka na, Pa.”

Nagluluksa si Liwayway Jacob sa pagkamatay ng asawang si Mario at anak na si Mecaella, na nalunod sa kasagsagan ng pananalasa ng bagyong Rolly sa Catanduanes. 

Nang matagpuan ang bangkay ni Meacaella, nakita itong may hawak na learning module. | via Jacque Manabat, ABS-CBN News

BASAHIN DITO ang kaugnay na ulat: https://bit.ly/3kVbtPC","4","1","403","20","3707","36","2","4173","230","1604489400000","https://www.facebook.com/abscbnNEWS/videos/271655854272053/"
,"367083634504084","video",,,,,,,,,,,,,,,,,,"100064957951102","ABS-CBN News","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/612193561_1385784586930127_8766501501849307524_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx513x511&ctp=s40x40&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=jjMlUL_Ip04Q7kNvwFv9Z3T&_nc_oc=Adrpv72IN0atEszVpgdBXO15o5NBoqvS6RJEHQmsFo3FniHeINs5lOY7vQYj44XlgB0&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=C3wL-q9rhg98qhT9vh_vfA&_nc_ss=7c2a8&oh=00_AQDownQkgPb9t1QJ4KQlQbpticbxUKLZbPySL__3KracDA&oe=6A5F9E5C","https://www.facebook.com/abscbnNEWS","14","10158958348490168","Patuloy ang retrieval operations sa mga lugar sa Guinobatan, Albay na natabunan ng lahar at malalaking bato.

Ang isang ama, hindi mapigilang maiyak habang inaalala ang sinapit ng pamilya nang rumagasa ang baha dahil sa bagyong Rolly. Nasawi sa trahedya ang 4-anyos niyang anak habang patuloy siyang umaasang muli pang makikita ang nawawalang asawa at panganay na anak.

BASAHIN DITO ang buong ulat: https://bit.ly/3mUIYCd

Panoorin ang #TVPatrolLive ngayong araw, Nobyembre 5, 2020
Facebook: bit.ly/34YAKmm
YouTube: bit.ly/3mVJyjb",,,"392","17","409","9","1","828","42","1604586340000","https://www.facebook.com/abscbnNEWS/videos/367083634504084/"
,,,,,,,,,,,,,,,,,,,,"100064957951102","ABS-CBN News","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/612193561_1385784586930127_8766501501849307524_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx513x511&ctp=s40x40&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=jjMlUL_Ip04Q7kNvwFv9Z3T&_nc_oc=Adrpv72IN0atEszVpgdBXO15o5NBoqvS6RJEHQmsFo3FniHeINs5lOY7vQYj44XlgB0&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=C3wL-q9rhg98qhT9vh_vfA&_nc_ss=7c2a8&oh=00_AQDownQkgPb9t1QJ4KQlQbpticbxUKLZbPySL__3KracDA&oe=6A5F9E5C","https://www.facebook.com/abscbnNEWS","1385","10158958039265168","""'Kapit sa akin,' [sabi ko] 'kaya natin to'. [Humambalos] 'yong malakas na tubig, may kasamang bato. Nakahiwa-hiwalay kami.""

Araw-araw binabalikan ni Salvador Marinque ang lugar kung saan pinaniniwalaang posibleng makita ang nawawala niyang misis at anak na tinangay ng lahar at baha nang manalasa ang bagyong Rolly.","5","8","1251","58","8564","106","8","10000","1435","1604582156000","https://www.facebook.com/abscbnNEWS/posts/pfbid02XwMqL1LzpsMzvRVqapDrPwVr6BhBy3YXqvNM3TWear7mW2YzEUMUY9e1ii2s9Ufol"
,"3599556033440527","video",,,,,,,,,,,,,,,,,,"100064773907046","TV Patrol","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/608518829_1379498824219235_6894079646221905019_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx1079x1079&ctp=s40x40&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=eBZ3DoBYorkQ7kNvwH_OZej&_nc_oc=AdpSWlp44FT8xB5iEw99vpnd5t43ts5MzzOE2TzPYMUTB3x3PFrML2e9_N8P9fGt5aQ&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=C3wL-q9rhg98qhT9vh_vfA&_nc_ss=7c2a8&oh=00_AQC3mvVyrzN_TFyH1U70UJY4n61_T-5QXmJPab62Ee6PlQ&oe=6A5F904F","https://www.facebook.com/tvpatrol.abscbn","32","3593595537362476","Lubog pa rin sa baha ang ilang palayan sa Polangui at Libon, Albay dahil sa bagyong #RollyPH.

Dahil dito, humihingi na ng tulong ang mga magsasaka lalo't nasira din pati na ang kanilang mga bahay.

Panoorin ang #TVPatrolLive ngayong araw, Nobyembre 4, 2020
Facebook: bit.ly/3eptxyO
YouTube: bit.ly/3jVM7Qt","6","10","5326","96","2047","25","8","7518","283","1604499055000","https://www.facebook.com/tvpatrol.abscbn/videos/3599556033440527/"
,"358117271916525","video",,,,,,,,,,,,,,,,,,"100069304665221","24 Oras","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/724552267_1341729854813824_3561841891807506997_n.jpg?stp=c420.0.1080.1080a_cp0_dst-jpg_tt6&cstp=mx1080x1080&ctp=s40x40&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=I5zbAXjbERQQ7kNvwGi3LLx&_nc_oc=AdoMywS5Wza-f0YRR3I6ZfF0hcAhcAcxE8q_NQFI77qjrdaS5Nlx1lr302vJWqXacMc&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=hUWm7pek3sNUSfX2VD3Jcg&_nc_ss=7c2a8&oh=00_AQDhgGXFIpLmSMa4iy93gI5k-cf7bcG0DCWQRlRN3IOLZg&oe=6A5F9260","https://www.facebook.com/24OrasGMA","103","3611690888914944","Giniba rin ng Bagyong Rolly ang itinatayong dam sa Marinduque na nagpalala rin sa baha sa kasagsagan ng ulan. Sa Legaspi, Albay, hindi kinaya ng itinayong dike ang ragasa ng tone-toneladang lahar.","2","3","566","9","90","5","2","677","19","1604503965000","https://www.facebook.com/24OrasGMA/videos/358117271916525/"
,"1021068134984807","video",,,,,,,,,,,,,,,,,,"100064957951102","ABS-CBN News","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/612193561_1385784586930127_8766501501849307524_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx513x511&ctp=s40x40&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=jjMlUL_Ip04Q7kNvwFv9Z3T&_nc_oc=Adrpv72IN0atEszVpgdBXO15o5NBoqvS6RJEHQmsFo3FniHeINs5lOY7vQYj44XlgB0&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=hUWm7pek3sNUSfX2VD3Jcg&_nc_ss=7c2a8&oh=00_AQAL-bqXz8MBIGnj18NpTwsOXG6Ou2kZQGKa6EZPWCk1uw&oe=6A5F9E5C","https://www.facebook.com/abscbnNEWS","22","10158955172835168","TINGNAN: Sa kabila ng bumubuting lagay ng panahon sa Pampanga, nasa 4 hanggang 6 na talampakan pa rin ang taas ng baha sa Barangay San Agustin sa bayan ng Candaba Miyerkoles. Humigit kumulang 700 pamilya ang apektado nito sa 5 purok.

Sa kasagsagan ng pag-ulan nitong mga nakalipas na araw, 120 pamilya ang kinailangan pang ilikas, ayon sa alkalde. Hindi na bago ang pagbaha sa Candaba na nagsisilbing catch basin ng mga karatig-bayan at probinsiya. #FloodPatrol | ulat ni Gracie Rutao, ABS-CBN News
 
BASAHIN DITO ang buong ulat: https://bit.ly/3jYM725",,,"99","3","57","2","2","163","12","1604493000000","https://www.facebook.com/abscbnNEWS/videos/1021068134984807/"
,"736240716979581","video",,,,,,,,,,,,,,,,,,"100064957951102","ABS-CBN News","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/612193561_1385784586930127_8766501501849307524_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx513x511&ctp=s40x40&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=jjMlUL_Ip04Q7kNvwFv9Z3T&_nc_oc=Adrpv72IN0atEszVpgdBXO15o5NBoqvS6RJEHQmsFo3FniHeINs5lOY7vQYj44XlgB0&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=hUWm7pek3sNUSfX2VD3Jcg&_nc_ss=7c2a8&oh=00_AQAL-bqXz8MBIGnj18NpTwsOXG6Ou2kZQGKa6EZPWCk1uw&oe=6A5F9E5C","https://www.facebook.com/abscbnNEWS","136","10158955350805168","Trending ang photoshoot ng isang lalaki mula sa Batangas City sa ""mini pool"" sa loob ng kanilang bahay dahil sa pagbaha sa kasagsagan ng bagyo.","2","675","438","24","2","4","16","1161","94","1604492400000","https://www.facebook.com/abscbnNEWS/videos/736240716979581/"
"No photo description available.","2262368583919883","photo","https://www.facebook.com/photo.php?fbid=2262368583919883&set=a.647063400785530&type=3","No photo description available.","2262368650586543","photo","https://www.facebook.com/photo.php?fbid=2262368650586543&set=a.647063400785530&type=3","No photo description available.","2262368640586544","photo","https://www.facebook.com/photo.php?fbid=2262368640586544&set=a.647063400785530&type=3","No photo description available.","2262368670586541","photo","https://www.facebook.com/photo.php?fbid=2262368670586541&set=a.647063400785530&type=3",,,,,"100064456281701","News5","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/352531091_590012623265943_7503745415624331533_n.png?stp=cp0_dst-png&cstp=mx719x719&ctp=s40x40&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=VZI5zKGnILYQ7kNvwG9kCPE&_nc_oc=Adq19oOaNakPrX0SXTIsZOMM0dJQoq39S3gyavnDl-oNewHiM3GyBPVyW04oKPHox_w&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=hUWm7pek3sNUSfX2VD3Jcg&_nc_ss=7c2a8&oh=00_AQAnXBxnNVqLHMNFxSFJ2cKNqgxBSCGMYew5tUcJlYKFyw&oe=6A5FAECF","https://www.facebook.com/News5Everywhere","1134","2262368820586526","Ibinahagi ni Vice Pres. Leni Robredo ang mga kuha sa pagbisita nila sa Brgy. San Jose, Bula, Camarines Sur na malapit sa lawa at ilog. Nanatiling lubog sa baha ang ilang komunidad, aniya. 

Dumaan din ang opisyal sa Iriga City Hall.

📷: Twitter/@lenirobredo","45","2595","785","96","60","15","7","3603","37","1604505399000","https://www.facebook.com/News5Everywhere/posts/pfbid028M4njYdbSoXvvSo9P3CRZqBfhGeuC7H5vweUMSi8v9d9rPdJ5fVtwwUfBfNaXxFZl"
,"696719277941035","video",,,,,,,,,,,,,,,,,,"100064957951102","ABS-CBN News","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/612193561_1385784586930127_8766501501849307524_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx513x511&ctp=s40x40&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=jjMlUL_Ip04Q7kNvwFv9Z3T&_nc_oc=Adrpv72IN0atEszVpgdBXO15o5NBoqvS6RJEHQmsFo3FniHeINs5lOY7vQYj44XlgB0&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=hUWm7pek3sNUSfX2VD3Jcg&_nc_ss=7c2a8&oh=00_AQAL-bqXz8MBIGnj18NpTwsOXG6Ou2kZQGKa6EZPWCk1uw&oe=6A5F9E5C","https://www.facebook.com/abscbnNEWS","13","10158958354030168","Apat na araw matapos ang pananalasa ng pinakalamakas na bagyo ngayong 2020, lubog pa rin sa baha at lahar ang maraming bahay sa ilang lugar sa Albay.

Sa isang barangay, bayanihan ang mga residente sa paggawa ng paraan upang may madaluyan ang tubig papunta sa dike para humupa na ang baha. #FloodPatrol

BASAHIN DITO ang kaugnay na ulat: https://bit.ly/3mUIYCd

Panoorin ang #TVPatrolLive ngayong araw, Nobyembre 5, 2020
Facebook: bit.ly/34YAKmm
YouTube: bit.ly/3mVJyjb","1",,"168","7","105","11",,"292","28","1604586609000","https://www.facebook.com/abscbnNEWS/videos/696719277941035/"
