"attachments/0/accessibilityCaption","attachments/0/id","attachments/0/type","attachments/0/url","attachments/1/accessibilityCaption","attachments/1/id","attachments/1/type","attachments/1/url","attachments/2/accessibilityCaption","attachments/2/id","attachments/2/type","attachments/2/url","attachments/3/accessibilityCaption","attachments/3/id","attachments/3/type","attachments/3/url","attachments/4/accessibilityCaption","attachments/4/id","attachments/4/type","attachments/4/url","author/id","author/name","author/profilePicture","author/profileUrl","commentsCount","postId","postText","reactions/anger","reactions/haha","reactions/like","reactions/love","reactions/sorry","reactions/support","reactions/wow","reactionsCount","sharesCount","timestamp","url"
,,,,,,,,,,,,,,,,,,,,"100044242248891","Pagasa Nationalcapitalregionprsd","https://scontent-iad6-1.xx.fbcdn.net/v/t1.6435-1/117890349_325012645508210_7691668635129397714_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx960x960&ctp=s24x24&_nc_cat=109&ccb=1-7&_nc_sid=e99d92&_nc_ohc=nzJFNRcbOIIQ7kNvwH6LOlB&_nc_oc=Ado0wYLt5cdKwI0q5TZokBa7jULySmLaimGaw27766zl-7kwv7P9Y1AGAILvrYccmWg&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=womsCatAj9tAuv0YJerEjg&_nc_ss=7c2a8&oh=00_AQAiF1wr3QuRB1g-WGOeSq_czcLAEPkI5VQre0oueodHCw&oe=6A815C21","https://www.facebook.com/pagasa.nationalcapitalregion","175","3238675896148329","Itinaas ng PAGASA ang Red Rainfall Advisory sa Laguna bandang alas dos ngayong hapon. Ang ibig sabihin nito ay mapanganib na ang baha at dapat nang maghandang lumikas ang mga residente tungo sa mas ligtas na lugar. Inaasahan po natin ang pagkilos at pagtugon ng mga pamayanan.

#TisoyPH
#KeepSafeLaguna","2","1","1737","66","663","1","8","2478","925","1575356228000","https://www.facebook.com/CongRamil/posts/pfbid023dc1dJR2eWm1NMo2Vy6hQhrsMbDveXYn2fBtqWjWa2oeynAzWN9FsrhPcML3im4Cl"
"No photo description available.","1764930580383213","photo","https://www.facebook.com/photo/?fbid=1764930580383213&set=a.483215353835809",,,,,,,,,,,,,,,,,"100064420463517","Holy Family Parish","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/608513065_1283782627112407_3892260780767116979_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx2048x2048&ctp=s40x40&_nc_cat=102&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=Fb-i4uQyTd4Q7kNvwHR7VRD&_nc_oc=Adqpw8V2SOtco5r-qd-k_Q0PNYrzNwAbtbn3aD6G73C3MS66FDKje4EfsNuaxc-FdCc&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=womsCatAj9tAuv0YJerEjg&_nc_ss=7c2a8&oh=00_AQDIvv1wKNAPjqKFm5ZA1CbdAKRfo9r4kdBIthxMLFBdJw&oe=6A5F9FC5","https://www.facebook.com/OurHolyFamilyPH","106","1764937287049209","WE PRAY AS ONE

Sa pagdating ng bagyong #TisoyPH, sama-sama tayong manalangin bilang isang pamilya upang maproteksyonan tayo sa bagyo at baha. Patuloy nating ipanalangin ang mga kapatid natin mas naapektuhan at maapektuuhan ng Bagyong Tisoy.

(+)
Graciously hear us, O Lord, when we call upon You,
and grant unto our supplications a calm atmosphere,
that we, who are justly afflicted for our sins,
may, by Your protecting mercy, experience pardon.
Through Christ our Lord. Amen. 
Nuestra Señora de Aranzazu, Pray for us!

#OurHolyFamily",,,"236","94",,,,"330","153","1575335142000","https://www.facebook.com/OurHolyFamilyPH/posts/pfbid02MykJErutqmT87HxMVVshi1HUqnMnqeMMCZakJ5MEz8VrHTegW6YqLMHBuk2jW68nl"
"No photo description available.","127527368694205","photo","https://www.facebook.com/photo/?fbid=127527368694205&set=a.538518124740802",,,,,,,,,,,,,,,,,"100057478568250","Estupidyante","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/298652396_538518151407466_7601600983604317524_n.png?stp=cp0_dst-png&cstp=mx576x576&ctp=s40x40&_nc_cat=107&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=bpCSgkjkRwcQ7kNvwEYy4PP&_nc_oc=AdozqFxaJ_yZg254eAzSEpxAEWnjVOTq4SNxCPztsh0jQdiYUoLy5gRNyZNNlMx5_o4&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=womsCatAj9tAuv0YJerEjg&_nc_ss=7c2a8&oh=00_AQAVjFZ8ze72OcYurEKZyYk1-lrOyrajM_VIuODb1zHY0Q&oe=6A5FB883","https://www.facebook.com/Estupidyanteinaction","0","127527395360869","MAG-INGAT!
ISDANG MAY PAKPAK NATAGPUAN SA BAHA

#TISAY",,"4","6",,,,,"10","5","1575428233000","https://www.facebook.com/Estupidyanteinaction/posts/pfbid0grUGNrv267asFskHdMBeBuo5x3ahsTfVN4sfVe718UmntGo1n1XXBVRjgYcyF9JXl"
,,,,,,,,,,,,,,,,,,,,"1543854173","Pagasa Nationalcapitalregionprsd","https://scontent-iad6-1.xx.fbcdn.net/v/t1.6435-1/117890349_325012645508210_7691668635129397714_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx960x960&ctp=s24x24&_nc_cat=109&ccb=1-7&_nc_sid=e99d92&_nc_ohc=nzJFNRcbOIIQ7kNvwH6LOlB&_nc_oc=Ado0wYLt5cdKwI0q5TZokBa7jULySmLaimGaw27766zl-7kwv7P9Y1AGAILvrYccmWg&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=womsCatAj9tAuv0YJerEjg&_nc_ss=7c2a8&oh=00_AQAiF1wr3QuRB1g-WGOeSq_czcLAEPkI5VQre0oueodHCw&oe=6A815C21","https://www.facebook.com/pagasa.nationalcapitalregion","0","2756026674462523","",,,,,,,,"0","0","1575356104000","https://www.facebook.com/groups/411647555567125/permalink/2756026674462523/"
"No photo description available.","2890331117684789","photo","https://www.facebook.com/photo.php?fbid=2890331117684789&set=a.417337230414213&type=3","No photo description available.","2890331161018118","photo","https://www.facebook.com/photo.php?fbid=2890331161018118&set=a.417337230414213&type=3","No photo description available.","2890331197684781","photo","https://www.facebook.com/photo.php?fbid=2890331197684781&set=a.417337230414213&type=3","No photo description available.","2890331271018107","photo","https://www.facebook.com/photo.php?fbid=2890331271018107&set=a.417337230414213&type=3","No photo description available.","2890331317684769","photo","https://www.facebook.com/photo.php?fbid=2890331317684769&set=a.417337230414213&type=3","100064138176033","Affordable Homes Murang Pabahay","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/356920040_660656356082298_3265757286371733672_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx451x452&ctp=s40x40&_nc_cat=104&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=pU89kRvEIYoQ7kNvwH6oFnA&_nc_oc=AdqgAQEQfHrxJLPYqYAq1WU5kC_-FHzNJkKq4jNgy9Nji0Fq1iueQq5Lqa72ol1yF1Q&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=womsCatAj9tAuv0YJerEjg&_nc_ss=7c2a8&oh=00_AQCc1mKobVu3FkuPWkMDjhjCRGTius3o9mMPj-asyLushA&oe=6A5FD037","https://www.facebook.com/profile.php?id=100064138176033","68","2890331851018049","👉 HANAP MO BA AY  MURANG PABAHAY NA THRU PAGIBIG? 
👉PWEDENG PWEDE din po sa mga IT'S COMPLICATED
👉 Estimated monthly from 6k to 8k 
👉 ETO NA ANG HINIHINTAY MO 👇👇👇

👉 Along the hiway 
👉 No need to take ng tricycle dahil paglabas mo may mga dumadaan ng vehicle jeep/uv and bus going to ANTIPOLO,CROSSING,AYALA, Pasig 

👉Less than 20 minutes drive  to Antipolo Proper.
👉 Wala pong Baha ..safe na safe
👉 Malapit sa School, Church, Market, Supermarket
👉 24 hrs/gated security
👉 May  community na po sa loob, expansion na po ito bago bubuksan
👉 For Locally employed, OFW and may Business ka man

*2 Storey Townhouse (Inner Unit)
-Actual turn over - bare finished 
-Lot Area: 40 sqm 
-Floor Area 46.60 sqm 
-Provision for 3 bedrooms, living, dining kitchen, 1  toilet and bath.

*RESERVE YOUR SLOT FOR ONLY 7,500!
👉 FIRST COME FIRST SERVE 

👉 Be ready for your requirements 
 ✔️ 2 valid id's government 
 ✔️ Proof of income like Payslip, COEC,Job contract ,
✔️ Proof of billing
✔️ Copy of Marriage cert/ birt cert (if single)

*INHOUSE Financing is also available for non-Pag-ibig members. 
 👉 Max of 5 years only. (13% interest/annum)

*REQUIRED INCOME:  17,500 and up

PM me for More details
Or contact me at 
Sun: 09435615421",,,"41","1",,,,"42","2","1575446526000","https://www.facebook.com/permalink.php?story_fbid=pfbid0cUSwyTQEhmiLDBpb5V31ww4ausc6LfkgDRfyQQqgUGGhmApjndCcj532uzmqNG2El&id=100064138176033"
"No photo description available.","1551513088336662","photo","https://www.facebook.com/photo/?fbid=1551513088336662&set=a.668260568441779",,,,,,,,,,,,,,,,,"100057735246576","Pang-alaalang Sentrong Medikal Amang Rodriguez","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/335155226_710992337438433_395725041582097496_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx626x622&ctp=s40x40&_nc_cat=104&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=T6WYrUB1KccQ7kNvwFnxLiS&_nc_oc=AdozQiiZEGFInYykeYO1QGBSEnu6-mim5ukEYZLq3bbGnjVUuKZdhxjAZuHpdQCj6uk&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=womsCatAj9tAuv0YJerEjg&_nc_ss=7c2a8&oh=00_AQBkLOhny_C6ON8MyaTRqZ_xhOR0Pi-FZhUGberxr_qRwA&oe=6A5FAFB8","https://www.facebook.com/OfficialARMMC","1","1551513108336660","Ano ba ang sakit na LEPTOSPIROSIS?

Agad na magpakonsulta sa pinakamalapit na health facility pag lumusong sa tubig baha, may sugat man o wala!",,,"32",,,,,"32","6","1575375268000","https://www.facebook.com/OfficialARMMC/posts/pfbid0DJj7wq9E3PctZpHxEdF8qcLq3qdsVA7itCeiEfujwr95KkENEM9c21q4qRNgHXaXl"
"No photo description available.","3557605294264502","photo","https://www.facebook.com/photo.php?fbid=3557605294264502&set=a.3008667142491656&type=3","No photo description available.","3557605404264491","photo","https://www.facebook.com/photo.php?fbid=3557605404264491&set=a.3008667142491656&type=3","No photo description available.","3557605500931148","photo","https://www.facebook.com/photo.php?fbid=3557605500931148&set=a.3008667142491656&type=3","No photo description available.","3557605617597803","photo","https://www.facebook.com/photo.php?fbid=3557605617597803&set=a.3008667142491656&type=3",,,,,"100063675203406","Ideal eloading business and franchising","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/302196339_499723455493490_5631678815701268977_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx1864x1844&ctp=s40x40&_nc_cat=100&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=xqROsNx69qkQ7kNvwEyLSff&_nc_oc=AdrBg0OukG6pjlSE9IB6tvHNRAKjv-L5q6489CJQ-UmyCG0ijYHkkbii9zYa_pZ41Pg&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=5l8EmEqoa9L2nNIWdazPmg&_nc_ss=7c2a8&oh=00_AQCEQPmKGsGXzbv1XWtSJB50zXo-IaAOQQwzV_p2ROWkUQ&oe=6A5FA8D2","https://www.facebook.com/ferrancullo09","0","3557605690931129","Congratulation po sa inyo Maam Jenalyn Gonzales!!

read her story👇👇👇👇👇

Thank you Lord 😇😇

Kahit Buma Bagyo  at Hindi maka labas ng bahay na Blessed ako ng ganito 😇 Kung dati kahit Bumabagyo kaylangan pumasok kahit  Baha na yung dadaanan kahit malakas ang ulan pilit parin papasok dahil sayang ang Minimum na sasahurin 😁..

Pero ngayon kumita ko ng 18,600 in Just 1 week😱😱 ng hindi maxadong stress 🥰🥰, Hindi kaylangan gumising ng maaga , hindi kaylangan matulog ng Late. 

Sobrang nag papa salamat ako dahil nakita ko yung Business na ito at Sinubukan ko , at ngayon isa na ako sa kumikita ng malaki dito, dati umaasa lang ako pero ngayon nagagawa ko na😱😱😇😇..

Tandaan lahat  sa UMPISA MAHIRAP, dahil ginagawa palang tayo hirap na parents natin 🤣🤣.

Pero pwera biro, kung ikaw sinimulan mo na yung Business na ito ituloy tuloy mo lang kikitain mo din yung kinikita namin ng walang ka hirap hirap, LABAN KA LANG para sa PANGARAP mo yan diba? Kaya ITULOY mo!!!

At Kung hindi kapa din Naniniwala na itong business na ito is LIFE CHANGING OPPORTUNITY ! Hindi pa huli ang lahat SIMULAN mo na NGAYON! 😇😇

#BLESSED 
#SALAMATPOAMA😇",,,"6",,,,,"6","0","1575383975000","https://www.facebook.com/ferrancullo09/posts/pfbid0xqfUxGyW7F26FLpxuQcudqf8s6c34jLXEGndfdwWUemkqHt7SxMWWc2FGC1i4ibzl"
"No photo description available.","2430464810553895","photo","https://www.facebook.com/photo/?fbid=2430464810553895&set=a.454689770009377",,,,,,,,,,,,,,,,,"100064050724979","Pancit Fiesta Marikina","https://scontent-iad3-2.xx.fbcdn.net/v/t39.30808-1/659096090_1384983883646623_5778883793343518769_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx720x718&ctp=s40x40&_nc_cat=103&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=XwBg471lP6UQ7kNvwFT4YHC&_nc_oc=AdqWOAHtj4b0d48eO4AxoiNFn-Z3hs1YwQpXE8egQIAGhCU6SFw5iZFEy4N9dPXaE_o&_nc_zt=24&_nc_ht=scontent-iad3-2.xx&_nc_gid=5l8EmEqoa9L2nNIWdazPmg&_nc_ss=7c2a8&oh=00_AQBEbThDDIz7CE7W5PtR99F19kqxjEX-MSlgrRn--giWHQ&oe=6A5FA114","https://www.facebook.com/pancitfiesta","0","2430464830553893","Tuesday Dec 3 2019!
Bagyo ka lang tisoy Pancit Fiesta kami open po kmi at makakapagdiliver basta.walang baha.jan sa inyo..call or txt free delivery po kmi 

Keep safe mga suki godbless us",,,"7",,,,,"7","0","1575337226000","https://www.facebook.com/pancitfiesta/posts/pfbid02QMa4ms2aHU5RS2HUCg5mYno3kwKdrgPSVqw6v9ZiavBnAcHX8vRtjm2nZvv7LLBYl"
"No photo description available.","798451820608095","photo","https://www.facebook.com/photo/?fbid=798451820608095&set=a.493226162824410",,,,,,,,,,,,,,,,,"100064110903937","Ideal Prime Ventures International Inc. E-Loading and Franchising Business","https://scontent-iad3-1.xx.fbcdn.net/v/t1.30497-1/453178253_471506465671661_2781666950760530985_n.png?stp=cp0_dst-png&cstp=mx2048x2048&ctp=s40x40&_nc_cat=1&ccb=1-7&_nc_sid=3e70f4&_nc_ohc=xrEZogmpOGwQ7kNvwFS_Q7C&_nc_oc=Adpl1IzeAeGiDY6BXg4xRQnzpV6YVpqNX3ANzdxbzm4ewQXMnbY84pE6eL-KG1vzVrI&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_ss=7c2a8&oh=00_AQC1TFNtVhfZN6iNfI5RjinRCYELAx0LrtB7PqsvOzbxRw&oe=6A81427A","https://www.facebook.com/IdealPremier","0","798451857274758","Congratulations po sa inyo Maam Jenalyn Gonzales!!

Thank you Lord 😇😇

Kahit Buma Bagyo  at Hindi maka labas ng bahay na Blessed ako ng ganito 😇 Kung dati kahit Bumabagyo kaylangan pumasok kahit  Baha na yung dadaanan kahit malakas ang ulan pilit parin papasok dahil sayang ang Minimum na sasahurin 😁..

Pero ngayon kumita ko ng 18,600 in Just 1 week😱😱 ng hindi maxadong stress 🥰🥰, Hindi kaylangan gumising ng maaga , hindi kaylangan matulog ng Late. 

Sobrang nag papa salamat ako dahil nakita ko yung Business na ito at Sinubukan ko , at ngayon isa na ako sa kumikita ng malaki dito, dati umaasa lang ako pero ngayon nagagawa ko na😱😱😇😇..

Tandaan lahat  sa UMPISA MAHIRAP, dahil ginagawa palang tayo hirap na parents natin 🤣🤣.

Pero pwera biro, kung ikaw sinimulan mo na yung Business na ito ituloy tuloy mo lang kikitain mo din yung kinikita namin ng walang ka hirap hirap, LABAN KA LANG para sa PANGARAP mo yan diba? Kaya ITULOY mo!!!

At Kung hindi kapa din Naniniwala na itong business na ito is LIFE CHANGING OPPORTUNITY ! Hindi pa huli ang lahat SIMULAN mo na NGAYON! 😇😇

#BLESSED 
#SALAMATPOAMA😇
#IDEALRESULT",,,"2",,,,,"2","1","1575382262000","https://www.facebook.com/IdealPremier/posts/pfbid02p2ZTPoZBkJ7XnJgFbWpQ5Zyau3RUhSTT7d6HDamiwvXnbi7n5GMUP9KFM8ECrpabl"
,,,,,,,,,,,,,,,,,,,,"100004856204600","Elmer Balong Corrales","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/589016379_3177691405736035_3650972843286208446_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx859x860&ctp=s40x40&_nc_cat=106&ccb=1-7&_nc_sid=1d2534&_nc_ohc=85Q5sFB_VfAQ7kNvwHCtfg2&_nc_oc=AdrjmAN6liA8Z1nh2PjA_dvW1COEbor9gflvc_OBlkUaObw7p_lTj82nYDsnNXk8wGc&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=5l8EmEqoa9L2nNIWdazPmg&_nc_ss=7c2a8&oh=00_AQDmUYopvhDFF2-gfSPiGtsvG4nX7e7Ldjni0UoloidWQg&oe=6A5FBB73","https://www.facebook.com/elmerbalongcorrales","0","1285765691624529","BRGY IVC",,,"14","1",,,,"15","0","1575359472000","https://www.facebook.com/groups/1156270434574056/permalink/1285765691624529/"
