"attachments/0/accessibilityCaption","attachments/0/id","attachments/0/type","attachments/0/url","attachments/1/accessibilityCaption","attachments/1/id","attachments/1/type","attachments/1/url","attachments/2/accessibilityCaption","attachments/2/id","attachments/2/type","attachments/2/url","attachments/3/accessibilityCaption","attachments/3/id","attachments/3/type","attachments/3/url","attachments/4/accessibilityCaption","attachments/4/id","attachments/4/type","attachments/4/url","author/id","author/name","author/profilePicture","author/profileUrl","commentsCount","postId","postText","reactions/anger","reactions/haha","reactions/like","reactions/love","reactions/sorry","reactions/support","reactions/wow","reactionsCount","sharesCount","timestamp","url"
,,,,,,,,,,,,,,,,,,,,"100044242248891","Pagasa Nationalcapitalregionprsd","https://scontent-iad6-1.xx.fbcdn.net/v/t1.6435-1/117890349_325012645508210_7691668635129397714_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx960x960&ctp=s24x24&_nc_cat=109&ccb=1-7&_nc_sid=e99d92&_nc_ohc=nzJFNRcbOIIQ7kNvwETA3Q9&_nc_oc=Adrx04jG2AP-wDDq37gcnEr3uZ5LLaqFOMGDEvIxlUEN6pp1KXBanBCaDNsui9i4DCM&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=-On_7chaeu31ZhOOtYvJYw&_nc_ss=7c2a8&oh=00_AQBtPo7CTExTIhCFjE_mqxoI_I0Ep4HLmB-_8s4lTz3SuQ&oe=6A815C21","https://www.facebook.com/pagasa.nationalcapitalregion","175","3238675896148329","Itinaas ng PAGASA ang Red Rainfall Advisory sa Laguna bandang alas dos ngayong hapon. Ang ibig sabihin nito ay mapanganib na ang baha at dapat nang maghandang lumikas ang mga residente tungo sa mas ligtas na lugar. Inaasahan po natin ang pagkilos at pagtugon ng mga pamayanan.

#TisoyPH
#KeepSafeLaguna","2","1","1737","66","663","1","8","2478","925","1575356228000","https://www.facebook.com/CongRamil/posts/pfbid023dc1dJR2eWm1NMo2Vy6hQhrsMbDveXYn2fBtqWjWa2oeynAzWN9FsrhPcML3im4Cl"
,,,,,,,,,,,,,,,,,,,,"100068787297362","Pagasa Nationalcapitalregionprsd","https://scontent-iad6-1.xx.fbcdn.net/v/t1.6435-1/117890349_325012645508210_7691668635129397714_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx960x960&ctp=s24x24&_nc_cat=109&ccb=1-7&_nc_sid=e99d92&_nc_ohc=nzJFNRcbOIIQ7kNvwETA3Q9&_nc_oc=Adrx04jG2AP-wDDq37gcnEr3uZ5LLaqFOMGDEvIxlUEN6pp1KXBanBCaDNsui9i4DCM&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=-On_7chaeu31ZhOOtYvJYw&_nc_ss=7c2a8&oh=00_AQBtPo7CTExTIhCFjE_mqxoI_I0Ep4HLmB-_8s4lTz3SuQ&oe=6A815C21","https://www.facebook.com/pagasa.nationalcapitalregion","3","2580608282017641","Heavy Rainfall Warning No. 2 #NCR_PRSD
Weather System: Typhoon TISOY
Issued at: 11:00 AM,03 December 2019

Yellow Warning: #MetroManila, #Rizal, #Cavite.
Associated Hazard: Possible FLOODING in flood-prone areas

Orange Warning: #Batangas, #Laguna.
Associated Hazard: FLOODING is THREATENING

Red Warning: #Quezon.
Associated Hazard: Serious FLOODING is expected in flood-prone areas

Meanwhile, light to moderate rains affecting #Bataan, #Pampanga, #Bulacan, #Tarlac, #Zambales, #NuevaEcija which may persist within 2-3 hours and may affect nearby areas.

The public and the Disaster Risk Reduction and Management Offices concerned are advised to MONITOR the weather condition and watch for the next advisory to be issued at 2:00 PM Today.",,,"53","2","10",,"1","66","43","1575342656000","https://www.facebook.com/NDRRMC/posts/pfbid02ZZwDQHJixMXvSKYeJ7weHNwyxoKstkZn7kbpGSmBCF76uoRNLSv3UY5pLCZnytXFl"
"No photo description available.","157793628896780","photo","https://www.facebook.com/photo.php?fbid=157793628896780&set=gm.2632807616766526&type=3","No photo description available.","157793692230107","photo","https://www.facebook.com/photo.php?fbid=157793692230107&set=gm.2632807616766526&type=3",,,,,,,,,,,,,"100039984321173","Pagasa Nationalcapitalregionprsd","https://scontent-iad6-1.xx.fbcdn.net/v/t1.6435-1/117890349_325012645508210_7691668635129397714_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx960x960&ctp=s24x24&_nc_cat=109&ccb=1-7&_nc_sid=e99d92&_nc_ohc=nzJFNRcbOIIQ7kNvwETA3Q9&_nc_oc=Adrx04jG2AP-wDDq37gcnEr3uZ5LLaqFOMGDEvIxlUEN6pp1KXBanBCaDNsui9i4DCM&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=-On_7chaeu31ZhOOtYvJYw&_nc_ss=7c2a8&oh=00_AQBtPo7CTExTIhCFjE_mqxoI_I0Ep4HLmB-_8s4lTz3SuQ&oe=6A815C21","https://www.facebook.com/pagasa.nationalcapitalregion","7","2632807616766526","Heavy Rainfall Warning No. 5  #NCR_PRSD
Weather System: Typhoon TISOY
Issued at: 8:00 PM,03 December 2019

Yellow Warning: #Bulacan(DonaRemediosTrinidad, SanMiguel, Norzagaray, SanIldefonso), #Quezon, #NuevaEcija, #Batangas, #Laguna, #Zambales, #Tarlac, #Rizal.
Associated Hazard: FLOODING in flood-prone areas

Meanwhile, Light to moderate rains affecting #MetroManila, #Bataan, #Pampanga, #Cavite, and the rest of Bulacan which may persist within 2-3 hours and may affect nearby areas.

The public and the Disaster Risk Reduction and Management Offices concerned are advised to MONITOR the weather condition and watch for the next advisory to be issued at 11:00 PM Today.

For more information and queries, please call telephone numbers 927-1335 and 927-2877 or log on to bagong.pagasa.dost.gov.ph.",,,"99","2","6",,"3","110","94","1575374444000","https://www.facebook.com/groups/NCR.PAGASA/permalink/2632807616766526/"
"No photo description available.","157741822235294","photo","https://www.facebook.com/photo.php?fbid=157741822235294&set=gm.2632526186794669&type=3","No photo description available.","157741932235283","photo","https://www.facebook.com/photo.php?fbid=157741932235283&set=gm.2632526186794669&type=3",,,,,,,,,,,,,"100039984321173","Pagasa Nationalcapitalregionprsd","https://scontent-iad6-1.xx.fbcdn.net/v/t1.6435-1/117890349_325012645508210_7691668635129397714_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx960x960&ctp=s24x24&_nc_cat=109&ccb=1-7&_nc_sid=e99d92&_nc_ohc=nzJFNRcbOIIQ7kNvwETA3Q9&_nc_oc=Adrx04jG2AP-wDDq37gcnEr3uZ5LLaqFOMGDEvIxlUEN6pp1KXBanBCaDNsui9i4DCM&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=-On_7chaeu31ZhOOtYvJYw&_nc_ss=7c2a8&oh=00_AQBtPo7CTExTIhCFjE_mqxoI_I0Ep4HLmB-_8s4lTz3SuQ&oe=6A815C21","https://www.facebook.com/pagasa.nationalcapitalregion","3","2632526186794669","Heavy Rainfall Warning No. 4  #NCR_PRSD
Weather System: Typhoon TISOY
Issued at: 4:56 PM,03 December 2019

Yellow Warning: #MetroManila, #Quezon, #Bataan, #Cavite, #Rizal.
Associated Hazard: FLOODING in flood-prone areas

Orange Warning: #Laguna, #Batangas.
Associated Hazard: FLOODING is still THREATENING

Meanwhile, Light to moderate rains affecting #Tarlac, #NuevaEcija, #Zambales, #Pampanga, #Bulacan which may persist within 2-3 hours and may affect nearby areas.

The public and the Disaster Risk Reduction and Management Offices concerned are advised to MONITOR the weather condition and watch for the next advisory to be issued at 8:00 PM Today.

For more information and queries, please call telephone numbers 927-1335 and 927-2877 or log on to bagong.pagasa.dost.gov.ph.","1",,"192","1","28",,"2","224","333","1575363643000","https://www.facebook.com/groups/NCR.PAGASA/permalink/2632526186794669/"
,,,,,,,,,,,,,,,,,,,,"100064606813035","Antipolo City Gov","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/243184711_223476796482546_7907706067647562237_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx2048x2048&ctp=s40x40&_nc_cat=106&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=JLvs1SWL_cMQ7kNvwHDkM1v&_nc_oc=Adp2oxz3F0o43EpPjRLmUmPC9Hy2pkmgHZ03JQz4qI-KREvd0y6Vn0z2kGRIQ1YXMwE&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=-On_7chaeu31ZhOOtYvJYw&_nc_ss=7c2a8&oh=00_AQBeLaqnxlpJlTYWWtz6g3EP7ahGNgSD7jFEXmdo7KesWA&oe=6A5FD291","https://www.facebook.com/antipolocitygovernment","193","2551181878265098","Flood and Traffic Advisory
As of 3:00pm * Dec.3, 2019 (Tuesday)

Benito Soliven Avenue(Lilac), Brgy. Mayamot
Not passable to LIGHT vehicles

Please take alternate routes.

Keep safe!",,"2","1064","3","359",,"88","1516","615","1575357811000","https://www.facebook.com/antipolocitygovernment/posts/pfbid02Tk3GSTo8RNfaidxhiRQdo2yk9E6WcTsfinJ3WuDRYgfQUyVoehY5vrX9UwNxSvdEl"
"No photo description available.","10159156791674922","photo","https://www.facebook.com/photo/?fbid=10159156791674922&set=a.633661758790229",,,,,,,,,,,,,,,,,"100064392325289","Eastwood City","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/273428832_10161690999999922_2711099988435452824_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx1080x1080&ctp=s40x40&_nc_cat=104&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=k-TCNIdV7xcQ7kNvwGLCikj&_nc_oc=AdqrI01W9khbUZLYHwIYUOtdotAuhN1qJSF4WszPTp06SjfwQz49zX-tjh087t-aahQ&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=ZaqPPTfKlbhBoNmGCtiyNg&_nc_ss=7c2a8&oh=00_AQCUSFMflYsCupuC-qU6N2P9mq0tnjDF71lSUst0XCTdeA&oe=6A5FC5B0","https://www.facebook.com/eastwoodcity","31","10159156795449922","We value your safety.

In case you are stranded or in need of shelter from the rains and flooding brought about by #TisoyPH, feel free to take comfort in our malls.

Overnight parking fees are waived.

Take care and stay dry, everyone!",,,"566","205",,,"33","804","199","1575346691000","https://www.facebook.com/eastwoodcity/posts/pfbid0ZL4rgzzcKgZG2jNVzzUJ2vEwqeZzUs2QJWvYfzkNE5L6A2fUXB44YkgkWhGGoetJl"
"No photo description available.","157698472239629","photo","https://www.facebook.com/photo.php?fbid=157698472239629&set=gm.2632228320157789&type=3","No photo description available.","157698448906298","photo","https://www.facebook.com/photo.php?fbid=157698448906298&set=gm.2632228320157789&type=3",,,,,,,,,,,,,"100039984321173","Pagasa Nationalcapitalregionprsd","https://scontent-iad6-1.xx.fbcdn.net/v/t1.6435-1/117890349_325012645508210_7691668635129397714_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx960x960&ctp=s24x24&_nc_cat=109&ccb=1-7&_nc_sid=e99d92&_nc_ohc=nzJFNRcbOIIQ7kNvwETA3Q9&_nc_oc=Adrx04jG2AP-wDDq37gcnEr3uZ5LLaqFOMGDEvIxlUEN6pp1KXBanBCaDNsui9i4DCM&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=ZaqPPTfKlbhBoNmGCtiyNg&_nc_ss=7c2a8&oh=00_AQBkjJ_Lua6q29aslWjH8QTOHp3p8Fq_yVc0Yu0mD3P43g&oe=6A815C21","https://www.facebook.com/pagasa.nationalcapitalregion","10","2632228320157789","Heavy Rainfall Warning No. 3  #NCR_PRSD
Weather System: Typhoon TISOY
Issued at: 2:00 PM,03 December 2019

Yellow Warning: #MetroManila, #Quezon, #Bataan.
Associated Hazard: Possible FLOODING in flood-prone areas

Orange Warning: #Cavite, #Rizal.
Associated Hazard: FLOODING is THREATENING

Red Warning: #Laguna, #Batangas.
Associated Hazard: Serious FLOODING is expected in flood-prone areas

Meanwhile, light to moderate rains affecting #Tarlac, #NuevaEcija, #Zambales, #Pampanga, #Bulacan which may persist within 2-3 hours and may affect nearby areas.

The public and the Disaster Risk Reduction and Management Offices concerned are advised to MONITOR the weather condition and watch for the next advisory to be issued at 5:00 PM Today.

For more information and queries, please call telephone numbers 927-1335 and 927-2877 or log on to bagong.pagasa.dost.gov.ph.","1","1","373",,"89",,"8","472","2347","1575352104000","https://www.facebook.com/groups/NCR.PAGASA/permalink/2632228320157789/"
"No photo description available.","157648838911259","photo","https://www.facebook.com/photo.php?fbid=157648838911259&set=gm.2631987856848502&type=3","No photo description available.","157648855577924","photo","https://www.facebook.com/photo.php?fbid=157648855577924&set=gm.2631987856848502&type=3",,,,,,,,,,,,,"100039984321173","Pagasa Nationalcapitalregionprsd","https://scontent-iad6-1.xx.fbcdn.net/v/t1.6435-1/117890349_325012645508210_7691668635129397714_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx960x960&ctp=s24x24&_nc_cat=109&ccb=1-7&_nc_sid=e99d92&_nc_ohc=nzJFNRcbOIIQ7kNvwETA3Q9&_nc_oc=Adrx04jG2AP-wDDq37gcnEr3uZ5LLaqFOMGDEvIxlUEN6pp1KXBanBCaDNsui9i4DCM&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=ZaqPPTfKlbhBoNmGCtiyNg&_nc_ss=7c2a8&oh=00_AQBkjJ_Lua6q29aslWjH8QTOHp3p8Fq_yVc0Yu0mD3P43g&oe=6A815C21","https://www.facebook.com/pagasa.nationalcapitalregion","1","2631987856848502","Heavy Rainfall Warning No. 2  #NCR_PRSD
Weather System: Typhoon TISOY
Issued at: 11:00 AM,03 December 2019

Yellow Warning: #MetroManila, #Rizal, #Cavite.
Associated Hazard: Possible FLOODING in flood-prone areas

Orange Warning: #Batangas, #Laguna.
Associated Hazard: FLOODING is THREATENING

Red Warning: #Quezon.
Associated Hazard: Serious FLOODING is expected in flood-prone areas

Meanwhile, light to moderate rains affecting #Bataan, #Pampanga, #Bulacan, #Tarlac, #Zambales, #NuevaEcija which may persist within 2-3 hours and may affect nearby areas.

The public and the Disaster Risk Reduction and Management Offices concerned are advised to MONITOR the weather condition and watch for the next advisory to be issued at 2:00 PM Today.

For more information and queries, please call telephone numbers 927-1335 and 927-2877 or log on to bagong.pagasa.dost.gov.ph.",,,"153","3","33",,"1","190","677","1575342569000","https://www.facebook.com/groups/NCR.PAGASA/permalink/2631987856848502/"
,,,,,,,,,,,,,,,,,,,,"100064542948515","Pagasa Nationalcapitalregionprsd","https://scontent-iad6-1.xx.fbcdn.net/v/t1.6435-1/117890349_325012645508210_7691668635129397714_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx960x960&ctp=s24x24&_nc_cat=109&ccb=1-7&_nc_sid=e99d92&_nc_ohc=nzJFNRcbOIIQ7kNvwETA3Q9&_nc_oc=Adrx04jG2AP-wDDq37gcnEr3uZ5LLaqFOMGDEvIxlUEN6pp1KXBanBCaDNsui9i4DCM&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=ZaqPPTfKlbhBoNmGCtiyNg&_nc_ss=7c2a8&oh=00_AQBkjJ_Lua6q29aslWjH8QTOHp3p8Fq_yVc0Yu0mD3P43g&oe=6A815C21","https://www.facebook.com/pagasa.nationalcapitalregion","0","2567291186701583","#ALISTO_MARIKEÑO
#ABISO_MARIKEÑO

Heavy Rainfall Warning No. 3 #NCR_PRSD
Weather System: Typhoon TISOY
Issued at: 2:00 PM,03 December 2019

Yellow Warning: #MetroManila, #Quezon, #Bataan.
Associated Hazard: Possible FLOODING in flood-prone areas

Orange Warning: #Cavite, #Rizal.
Associated Hazard: FLOODING is THREATENING

Red Warning: #Laguna, #Batangas.
Associated Hazard: Serious FLOODING is expected in flood-prone areas

Meanwhile, light to moderate rains affecting #Tarlac, #NuevaEcija, #Zambales, #Pampanga, #Bulacan which may persist within 2-3 hours and may affect nearby areas.

The public and the Disaster Risk Reduction and Management Offices concerned are advised to MONITOR the weather condition and watch for the next advisory to be issued at 5:00 PM Today.

For more information and queries, please call telephone numbers 927-1335 and 927-2877 or log on to bagong.pagasa.dost.gov.ph.",,,"64","2",,,,"66","26","1575352202000","https://www.facebook.com/MarikinaRescue161/posts/pfbid0rXbKEAk441k1J5ARTybn2UuEcC4PXTjnuDoGMDY6UWf3ySE3qYvNntKC1oKVY8oNl"
"No photo description available.","2970871026276008","photo","https://www.facebook.com/photo/?fbid=2970871026276008&set=a.646456850848000",,,,,,,,,,,,,,,,,"100064510727296","Ayala Malls U.P. Town Center","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/740741170_1509168144576862_7149658597492353389_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx2048x2048&ctp=s40x40&_nc_cat=106&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=LNWjEBpy3e4Q7kNvwETBDkP&_nc_oc=AdoMilM3tRv8TKCCMTL9dm4a8TMP2hVv3Ow7AaUdgRw9mpJTE80vOlQtYeJH9s4JKr8&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=ZaqPPTfKlbhBoNmGCtiyNg&_nc_ss=7c2a8&oh=00_AQBdOpnmcmNFy14UO_bPcxQBG_PgRiB1YTr-VICBFDN7yA&oe=6A5FBEB1","https://www.facebook.com/AyalaMallsUPTownCenter","13","2970871156275995","In cases of extreme weather and flooding, take shelter at Ayala Malls. Stay safe and dry.",,,"278","137",,,"18","433","104","1575331760000","https://www.facebook.com/AyalaMallsUPTownCenter/posts/pfbid0vTJ6NjN9hhLtUBuG8wMDvqjnLac22VMsnk5RF37phqp7rrRZzsfamLqW3KfLXVgHl"
