"attachments/0/accessibilityCaption","attachments/0/id","attachments/0/type","attachments/0/url","attachments/1/accessibilityCaption","attachments/1/id","attachments/1/type","attachments/1/url","attachments/2/accessibilityCaption","attachments/2/id","attachments/2/type","attachments/2/url","attachments/3/accessibilityCaption","attachments/3/id","attachments/3/type","attachments/3/url","attachments/4/accessibilityCaption","attachments/4/id","attachments/4/type","attachments/4/url","author/id","author/name","author/profilePicture","author/profileUrl","commentsCount","postId","postText","reactions/anger","reactions/haha","reactions/like","reactions/love","reactions/sorry","reactions/support","reactions/wow","reactionsCount","sharesCount","timestamp","url"
"No photo description available.","3554455014613759","photo","https://www.facebook.com/photo.php?fbid=3554455014613759&set=a.223761409781868&type=3","No photo description available.","3554455097947084","photo","https://www.facebook.com/photo.php?fbid=3554455097947084&set=a.223761409781868&type=3","No photo description available.","3554455214613739","photo","https://www.facebook.com/photo.php?fbid=3554455214613739&set=a.223761409781868&type=3",,,,,,,,,"100064440319479","Light Rail Transit Authority-LRT Line 2","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/453726828_881048744053128_3747089252876105380_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx1600x1600&ctp=s40x40&_nc_cat=104&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=70s6GWxR_UkQ7kNvwE9iNAE&_nc_oc=Adp71vVQb1A7aTymF2KT6Pm6v1qlNj7tm-OlxDbkmC5n7WO7y4i9gR8iTGRSoQ7_D4I&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=1hAhh2yOGncf8W1CWQVJ5A&_nc_ss=7e2a8&oh=00_AQA_ffZPU-mMJ-JG4TSyJNQ3GIT6i82wSZhrg-x9VrSegw&oe=6A5EDD48","https://www.facebook.com/OfficialLRTA","3","3554455261280401","FLOOD SITUATION REPORT | 
As affected by Typhoon #UlyssesPH 
Morning of November 12, 2020

First photo is at Pureza North Entrance. Second and third photos are near V. Mapa station. No LRT-2 operations.

Stay safe everyone!

Photo courtesy of LRTA Safety & Security Division

#LRT2CaresForYou","1",,"47",,"49",,,"97","70","1605148784000","https://www.facebook.com/OfficialLRTA/posts/pfbid0hrnhMrJZzzNjumrAi2wyRgwo9y6WLST2ZK2h8uakE2UaeDb8zF5t9gGC3d9iLGkCl"
"No photo description available.","10157979423532956","photo","https://www.facebook.com/photo.php?fbid=10157979423532956&set=a.357461513091736&type=3","No photo description available.","10157979423282956","photo","https://www.facebook.com/photo.php?fbid=10157979423282956&set=a.357461513091736&type=3","No photo description available.","10157979423227956","photo","https://www.facebook.com/photo.php?fbid=10157979423227956&set=a.357461513091736&type=3","No photo description available.","10157979423602956","photo","https://www.facebook.com/photo.php?fbid=10157979423602956&set=a.357461513091736&type=3","No photo description available.","10157979423647956","photo","https://www.facebook.com/photo.php?fbid=10157979423647956&set=a.357461513091736&type=3","100064836696694","Philippine Navy","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/740356205_1493595012811708_1448232721142482483_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx1080x1080&ctp=s40x40&_nc_cat=108&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=8ZJPi2Wml0oQ7kNvwH9vWS9&_nc_oc=Adp5Bzc59xt-BRFkzq9T6800OM7IE2QGDcbZKMStpSrV1g8JSpvOgMxMjsPuBxnoHKo&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=1hAhh2yOGncf8W1CWQVJ5A&_nc_ss=7e2a8&oh=00_AQCQWl6pDpoT9B-wXsT0Kea1al9EPrG_Xzbabop1Y_65VQ&oe=6A5EDDE2","https://www.facebook.com/PhilippineNavy","92","10157979426587956","IN PHOTOS: The heavy downpour brought by Typhoon “Ulysses” has caused massive flooding in many parts of Metro Manila which left many of our kababayans homeless. Deployed Philippine Navy Disaster Relief and Response Teams are seen here conducting water search and rescue along JP Laurel and Langka Street, Provident Village, and Urban Breeze, Barangka, all in Marikina City.

The concerted efforts of our sailors, marines and reservists during this critical time, in support of other government agencies, personify the Filipino spirit of “bayanihan” which encourages resiliency and determination among devastated Filipinos to rise again from this ordeal and carry on with their lives.

#UlyssesPH
#StrongandCrediblePHNavy
#AFPyoucanTRUST",,,"2709","564","78","187","4","3542","408","1605194561000","https://www.facebook.com/PhilippineNavy/posts/pfbid05cVcNVeztHeqDzsUEHtusKmV6nsVWyzfynHvKoj7WtU4nhErkE83WpVDTAMyvXogl"
,"1030453967382407","video",,,,,,,,,,,,,,,,,,"100067936773157","Imprint Customs","https://scontent-iad3-2.xx.fbcdn.net/v/t39.30808-1/332150661_917425059269271_3158498916416433382_n.jpg?stp=c274.239.1500.1500a_cp0_dst-jpg_tt6&cstp=mx1500x1500&ctp=s40x40&_nc_cat=111&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=hWDc4c-dr8sQ7kNvwF2HVWb&_nc_oc=AdpvUEThoIjOilfhu4f-2m3XT9C13SbH94Gtb3gIXdVwRnAZ-BTQo50w7vPJkHGtMNc&_nc_zt=24&_nc_ht=scontent-iad3-2.xx&_nc_gid=1hAhh2yOGncf8W1CWQVJ5A&_nc_ss=7e2a8&oh=00_AQCwuZjrGigRok9EhMlcdTwtD5YF04QzQwObbqRKhSAjcA&oe=6A5EDCC8","https://www.facebook.com/imprintcustoms","63","1520526664813739","Imprint Customs - The Store will be temporarily closed until further announcement. Affected po tayo sa flood dahil sa bagyo. Some items are affected and kailangan namin maglinis ng store.

We would like to ask for your kind understanding if there will be any delays in answering your queries or production of your orders. We will resume regular production ASAP. Thank you very much.

Salamat sa lahat ng extend ng gusto ng pagtulong. Very much appreciated po pero we prioritize as well ung safety ninyo. Ingat po sa lahat. Sama sama tayong babangon!",,,"634","116","24","85","1","860","26","1605188680000","https://www.facebook.com/imprintcustoms/videos/1030453967382407/"
,,,,,,,,,,,,,,,,,,,,"100064747774509","Pagasa Nationalcapitalregionprsd","https://scontent-iad6-1.xx.fbcdn.net/v/t1.6435-1/117890349_325012645508210_7691668635129397714_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx960x960&ctp=s24x24&_nc_cat=109&ccb=1-7&_nc_sid=e99d92&_nc_ohc=nzJFNRcbOIIQ7kNvwFR4cuT&_nc_oc=AdpDsZfMFs6qK3qDsDaHx3vrsoiJknWQqxGhfq34IWU7EsprHYm61OPYiQY5nzZiKeA&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=1hAhh2yOGncf8W1CWQVJ5A&_nc_ss=7e2a8&oh=00_AQCPDDGzbzRSv-pv3ljBF--0_aZvqjoj0BwZHmUgMpzEhg&oe=6A807B21","https://www.facebook.com/pagasa.nationalcapitalregion","8","3545062408915986","RED RAINFALL WARNING, itinaas sa Metro Manila bunsod ng pananalasa ng Bagyong Ulysses. Asahan ang SERIOUS FLOODING sa mga flood-prone areas. Maging alerto, Muntinlupeño!

EVACUATION CENTERS: bit.ly/MuntiEvacCenters

Muntinlupa Emergency Hotline
137-175

Rescue Hotline
0927-257-9322
0921-542-7123

Community Quarantine
0977-240-5217",,,"83","1","52","1",,"137","114","1605118662000","https://www.facebook.com/officialMuntinlupacity/posts/pfbid0npLdiiAGEh16uJZc2aVrzY2S6G6Ewujo7eeU5nrWPEXiRHghYz3y1h7RVweZqMKYl"
"No photo description available.","832442424261286","photo","https://www.facebook.com/photo.php?fbid=832442424261286&set=a.220777850331136&type=3","No photo description available.","832442474261281","photo","https://www.facebook.com/photo.php?fbid=832442474261281&set=a.220777850331136&type=3","No photo description available.","832442607594601","photo","https://www.facebook.com/photo.php?fbid=832442607594601&set=a.220777850331136&type=3","No photo description available.","832442800927915","photo","https://www.facebook.com/photo.php?fbid=832442800927915&set=a.220777850331136&type=3","No photo description available.","832442957594566","photo","https://www.facebook.com/photo.php?fbid=832442957594566&set=a.220777850331136&type=3","100071967676175","San Mateo Baptist Church","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/605214124_892174573191457_1782272371907620310_n.jpg?stp=c104.109.1364.1363a_cp0_dst-jpg_tt6&cstp=mx1364x1363&ctp=s40x40&_nc_cat=110&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=_eYn-EPjEggQ7kNvwGxLVpZ&_nc_oc=AdrLWPhtKQw_1IF2FwxuuzxE5riOZket1I_A1YA3FznVnxS9w50Gco_wmUwGATYunDk&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=1hAhh2yOGncf8W1CWQVJ5A&_nc_ss=7e2a8&oh=00_AQAnpQzzrO15ryeQsN0d3eYv5QOTE8hAyTzYOieXHdv3Lg&oe=6A5EC650","https://www.facebook.com/sanmateobc","14","832444127594449","Update: as of 10:00am the rains had stopped and the flood is starting to subside.

Families are still here waiting for the water to subside. Rescued pet dogs are also here sheltering from the storm and cold. 

Please continue to pray for the Members of SMBC who are flooded in different parts of San Mateo, and Marikina.

Please continue also to pray for the neighbors of our church. They have just started to recover from the pandemic and now another disaster came to their lives.
Prayers up also to those who the lives who are now being rescued and the families of those who died during the flood.
It is sad to see posts of people trapped in their houses and are hoping to be saved.

Lastly, pray for Salvation.
These people have been our common residents when flood occurs yet we still pray for their Salvation.

Just as Our Pastor Shared last sunday, our God is the God of Crisis and Calamities. He caused all things to happen.

""We may not fully understand why God is allowing us to Suffer,
Yet one truth stands above all,
There is a Purpose of Love Behind the Dark Providence. - GP

#PRAYERSUP FOR SAN MATEO

#PRAYERSUP FOR THE PHILIPPINES

#SMBC
#SanMateoRizal
#UlyssesPH",,,"45","32","1","26",,"104","22","1605149115000","https://www.facebook.com/sanmateobc/posts/pfbid0387XHoC9Ntutxxaj9cGPAiNQn28uvcYtFeM1ZbTudUXRhcLGQFJEYzQiq81sUHTkul"
"No photo description available.","3683345808410379","photo","https://www.facebook.com/photo/?fbid=3683345808410379&set=a.464791935661210",,,,,,,,,,,,,,,,,"100063912223535","Jakka Auto Repair","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/304980824_464791962327874_220016976736950666_n.png?stp=cp0_dst-png&cstp=mx960x960&ctp=s40x40&_nc_cat=110&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=t0-vOsTJJL8Q7kNvwGSt27Z&_nc_oc=AdoHeQPRZFeDXLVxKfP5JbSa42ntKNAVht4vCjmNegbDl8JWeIAFuEZhwI8Aix6XRog&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=1hAhh2yOGncf8W1CWQVJ5A&_nc_ss=7e2a8&oh=00_AQAhIJb1d-XO4aCtqdb6H7zPZrwwCSyneGDZ-ofXzWUtvA&oe=6A5EE34D","https://www.facebook.com/jakkaautorepair","10","3683351055076521","We are here to help. Bring your car to safety! 
The road may flood your car, but only an auto repair expert can restore and rehabilitate it  good as new!

At JAKKA, we repair with utmost care.

📞📞 Call us now!📞📞
0932-470-1945
901-4757

FREE TOWING IN MARIKINA

💳All Major credit cards accepted 
 
Waze to JAKKA
https://cutt.ly/cgMjQSY

#autorepairexpert
#ulysses
#typhoonulysses",,"1","674","11","2","3","6","697","57","1605193243000","https://www.facebook.com/jakkaautorepair/posts/pfbid02YcM67tWLaQTATCCNATX17LE8YzH1bzEk3e7K5ebjoeVFgZWcp1XbXskaoHrbDEinl"
"No photo description available.","206505350888062","photo","https://www.facebook.com/photo.php?fbid=206505350888062&set=a.437552618392296&type=3","No photo description available.","206505397554724","photo","https://www.facebook.com/photo.php?fbid=206505397554724&set=a.437552618392296&type=3","No photo description available.","206505404221390","photo","https://www.facebook.com/photo.php?fbid=206505404221390&set=a.437552618392296&type=3","No photo description available.","206505547554709","photo","https://www.facebook.com/photo.php?fbid=206505547554709&set=a.437552618392296&type=3","No photo description available.","206505567554707","photo","https://www.facebook.com/photo.php?fbid=206505567554707&set=a.437552618392296&type=3","100064126838935","Sun Valley Antipolo Properties","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/683073091_1392057439608471_1671427261087023134_n.jpg?stp=c200.0.1200.1200a_cp6_dst-jpg_tt6&cstp=mx1200x1200&ctp=s40x40&_nc_cat=104&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=LC0v484eUG8Q7kNvwEd6_y3&_nc_oc=Adqwn3ULbOxykSmzFr8E-BiQEdLPvei-9kYWTS41CnVwr8ZDk204Wdm2KC3dQCOLKVA&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=GyBX5Fs-kFFdsqImvTIY5w&_nc_ss=7e2a8&oh=00_AQAs23O1HtjJ_INAlUXYOdTKS9S7zUx-DfWIUK9-l3ZGow&oe=6A5ECEFC","https://www.facebook.com/profile.php?id=100064126838935","37","206505607554703","Looking for New Home That Are Flood Free
Nature Friendly
Fresh Air
Prime Lot in Antipolo City

Fishing Lagoon
ClubHouse
Golfcourse
Waterfalls
Tennis/Scoccer Field/Indoor Badminton
Hotel
Fitness gym

For more details please SEND MESSAGE or Contact 09154000407 TIN/CATHY",,,"136","8",,,"1","145","14","1605156878000","https://www.facebook.com/permalink.php?story_fbid=pfbid0KExT7QRkRacxe5Nsw4hhsZcEicRVMPhD19vtR6dSuxwDmYJ8LfFXW5toUVVJTbptl&id=100064126838935"
"No photo description available.","421249002600116","photo","https://www.facebook.com/photo.php?fbid=421249002600116&set=a.609761574494666&type=3","No photo description available.","421249032600113","photo","https://www.facebook.com/photo.php?fbid=421249032600113&set=a.609761574494666&type=3","No photo description available.","421249065933443","photo","https://www.facebook.com/photo.php?fbid=421249065933443&set=a.609761574494666&type=3","No photo description available.","421249092600107","photo","https://www.facebook.com/photo.php?fbid=421249092600107&set=a.609761574494666&type=3","No photo description available.","421249122600104","photo","https://www.facebook.com/photo.php?fbid=421249122600104&set=a.609761574494666&type=3","100063824864541","BABY's Affordable Homestay with City View","https://scontent-iad3-2.xx.fbcdn.net/v/t39.30808-1/696912524_1508058604664954_1654748533778573116_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx1254x1254&ctp=s40x40&_nc_cat=103&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=gs0G1BI_FbgQ7kNvwGN5aYC&_nc_oc=Adq6y4Bk8FVNJf0fmVZKuayS282G4H7rJU91Z4CKdNf6MQRkkNBpZR-tP6IWjl6r56A&_nc_zt=24&_nc_ht=scontent-iad3-2.xx&_nc_gid=GyBX5Fs-kFFdsqImvTIY5w&_nc_ss=7e2a8&oh=00_AQC34MXzQdyExTbApFISZwYLwB5wgXsS5MgwaTHwANuURA&oe=6A5EE41E","https://www.facebook.com/BenefitsSatisfactionValue","12","421250012600015","𝐖𝐞 𝐚𝐫𝐞 𝐟𝐥𝗼𝗼𝐝 𝐟𝐫𝐞𝐞, 𝐭𝐡𝐚𝐧𝐤 𝐲𝗼𝐮 𝐆𝗼𝐝.
𝐊𝐞𝐞𝐩 𝐬𝐚𝐟𝐞 𝐞𝐯𝐞𝐫𝐲𝗼𝐧𝐞....

📌#𝖡𝖠𝖡𝖸'𝗌 #AFFORDABLEHOMESTAY 𝗐𝗂𝗍𝗁 𝖢𝗂𝗍𝗒 & 𝖬𝗈𝗎𝗇𝗍𝖺𝗂𝗇 𝖵𝗂𝖾𝗐𝗌!
📌WITH PROPER CLEANING & INTENSIVE DISINFECTION OF UNITS/ROOMS!
💠Check-in 6:00PM- 6:30PM
💠Check-out 3:00PM- 3:30PM
💠Php 1350/21 hours of stay for two pax
💠If more than 21 hours, we can arrange subject to availability.
💠Traditional way of bonding with your loved ones
🔴Fully Airconditioned Rooms
🔴Cable TV
🔴No wifi-free data good signal 
🔴Food is allowed
🔴 Free Alkaline Drinking Water
🔴Pay Parking at 250/day
🔴Amazing City & Mountain Views
🔴Kiddie Pool free access-not yet allowed  by IATF and DOH
🔴Non Smoking Rooms- smoking area on the roofdecks
🔴Towels
🔴Linens
🔴Guest kits
💠Baby Tumaca at 📳 0967-3241808; 0905-5710885",,,"262","25",,,,"287","81","1605156464000","https://www.facebook.com/BenefitsSatisfactionValue/posts/pfbid07acqQHMV2j7hPFpDDR5uWtYpwk8xvMVvt5qT3Thy98o2hMwRDMsft5jTSdGtPCDRl"
,,,,,,,,,,,,,,,,,,,,"100064849864375","DOST-PAGASA","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/487303686_1099355335569452_7045424019269009221_n.png?stp=cp0_dst-png&cstp=mx1001x1001&ctp=s40x40&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=8-rGnn6nM6QQ7kNvwG9BeaB&_nc_oc=Ado1iXdKk1riXPrHgTAxKEkx52wpfwo3WJzDq1fvzR4S-NQ6ykcuOqcfKMCyXQ0fQec&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=GyBX5Fs-kFFdsqImvTIY5w&_nc_ss=7e2a8&oh=00_AQAb5dxumMhI4YOZ2mcsuXVD9F5uFZxmO3rSHc-rW4T77Q&oe=6A5EE69F","https://www.facebook.com/PAGASA.DOST.GOV.PH","14","2573209892969727","Katipuneros!

RED rainfall warning is now up in the metro. Expect heavy flooding in low-lying areas and near river channels. 

Just like you, we also cannot sleep. Let's be alert and ready. And please say a prayer for the safety of everyone.

---
#UlyssesPH",,,"48","7","7","12",,"74","9","1605120735000","https://www.facebook.com/radyokatipunan/posts/pfbid0GtZ2Z3893rt341V81E9v9RX8Hea6MxAqsVuMkcqFCZVpkMqw1Ya3s4N3hrQiYY8jl"
"No photo description available.","386368662705941","photo","https://www.facebook.com/photo.php?fbid=386368662705941&set=gm.3572446976135914&type=3","No photo description available.","386368626039278","photo","https://www.facebook.com/photo.php?fbid=386368626039278&set=gm.3572446976135914&type=3",,,,,,,,,,,,,"100039984321173","Pagasa Nationalcapitalregionprsd","https://scontent-iad6-1.xx.fbcdn.net/v/t1.6435-1/117890349_325012645508210_7691668635129397714_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx960x960&ctp=s24x24&_nc_cat=109&ccb=1-7&_nc_sid=e99d92&_nc_ohc=nzJFNRcbOIIQ7kNvwFR4cuT&_nc_oc=AdpDsZfMFs6qK3qDsDaHx3vrsoiJknWQqxGhfq34IWU7EsprHYm61OPYiQY5nzZiKeA&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=GyBX5Fs-kFFdsqImvTIY5w&_nc_ss=7e2a8&oh=00_AQAR6W9-wkC-T84zjrAh4-pvHewJEzD1NgYPEeifG5vIcQ&oe=6A807B21","https://www.facebook.com/pagasa.nationalcapitalregion","24","3572446976135914","Heavy Rainfall Warning No. 4  #NCR_PRSD
Weather System: Typhoon ULYSSES
Issued at: 2:00 AM,12 November 2020

Red Warning: #MetroManila, #Quezon, #Bulacan, #Rizal, #Laguna.
Associated Hazard: Serious FLOODING in flood-prone areas

Orange Warning: #Pampanga, #NuevaEcija.
Associated Hazard: FLOODING is still THREATENING

Yellow Warning: #Cavite, #Batangas, #Tarlac, #Zambales, Bataan.
Associated Hazard: Possible FLOODING in flood-prone areas

The public and the Disaster Risk Reduction and Management Offices concerned are advised to MONITOR the weather condition and watch for the next advisory to be issued at 5:00 AM Today.

For more information and queries, please call telephone numbers 927-1335 and 927-2877 or log on to bagong.pagasa.dost.gov.ph.","1",,"330","2","428","2","7","770","5249","1605117786000","https://www.facebook.com/groups/NCR.PAGASA/permalink/3572446976135914/"
