"attachments/0/accessibilityCaption","attachments/0/id","attachments/0/type","attachments/0/url","attachments/1/accessibilityCaption","attachments/1/id","attachments/1/type","attachments/1/url","attachments/2/accessibilityCaption","attachments/2/id","attachments/2/type","attachments/2/url","attachments/3/accessibilityCaption","attachments/3/id","attachments/3/type","attachments/3/url","attachments/4/accessibilityCaption","attachments/4/id","attachments/4/type","attachments/4/url","author/id","author/name","author/profilePicture","author/profileUrl","commentsCount","postId","postText","reactions/anger","reactions/haha","reactions/like","reactions/love","reactions/sorry","reactions/support","reactions/wow","reactionsCount","sharesCount","timestamp","url"
,"2589054931276265","video",,,,,,,,,,,,,,,,,,"100064849986224","GMA News","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/658216539_1459297662908553_7892569438724908023_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx1200x1200&ctp=s40x40&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=_9Kw3PkUnsIQ7kNvwGlP5mQ&_nc_oc=AdpGGvokEovr-Z-oRC11dmE_7YQXsn1x44Vt6HT-J46gfz2Z0bmLZebN_kRfM2n2d30&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=mFNKR9aFp_5EdFbB0GEN1A&_nc_ss=7e2a8&oh=00_AQBJLuQakigk-vazKD_9RiRqiyJ0vEcGXGmd23OvhLlXeg&oe=6A5E39BF","https://www.facebook.com/gmanews","16","923513953153596","PANOORIN: Mataas pa rin ang antas ng tubig-baha sa Brgy. 184 sa Maricaban, Pasay City. Ilang reservist ng Philippine Army ang nasa lugar upang tulungan ang mga residente na nais tumawid patungong Andrews Avenue. | Ian Cruz/GMA Integrated News",,"1","265","29","108","14","1","418","97","1721817652000","https://www.facebook.com/gmanews/videos/2589054931276265/"
"May be an image of 9 people and jet ski","866065209000379","photo","https://www.facebook.com/photo.php?fbid=866065209000379&set=a.548443510762552&type=3","May be an image of 6 people, jet ski and kayak","866065282333705","photo","https://www.facebook.com/photo.php?fbid=866065282333705&set=a.548443510762552&type=3","No photo description available.","866065355667031","photo","https://www.facebook.com/photo.php?fbid=866065355667031&set=a.548443510762552&type=3","May be an image of 3 people, people swimming and body of water","866065139000386","photo","https://www.facebook.com/photo.php?fbid=866065139000386&set=a.548443510762552&type=3",,,,,"100067907233599","DWIZ 882","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/701325907_1428518009421760_7004407669138656749_n.jpg?stp=c116.116.968.968a_cp0_dst-jpg_tt6&cstp=mx968x968&ctp=s40x40&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=cpxCFaDU6eAQ7kNvwEW0A9S&_nc_oc=AdpYObnH9daMyM-vP-r3npTi3tO_9hchtFiA0sj4hlGnZoS7AopD74ZOSBpRSFV338Y&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=mFNKR9aFp_5EdFbB0GEN1A&_nc_ss=7e2a8&oh=00_AQAiztVK2XXdJUJwshcR0XCWx9F3IrjHwfTV0zaOOuYd8Q&oe=6A5E3C56","https://www.facebook.com/dwiz882","24","866066515666915","TINGNAN : Lagpas-taong baha, kasalukuyang nararanasan sa Araneta Avenue, Quezon City dulot ng Habagat na pinalakas ng Bagyong Carina. 

📷:  Tracy Neri

#dwiz #dwiznews #aliw23 #nagbabalitangtamanaglilingkodngtama #CarinaPH",,"1","26",,"32","2","1","62","47","1721804748000","https://www.facebook.com/dwiz882/posts/pfbid02xedePMD157kJMhxp5fjsG19gC4FX6TXWbz4YgAVcE9iFqmhyftFFDRXDxtQ7SX4cl"
,"1038758000923609","video","https://www.facebook.com/reel/1038758000923609/",,,,,,,,,,,,,,,,,"100050625783224","Engr. berto","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/292868714_581734353524086_5792840103806699969_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx932x933&ctp=s40x40&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=XEWOLari9bwQ7kNvwFtta-K&_nc_oc=AdrJOaTY22kLmltKA0EQ3r7BGnCV8pTVgHoSI65Ya6G_l9vPuRZUL2Sa_hwTNEEHYu0&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=mFNKR9aFp_5EdFbB0GEN1A&_nc_ss=7e2a8&oh=00_AQCMTXSa2nNWo5udPOs_AKheYrXpCITsa9RrUhSXOJghOw&oe=6A5E3BB0","https://www.facebook.com/engrberto22","19","1039924274371756","Tinangay ng baha! #CarinaPH #MarikinaRiver",,"1","134","1","89","4","13","242","34","1721857923000","https://www.facebook.com/reel/1038758000923609/"
"No photo description available.","923319723173019","photo","https://www.facebook.com/photo.php?fbid=923319723173019&set=a.649184570586537&type=3","No photo description available.","923319746506350","photo","https://www.facebook.com/photo.php?fbid=923319746506350&set=a.649184570586537&type=3",,,,,,,,,,,,,"100064849986224","GMA News","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/658216539_1459297662908553_7892569438724908023_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx1200x1200&ctp=s40x40&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=_9Kw3PkUnsIQ7kNvwGlP5mQ&_nc_oc=AdpGGvokEovr-Z-oRC11dmE_7YQXsn1x44Vt6HT-J46gfz2Z0bmLZebN_kRfM2n2d30&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=mFNKR9aFp_5EdFbB0GEN1A&_nc_ss=7e2a8&oh=00_AQBJLuQakigk-vazKD_9RiRqiyJ0vEcGXGmd23OvhLlXeg&oe=6A5E39BF","https://www.facebook.com/gmanews","690","923320893172902","TINGNAN: Umabot na sa hanggang leeg ang taas ng baha sa Brgy. Lambakin 4B sa Marilao, Bulacan.

Inilikas na sa evacuation center ang mga residente sa lugar. | via Jhomer Apresto, DZBB/ GMA Integrated News","1","13","2003","69","7269","568","77","10000","3661","1721794600000","https://www.facebook.com/gmanews/posts/pfbid0eeNEutyHGjJWNoeyMTksMXWi6bh5MkFuGkBGU9qFL11HneAVPjNRtasFiCcuwat8l"
,"850710573169916","video",,,,,,,,,,,,,,,,,,"100064849986224","GMA News","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/658216539_1459297662908553_7892569438724908023_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx1200x1200&ctp=s40x40&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=_9Kw3PkUnsIQ7kNvwGlP5mQ&_nc_oc=AdpGGvokEovr-Z-oRC11dmE_7YQXsn1x44Vt6HT-J46gfz2Z0bmLZebN_kRfM2n2d30&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=mFNKR9aFp_5EdFbB0GEN1A&_nc_ss=7e2a8&oh=00_AQBJLuQakigk-vazKD_9RiRqiyJ0vEcGXGmd23OvhLlXeg&oe=6A5E39BF","https://www.facebook.com/gmanews","94","923157023189289","PANOORIN: Baha sa ilang lugar sa Metro Manila dahil sa pag-ulan. Sa Araneta Avenue, Quezon City, hanggang hita ang tubig-baha.","1","4","693","18","345","13","20","1094","210","1721776554000","https://www.facebook.com/gmanews/videos/850710573169916/"
,"3630833777228156","video",,,,,,,,,,,,,,,,,,"61559954278683","NET25 News and Information","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/436331969_417148224543340_1756920451686923867_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx1080x1080&ctp=s40x40&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=dIjkmzR9wGoQ7kNvwGtuAYg&_nc_oc=AdotPeOCa01OrUVLzhdCxV8oNpIFPA9dwtR4l_Cn7H9aa5-axi6kiO2ZHKUb1ZfDJB4&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=o1p7L0npYGXrvUJ0BjoshQ&_nc_ss=7e2a8&oh=00_AQDzSvlFBY2N-J2x2ndR7CsYLp1Eq34hi_vn4xQruppRgQ&oe=6A5E4967","https://www.facebook.com/net25news","9","122123083916331809","PANOORIN: Kasalukuyang isinasagawa ang rescue operations sa ilang residential area sa USAFE Road, Brgy. Holy Spirit, Quezon City kung saan abot-dibdib na ang tubig-baha dahil sa pinalakas na habagat at ng bagyong #CarinaPH.

📹: Lennard Eduarte

#NET25NewsandInformation #BagyoUpdate #bagyo #Carina 
#bagyongcarina #weather #WeatherUpdate #QuezonCity #RescueOperation",,,"56",,"39","2","1","98","35","1721790329000","https://www.facebook.com/net25news/videos/3630833777228156/"
,"819196446638983","video","https://www.facebook.com/reel/819196446638983/",,,,,,,,,,,,,,,,,"100064456281701","News5","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/352531091_590012623265943_7503745415624331533_n.png?stp=cp0_dst-png&cstp=mx719x719&ctp=s40x40&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=or2wQLPPgSgQ7kNvwG5ZKwm&_nc_oc=AdoCLBzxMWBa4asJ3TTK8S4x6MGZAmyaKrFjYIz11YVtrQnaZuBHX-iTQUIaa0-n3s8&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=o1p7L0npYGXrvUJ0BjoshQ&_nc_ss=7e2a8&oh=00_AQDimZHVGQOc_srmr_qzfpuzqQ9jhNdB6tkFqYRdl53ajg&oe=6A5E5D4F","https://www.facebook.com/News5Everywhere","19","927619136063287","Abot tuhod na baha ang sitwasyon sa bahagi ng Magallanes sa Makati City ngayong Miyerkules, July 24 dahil sa mga malakas na pag-ulang dala ng habagat at Bagyong #CarinaPH. #News5

🎥: Jahnnelyn Ligutan",,"1","132","5","51","12","6","207","60","1721812163000","https://www.facebook.com/reel/819196446638983/"
"No photo description available.","956059419656317","photo","https://www.facebook.com/photo.php?fbid=956059419656317&set=a.561616819100581&type=3","No photo description available.","956059452989647","photo","https://www.facebook.com/photo.php?fbid=956059452989647&set=a.561616819100581&type=3","No photo description available.","956059496322976","photo","https://www.facebook.com/photo.php?fbid=956059496322976&set=a.561616819100581&type=3","No photo description available.","956059536322972","photo","https://www.facebook.com/photo.php?fbid=956059536322972&set=a.561616819100581&type=3","No photo description available.","956059622989630","photo","https://www.facebook.com/photo.php?fbid=956059622989630&set=a.561616819100581&type=3","100057568024441","Philippine Emergency Alerts","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/406854429_822820552980205_2420978380293932729_n.jpg?stp=c48.41.833.834a_cp0_dst-jpg_tt6&cstp=mx833x834&ctp=s40x40&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=5CRq9dUWRBsQ7kNvwFvtorY&_nc_oc=AdpsoJZEYG6fa3_D35N9bhPCFIB_GiugVPyBakUY1VCuPiNo-IJ8PUXLIg-dAg-UE5U&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=o1p7L0npYGXrvUJ0BjoshQ&_nc_ss=7e2a8&oh=00_AQALAl6SnyNh7lp-68GUDqTrb72r-JqgCLlze2-6GYSVvw&oe=6A5E44C0","https://www.facebook.com/PHEmergencyAlerts","19","956061016322824","ABOT-BUBONG NA BAHA SA MARILAO, BULACAN ⚠️ 

LOOK: Umabot na sa bubong ng mga bahay ang baha sa Brgy. Lambakin, Marilao, Bulacan dahil sa patuloy na matinding pag-ulan dala ng Habagat na pinalakas ng SUPER TYPHOON #CarinaPH (Gaemi). 

Atin pong ipagdasal ang kaligtasan ng mga apektadong residente sa lugar! 🙏l 📸: Karen Lavarez, Pat Elizalde 

#FloodAlert #FloodWarning #Marilao #Bulacan",,,"77","1","224","6","3","311","124","1721810282000","https://www.facebook.com/PHEmergencyAlerts/posts/pfbid02jwnv3BehCYTeWeADpu7uafPcMTM7B1MxtPXJqT9BNkcTVLjyTZvyNVig2BmH67xEl"
,"1672385496931630","video",,,,,,,,,,,,,,,,,,"100064849986224","GMA News","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/658216539_1459297662908553_7892569438724908023_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx1200x1200&ctp=s40x40&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=_9Kw3PkUnsIQ7kNvwGlP5mQ&_nc_oc=AdpGGvokEovr-Z-oRC11dmE_7YQXsn1x44Vt6HT-J46gfz2Z0bmLZebN_kRfM2n2d30&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=o1p7L0npYGXrvUJ0BjoshQ&_nc_ss=7e2a8&oh=00_AQAzndC88WzFmO43uaQiTiH5lTlS9EVzs1-c9_BzK2nQ7g&oe=6A5E39BF","https://www.facebook.com/gmanews","7","923368519834806","PANOORIN: Sitwasyon sa Brgy. San Perfecto, San Juan City, as of 1:30 pm. Patuloy ang rescue operations mula sa lokal na pamahalaan dahil lampas-tao na ang baha sa ilang lugar. | via Mark Salazar/GMA Integrated News",,,"67","1","43","7",,"118","22","1721800621000","https://www.facebook.com/gmanews/videos/1672385496931630/"
,"1160897871867702","video",,,,,,,,,,,,,,,,,,"100064905991443","Super Radyo DZBB 594khz","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/304782900_5485953098188721_3419247570684307902_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx435x435&ctp=s40x40&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=oB_3qfN5b8MQ7kNvwE1r92w&_nc_oc=AdpeiU5m-6vHFOh3QmTQYF8bViKFQt1KleFr5xufIm7an9xbYJFQozg79NajaNgFCXE&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=o1p7L0npYGXrvUJ0BjoshQ&_nc_ss=7e2a8&oh=00_AQCv6-MTn6uyD-LodyaUxrkh7dexJUDnD8U_U-ZiVWHRzw&oe=6A5E496B","https://www.facebook.com/dzbb594","8","927465326093659","#BantayBaha: Chino Roces Avenue sa ilalim ng Magallanes Interchange, baha na rin. | via Mao dela Cruz",,,"91","2","31","3",,"127","16","1721771346000","https://www.facebook.com/dzbb594/videos/1160897871867702/"
