"attachments/0/accessibilityCaption","attachments/0/id","attachments/0/type","attachments/0/url","attachments/1/accessibilityCaption","attachments/1/id","attachments/1/type","attachments/1/url","attachments/2/accessibilityCaption","attachments/2/id","attachments/2/type","attachments/2/url","attachments/3/accessibilityCaption","attachments/3/id","attachments/3/type","attachments/3/url","attachments/4/accessibilityCaption","attachments/4/id","attachments/4/type","attachments/4/url","author/id","author/name","author/profilePicture","author/profileUrl","commentsCount","postId","postText","reactions/anger","reactions/haha","reactions/like","reactions/love","reactions/sorry","reactions/support","reactions/wow","reactionsCount","sharesCount","timestamp","url"
"May be an image of text","790182799945451","photo","https://www.facebook.com/photo/?fbid=790182799945451&set=a.162321879398216",,,,,,,,,,,,,,,,,"100068612142206","MMDA","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/242803846_162321929398211_6744508622629887688_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx604x604&ctp=s40x40&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=-GxMrIa-rlcQ7kNvwGRO-kJ&_nc_oc=AdpUQybURjxOTZD0RHBH1MQpY4DneLGflXGdCtS8BfiXWy81f3VPoCXXHxwg8P97CDQ&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=xDl18tbxMZFdkdDA8CBaAw&_nc_ss=7e2a8&oh=00_AQCvzsjmWr4zmRGIZX2clj_TjxZII0FolUlPBa_3YgFpOA&oe=6A5E6CD2","https://www.facebook.com/MMDAPH","888","790182819945449","Flood Update as of 7:20am

MANILA CITY:
Bonifacio drive 25th street NB and SB: Gutter deep (8 inches)
Dimasalang cor. Becerra St. Sta. Cruz: Gutter deep (8 Inches)
España- Lacson Ave. Intersection: Gutter deep (8 inches )
Roxas Ave. - Kalaw: Gutter deep (8 inches)
Vito cruz to Taft Ave.: Knee deep (19 inches)
España- R. Magsaysay: below gutter deep (7 inches)
España-Antipolo st: Half Tire (24 inches)
España-P.Margal/Blumentritt: Half Knee deep (9-10 inches )
España-M. Dela Fuente: Half Tire (13-14 inches )

QUEZON CITY:
G. Araneta Ma. Clara SB: Gutter deep (8 inches)
E-rod Araneta: Gutter deep ( 8 inches )
Balintawak NB: Gutter deep ( 8 inches )
Camp Aguinaldo Gate 2 and Gate 3: Subsided

PASAY CITY:
Adrew Tramo: Gutter deep ( 8 inches )
Roxas blvd. Edsa NB Service Rd.: Gutter deep (8 inches)
Airport rd. - Domestic rd.: Half Tire ( 13 inches )
EDSA TAft NB/SB: Knee deep (19 inches)
EDSA Roxas Blvd. Heritage: Gutter deep (8  inches )

TAGUIG CITY:
C5 Palar: above knee

###

Flood Update as of 7:10am

MANILA CITY:
Bonifacio drive 25th street NB and SB: Gutter deep (8 inches)
Dimasalang cor. Becerra St. Sta. Cruz: Gutter deep (8 Inches)
España- Lacson Ave. Intersection: Gutter deep (8 inches )
Roxas Ave. - Kalaw: Gutter deep (8 inches)
Vito cruz to Taft Ave.: Knee deep (19 inches)
España- R. Magsaysay: below gutter deep (7 inches)
España-Antipolo st: Half Tire (24 inches)
España-P.Margal/Blumentritt: Half Knee deep (9-10 inches )
España-M. Dela Fuente: Half Tire (13-14 inches )

QUEZON CITY:
G. Araneta Ma. Clara SB: Gutter deep (8 inches)
E-rod Araneta: Gutter deep ( 8 inches )
Balintawak NB: Gutter deep ( 8 inches )
Camp Aguinaldo Gate 2 and Gate 3: Subsided

PASAY CITY:
Adrew Tramo: Gutter deep ( 8 inches )
Roxas blvd. Edsa NB Service Rd.: Gutter deep (8 inches)
Airport rd. - Domestic rd.: Half Tire ( 13 inches )
EDSA TAft NB/SB: Knee deep (19 inches)

MAKATI CITY:
Orense Guadalupe NB: Subsided

###

Flood Update as of 6:31 AM

Reported FLOODINGS:

MANILA CITY:
Bonifacio drive 25th street NB and SB: Gutter deep (8 inches)
Dimasalang cor. Becerra St. Sta. Cruz: Gutter deep (8 Inches)
España- Lacson Ave. Intersection: Gutter deep (8 inches )
Roxas Ave. - Kalaw: Gutter deep (8 inches)
Vito cruz to Taft Ave.: Knee deep (19 inches)
España- R. Magsaysay: below gutter deep (7 inches)
España-Antipolo st: Half Tire (24 inches)
España-P.Margal/Blumentritt: Half Knee deep (9-10 inches )
España-M. Dela Fuente: Half Tire (13-14 inches )

QUEZON CITY:
G. Araneta Ma. Clara SB: Gutter deep (8 inches)
E-rod Araneta: Gutter deep ( 8 inches )
Balintawak NB: Gutter deep ( 8 inches )
Camp Aguinaldo Gate 2 and Gate 3: Knee Deep (19 inches )

PASAY CITY:
Adrew Tramo: Gutter deep ( 8 inches )
Roxas blvd. Edsa NB Service Rd.: Gutter deep (8 inches)
Airport rd. - Domestic rd.: Half Tire ( 13 inches )
EDSA TAft NB/SB: Knee deep (19 inches)

MAKATI CITY:
Orense Guadalupe NB: Knee deep (19 inches)

### 
Flood Update as of  6:04 AM

Reported FLOODINGS:

MANILA CITY:
Bonifacio drive 25th street NB and SB: Gutter deep (8 inches)
Dimasalang cor. Becerra St. Sta. Cruz: Gutter deep (8 Inches)
España- Lacson Ave. Intersection: Gutter deep (8 inches )
Roxas Ave. - Kalaw: Gutter deep (8 inches)
Vito cruz to Taft Ave.: Knee deep (19 inches)
España- R. Magsaysay: below gutter deep (7 inches)
España-Antipolo: Half Tire (15-16 inches)
España-P.Margal/Blumentritt: Half Knee deep (9-10 inches )
España-M. Dela Fuente: Half Tire (13-14 inches )

QUEZON CITY:
G. Araneta Ma. Clara SB: Gutter deep (8 inches)
E-rod Araneta: Gutter deep ( 8 inches )
Balintawak NB: Gutter deep ( 8 inches )
Camp Aguinaldo Gate 2 and Gate 3: Knee Deep (19 inches )

PASAY CITY:
Adrew Tramo: Gutter deep ( 8 inches )
Roxas blvd. Edsa NB Service Rd.: Gutter deep (8 inches)
Airport rd. - Domestic rd.: Half Tire ( 13 inches )

MAKATI CITY:
Orense Guadalupe NB: Knee deep (19 inches)

###

Flood Update as of  5:40 AM

Reported FLOODINGS:

MANILA CITY:
Bonifacio drive 25th street NB and SB: Gutter deep (8 inches)
Dimasalang cor. Becerra St. Sta. Cruz: Gutter deep (8 Inches)
España- Lacson Ave. Intersection: Gutter deep (8 inches )
Roxas Ave. - Kalaw: Gutter deep (8 inches)
Vito cruz to Taft Ave.: Knee deep (19 inches)

QUEZON CITY:
G. Araneta Ma. Clara SB: Gutter deep (8 inches)
E-rod Araneta: Gutter deep ( 8 inches )
Balintawak NB: Gutter deep ( 8 inches )

PASAY CITY:
Adrew Tramo: Gutter deep ( 8 inches )
Roxas blvd. Edsa NB Service Rd.: Gutter deep (8 inches)
Airport rd. - Domestic rd.: Half Tire ( 13 inches )

MAKATI CITY:
Orense Guadalupe NB: Knee deep (19 inches)

TAGUIG CITY:
C5-Kalayaan U-turn: Subsided

 
### 

Flood Update as of 5:28 AM

Reported FLOODINGS:

MANILA CITY:

Bonifacio drive 25th street NB and SB: Gutter deep (8 inches)
Dimasalang cor. Becerra St. Sta. Cruz: Gutter deep (8 Inches)
España- Lacson Ave. Intersection: Gutter deep (8 inches )
Roxas Ave. - Kalaw: Gutter deep (8 inches)
Vito cruz to Taft Ave.: Knee deep (19 inches)

QUEZON CITY:
G. Araneta Ma. Clara SB: Gutter deep (8 inches)
E-rod Araneta: Gutter deep ( 8 inches )
Balintawak NB: Gutter deep ( 8 inches )

PASAY CITY:
Adrew Tramo: Gutter deep ( 8 inches )
Roxas blvd. Edsa NB Service Rd.: Gutter deep (8 inches)
Airport rd. - Domestic rd.: Half Tire ( 13 inches )

MAKATI CITY:
Orense Guadalupe NB: Knee deep (19 inches)

TAGUIG CITY:
C5-Kalayaan U-turn: Gutter deep ( 8 inches )

Flood Update as of 5:02 AM

Reported FLOODINGS:

MANILA CITY:
Bonifacio drive 25th street NB and SB: Gutter deep (8 inches)
Dimasalang cor. Becerra St. Sta. Cruz: Gutter deep (8 Inches)
España- Lacson Ave. Intersection: Gutter deep (8 inches )
Roxas Ave. - Kalaw: Gutter deep (8 inches)

QUEZON CITY:
G. Araneta Ma. Clara SB: Gutter deep (8 inches)
E-rod Araneta: Gutter deep ( 8 inches )

PASAY CITY:
Adrew Tramo: Gutter deep ( 8 inches )
Roxas blvd. Edsa NB Service Rd.: Gutter deep (8 inches)
Airport rd. - Domestic rd.: Half Tire ( 13 inches )

MAKATI CITY:
Orense Guadalupe NB: Knee deep (19 inches)

TAGUIG CITY:
C5-Kalayaan U-turn: Gutter deep ( 8 inches )

Source: CCTV/Metrobase/DOEs

#mmda #floodalert","3","10","2421","44","1721","96","33","4328","13950","1721768380000","https://www.facebook.com/MMDAPH/posts/pfbid0axKDBS3upuRThLC72fAXHFHKeCX7V5WiiUEF3RXzYx2fYNgiu88kjsHaiQMbHKVvl"
"No photo description available.","789910926639305","photo","https://www.facebook.com/photo/?fbid=789910926639305&set=a.162321879398216",,,,,,,,,,,,,,,,,"100068612142206","MMDA","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/242803846_162321929398211_6744508622629887688_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx604x604&ctp=s40x40&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=-GxMrIa-rlcQ7kNvwGRO-kJ&_nc_oc=AdpUQybURjxOTZD0RHBH1MQpY4DneLGflXGdCtS8BfiXWy81f3VPoCXXHxwg8P97CDQ&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=xDl18tbxMZFdkdDA8CBaAw&_nc_ss=7e2a8&oh=00_AQCvzsjmWr4zmRGIZX2clj_TjxZII0FolUlPBa_3YgFpOA&oe=6A5E6CD2","https://www.facebook.com/MMDAPH","69","789910959972635","Flood Update as of 8:31 PM

Reported FLOODINGS:

MANILA CITY:
Bonifacio drive 25th street NB and SB: Gutter deep (8 inches)
Dimasalang cor. Becerra St. Sta. Cruz: Gutter deep (8 Inches)
Taft ave. - UN Ave.: Gutter deep (8 inches)
Taft ave. - Quirino Ave.: Gutter deep (8 inches)

QUEZON CITY:
G. Araneta Ma. Clara SB: Gutter deep (8 inches)

PARAÑAQUE CITY:
Canaynay Ave. Topland drive: Knee deep (19 inches )
Sucat rd. Old Virra Mall SB: Subsided

Flood Update as of 7:44 PM

Reported FLOODINGS:

PASAY CITY:
Andrews tramo intersection: Gutter deep (8 inches)
Edsa Taft NB: Subsided

MANILA CITY:
Bonifacio drive 25th street NB and SB: Gutter deep (8 inches)
Dimasalang cor. Becerra St. Sta. Cruz: Gutter deep (8 Inches)
Taft ave. - UN Ave.: Gutter deep (8 inches)
Taft ave. - Quirino Ave.: Gutter deep (8 inches)

QUEZON CITY:
G. Araneta Ma. Clara SB: Gutter deep (8 inches)

PARAÑAQUE CITY:
Canaynay Ave. Topland drive: Knee deep (19 inches )

Flood Update as of  6:46 PM

Reported FLOODINGS:

PASAY CITY:
Andrews tramo intersection: Gutter deep (8 inches)
Edsa Taft NB: Gutter Deep (8 inches)

MANILA CITY:
Bonifacio drive 25th street NB and SB: Gutter deep (8 inches)
Dimasalang cor. Becerra St. Sta. Cruz: Gutter deep (8 Inches)
Taft ave. - UN Ave.: Gutter deep (8 inches)
Taft ave. - Quirino Ave.: Gutter deep (8 inches)

QUEZON CITY:
G. Araneta Ma. Clara SB: Gutter deep (8 inches)

PARAÑAQUE CITY:
Canaynay Ave. Topland drive: Knee deep (19 inches )

As of  6:25 PM

Reported FLOODINGS:

PASAY CITY:
Andrews tramo intersection: Gutter deep (8 inches)
Edsa Taft NB: Gutter Deep (8 inches)

MANILA CITY:
Bonifacio drive 25th street NB and SB: Gutter deep (8 inches)
Dimasalang cor. Becerra St. Sta. Cruz: Gutter deep (8 Inches)

QUEZON CITY:
G. Araneta Ma. Clara SB: Gutter deep (8 inches)

PARAÑAQUE CITY:
Canaynay Ave. Topland drive: Knee deep (19 inches )

#mmda #floodalert",,,"322","4","65","11","6","408","214","1721731392000","https://www.facebook.com/MMDAPH/posts/pfbid02jwntbx1bN1AeNtHom7g6J6emyWgDKU1XLehgSaQXWegk6BREeNHt8dKsSas1dNbol"
"No photo description available.","507083155057829","photo","https://www.facebook.com/photo.php?fbid=507083155057829&set=a.179104887855659&type=3","No photo description available.","507083218391156","photo","https://www.facebook.com/photo.php?fbid=507083218391156&set=a.179104887855659&type=3","No photo description available.","507083295057815","photo","https://www.facebook.com/photo.php?fbid=507083295057815&set=a.179104887855659&type=3","No photo description available.","507083341724477","photo","https://www.facebook.com/photo.php?fbid=507083341724477&set=a.179104887855659&type=3",,,,,"100072684450331","Whr t g?","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/627815727_916643604101780_8238917507907500863_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx1168x1168&ctp=s40x40&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=90sFrgjzjJ4Q7kNvwGnlUlu&_nc_oc=AdqGj-Irxl_LkpCBbb_yD9hAqTDDxca6LAmHdW-4Fyy6JE7DX7pNMvO3hd_iNURc2j0&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=xDl18tbxMZFdkdDA8CBaAw&_nc_ss=7e2a8&oh=00_AQDXpMYj3lEm3UNqvViIP0hz0F08-RNQl21WnMQbdnictg&oe=6A5E422B","https://www.facebook.com/WhrTG","3","507083891724422","Amidst the flood and rain, not everyone is lucky. 

Beggars, street children, and stray animals face the harshest struggles. 🥹

May everyone find shelter and food until this typhoon passes. 🫶❤️",,,"1","5","43","19",,"68","41","1721783918000","https://www.facebook.com/WhrTG/posts/pfbid02VH9uwNP2Hva3WbwoMLrDWRsgGNVnc1CgW5NWMoWZPtcKEDB991oQqEa6N38pcHJsl"
"No photo description available.","8025748147447704","photo","https://www.facebook.com/photo.php?fbid=8025748147447704&set=a.627480400607886&type=3","No photo description available.","8025748847447634","photo","https://www.facebook.com/photo.php?fbid=8025748847447634&set=a.627480400607886&type=3","No photo description available.","8025748277447691","photo","https://www.facebook.com/photo.php?fbid=8025748277447691&set=a.627480400607886&type=3","No photo description available.","8025748800780972","photo","https://www.facebook.com/photo.php?fbid=8025748800780972&set=a.627480400607886&type=3",,"8821372877878610","video","https://www.facebook.com/markanthony.bernales.7/videos/8821372877878610/","100000377963937","Mark Anthony Bernales","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/505730148_23897592989836632_1427994509783614263_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx949x949&ctp=s40x40&_nc_cat=104&ccb=1-7&_nc_sid=1d2534&_nc_ohc=zOjPRhlu3YUQ7kNvwFryL-Y&_nc_oc=Adp7GiG3S1HBExdNfkk7e36-tSDzFzmCR5neS2by_1tVkPUXFdHVnDsuw0r_fS3uL-I&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=xDl18tbxMZFdkdDA8CBaAw&_nc_ss=7e2a8&oh=00_AQAVPvMSHf5zZiottgC_Ycv1C6wBHR355IMkkPlAVPFs5A&oe=6A5E472C","https://www.facebook.com/markanthony.bernales.7","149","8025753727447146","As of 2:00pm, the flood now is waist-deep! 😞",,,"11","2","49","18","13","93","3","1721801103000","https://www.facebook.com/markanthony.bernales.7/posts/pfbid02hmSEhTnMEpsQmf6sCdeA7rxGUet57UfF7QKhLSLyWpMQ6LD9kaYK73awL4TVoMsgl"
"No photo description available.","506691935217052","photo","https://www.facebook.com/photo/?fbid=506691935217052&set=a.173753005177615",,,,,,,,,,,,,,,,,"100076287486042","INews Pasig","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/545623738_808297578389818_6060956507246575654_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx2048x2048&ctp=s40x40&_nc_cat=107&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=rVvckgxHSqEQ7kNvwGamgPm&_nc_oc=AdpjQwf2IYRivCnWm666LqrW4i52cFugH-fpdpomnDsntECjHtZ9nqXKhpI64qsKoCE&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=xDl18tbxMZFdkdDA8CBaAw&_nc_ss=7e2a8&oh=00_AQB9or1vpdzZWfpfIICFpA7GCuOnAr9M2wfentW_vJsNjQ&oe=6A5E5644","https://www.facebook.com/iNewsPasigOfficial","7","506692081883704","Flood Update As of 8:06 AM

Reported FLOODING:

PASAY CITY:
EDSA Taft NB outer Lane:  Gutter Deep (8 inches)

MANDALUYONG CITY
Shaw Tunnel NB: Gutter Deep (8 inches)

As of 8:30 AM

TAGUIG CITY:
C5 SM Aura: Gutter Deep (8 inches)",,,"82",,"23","2","8","115","44","1721696168000","https://www.facebook.com/iNewsPasigOfficial/posts/pfbid0BqKjisfGNxdqdcke3rf8vgfgLKEzELRS3mDtFRpH8LJ3wjJzojahPVZFozG5gqzkl"
,"998086185350780","video",,,,,,,,,,,,,,,,,,"61557174734380","Hobby Korner Official","https://scontent-iad3-2.xx.fbcdn.net/v/t39.30808-1/475456931_122204986622239157_1451977565015420747_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx2048x2048&ctp=s40x40&_nc_cat=111&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=JwJgvwWu7FEQ7kNvwESanoF&_nc_oc=AdrBsDzT-ConLpnup9NboQ93VW1kkMvWDiCJRGvOjZa_eJf8HMGAh1mr0G_YGlirP14&_nc_zt=24&_nc_ht=scontent-iad3-2.xx&_nc_gid=jU_GxkvtZkXHcPGlavaSmg&_nc_ss=7e2a8&oh=00_AQCkCatfSz4VDyvXAfqCfuu6F_wi0C15ghTvqz0qyoVYgw&oe=6A5E5201","https://www.facebook.com/HobbyKornerOfficial","55","122156120672239157","Dear customers,

We regret to inform you that our store in Shoppesville Greenhills has been affected by flooding due to heavy rainfall.

Please stay safe and dry during this time.

Thank you,
- HK Team

P.s We hope that the damage to our items (pick-up and display) is minimal from this unexpected event.",,,"120","6","251","12","21","410","25","1721788801000","https://www.facebook.com/HobbyKornerOfficial/videos/998086185350780/"
,"477904738399754","video",,,,,,,,,,,,,,,,,,"100064138593589","Foxconn Builders Corp.","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/307314056_462491572565459_7861369246112270363_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx1959x1959&ctp=s40x40&_nc_cat=109&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=yjaxX1QXclUQ7kNvwG2A2et&_nc_oc=AdrKBp_jFQllKDdXhu65P2mZNqWAGwrR0QcaLxe6FPSyZy00sPtPzoW8Rov01OSiDiM&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=jU_GxkvtZkXHcPGlavaSmg&_nc_ss=7e2a8&oh=00_AQAuJsTO8meHba4MpK_HomdXLQgTPPuYik-2hasbDGzktA&oe=6A5E5B4E","https://www.facebook.com/FoxconnBuildersCorp","4","886573560157256","Flood solution proven in the Philippines for more than a decade. Contact us 84415403, 84415304
Email: foxconn.builders@yahoo.com",,,"48","4",,,,"52","14","1721778861000","https://www.facebook.com/FoxconnBuildersCorp/videos/477904738399754/"
"No photo description available.","455121127498822","photo","https://www.facebook.com/photo/?fbid=455121127498822&set=a.117773884566883",,,,,,,,,,,,,,,,,"100090028150381","PAGASA-National Capital Region PRSD","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/327447841_600469368148357_1261002846227433584_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx1000x1000&ctp=s40x40&_nc_cat=101&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=URrMSuFXOD4Q7kNvwEyfTO6&_nc_oc=Adpjw_cT0h8CPSHIz_kjFWZF8tb3KSgts0LAhNGr6A5Wi8mo4M_EwtRr6iPIJhYa7dI&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=jU_GxkvtZkXHcPGlavaSmg&_nc_ss=7e2a8&oh=00_AQBubu31rjDLG4K4uoC6t3kE0ooyI8J_QRbrnVgpHCmKHQ&oe=6A5E4CDC","https://www.facebook.com/NCR.PAGASA","36","455121157498819","Heavy Rainfall Warning No. 19-A #NCR_PRSD
Weather System: Enhanced Southwest Monsoon (Habagat)
Issued at: 3:00 AM, 24 July 2024(Wednesday)

RED WARNING LEVEL: Metro Manila, Cavite and Bataan.
ASSOCIATED HAZARD: Serious FLOODING is expected in flood-prone areas.

ORANGE WARNING LEVEL: Rizal, Laguna, Batangas, Pampanga, Bulacan and Zambales.
ASSOCIATED HAZARD: FLOODING is still THREATENING.

YELLOW WARNING LEVEL: Tarlac.
ASSOCIATED HAZARD: FLOODING in flood-prone areas.

Meanwhile, light to moderate with occasional heavy rains affecting Nueva Ecija and Quezon which may persist within 3 hours.

The public and the Disaster Risk Reduction and Management Offices concerned are advised to MONITOR the weather condition and watch for the next warning to be issued at 5:00 AM today.

For more information and queries, please call telephone numbers 8927-1335 and 8927-2877 or log on to www.pagasa.dost.gov.ph.",,"1","267","13","416","20","3","720","2256","1721762866000","https://www.facebook.com/NCR.PAGASA/posts/pfbid0vAUaZ3rf4CortmmAYiiRsdEe7XVR5zjDLd55hD62fcNC9mvmFhUMmkMAkPfM8Dvnl"
"No photo description available.","455396600804608","photo","https://www.facebook.com/photo/?fbid=455396600804608&set=a.117773884566883",,,,,,,,,,,,,,,,,"100090028150381","PAGASA-National Capital Region PRSD","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/327447841_600469368148357_1261002846227433584_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx1000x1000&ctp=s40x40&_nc_cat=101&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=URrMSuFXOD4Q7kNvwEyfTO6&_nc_oc=Adpjw_cT0h8CPSHIz_kjFWZF8tb3KSgts0LAhNGr6A5Wi8mo4M_EwtRr6iPIJhYa7dI&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=jU_GxkvtZkXHcPGlavaSmg&_nc_ss=7e2a8&oh=00_AQBubu31rjDLG4K4uoC6t3kE0ooyI8J_QRbrnVgpHCmKHQ&oe=6A5E4CDC","https://www.facebook.com/NCR.PAGASA","5","455397714137830","Heavy Rainfall Warning No. 23 #NCR_PRSD
Weather System: Enhanced Southwest Monsoon (Habagat)
Issued at: 2:00 PM, 24 July 2024(Wednesday)

RED WARNING LEVEL: Zambales, Bataan, Metro Manila, Rizal, Bulacan, Pampanga and Tarlac.
ASSOCIATED HAZARD: Serious FLOODING in flood-prone areas.

YELLOW WARNING LEVEL: Cavite, Batangas, Laguna, Nueva Ecija and Quezon(General Nakar, Infanta, Real, Mauban, Sampaloc).
ASSOCIATED HAZARD: FLOODING in flood-prone areas.

Meanwhile, light to moderate with occasional heavy rains affecting Quezon(Candelaria, Dolores, San Antonio, Sariaya, Tiaong, Tayabas, Lucban, Lucena, Pagbilao, Agdangan, Alabat, Atimonan, Buenavista, Burdeos, Calauag, Catanauan, General Luna, Guinayangan, Gumaca, Jomalig, Lopez, Macalelon, Mulanay, Padre Burgos, Panukulan, Patnanungan, Perez, Pitogo, Plaridel, Polillo, Quezon, San Andres, San Francisco, San Narciso, Tagkawayan, Unisan) which may persist within 3 hours.

The public and the Disaster Risk Reduction and Management Offices concerned are advised to MONITOR the weather condition and watch for the next warning to be issued at 5:00 PM today.

For more information and queries, please call telephone numbers 8927-1335 and 8927-2877 or log on to www.pagasa.dost.gov.ph.",,"1","96","3","136","8","3","247","414","1721800693000","https://www.facebook.com/NCR.PAGASA/posts/pfbid02TjiDRPFbxWV5U3TL45zPEyDKYMQgLy6asngTGZKq1ZK9Tfu6tqb2rNp3ezKsBgWCl"
"No photo description available.","455472937463641","photo","https://www.facebook.com/photo/?fbid=455472937463641&set=a.117773884566883",,,,,,,,,,,,,,,,,"100090028150381","PAGASA-National Capital Region PRSD","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/327447841_600469368148357_1261002846227433584_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx1000x1000&ctp=s40x40&_nc_cat=101&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=URrMSuFXOD4Q7kNvwEyfTO6&_nc_oc=Adpjw_cT0h8CPSHIz_kjFWZF8tb3KSgts0LAhNGr6A5Wi8mo4M_EwtRr6iPIJhYa7dI&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=jU_GxkvtZkXHcPGlavaSmg&_nc_ss=7e2a8&oh=00_AQBubu31rjDLG4K4uoC6t3kE0ooyI8J_QRbrnVgpHCmKHQ&oe=6A5E4CDC","https://www.facebook.com/NCR.PAGASA","9","455473164130285","Heavy Rainfall Warning No. 24 #NCR_PRSD
Weather System: Enhanced Southwest Monsoon (Habagat)
Issued at: 5:00 PM, 24 July 2024(Wednesday)

RED WARNING LEVEL: Metro Manila, Rizal, Bataan, Zambales, Bulacan and Pampanga.
ASSOCIATED HAZARD: Serious FLOODING in flood-prone areas.

ORANGE WARNING LEVEL: Tarlac.
ASSOCIATED HAZARD: FLOODING is still THREATENING.

YELLOW WARNING LEVEL: Cavite, Batangas, Laguna, Nueva Ecija and Quezon(General Nakar, Real, Infanta, Mauban, Sampaloc).
ASSOCIATED HAZARD: FLOODING in flood-prone areas.

Meanwhile, light to moderate with occasional heavy rains affecting Quezon(Candelaria, Dolores, San Antonio, Sariaya, Tiaong, Tayabas, Lucban, Lucena, Pagbilao, Agdangan, Alabat, Atimonan, Buenavista, Burdeos, Calauag, Catanauan, General Luna, Guinayangan, Gumaca, Jomalig, Lopez, Macalelon, Mulanay, Padre Burgos, Panukulan, Patnanungan, Perez, Pitogo, Plaridel, Polillo, Quezon, San Andres, San Francisco, San Narciso, Tagkawayan, Unisan) which may persist within 3 hours.

The public and the Disaster Risk Reduction and Management Offices concerned are advised to MONITOR the weather condition and watch for the next warning to be issued at 8:00 PM today.

For more information and queries, please call telephone numbers 8927-1335 and 8927-2877 or log on to www.pagasa.dost.gov.ph.",,,"94","4","90","8",,"196","299","1721811372000","https://www.facebook.com/NCR.PAGASA/posts/pfbid0F63EeKUvSSwWYexRSqpatpeCuNrXpsbg8bz3vxfYT5UqL8e8teT8s8smXsHVSfubl"
