"attachments/0/accessibilityCaption","attachments/0/id","attachments/0/type","attachments/0/url","attachments/1/accessibilityCaption","attachments/1/id","attachments/1/type","attachments/1/url","attachments/2/accessibilityCaption","attachments/2/id","attachments/2/type","attachments/2/url","attachments/3/accessibilityCaption","attachments/3/id","attachments/3/type","attachments/3/url","attachments/4/accessibilityCaption","attachments/4/id","attachments/4/type","attachments/4/url","author/id","author/name","author/profilePicture","author/profileUrl","commentsCount","postId","postText","reactions/haha","reactions/like","reactions/love","reactions/sorry","reactions/support","reactions/wow","reactionsCount","sharesCount","timestamp","url"
"No photo description available.","702822278529110","photo","https://www.facebook.com/photo.php?fbid=702822278529110&set=a.426729719471702&type=3","May be an image of horizon, skyscraper and text","702822485195756","photo","https://www.facebook.com/photo.php?fbid=702822485195756&set=a.426729719471702&type=3","May be an image of ‎floor plan, map, blueprint and ‎text that says '‎2.50 m 2.50 m 2.70m 2.30m m 1.20 ے 1.50 2.10 2.10m FerDen Realty 6.30m 6.30 2.27 3.90m 3.00 FerDn 3.73m 1.50m w ト m 2.50 3.00m 1,00 1.80m m 1.20 m 2.80n 3.20 m GROUND FLOOR PLAN SECOND FLOOR PLAN‎'‎‎","702822845195720","photo","https://www.facebook.com/photo.php?fbid=702822845195720&set=a.426729719471702&type=3","May be an image of indoors","702822525195752","photo","https://www.facebook.com/photo.php?fbid=702822525195752&set=a.426729719471702&type=3","No photo description available.","702822568529081","photo","https://www.facebook.com/photo.php?fbid=702822568529081&set=a.426729719471702&type=3","100064040310367","Ferden Realty Corporation","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/295184933_426729726138368_4256430617094794266_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx243x244&ctp=s40x40&_nc_cat=104&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=fJf_45Y_j5QQ7kNvwHD_b93&_nc_oc=AdqTNTJKmT24ETbSKWI5Krc7m31sWAGXcbHrIsnGDgl7N9yGZQlF7aEqqTYvtlW_fvw&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=NEK97iKoWQd5f7mtThsFrg&_nc_ss=7e2a8&oh=00_AQAMy_0dCvybxfueo0teTdteTBA7kw44S_Cp4W2Cx6pdNg&oe=6A5E91C7","https://www.facebook.com/ferdenrealty","0","702824721862199","VERY ACCESSIBLE, AFFORDABLE, FLOOD-FREE AND EXCLUSIVE COMMUNITY

Have you been searching for an affordable home that is accessible and within reach to everything you need? We want to offer you a Pre-selling home in a flood-free exclusive community that is just 2.5kms away from SM Masinag, P2P(Point-to-Point) Station, and LRT Line 2. In addition, the community will have amenities such as a swimming pool, full-court basketball, and clubhouse.

We would like to introduce our BEST SELLING home because of its affordability & best money can buy at the price range of 4 million.

Strategically located with near access to public transportation
1.) LRT 2 Masinag station with direct connection to MRT Line at Cubao station and LRT Line 1 at Recto Station - Doroteo Jose Station
2.) P2P Bus Station going to Makati CBD
3.) Route of eBuses going to BGC CBD
4.) Route of Jeepneys going to Cubao
5.) Route of Shuttle going to Ortigas CBD

==PROPERTY DETAILS==
Floor Area: 78.30sqm
Lot Area: 50sqm
3 Bedroom
2 Toilet and Bath
1 Car Garage
Complete Finish except for cabinets

You got two options, inner and beginning units. The difference is that the beginning unit has 15 sqm free lot space good for your service area, garden, or storage area.

==SAMPLE COMPUTATION==

OPTION 1 Inner Unit ( Floor Area 78.30 sqm; Lot Area 50 sqm; Frontage 5 meters)

TCP 4,150,000

20% DP 830,000
Less Reservation 20,000
Net DP 810,000
Payable for 24 months 33,750 per month only!

80% Balance 3,320,000 thru Bank Financing
15 yrs 29,841 per month only!
20 yrs 25,739 per month only!
25 yrs 23,465 per month only!

Required Income for a 15yr term at a 7% Rate is only Php 74,603.

===========================================

OPTION 2 Beginning Unit ( Floor Area 78.30 sqm; Lot Area 65 sqm; Frontage 6.5 meters - you will have a space for a garden or family area)

TCP 4,900,000

20% DP 980,000
Less Reservation 20,000
Net DP 960,000
Payable 24 months 40,000 per month only!

80% Balance 3,920,000
15 yrs 35,234 per month only!
20 yrs 30,392 per month only!
25yrs 27,705 per month only!

Required Income for a 15yr term at a 7% Rate is only Php 88,085.

Note: I personally like this area because of the wide access road of Marcos Highway and within reach of major establishments, such as but not limited to, supermarkets, malls, schools, places of worship, hospitals, sports plaza, restaurants, and most importantly public transportation.

Feel free to contact us
Ryan Carlo Dela Cruz
Mobile 0917_528_5588 (Also on Viber and WhatsApp)
Landline 7217_8693
Licenses PRC 21600 HLURB 4882

Antipolo House and Lot
House and Lot Antipolo
Antipolo House and Lot for Sale
House and Lot Antipolo for Sale
For Sale Antipolo House and Lot
For Sale House and Lot Antipolo
Antipolo For Sale House and Lot
House and Lot For Sale Antipolo
Masinag House and Lot
House and Lot Masinag
Masinag House and Lot For Sale
House and Lot Masinag For Sale
For Sale Masinag House and Lot
For Sale House and Lot Masinag
Masinag For Sale House and Lot
House and Lot For Sale Masinag
Cainta House and Lot
House and Lot Cainta
For Sale Cainta House and Lot
For Sale House and Lot Cainta
Cainta House and Lot For Sale
House and Lot Cainta For Sale
Cainta For Sale House and Lot
House and Lot For Sale Cainta
Marikina House and Lot
House and Lot Marikina
Marikina House and Lot for Sale
For Sale Marikina House and Lot
House and Lot Marikina For Sale
For Sale House and Lot Marikina
Marikina For Sale House and Lot
House and Lot for Sale Marikina",,"67","7",,,,"74","0","1690338308000","https://www.facebook.com/ferdenrealty/posts/pfbid02Vy1v6aVrz1ohx2Nu4sRTbJL41nRgaRxfrxuQurGSdanLEyrKKVBZd3o49rhm4EATl"
"No photo description available.","590118399951893","photo","https://www.facebook.com/photo.php?fbid=590118399951893&set=a.162321879398216&type=3","No photo description available.","590118429951890","photo","https://www.facebook.com/photo.php?fbid=590118429951890&set=a.162321879398216&type=3","No photo description available.","590118473285219","photo","https://www.facebook.com/photo.php?fbid=590118473285219&set=a.162321879398216&type=3","No photo description available.","590118519951881","photo","https://www.facebook.com/photo.php?fbid=590118519951881&set=a.162321879398216&type=3","No photo description available.","590118556618544","photo","https://www.facebook.com/photo.php?fbid=590118556618544&set=a.162321879398216&type=3","100068612142206","MMDA","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/242803846_162321929398211_6744508622629887688_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx604x604&ctp=s40x40&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=-GxMrIa-rlcQ7kNvwHR8jrH&_nc_oc=AdpDpIiJm1ioXByNSUmuAG8QHT4ZMp5oKGrCFHmnPErzbguUaBzLrnixyIctb7jn-HE&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=NEK97iKoWQd5f7mtThsFrg&_nc_ss=7e2a8&oh=00_AQDjhb8XKoROp4UTuteiEiToKqWQSUqAQBrhhEytw84iJQ&oe=6A5EA512","https://www.facebook.com/MMDAPH","20","590118739951859","Ano man ang lagay ng panahon, tuloy-tuloy ang tungkuling ginagampanan ng MMDA Flood Control and Sewerage Management Office sa paghahakot at pagbabawas ng mga basura sa mga kanal, ilog, at iba pang daluyan ng tubig.

Isinasagawa ang declogging operations at paghahakot ng basura sa mga pangunahing lugar sa Metro Manila.

Ugaliin gawin ang Reduce, Reuse, at Recycle para mabawasan ang  basura at hindi na ito maging dahilan ng pagbara ng mga daluyang-tubig.#mmda #mmdaatyourservice","1","65","14","2","4","2","88","4","1690410629000","https://www.facebook.com/MMDAPH/posts/pfbid0mUufsnQxBU98VcU486EPiLLTpwhoBepbbvMKbPvzGuk5zEte5YXV727rjcWPFVtql"
"No photo description available.","224096947267909","photo","https://www.facebook.com/photo.php?fbid=224096947267909&set=a.117773884566883&type=3","No photo description available.","224096997267904","photo","https://www.facebook.com/photo.php?fbid=224096997267904&set=a.117773884566883&type=3",,,,,,,,,,,,,"100090028150381","PAGASA-National Capital Region PRSD","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/327447841_600469368148357_1261002846227433584_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx1000x1000&ctp=s40x40&_nc_cat=101&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=URrMSuFXOD4Q7kNvwGwxafA&_nc_oc=AdpHoSoixNeOTzED8jU4gK3jD21ICrxs8qWesNjuA0lxebPLRNvGyjok4KXcmFXhMI0&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=NEK97iKoWQd5f7mtThsFrg&_nc_ss=7e2a8&oh=00_AQDLxg0UajcqDvATbJJnqv4M4KtOZbZvFivN3kE1zLgFPA&oe=6A5E851C","https://www.facebook.com/NCR.PAGASA","2","224097070601230","Heavy Rainfall Warning No. 10  #NCR_PRSD
Weather System: TY EGAY / SW MONSOON
Issued at: 5:00 AM,27 July 2023

Yellow Warning: #MetroManila, #Zambales, #Bataan, #Pampanga, #Tarlac, #NuevaEcija, #Rizal, #Bulacan.
Associated Hazard: FLOODING in flood-prone areas

Meanwhile, Light to moderate with occasional heavy rains affecting #Cavite, #Batangas, #Laguna, and #Quezon which may persist within 3 hours.

The public and the Disaster Risk Reduction and Management Offices concerned are advised to MONITOR the weather condition and watch for the next advisory to be issued at 8:00 AM Today.

For more information and queries, please call telephone numbers 8922-1992 and 8927-1335 or log on to bagong.pagasa.dost.gov.ph.",,"46",,"7","3","1","57","72","1690405137000","https://www.facebook.com/NCR.PAGASA/posts/pfbid0hRn9GCq5ZYYVTTVgx6NmQobcrkZQVpNabZp3km7yJBr1YgDa3vCkgqApTXtEiVqVl"
,,,,,,,,,,,,,,,,,,,,"100000306631637","ケニア カスザンドラ","https://scontent-iad6-1.xx.fbcdn.net/v/t1.30497-1/453178253_471506465671661_2781666950760530985_n.png?stp=cp0_dst-png&cstp=mx2048x2048&ctp=s24x24&_nc_cat=1&ccb=1-7&_nc_sid=136b72&_nc_ohc=jcZuiBJJlywQ7kNvwHmXk_w&_nc_oc=Adq88jH8Pjwbug86YuS-hGN66er7jyqp8ygMHnifmmtQAsAtfMqp8eA0jLZTeXmh-3A&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_ss=7e2a8&oh=00_AQAV8AA5pHaOvPpdrVgBtBosz5wHDN44IF9iHgZQ6Qy97Q&oe=6A80293A","https://www.facebook.com/Teachercaszy","252","7385721651510232","LF: 

-Wedding Coordinator - PACKAGE  (INC wedding) 
-Reception venue (Manila area) 
-Abay infinity dress/dress (Olive green) 
-Conservative wedding gown 
-Hair and Make Up ( Dont post your sample pics on comment box, send to me privately to avoid flood comments)
Thankyou!",,"49","37",,"4",,"90","0","1690333248000","https://www.facebook.com/groups/980743718674756/permalink/7385721651510232/"
"No photo description available.","263211069791108","photo","https://www.facebook.com/photo.php?fbid=263211069791108&set=a.129223973189819&type=3","No photo description available.","263211086457773","photo","https://www.facebook.com/photo.php?fbid=263211086457773&set=a.129223973189819&type=3","No photo description available.","263211083124440","photo","https://www.facebook.com/photo.php?fbid=263211083124440&set=a.129223973189819&type=3","No photo description available.","263211066457775","photo","https://www.facebook.com/photo.php?fbid=263211066457775&set=a.129223973189819&type=3","No photo description available.","263211059791109","photo","https://www.facebook.com/photo.php?fbid=263211059791109&set=a.129223973189819&type=3","100083066505877","Francisville Residences","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/279060970_109637475067165_5810339104190582883_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx960x960&ctp=s40x40&_nc_cat=110&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=beMG_03qn5EQ7kNvwEjOj8o&_nc_oc=Ado6_IS3kYtNt94PE8AsSv1bV86derezV42E_jxi0YeK_PP7g3o3EnQ7VjfKGufnFIo&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=NEK97iKoWQd5f7mtThsFrg&_nc_ss=7e2a8&oh=00_AQDnTs0IjcAD2IeBEFSuAzAkH0qYi-hqf9X6B9kT00NRqA&oe=6A5EA8FE","https://www.facebook.com/FrancisvilleResidenceHSRC","4","263211293124419","FRANCISVILLE RESIDENCES
Mambugan, Antipolo City 
Along Sumulong Highway 

💯 FLOOD FREE ZONE AREA 
1 Minute away from Xentro Mall Antipolo 

SOON TO RISE

PROMITY:
☑️ 1 Minute away from Xentro Mall Antipolo 
☑️ 2 Minutes away from Antipolo City Hospital
☑️ 3 Minutes away from College of San Benildo Rizal 
☑️ 3 Minutes away from Fatima University 
☑️ 4 Minutes away from SM City Antipolo 
☑️ 4 Minutes away from Antipolo LRT Station 
☑️ 5 Minutes away from St John Mary Vianney Parish Church

HOUSE FEATURES:
✅ 3 to 4 Bedroom
✅ 2 toilet and Bath
✅ Living Dining & Kitchen
✅ Service Area
✅ Carport 
✅ With built-in cabinets 

➡️ Reservation fee ₱50,000
➡️ Downpayment Scheme 20% to 30%

Lot area: 52.66 sqm 
Floor area: 62.72 sqm

Total Contract Price ₱5,070,000.00
20% Down payment: ₱1,014,000.00
Les: Reservation Fee: ₱50,000.00
Net down payment: ₱964,000
15 mos. to pay ₱64,266.66

80% Balance: ₱4,056,000.00

Estimated monthly investments:
  5 yrs. to pay ₱80,792.93
10 yrs. to pay ₱49,210.47
15 yrs. to pay ₱38,761.25
20 yrs. to pay ₱33,926.01

Note:
- Bank loan approval shall be provided by the client, at least 3 mos. prior end of downpayment.
- Client shall settle in full any loan difference or balance after full downpayment and bank loan approval.
- Transfer of ownership of title included on the TCP
- Application of water and electric utilities under seller's name included on the TCP
- Transfer of ownership of utilities shall be on the account of the buyer
- Net disposal income (NDI) to qualify for bank loan at least ₱114k per month. Combine salary for husband and wife is applicable.

For tripping and reservation assistance:
JERRY NUEVAS
09395130800
Messenger: m.me/jerry.nuevas
Viber | Messenger | WhatsApp
Real Estate Virtual Assistant
Human Shelter Realty Corp
PRC# 0010116

#AntipoloHouseAndLot #DreamHome #RealEstatePH #PropertyInvestment #QualityLiving #HomeSweetHome #HomeForSale",,"1",,,,,"1","1","1690413287000","https://www.facebook.com/FrancisvilleResidenceHSRC/posts/pfbid04egpKhM4edQbCHpBmax1hHqBXnZiq9WZjgRvAF2xz7CaKXPrfsXSKMyyGHuZQihTl"
"No photo description available.","732219128915576","photo","https://www.facebook.com/photo/?fbid=732219128915576&set=a.609761574494666",,,,,,,,,,,,,,,,,"100063824864541","BABY's Affordable Homestay with City View","https://scontent-iad3-2.xx.fbcdn.net/v/t39.30808-1/696912524_1508058604664954_1654748533778573116_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx1254x1254&ctp=s40x40&_nc_cat=103&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=gs0G1BI_FbgQ7kNvwE1Ptwo&_nc_oc=AdomxgppdqjC5L59aMELLlyKL-wWJqhliBqXU95u1krUWuhiAR1K1lSNEb56CsmBPKg&_nc_zt=24&_nc_ht=scontent-iad3-2.xx&_nc_gid=AkxzAOi_8mp_F__MInUHYw&_nc_ss=7e2a8&oh=00_AQAhlFXvs-F5-Iw6AgeYXcyKsnjSMefTbmV_VmpjiqZ5dw&oe=6A5EABDE","https://www.facebook.com/BenefitsSatisfactionValue","1","732219142248908","Flood Free in here ‼️📢
Book Now & Feel The Fresh Air‼️🍃😊🍃😊🍃💚🌳❤💚🌳❤‼️

PROMO PROMO PROMO ‼️‼️‼️

📢Only 1199 for 24hrs/ 2pax for today only_ with unli wifi and netflix. 🤗🍃💖📢

📢 We also have 699 for 5-6hrs‼️ ✨✨✨

📢 We also accept advance bookings and reservations

Chat with us! 🤗",,,,,"1",,"1","0","1690327330000","https://www.facebook.com/BenefitsSatisfactionValue/posts/pfbid0Bvg8v3HKi2WsfXrXtMR2BqLdFMZsguAzKY6iDY1XkWwMsPyVJtv8MVyPRHfJtueCl"
"No photo description available.","783760210422182","photo","https://www.facebook.com/photo/?fbid=783760210422182&set=a.125887042876172",,,,,,,,,,,,,,,,,"100063646302958","Marikina News Vlog","https://scontent-iad3-2.xx.fbcdn.net/v/t39.30808-1/426613232_928444952620373_6786285618059731975_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx960x957&ctp=s40x40&_nc_cat=103&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=SaLk1dyqvicQ7kNvwFeNOAs&_nc_oc=AdrRSu9Gddy925273IM-tZHRku_DWP3r6MhnHzGSOIT280oySbMqMDwzIMjwnao-Uzk&_nc_zt=24&_nc_ht=scontent-iad3-2.xx&_nc_gid=AkxzAOi_8mp_F__MInUHYw&_nc_ss=7e2a8&oh=00_AQAlaozWPUa--5326E88TY33dK-1zPPB0cyJ-dmUG69Lbg&oe=6A5E8830","https://www.facebook.com/Nhiel0","0","783760227088847","Ingat po sa lahat lalo na sa mga flood front erea..
Keep safe everyone",,"1",,,,,"1","0","1690253186000","https://www.facebook.com/Nhiel0/posts/pfbid02vBMDagdntVgdnT2joqVJTcVhSh9MHmZ6Fqtstnntezc7SafbaXopkTGbXj5EaApal"
"No photo description available.","627516456186473","photo","https://www.facebook.com/photo/?fbid=627516456186473&set=gm.1993385284372229&idorvanity=723655401345230",,,,,,,,,,,,,,,,,"100067843737198","Reymond Encarnacion","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/720125925_1339914694946642_7769149173811960074_n.jpg?stp=c0.0.1224.1224a_cp0_dst-jpg_tt6&cstp=mx1224x1224&ctp=s24x24&_nc_cat=109&ccb=1-7&_nc_sid=e99d92&_nc_ohc=eck1sOgQtm8Q7kNvwHTFfp9&_nc_oc=AdrQKWv7P6yiOZfhdM00SM4THX4VFQdNfq7_-ZEiDfsshq0_zO0lobjBdrUhCvZYWDw&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=AkxzAOi_8mp_F__MInUHYw&_nc_ss=7e2a8&oh=00_AQCZZuAqErulXVG6CXChjpyMVxLz92c3xBrFFFA7bcbyOA&oe=6A5E9409","https://www.facebook.com/reymond.encarnacion.5667","7","1993385284372229","Commercial building 2 storey for sale ( FLOOD FREE )

C6-road b2 l32 divine mercy village gb1 san mateo rizal

- 10min away from Quezon City
- 9 meters frontage with 3 carpark
- Lot area : 100sqm more or less
- Floor area : 170sqm more or less

- P12million 2units ( 6million each )
- each unit has 2 bathrooms and a balcony
- DP : 4million spot cash
- CASH OR BANKING
09616394667",,,,,,,"0","0","1690384710000","https://www.facebook.com/groups/723655401345230/permalink/1993385284372229/"
"No photo description available.","277257674894450","photo","https://www.facebook.com/photo/?fbid=277257674894450&set=gm.3247851105512014&idorvanity=1950236225273515",,,,,,,,,,,,,,,,,"100078306593213","Gilbert Gopez","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/726860480_997978852822325_5128676821835270340_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx876x871&ctp=s24x24&_nc_cat=107&ccb=1-7&_nc_sid=1d2534&_nc_ohc=OVXqf2Th5WcQ7kNvwGc0Phj&_nc_oc=AdqalZwCVVFjcMwKIXOkqQ01A86lABNk8udDYfcd7oP5FQKN1wfI1I6hYE3YjwH6bbk&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=AkxzAOi_8mp_F__MInUHYw&_nc_ss=7e2a8&oh=00_AQC--f7Teiac-0RKrXkHI9R3p6swzVBddjYVgUzy2iOK9w&oe=6A5E9520","https://www.facebook.com/gilbert.gopez.2024","2","3247851105512014","Marikina River Water Level Update
July 27, 2023, 5:38 a.m.

WATER LEVEL: 
15.0 meters
(First Alarm)

MANGGAHAN FLOOD GATES:
All Gates Open",,"8",,,,,"8","0","1690407967000","https://www.facebook.com/groups/1950236225273515/permalink/3247851105512014/"
"No photo description available.","277254214894796","photo","https://www.facebook.com/photo/?fbid=277254214894796&set=gm.3247847695512355&idorvanity=1950236225273515",,,,,,,,,,,,,,,,,"100078306593213","Gilbert Gopez","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/726860480_997978852822325_5128676821835270340_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx876x871&ctp=s24x24&_nc_cat=107&ccb=1-7&_nc_sid=1d2534&_nc_ohc=OVXqf2Th5WcQ7kNvwGc0Phj&_nc_oc=AdqalZwCVVFjcMwKIXOkqQ01A86lABNk8udDYfcd7oP5FQKN1wfI1I6hYE3YjwH6bbk&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=AkxzAOi_8mp_F__MInUHYw&_nc_ss=7e2a8&oh=00_AQC--f7Teiac-0RKrXkHI9R3p6swzVBddjYVgUzy2iOK9w&oe=6A5E9520","https://www.facebook.com/gilbert.gopez.2024","0","3247847695512355","Marikina River Water Level Update
July 27, 2023, 5:00 a.m.

WATER LEVEL: 
14.9 meters
(Normal Level)

MANGGAHAN FLOOD GATES:
All Gates",,"9",,,,,"9","0","1690407264000","https://www.facebook.com/groups/1950236225273515/permalink/3247847695512355/"
