"attachments/0/accessibilityCaption","attachments/0/id","attachments/0/type","attachments/0/url","attachments/1/accessibilityCaption","attachments/1/id","attachments/1/type","attachments/1/url","attachments/2/accessibilityCaption","attachments/2/id","attachments/2/type","attachments/2/url","attachments/3/accessibilityCaption","attachments/3/id","attachments/3/type","attachments/3/url","attachments/4/accessibilityCaption","attachments/4/id","attachments/4/type","attachments/4/url","author/id","author/name","author/profilePicture","author/profileUrl","commentsCount","postId","postText","reactions/anger","reactions/haha","reactions/like","reactions/love","reactions/sorry","reactions/support","reactions/wow","reactionsCount","sharesCount","timestamp","url"
,"184126487067072","video",,,,,,,,,,,,,,,,,,"100064849986224","GMA News","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/658216539_1459297662908553_7892569438724908023_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx1200x1200&ctp=s40x40&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=_9Kw3PkUnsIQ7kNvwFXpWg4&_nc_oc=AdqCsNxIY4WWTn4w-WW58wGWxgiR2Skxy9yl32oj-IZpJIx2jqCAY34wk8l2djwj204&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=azZqAkv9e0PF0IUikGBv4w&_nc_ss=7e2a8&oh=00_AQDqULcOIVQFoTVGeQHx0B_orp1WtVQCRoxRT2NlCo_k2g&oe=6A5EAA3F","https://www.facebook.com/gmanews","73","10160239440121977","Mapagmahal Street sa Pinyahan, Quezon City, hindi na madaanan dahil sa lalim ng baha bunsod ng walang tigil na pag-ulan ngayong araw. | via Allan Gatus/Super Radyo DZBB 594khz

BASAHIN: Where will it rain over the weekend, according to PAGASA https://bit.ly/36XGQ70","1","6","438","5","202","6","10","668","88","1627039167000","https://www.facebook.com/gmanews/videos/184126487067072/"
,"181236057357424","video",,,,,,,,,,,,,,,,,,"100064957951102","ABS-CBN News","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/612193561_1385784586930127_8766501501849307524_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx513x511&ctp=s40x40&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=BDsIev3SqvYQ7kNvwE8gNPF&_nc_oc=Adoe79sgKMC800jiiIOUv0UgH2QDLS--zl7iM6RCM82t245GbH2_hkyK_TNPjuGssJ4&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=azZqAkv9e0PF0IUikGBv4w&_nc_ss=7e2a8&oh=00_AQD0Mj7juI__uhghSJg4r2U2cJCmJQDIvzEBhd9Xkc3twQ&oe=6A5EBD5C","https://www.facebook.com/abscbnNEWS","56","10159650947280168","TINGNAN: Mag-iisang linggo nang nakararanas ng pag-ulan sa Pampanga dulot ng hanging habagat na pinalalakas ng bagyong #Fabian kaya maraming lugar ang lubog na sa baha.
 
Sa tala ng Provincial Disaster Risk Reduction and Management Office, 34 barangay na sa lalawigan ang binaha.
 
Sa ilang lugar sa Masantol, lumala pa ang baha dahil sa high tide. Sa kabila nito, ilang residente ang nagpasyang ‘wag lumikas kahit pinasok na ng tubig ang kanilang mga bahay.
 
Sa bayan naman ng Macabebe, may lumot at nangangamoy na ang tubig dahil sa hindi pa rin humuhupang baha. Ayon sa PAGASA, posibleng magtagal pa hanggang weekend ang baha. #FloodPatrol #WeatherPatrol (📹: PDRRMO) | via Gracie Rutao
 
BASAHIN ang buong ulat: https://news.abs-cbn.com/news/07/22/21/higit-20-barangay-sa-pampanga-nalubog-sa-baha-dahil-sa-malakas-na-ulan","3","2","392","12","144","6","6","565","124","1627033204000","https://www.facebook.com/abscbnNEWS/videos/181236057357424/"
,"300948741809783","video",,,,,,,,,,,,,,,,,,"100064632731544","Pinoy Joyride","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/714612066_1428970039267407_7854712388244477_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx1254x1254&ctp=s40x40&_nc_cat=106&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=-mUMdS-RZTYQ7kNvwHBmwao&_nc_oc=AdrVVtLrim6575WOyT8EIXOjbzuZLY4Hf3TOV8kTcha5L5Y9Lwh9idS-MMkJ9RTbLgE&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=azZqAkv9e0PF0IUikGBv4w&_nc_ss=7e2a8&oh=00_AQCfv878rC4FAl4R9aAYPq56IddzcLiIcjSuSsxoLL9nRQ&oe=6A5EB51F","https://www.facebook.com/pinoyjoyride","25","4766360280046043","Due to the monsoon rains baha sa Las Pinas Zapote intersection. Kamusta naman kayo? Ingat sa pag uwi!",,"1","81","2","44","2","5","135","36","1626963711000","https://www.facebook.com/pinoyjoyride/videos/300948741809783/"
"No photo description available.","2627568127399925","photo","https://www.facebook.com/photo.php?fbid=2627568127399925&set=a.647063400785530&type=3","No photo description available.","2627568057399932","photo","https://www.facebook.com/photo.php?fbid=2627568057399932&set=a.647063400785530&type=3","No photo description available.","2627568150733256","photo","https://www.facebook.com/photo.php?fbid=2627568150733256&set=a.647063400785530&type=3","No photo description available.","2627568110733260","photo","https://www.facebook.com/photo.php?fbid=2627568110733260&set=a.647063400785530&type=3",,,,,"100064456281701","News5","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/352531091_590012623265943_7503745415624331533_n.png?stp=cp0_dst-png&cstp=mx719x719&ctp=s40x40&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=VZI5zKGnILYQ7kNvwEz264F&_nc_oc=AdrHxN44wd5B9XCpYSTZDl14l0QPAdV_7D4PWcTjARijv5ZdGG7KcBYQXq-z6jOUfi8&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=azZqAkv9e0PF0IUikGBv4w&_nc_ss=7e2a8&oh=00_AQB8scEJc4HEYe75TSv2_aF5Vnx4bDqje-TuRl-OgV7P_A&oe=6A5E958F","https://www.facebook.com/News5Everywhere","1429","2627568417399896","Abot-dibdib ang baha sa Village East sa Cainta, Rizal. Pinapayuhan ang mga nagnanais pumasok sa lugar na huwag nang dalhin ang kanilang mga sasakyan.","5","21","3877","30","4987","92","192","9204","6011","1627083889000","https://www.facebook.com/News5Everywhere/posts/pfbid0FAxGsSSnDcE3KarsSAkEBo5uXNNduBdwUWV86zQcLhjoiFJr2ZWi4q2i4JFmEATZl"
,"1772218992975913","video",,,,,,,,,,,,,,,,,,"100064849986224","GMA News","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/658216539_1459297662908553_7892569438724908023_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx1200x1200&ctp=s40x40&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=_9Kw3PkUnsIQ7kNvwFXpWg4&_nc_oc=AdqCsNxIY4WWTn4w-WW58wGWxgiR2Skxy9yl32oj-IZpJIx2jqCAY34wk8l2djwj204&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=azZqAkv9e0PF0IUikGBv4w&_nc_ss=7e2a8&oh=00_AQDqULcOIVQFoTVGeQHx0B_orp1WtVQCRoxRT2NlCo_k2g&oe=6A5EAA3F","https://www.facebook.com/gmanews","193","10160236566476977","PANOORIN: Lagpas-tuhod ang baha sa Brgy. San Jose, Paombong, Bulacan kaninang umaga dahil sa malakas na pag-ulan na sinabayan pa ng high tide. 

Ayon kay YouScooper Fahr Faisal, humupa na ang baha sa naturang lugar ngayon. 

COURTESY: Fahr Faisal","2","9","572","6","399","14","27","1029","230","1626951001000","https://www.facebook.com/gmanews/videos/1772218992975913/"
,"4157743360972127","video",,,,,,,,,,,,,,,,,,"100064849986224","GMA News","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/658216539_1459297662908553_7892569438724908023_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx1200x1200&ctp=s40x40&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=_9Kw3PkUnsIQ7kNvwFXpWg4&_nc_oc=AdqCsNxIY4WWTn4w-WW58wGWxgiR2Skxy9yl32oj-IZpJIx2jqCAY34wk8l2djwj204&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=ErBgvWbuWmnfoGR0jHfPEw&_nc_ss=7e2a8&oh=00_AQAqwb4GIDICAoB6cFbuuZLfT2s6LCy4LOWHXljCfvyMTQ&oe=6A5EAA3F","https://www.facebook.com/gmanews","452","10160236764326977","TINGNAN: Mistulang naging ilog ang bahaging ito ng C.P. Tinga Street sa Barangay New Lower Bicutan, Taguig City. Bahagyang humina na ang ulan ngayong gabi pero abot-tuhod na ang baha sa naturang lugar, ayon kay YouScooper Mark Meran. 

Sa huling advisory ng PAGASA, nakataas ang orange rainfall warning sa Metro Manila, Bataan, Cavite at Zambales.

Courtesy: Mark Meran

Mag-ingat at maging #IMReady, mga Kapuso!","2","21","1048","15","834","14","75","2009","867","1626955024000","https://www.facebook.com/gmanews/videos/4157743360972127/"
,"1503484753331871","video",,,,,,,,,,,,,,,,,,"100064957951102","ABS-CBN News","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/612193561_1385784586930127_8766501501849307524_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx513x511&ctp=s40x40&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=BDsIev3SqvYQ7kNvwE8gNPF&_nc_oc=Adoe79sgKMC800jiiIOUv0UgH2QDLS--zl7iM6RCM82t245GbH2_hkyK_TNPjuGssJ4&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=ErBgvWbuWmnfoGR0jHfPEw&_nc_ss=7e2a8&oh=00_AQBJu8eC15dOXYCuzywFA-Je7V4fD1n_Igeel3qRCscdlg&oe=6A5EBD5C","https://www.facebook.com/abscbnNEWS","1747","10159650614770168","BAHA DELIVERY. Hindi alintana ng mga barangay official at volunteers ang mataas na baha para maghatid ng tulong tulad ng pagkain sa mga na-stranded na residente at senior citizens sa Barangay Niog 2 sa Bacoor City, Cavite.

(📹: Kgd. Dindo Leynes, Bgy. Niog 2) | via Anjo Bagaoisan, ABS-CBN News","3","8","7931","1736","63","178","81","10000","2944","1627019116000","https://www.facebook.com/abscbnNEWS/videos/1503484753331871/"
,"452338982977315","video",,,,,,,,,,,,,,,,,,"100070217825239","Balitang Caloocan","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/310558625_222577773426149_7016199597743137388_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx1440x1440&ctp=s40x40&_nc_cat=100&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=geqSy3PEdQwQ7kNvwE4L-0H&_nc_oc=AdpsPOTOl7lv8850i3rpvZefgcH8B1EejL4gouXV_F9gPI8g3fCqn1JL0KZ6kT6zXn0&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=ErBgvWbuWmnfoGR0jHfPEw&_nc_ss=7e2a8&oh=00_AQBNXs-qrc6hWsTHuoQdpKNXlDUvUOlUENVTMVdDCXL9NA&oe=6A5EAC71","https://www.facebook.com/balitangcaloocanph","56","123549549980316","BAHA BA SA INYONG LUGAR?
Video: Isang driver ang lakas-loob na isinuong ang sasakyan sa mataas na baha.
CTTO
#BalitangCaloocan",,"19","90",,"1","2","23","135","47","1627024273000","https://www.facebook.com/balitangcaloocanph/videos/452338982977315/"
,"570079534353904","video",,,,,,,,,,,,,,,,,,"100064773907046","TV Patrol","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/608518829_1379498824219235_6894079646221905019_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx1079x1079&ctp=s40x40&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=eBZ3DoBYorkQ7kNvwH_XHaL&_nc_oc=AdoXbzu3b95Agh11aJzLbx8xAuLhKgF8-n-4q6NyqbPrxc7ENsYixco-G93qaIv1tbU&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=ErBgvWbuWmnfoGR0jHfPEw&_nc_ss=7e2a8&oh=00_AQCSY-sTLxxiWXeW-RwXzdfIL39F9C7foUNBG1vHMM9afg&oe=6A5EAF4F","https://www.facebook.com/tvpatrol.abscbn","38","4344963102225712","Nalubog sa baha ang ilang kalsada sa Quezon City dahil sa masungit na panahon dulot ng hanging habagat. #WeatherPatrol","6","5","1126","28","178","15","8","1366","54","1626952587000","https://www.facebook.com/tvpatrol.abscbn/videos/570079534353904/"
,"4308002872554748","video",,,,,,,,,,,,,,,,,,"100067948800083","Saksi","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/724789891_1337498615191753_4558250279440898913_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx1189x1189&ctp=s40x40&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=zkSMi5FjVw4Q7kNvwGuSLrP&_nc_oc=AdrjEyX_1L4vJYeJBeJuxBJOYUyDJIZIf4c71C1-cuvErdIpKW8rzajexmFZ1VOTfOs&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=ErBgvWbuWmnfoGR0jHfPEw&_nc_ss=7e2a8&oh=00_AQCH8HRdQhZOmhn6JXX3l35MHPicBkP23Lw3ikH6xCgWWw&oe=6A5EAB74","https://www.facebook.com/SaksiGMA","1","4269361639817818","Baha sa ilang lugar sa Quezon City, gaya sa Brgy. Kamuning, kung saan may mga residenteng kinailangang i-rescue dahil sa sobrang taas ng tubig. Sa bahagi ng Santo Domingo, mataas din ang tubig kaya hirap makadaan ang mga sasakyan.

Habagat pa rin ang nagpapaulan sa magdamag. Hinahatak iyan ng Bagyong Fabian, na posibleng ngayong gabi o bukas nang umaga na lumabas ng philippine Area of Responsibility.",,,"164","4","25",,"2","195","15","1627073426000","https://www.facebook.com/SaksiGMA/videos/4308002872554748/"
,"224833846162136","video",,,,,,,,,,,,,,,,,,"100064456281701","News5","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/352531091_590012623265943_7503745415624331533_n.png?stp=cp0_dst-png&cstp=mx719x719&ctp=s40x40&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=VZI5zKGnILYQ7kNvwEz264F&_nc_oc=AdrHxN44wd5B9XCpYSTZDl14l0QPAdV_7D4PWcTjARijv5ZdGG7KcBYQXq-z6jOUfi8&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=O3b1BvipwJJkfc8qc9_95w&_nc_ss=7e2a8&oh=00_AQBzQYL_ktGtTsq-8uPzjBR4lEwr-FaAFBHYzF9-X_mvwQ&oe=6A5E958F","https://www.facebook.com/News5Everywhere","19","2626167597539978","#FrontlineSaUmaga | Ulan at baha rin ang sinuong ng mga pasahero’t motorista sa Pasay at Maynila. Sa gitna nito, nasunog naman ang apat na bahay sa Pasay. | via Gary de Leon

For more latest stories, visit us at www.news5.com.ph",,,"161","4","45","1","1","212","16","1627003510000","https://www.facebook.com/News5Everywhere/videos/224833846162136/"
"No photo description available.","367669634716480","photo","https://www.facebook.com/photo/?fbid=367669634716480&set=a.204458884370890",,,,,,,,,,,,,,,,,"100044203401360","Breezy","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/462241110_1079997606817009_1801929302273205486_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx960x960&ctp=s40x40&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=G7yK-n9a8AAQ7kNvwGhFBye&_nc_oc=Ado9eA3SIP2hf995JkmTXWTRYP3wOQuX7VnYyQNAlwiLkaSbGqKkZSvj4HIlTZIB0Nc&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=O3b1BvipwJJkfc8qc9_95w&_nc_ss=7e2a8&oh=00_AQD4Eue_JQhXXvvcPvrAkyUYJbRo_-Jit42b-iXN9F4sVw&oe=6A5EA436","https://www.facebook.com/StayBreezyAlways","155","367669664716477","Umiwas ako Aguinaldo kasi alam ko Baha na Bacoor..
Ukininam... Mas lubog pala dito sa molino blvd. hahaha

Ayun sila.. Takot sumubok.. Hahaha 🤣

Class S na Halimaw.... Tumagos kahit lubog makina 😂

Class S din na gastusin pag may nasira 😭 haha...

Ingat sa mga nabyahe ngayon 🙏

#StayBreezyAlways",,"793","598","209","3","13","17","1633","41","1626954717000","https://www.facebook.com/StayBreezyAlways/posts/pfbid0Vxae2zNvhs4kRvRdcYeELm5ay1d1znrGyr3iwF8aHcU5xWw1p5AQoXJz65qCa9E6l"
,,,,,,,,,,,,,,,,,,,,"100044171662720","MYMP","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/734846192_1564877321661308_3159643760150140451_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx1206x1206&ctp=s40x40&_nc_cat=101&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=sXqjccabJbsQ7kNvwHdD_7Z&_nc_oc=AdpTdlKBOXrJbKN4Op7DPw3sn2-sN9kHWTkh8JxPU0yL4Dl470XR1gKENRmURew_gAM&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=O3b1BvipwJJkfc8qc9_95w&_nc_ss=7e2a8&oh=00_AQBxUC0B3endKdboEIMBamGi9lgofrpM2gguMJbIOPfdwA&oe=6A5EB50D","https://www.facebook.com/mympofficial","37","359051042243948","Baha tapos earthquake 😭 

Ingat tayo lahat….",,,"555","22","529","39","4","1149","17","1627073807000","https://www.facebook.com/mympofficial/posts/pfbid05icKoqvNsi3kYbntVyp5gGcDXwWjEDkyEBqv4jCpg2KY1urktvQt92KYHKJ7yLewl"
"No photo description available.","371512261002511","photo","https://www.facebook.com/photo/?fbid=371512261002511&set=a.283277446492660",,,,,,,,,,,,,,,,,"100044312205435","Des Buncio 88","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/515961199_1294866995333695_1997483538891022171_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx960x958&ctp=s40x40&_nc_cat=100&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=GyY_dWcajdcQ7kNvwG4Rkzh&_nc_oc=AdrS72G7jlKPaxUQw6HVeDIVYri_SbL0GYxgMc8d8bphM84PTqKcf_4EzG-Af33MYz8&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=O3b1BvipwJJkfc8qc9_95w&_nc_ss=7e2a8&oh=00_AQA2qd3xSAGxORyxqiKPNrQFjTojatfQRM3lA609vFqKxQ&oe=6A5E8E3D","https://www.facebook.com/desbuncio88","81","371512284335842","Gandang umaga! Baha na rin dito sa bundok! Ingat kayo mga idol! #BundokDiaries

📸 @endurofactoryph",,"5","1319","224",,"24","171","1743","14","1627082364000","https://www.facebook.com/desbuncio88/posts/pfbid0h1eK6efzEZSiMcCkWAVgEbH2PofwxinBF5LVhpfvBgoF2T3a5RWeSqdTFmWukB5ql"
,,,,,,,,,,,,,,,,,,,,"100064616655120","Philippine Star","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/341858556_918415572727450_374717831366242673_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx1000x1000&ctp=s40x40&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=g5LUxtqmcMcQ7kNvwGzMmVR&_nc_oc=Adq1iMglFe9HDewJRm4wyZptUuVZp6QUvfTpR3GNJgE3f22YW4qlSJ8eTzuiZXI8MVI&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=O3b1BvipwJJkfc8qc9_95w&_nc_ss=7e2a8&oh=00_AQCdU_Up-zZ_C5Unlgn3c1p3Cd23eTotUHZMF6zxTsNIPw&oe=6A5E9800","https://www.facebook.com/PhilippineSTAR","7","383895986642381","Nakakalunod ang baha pero mas nakakalunod yung pagmamahal ko sayo. 💯",,"31","30","24",,"2",,"87","19","1626937154000","https://www.facebook.com/Oveeerride/posts/pfbid0tEKPr9PDTZfepMMEzG3MV5P6dAJeJuM34gj3Yf9UyAknu4mah6yuvtNR6DgcJWwAl"
"No photo description available.","4522436264434792","photo","https://www.facebook.com/photo/?fbid=4522436264434792&set=a.602987221184144",,,,,,,,,,,,,,,,,"100044186148326","OG Sacred","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/429641495_954542272695302_5887708297660784911_n.jpg?stp=cp6_dst-jpg_tt6&cstp=mx2048x2048&ctp=s40x40&_nc_cat=101&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=hNbkF3AtmqsQ7kNvwEMUOAo&_nc_oc=AdrwnHBziQxqkPh5w0pygH6KdS5y1x88P0NQKUIbe_Vrg-7vem0YGr-S8B0sIR_Finc&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=O3b1BvipwJJkfc8qc9_95w&_nc_ss=7e2a8&oh=00_AQBpBHqogJvqnnMZvwwqdBbJkc3LJv0xzSxmQyIUbtZu4g&oe=6A5EB651","https://www.facebook.com/profile.php?id=100044186148326","45","4522441007767651","sobrang lalim na ng baha, buti nakauwi agad! 
ingat sa mga nasa byahe at mga nasa labas 🙌",,,"949","340","7","16","5","1317","6","1627040012000","https://www.facebook.com/permalink.php?story_fbid=pfbid02n3Ls6kfrUcgyLRRjcnrBajvsKf9Wv5t7fAGvnpB3hZR9JuVG2CVG1VZtjp9tUQRkl&id=100044186148326"
"No photo description available.","4189549371167743","photo","https://www.facebook.com/photo.php?fbid=4189549371167743&set=a.548443510762552&type=3","No photo description available.","4189549354501078","photo","https://www.facebook.com/photo.php?fbid=4189549354501078&set=a.548443510762552&type=3",,,,,,,,,,,,,"100067907233599","DWIZ 882","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/701325907_1428518009421760_7004407669138656749_n.jpg?stp=c116.116.968.968a_cp0_dst-jpg_tt6&cstp=mx968x968&ctp=s40x40&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=cpxCFaDU6eAQ7kNvwFN_gXB&_nc_oc=AdoAWp9pCihrODf_kjy4qtMWqtUsj6d7jCnPketBU-426kQ3XJWBd3rzJ9dHrcFBJfw&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=O3b1BvipwJJkfc8qc9_95w&_nc_ss=7e2a8&oh=00_AQDjcFIRdsXAxjrA5RKESQrAaEzb7G4hl9IptAUrq33nOg&oe=6A5EACD6","https://www.facebook.com/dwiz882","16","4189550807834266","TINGNAN: Patuloy ang isinasagawang rescue operation sa mga na-trap na pamilya ng tubig baha na umabot sa bubungan ng bahay sa Sitio 5, Brgy. Aurora, Naujan Oriental Mindoro. Makikita sa larawan na mayroong mga bata na inililigtas ng mga rescuers. | via Ron Lozano",,,"196","3","148","47","2","396","23","1627020969000","https://www.facebook.com/dwiz882/posts/pfbid028TNBZPwQDohAv48DZ9pgufLxpfbgyH35rg35Nm8Da15brfmPREXKqus14DvJPxfl"
"No photo description available.","266403161955387","photo","https://www.facebook.com/photo/?fbid=266403161955387&set=a.215739730355064",,,,,,,,,,,,,,,,,"100057571144842","Emma","https://scontent-iad3-2.xx.fbcdn.net/v/t39.30808-1/741215890_1481310233798001_3866317600345260203_n.jpg?stp=cp6_dst-jpg_tt6&cstp=mx2048x2048&ctp=s40x40&_nc_cat=103&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=eVj1NHuDoDgQ7kNvwFQxemI&_nc_oc=Adpyy0zFL7U0EUiIL6b7fu43Rum2EaZXqq7a8saDe-WQiJoBFgRKlVa32wmH-fpN_nw&_nc_zt=24&_nc_ht=scontent-iad3-2.xx&_nc_gid=7l1oZpoGrmVl21Ztm18HTw&_nc_ss=7e2a8&oh=00_AQBA2PG5qcWA2Rax-9VZooNDj1rZaQIKZFtbNo8OqYs_qQ&oe=6A5E885A","https://www.facebook.com/GeorgeCafeCondesa","105","266403558622014","Ang lala ng baha sa kaingin!!! Abot hanggang dibdib 😢 Abangan sa Vlog ko mamaya. ❤️ #BuhayNgIskwater #Baha.","1","3","310","40","1391","14","48","1807","124","1627032357000","https://www.facebook.com/GeorgeCafeCondesa/posts/pfbid0NUuavCKt9dNSSet1gUAhUZAY31RKaXBzGS1n1VNwD3pv7vVARqbvWpcVzhFS3T7Ql"
