"attachments/0/accessibilityCaption","attachments/0/id","attachments/0/type","attachments/0/url","attachments/1/accessibilityCaption","attachments/1/id","attachments/1/type","attachments/1/url","attachments/2/accessibilityCaption","attachments/2/id","attachments/2/type","attachments/2/url","attachments/3/accessibilityCaption","attachments/3/id","attachments/3/type","attachments/3/url","attachments/4/accessibilityCaption","attachments/4/id","attachments/4/type","attachments/4/url","author/id","author/name","author/profilePicture","author/profileUrl","commentsCount","postId","postText","reactions/anger","reactions/haha","reactions/like","reactions/love","reactions/sorry","reactions/support","reactions/wow","reactionsCount","sharesCount","timestamp","url"
,"178297440998053","video",,,,,,,,,,,,,,,,,,"100063973842506","Flood Control Asia RS","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/292046102_423758326433292_6095856213619851414_n.png?stp=cp0_dst-png&cstp=mx1080x1080&ctp=s40x40&_nc_cat=106&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=SufljAMHZZEQ7kNvwHpvtgJ&_nc_oc=AdolykOHyIfxpE7GgpH00149Uhq2tYBOt3fidnvbETiNha_D1vynOgVlcEzSgWh3VSE&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=8JSAJVan6joGoAhvFeddlA&_nc_ss=7e2a8&oh=00_AQCIBu6EwlQuVtvfSe5XG51ij9Kse5L7zq2xGxUigKfVng&oe=6A5EAD8F","https://www.facebook.com/floodcontrol.asia","521","2842107802617072","WORRIED ABOUT FLOOD DAMAGE? 😲

✅ Let the Flood Experts help you protect your properties against floods!

Contact us now, and get peace of mind with a worry-free flood protection solution.

Send us a message:
https://m.me/floodcontrol.asia?ref=GetProtected

or call us:
+63 998 963 6950 (Smart)
+63 917 631  4188 (Globe)

CONTACT US NOW!","1","17","1712","63","14","12","232","2051","540","1626955864000","https://www.facebook.com/floodcontrol.asia/videos/178297440998053/"
,"873707656563980","video",,,,,,,,,,,,,,,,,,"100063728515168","Manila Bike Commuter","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/305830440_628511205658012_4878356428641573655_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx1247x1247&ctp=s40x40&_nc_cat=106&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=5zHt9zTsIOMQ7kNvwG4OvqK&_nc_oc=AdoWUiPbhpnVN9wHkJa82Okg4RLSk-jzR9osdMvE4_0FLm9k7pKUfxhOZyKpDo8pS38&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=8JSAJVan6joGoAhvFeddlA&_nc_ss=7e2a8&oh=00_AQBkKCNqvAdqbaQ9t3Eg0jDS9HEc2e4zxna4SAp6pjcAAw&oe=6A5EA495","https://www.facebook.com/manilabikecommuter","36","354823299693472","Kalentong is probably one of the worst places to get stuck during a heavy downpour because it gets flooded quickly, so I went by as fast as I could. 

#kalentong
#mandaluyong
#rain
#rainyseason
#bike
#bikelife
#bikecommute",,,"46","7",,,,"53","1","1626936810000","https://www.facebook.com/manilabikecommuter/videos/873707656563980/"
"No photo description available.","330446718760695","photo","https://www.facebook.com/photo/?fbid=330446718760695&set=a.429990422556185",,,,,,,,,,,,,,,,,"100066356936690","SuperMark","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/273508580_465995538539145_1256432604229271970_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx1080x1080&ctp=s40x40&_nc_cat=108&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=lU7HNcawWm8Q7kNvwFeP5L0&_nc_oc=AdrCAtJDW7m02yfpR7jvhzlMWxnbPUYmEupRdt3GiajyXkhuaPPyYH6AWFww64WNMhU&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=8JSAJVan6joGoAhvFeddlA&_nc_ss=7e2a8&oh=00_AQCBRbrmhczLVIw1Nb828z3NE8GXgfcNeWutSHZHqM2KwQ&oe=6A5EB72B","https://www.facebook.com/SuperMarkV","48","330449258760441","❞𝗕𝗨𝗜𝗟𝗗, 𝗕𝗨𝗜𝗟𝗗, 𝗕𝗨𝗜𝗟𝗗❞ 𝗡𝗨𝗠𝗕𝗘𝗥𝗦 𝗜𝗡 𝗖𝗔𝗚𝗔𝗬𝗔𝗡 𝗩𝗔𝗟𝗟𝗘𝗬

Under the leadership of 𝗦𝗲𝗰𝗿𝗲𝘁𝗮𝗿𝘆 𝗠𝗮𝗿𝗸 𝗩𝗶𝗹𝗹𝗮𝗿, a total of 𝟭,𝟰𝟴𝟯 kilometers of roads, 𝟯𝟮𝟮 bridges, 𝟯𝟳𝟵 flood mitigation structures and 𝟱,𝟱𝟴𝟵 classrooms in 𝗖𝗮𝗴𝗮𝘆𝗮𝗻 𝗩𝗮𝗹𝗹𝗲𝘆 are completed. 

#MarkVillar
#VillarSIPAG
#BuildBuildBuild
#Region2
#CagayanValley",,"10","1502","217",,"8","25","1762","96","1627038486000","https://www.facebook.com/SuperMarkV/posts/pfbid0fmM5gV3BerJY6PRa4UVqi1xjaVqdCadnL5HbPJMkG46gS8mZZNuDfaEyQXUF5FnYl"
,"511150613440806","video",,,,,,,,,,,,,,,,,,"100064616655120","Philippine Star","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/341858556_918415572727450_374717831366242673_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx1000x1000&ctp=s40x40&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=g5LUxtqmcMcQ7kNvwGSYvuE&_nc_oc=AdruuCNsj6167uRKCmcN2REzKfdMjsgM0CsIqb5EeVcZmoW9Hb10e1I6gVptloVmKkY&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=8JSAJVan6joGoAhvFeddlA&_nc_ss=7e2a8&oh=00_AQBdjZ0I_ZrCghmIHBs98CbAfF4scKSeCtw_3RcwJubqbA&oe=6A5E9800","https://www.facebook.com/PhilippineSTAR","128","2321115154708819","Trucks and some light vehicles brave the massive flood while some residents frolic in the torrential rains brought by the enhanced southwest monsoon along España Boulevard in Manila on Saturday midnight. (Video by Miguel de Guzman/The Philippine STAR)",,"9","331","2","304","7","45","698","226","1627077079000","https://www.facebook.com/PhilippineSTAR/videos/511150613440806/"
"No photo description available.","4895301577152448","photo","https://www.facebook.com/photo/?fbid=4895301577152448&set=a.412752013548358",,,,,,,,,,,,,,,,,"100044406880356","Mark Villar","https://scontent-iad3-2.xx.fbcdn.net/v/t39.30808-1/294592306_606056500884574_7093783180628326873_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx2048x2048&ctp=s40x40&_nc_cat=103&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=RRpwASBdUmQQ7kNvwFfYIC3&_nc_oc=Adq3R57ANzfaGxvgIrVzCgsqjzRyikIPXwP3so4digxNXXnFt82zBWAvCRT3FGpOUVM&_nc_zt=24&_nc_ht=scontent-iad3-2.xx&_nc_gid=8JSAJVan6joGoAhvFeddlA&_nc_ss=7e2a8&oh=00_AQCZR2QKKsWswxzj4-o3PDv2KBVa13hzCP877-olOiq2lA&oe=6A5EA2B8","https://www.facebook.com/SecMarkVillar","480","4895302400485699","On going inspection of flood control projects in Metro Manila. Keep safe. #BuildBuildBuild","1","39","8785","1054","3","65","53","10000","317","1626943517000","https://www.facebook.com/SecMarkVillar/posts/pfbid023fZyeUimgMLHiQKTHSLH6pthcCKAAEJhAUGopzvntSX2gKpTePDiAVbTAzCrjFzrl"
"No photo description available.","3986742161435663","photo","https://www.facebook.com/photo/?fbid=3986742161435663&set=a.365711365600523",,,,,,,,,,,,,,,,,"100064849864375","DOST-PAGASA","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/487303686_1099355335569452_7045424019269009221_n.png?stp=cp0_dst-png&cstp=mx1001x1001&ctp=s40x40&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=j7B0Y7UwOxsQ7kNvwFO4RYe&_nc_oc=AdrBP_65ctUDmKqhWqW3qQfbvs1oDPbubusOu-jGp6iiWS6KcmNypLDjfhldlHXc1wo&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=mhLqkPc0bIkU7LXP3vVrVg&_nc_ss=7e2a8&oh=00_AQDlcAu3a6ZpND5xUejibD7YMzxMQhXQmHykj8dg1UQWhA&oe=6A5EAE5F","https://www.facebook.com/PAGASA.DOST.GOV.PH","0","3986742268102319","Flood Advisory No. 2 for Pampanga River Basin issued at 2pm, 22 July 2021",,,"53","1","6",,,"60","12","1626935772000","https://www.facebook.com/PAGASA.DOST.GOV.PH/posts/pfbid04Aqbi1tXv5bXwQ2kEJZsja8G5hiSjC8fbhZR3j9UWtjwPtMNcKFPAJB8DFdZKSesl"
"No photo description available.","10160365986827985","photo","https://www.facebook.com/photo.php?fbid=10160365986827985&set=a.610822947752582&type=3","No photo description available.","10160365986817985","photo","https://www.facebook.com/photo.php?fbid=10160365986817985&set=a.610822947752582&type=3","No photo description available.","10160365986822985","photo","https://www.facebook.com/photo.php?fbid=10160365986822985&set=a.610822947752582&type=3",,,,,,,,,"100064746458701","MANILA BULLETIN","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/486278506_1099976158837256_5940999471121737534_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx960x960&ctp=s40x40&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=SPUObSUmnT4Q7kNvwEBxrcq&_nc_oc=Ado2W_QWXHBKU_1LdqzhQKhvbXyBLeVZ84hIi5Pmxj1yboMkb8ljc0AdWHRKDjs4e_c&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=mhLqkPc0bIkU7LXP3vVrVg&_nc_ss=7e2a8&oh=00_AQBsOkDC_FpqJxdAFmNBnUq1cqROHLqlLBojYZSKlAd4Kg&oe=6A5E9E69","https://www.facebook.com/ManilaBulletin","90","10160365986932985","LOOK: MMDA Chairman Benhur Abalos inspects the flood control facilities due to heavy rains in the last two days at San Andres pumping station in Sta. Ana, Manila on July 23, 2021. (MB Photos by Ali Vicoy)","4","68","236","21","9","1","6","345","19","1627021228000","https://www.facebook.com/ManilaBulletin/posts/pfbid02Db5B5sM2xZMi31PSMhwdjbnN1oZukKF5xVsgRYp5B4bbJ1Jx5nwca1emLr6r8wnl"
,"828095251401486","video",,,,,,,,,,,,,,,,,,"100064616655120","Philippine Star","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/341858556_918415572727450_374717831366242673_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx1000x1000&ctp=s40x40&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=g5LUxtqmcMcQ7kNvwGSYvuE&_nc_oc=AdruuCNsj6167uRKCmcN2REzKfdMjsgM0CsIqb5EeVcZmoW9Hb10e1I6gVptloVmKkY&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=mhLqkPc0bIkU7LXP3vVrVg&_nc_ss=7e2a8&oh=00_AQB1w2VpxA0dVMHMd8-JK-wHuYHLXS9swMAkW_mBHMEy-g&oe=6A5E9800","https://www.facebook.com/PhilippineSTAR","90","2320506984769636","Commuters brave the flood following a heavy downpour along Ramon Magsaysay Boulevard in Santa Mesa, Manila on Friday afternoon.

The monsoon rain enhanced by #FabianPH caused flooding for the past days in several parts of the city including Taft Avenue, United Nations Avenue, and Roxas Boulevard. (Video by Miguel De Guzman/The Philippine STAR)","1","8","163","2","122","4","7","307","79","1627037795000","https://www.facebook.com/PhilippineSTAR/videos/828095251401486/"
"No photo description available.","879225176010627","photo","https://www.facebook.com/photo/?fbid=879225176010627&set=a.710110481129558",,,,,,,,,,,,,,,,,"100063918370956","Barangay San Antonio QC","https://scontent-iad3-2.xx.fbcdn.net/v/t39.30808-1/685492474_1476340477839884_6222684432670307050_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx1254x1254&ctp=s40x40&_nc_cat=105&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=UFFrA1nWizUQ7kNvwFaOS2e&_nc_oc=AdoacDLFtYspPMf-Pl_Wr1xiERt-X7X60q5B4PuazOhUYvuYo-zmb1aaJ6h_tyaxy2M&_nc_zt=24&_nc_ht=scontent-iad3-2.xx&_nc_gid=mhLqkPc0bIkU7LXP3vVrVg&_nc_ss=7e2a8&oh=00_AQD9eyIXGsWHeMyENb2joHyA3Z1vuZoOujQrdWJxWaxPtA&oe=6A5E9AA0","https://www.facebook.com/serbisyongberroya","20","879225209343957","Flood Advisory As of now 7:19 PM
Maaari po bumaha sa atin lalo na sa Areas ng Westriverside, Umandal, Montenegro, Domingo, Garcia, Lopez at Batangas

Pinag iingat po ang lahat mula kay Kap Daniel Berroya & Council at sa ating BPSO Disaster Team

Photo Credits : Cora Armas (Montenegro at Batangas)

#MagingAlerto
#IAmReadySanAntonio",,,"99","4","42","15","2","162","29","1627039844000","https://www.facebook.com/serbisyongberroya/posts/pfbid02PPmGj4ie3cLNtjowNrF2tiqJPcBM9H2NVKQwSNTNRATmSkB4YCfD41T4vF4TGCCfl"
,,,,,,,,,,,,,,,,,,,,"100069144534674","Eagle News","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/302495836_5446732305433602_2556036293795182370_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx672x672&ctp=s40x40&_nc_cat=107&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=s4ID7B5h7H8Q7kNvwGtLfbO&_nc_oc=AdqpiNbvVZoKh52FZFWrnxYno68lnDfWT1v1ekyZiGCi7QvFGsslGp_vYbCDptmuF9Q&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=mhLqkPc0bIkU7LXP3vVrVg&_nc_ss=7e2a8&oh=00_AQBMs23CwT6ClXcBOBee4eTXQzGSJ7CJurVCcBaOGp-Lhw&oe=6A5EA8E1","https://www.facebook.com/EagleNews","0","4216386131801565","Flood-battered Germany approves major relief package
",,,"49",,"6","1","1","57","1","1626917992000","https://www.facebook.com/EagleNews/posts/pfbid0EiR4rC3YdCrmanVLoXbwSZfiJMN2U92yFikXJzx5ngzaJuxJLjx467SoBRqWNMtbl"
