"attachments/0/accessibilityCaption","attachments/0/id","attachments/0/type","attachments/0/url","attachments/1/accessibilityCaption","attachments/1/id","attachments/1/type","attachments/1/url","attachments/2/accessibilityCaption","attachments/2/id","attachments/2/type","attachments/2/url","attachments/3/accessibilityCaption","attachments/3/id","attachments/3/type","attachments/3/url","attachments/4/accessibilityCaption","attachments/4/id","attachments/4/type","attachments/4/url","author/id","author/name","author/profilePicture","author/profileUrl","commentsCount","postId","postText","reactions/anger","reactions/haha","reactions/like","reactions/love","reactions/sorry","reactions/support","reactions/wow","reactionsCount","sharesCount","timestamp","url"
,"1769819384193936","video",,,,,,,,,,,,,,,,,,"100064445723899","ANC 24/7","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/609053834_1328721385952706_4253439834983056076_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx2048x2048&ctp=s40x40&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=RAU_RPiKxxgQ7kNvwFECinm&_nc_oc=AdpW13n2KBNK3e-ixALtdeOlfeaFOHn4L0Lf-TiMifUcZesOrK1A7xjgVR574NEZbCs&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=r0EtMN_UCC-qfToCY-5mUQ&_nc_ss=7e2a8&oh=00_AQBK3md5NGWKg-2LRUjYcRnslftcmgzWSXzNomDdoc_3Nw&oe=6A5E5F4E","https://www.facebook.com/ANCalerts","69","1498844755607034","Five barangays in Malaybalay City, Bukidnon were hit by flooding on Wednesday, July 8, with 211 families currently staying in evacuation centers.  

According to Aryan Cagaanan of the Malaybalay City Disaster Risk Reduction and Management Office, one fatality was recorded due to the flood in the city.  

A 50-year-old man died after attempting to cross the floodwaters to rescue his cow. (📹: Dave Yecyec) I via Hernel Tocmo, ABS-CBN News","2",,"140","5","224","30","7","408","77","1783583025000","https://www.facebook.com/reel/1769819384193936/"
"No photo description available.","1330377695925956","photo","https://www.facebook.com/photo.php?fbid=1330377695925956&set=a.162321872731550&type=3","May be an image of one or more people","1330377652592627","photo","https://www.facebook.com/photo.php?fbid=1330377652592627&set=a.162321872731550&type=3","May be an image of one or more people and people climbing","1330377665925959","photo","https://www.facebook.com/photo.php?fbid=1330377665925959&set=a.162321872731550&type=3","May be an image of one or more people","1330377659259293","photo","https://www.facebook.com/photo.php?fbid=1330377659259293&set=a.162321872731550&type=3","May be an image of one or more people","1330377685925957","photo","https://www.facebook.com/photo.php?fbid=1330377685925957&set=a.162321872731550&type=3","100068612142206","MMDA","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/242803846_162321929398211_6744508622629887688_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx604x604&ctp=s40x40&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=-GxMrIa-rlcQ7kNvwFrbKC1&_nc_oc=Adqu2bM5eST1K-wGWTEJsLuOxT9swlYW4X9LxRkZfit0BjkS1SbargfE3b9JZZT9LD4&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=r0EtMN_UCC-qfToCY-5mUQ&_nc_ss=7e2a8&oh=00_AQD0EGjCWwz-T7XfTWWW3iIKAXTwk20FW6tosMpIEKHJ2Q&oe=6A5E3492","https://www.facebook.com/MMDAPH","697","1330377879259271","TAMBAK NA BASURA NILINIS

Naging abala ang MMDA Flood Control Team, ka-tandem ang TUPAD beneficiaries ng DOLE, sa  puspusang cleanup operations sa kahabaan ng estero sa Katipunan, Quezon City.

Gamit ang mga kagamitan o minor tools, nakapaghakot sila ng 2.0 cubic meters ng basura at burak.

Ang patuloy na paglilinis ay bahagi ng mas malawak na inisyatiba upang mapabilis ang paghupa ng tubig-baha at maiwasan ang pagbara ng mga daluyan ng tubig sa Metro Manila.

Makiisa sa pamamagitan ng tamang pagtatapon ng basura. 
#mmda  #mmdaatyourservice #floodcontroloperations","20","33","2431","549","101","251","25","3410","143","1783603233000","https://www.facebook.com/MMDAPH/posts/pfbid0815fiSmu9WXDf2Xx59KPbWUnYw9Y1UgZuKva1Zb8nNdn1srVfsVHH87V77y4z8rwl"
"May be an image of body of water","1547986940104655","photo","https://www.facebook.com/photo.php?fbid=1547986940104655&set=a.189189099317786&type=3","May be an image of one or more people, body of water and tree","1547987000104649","photo","https://www.facebook.com/photo.php?fbid=1547987000104649&set=a.189189099317786&type=3","May be an image of motorcycle","1547986986771317","photo","https://www.facebook.com/photo.php?fbid=1547986986771317&set=a.189189099317786&type=3","May be an image of one or more people","1547986953437987","photo","https://www.facebook.com/photo.php?fbid=1547986953437987&set=a.189189099317786&type=3","May be an image of golf cart, all-terain vehicle and text that says 'CHICKENDRESED εν VHOLESALE& RETAIL MERNCI WAFFARA FA FAR sotieg'","1547987033437979","photo","https://www.facebook.com/photo.php?fbid=1547987033437979&set=a.189189099317786&type=3","100046800918398","Malditang Ina.","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/682269888_1486137486289601_3506493803629310673_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx1254x1254&ctp=s40x40&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=JmVK35Bs3bMQ7kNvwGAHYJF&_nc_oc=AdqcBs9kz98H85RHC8DW3l74qObC_ATNBU37RoIleOj_nvVnhrT-gErxBpJFo_0G2m0&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=r0EtMN_UCC-qfToCY-5mUQ&_nc_ss=7e2a8&oh=00_AQC_TmdICx6fGzqtCURYJShGzIWxEGyTIisU4mQvvLyVsA&oe=6A5E367A","https://www.facebook.com/malditangina.2019official","32","1547987410104608","“Mag move on na tayo sa flood control, madami pang mas importanteng issue- ERWIN TULFO A.K.A BENDALOW

ETO ITSURA NGAYON NG TALAYAN,MAGUINDANAO DEL SUR. 

SIGE MR. BEND THE LAW. NGAYON MO SABIHIN NA MAG MOVE ON KAMI.

📷 MDRRMO Talayan

#FloodAlert #Typhoon #IndayPH #Bavi #HabagatPH #Talayan #MaguindanaoDelSur","9","23","77","3","173","5",,"290","32","1783571397000","https://www.facebook.com/malditangina.2019official/posts/pfbid0P1hoS7XE7FRWxB77HGnGRGcJvSNT5MHbNNowJsTCK9m4tRVMazaKG61oTXeFnZJsl"
,"2491843767984902","video",,,,,,,,,,,,,,,,,,"100064849986224","GMA News","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/658216539_1459297662908553_7892569438724908023_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx1200x1200&ctp=s40x40&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=_9Kw3PkUnsIQ7kNvwE9vLA7&_nc_oc=AdpBBrGMKtnDm2hj7zLSiHezcIJTipw2zTNzqjGCKXXCf2iUaigKyB5oVyrYGagXRIo&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=r0EtMN_UCC-qfToCY-5mUQ&_nc_ss=7e2a8&oh=00_AQCgoIkImCWt0oHoA3NPKqujaUZnmxLV6nJctC9nnLconw&oe=6A5E39BF","https://www.facebook.com/gmanews","16399","1595377055967279","PANOORIN: Naghain si Sen. Erwin Tulfo ng reklamong grave oral defamation laban sa abogadong si Levi Baligod at iba pa sa Mandaluyong City Prosecutor's Office dahil sa pagdawit ng pangalan niya sa anomalya sa flood control project. | via Bernadette Reyes/GMA News

Bisitahin ang www.gmanetwork.com/news para sa pinakabagong balita.","1104","31335","5500","251","37","57","121","38405","451","1783480932000","https://www.facebook.com/reel/2491843767984902/"
"May be an image of blueprint and text that says 'Project Names 2024 2024 Approved1 () uilding, Barangay Hall, Contractor CORPORATION MAR-VEL Bullding Gymnasium, Barangay 2024 Berinayan, CONSTRUCTION FCUND Sectian Phase ALRIE Batangas SERVICES Section) 2024 SERVICES City Lumbang Inaslaban Pypass Packnge NEWINGTON BUILDERS, INC, 2024 BUILDERS, NEWINGTON BUILDERS, INC. Packapト City, Eatangas NEWINGTON Medical Center, Pedro, long CORPORATION CONSTRUCTION, Lipa 2024 Quatro Santos Road, 2024 BUILDERS SUPPLY CORP. City, Batangas West Side, Package Batangas 2024 ential Road, CORPORATION Section 2024 TRISTAN Tanauan 2024 CONSTRUCTION TEJADACONSTAUCTION Batangas 2024 Pangao, High Integrated National 2024 Building Lodlad lementan CONSTRUCTION Schaol, AND SUPPLY/MICLOVER GENERAL IRON WORKS Batangas Inasloban Marawov ntegrated ALPHA VECTOR'","122218892150455336","photo","https://www.facebook.com/photo.php?fbid=122218892150455336&set=a.122107109576455336&type=3","May be an image of blueprint, map and text","122218892006455336","photo","https://www.facebook.com/photo.php?fbid=122218892006455336&set=a.122107109576455336&type=3","May be an image of blueprint and text that says 'Project Names 2024 Batangas 2024 Approved （Ｐ］ Tinglay, 2024 Contractor NEWINGTON BUILDERS, 100,000,000 VICMAR Lumbang-Inasloban Bypass Road (Package City. 150,000,00 INC. JA2024 NEWINGTON BUILDERS, INC., Package City, Ambulong Malvar, NEWINGTON PUILDERS, Barangay 2024 Slope Protection, Barangay DEVELOPERS Nina, 2024 icolas, 5,000,000 Batangas Building (Health Center), Barangay FOUND 2024 CONST. includingF (Phase FOUND 50,000,0 2024 DEVELOPERS CONSTRUCTION& San Court, (Covered DEVELOPERS Covered Caurti, UILDERS 2024 Covered Court), 2024 VICMAR CONSTRUCTION, INC. VICMAR CONSTRUCTION, INC. 2024 2,000,000 (Covered Court), 2024 CONS Covered Court), CONSTRUCTION AND TRADING Barangay AND อก 2,000,000 TRISTAN EJADACONSTAUCTION Building (Covered Court), Barangay CONS TRUCTION VICMAR CONSTRUCTION, INC.'","122218892048455336","photo","https://www.facebook.com/photo.php?fbid=122218892048455336&set=a.122107109576455336&type=3","May be an image of ‎blueprint and ‎text that says '‎2024 Project Names BatanFas 2024 Approved Barangay Bulacnin, City, Contractor Building Barangay SUPPLY 2024 o3 Building CORPORATION Buildingl, Barangay 2024 2024 K0167 SUPPLY 2024 City- Mataas م City- BUILDERS INC. Roads, Construction 2024 비라리피드 Ka Construction 2024 -K0136+909 By-Passi Scien Construction RUSMEN BUILDERS& CORP. Phase 2024 Livestock. 2024 veyetables TEKNIKA SERVICESCO 2024 loDoy River, Sitio Lupitak Norte Eenguet SHEN CONSTRUCTION (54252) Proper Gadang 2024 TSAI SHEN CONSTRUCTION (54252) CORPCRATION Benguet 2024 Talcy AGGREGATES 2024 Ambacuag- alang Sowe, Barangay Poblacion, 2024 Ponopan- Makidal, Catlubong, CONSTRUCTION AGGREGATES Bakun, Oliwek Sakaang Saleng Road, Kibungan, Flood Structure long Biliran (33234; ROVING PREMIER INC.‎'‎‎","122218892132455336","photo","https://www.facebook.com/photo.php?fbid=122218892132455336&set=a.122107109576455336&type=3","May be an image of blueprint and text","122218891892455336","photo","https://www.facebook.com/photo.php?fbid=122218891892455336&set=a.122107109576455336&type=3","61563660098248","Leandro Legarda Leviste","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/581341390_122190324230455336_5611286189143933229_n.jpg?stp=c0.31.1536.1536a_cp0_dst-jpg_tt6&cstp=mx1536x1536&ctp=s40x40&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=lRrPj_zpsTUQ7kNvwEFbhoD&_nc_oc=Adr-6YAz9HC_ldn_kuh0bOjVRF6TvghqYzHoYC4nn3iKwEIG_jmY1Tm2MRDr9xajg1g&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=r0EtMN_UCC-qfToCY-5mUQ&_nc_ss=7e2a8&oh=00_AQDSm-ztm3N3UD5iPIBqqkixZEPjsVjCYSGNN7q3F8WNWw&oe=6A5E516E","https://www.facebook.com/lingkodlegardaleviste","1706","122218896236455336","𝐍𝐚𝐫𝐢𝐭𝐨 𝐚𝐧𝐠 𝐜𝐨𝐧𝐭𝐫𝐚𝐜𝐭𝐨𝐫𝐬 𝐧𝐠 ₱𝟏𝟓𝟑𝐁 𝐃𝐏𝐖𝐇 𝐩𝐫𝐨𝐣𝐞𝐜𝐭𝐬 𝐧𝐚 𝐩𝐢𝐧𝐨𝐧𝐝𝐨𝐡𝐚𝐧 𝐧𝐠 𝐏𝐡𝐢𝐥𝐇𝐞𝐚𝐥𝐭𝐡 𝐚𝐭 𝐏𝐃𝐈𝐂 𝐧𝐨𝐨𝐧𝐠 𝟐𝟎𝟐𝟒 𝐦𝐮𝐥𝐚 𝐬𝐚 𝐔𝐧𝐩𝐫𝐨𝐠𝐫𝐚𝐦𝐦𝐞𝐝 𝐀𝐩𝐩𝐫𝐨𝐩𝐫𝐢𝐚𝐭𝐢𝐨𝐧𝐬 (𝐔𝐀).

Ayon kay dating Supreme Court Justice Antonio Carpio: ""The transfer of Philhealth and PDIC trust funds to the Bureau of Treasury TRIGGERED the release of funds to finance flood control projects under Unprogrammed Appropriations.""

Ayon naman kay dating Undersecretary Roberto Bernardo, ""almost 100%"" ng biddings sa DPWH ay luto, kaya ang mga proyektong pinondohan ng PhilHealth at PDIC ay in-award sa mga umano'y lutong bidding. Napunta sa top 15 contractors ang mahigit 30% ng ₱153B UA budget na ito.

Dapat suriin kung sino ang nakinabang sa paglipat ng pondo ng PhilHealth at PDIC sa flood control projects, at kung paano pinili ng DPWH ang mga proyekto at contractor.","880","7246","18154","556","4625","118","2213","33792","4708","1783520531000","https://www.facebook.com/lingkodlegardaleviste/posts/pfbid0f6aSnY7C5mAx68TLmLJxyaKGbjyvyEAegqT1dUE9qCBdHrqu7xFw83fKC7W1HxFfl"
"May be an image of ‎tornado and ‎text that says '‎ng uzhou Windy.com com Shaoguan Naha Download DownloadApp App Taipei Minamidaito Hong HongKong ong Kaohsiung loang Sa Tuguegarao Manila منم P2NE PuertoPrincesa incesa Puerto Cebu INDARAD DavaoiCity Bandar BandarSoriBegawan Seri Begawan‎'‎‎","1335584772115120","photo","https://www.facebook.com/photo.php?fbid=1335584772115120&set=a.403342125339394&type=3","May be an image of map and text","1335584782115119","photo","https://www.facebook.com/photo.php?fbid=1335584782115119&set=a.403342125339394&type=3",,,,,,,,,,,,,"100069908300144","Earth Shaker","https://scontent-iad3-2.xx.fbcdn.net/v/t39.30808-1/558021094_1112448077762125_5049031986014985434_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx2048x2048&ctp=s40x40&_nc_cat=103&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=5yWHqMiRftIQ7kNvwFTsvAp&_nc_oc=AdprBDjiRwi5GG0-VmqbeU2XcVMw9EjC6M6LJ-KPaC4ZZIgWV0fuQabJitgek2geYTk&_nc_zt=24&_nc_ht=scontent-iad3-2.xx&_nc_gid=r0EtMN_UCC-qfToCY-5mUQ&_nc_ss=7e2a8&oh=00_AQBBM6mnVKIz0dh3sdHs-reY1cCoRHtSE0n7NrQPDsaZwQ&oe=6A5E59B9","https://www.facebook.com/earthshakerph","2","1335585825448348","🌧️ HEAVY RAINFALL WARNING #1-A (July 10, 2026)

Patuloy na nakaaapekto ang Habagat na pinalalakas ng Typhoon #IndayPH, na nagdudulot ng malalakas na pag-ulan sa ilang bahagi ng Luzon at western section ng Visayas at Mindanao ngayong madaling araw. 

Para sa #NCR_PRSD:

🟡 YELLOW WARNING ang nakataas sa mga bahagi ng Bataan, Zambales, Batangas, at Cavite, kung saan ⚠️posible ang pagbaha sa mga mabababang lugar at flood-prone areas.

Samantala, 🌧️light to moderate hanggang paminsang malakas na ulan ang nararanasan o inaasahan sa Metro Manila, Bulacan, Rizal, Laguna, Pampanga, Tarlac, Quezon, at iba pang karatig-lugar sa susunod na ilang oras.

⚠️ Pinapayuhan ang lahat na maging alerto sa posibilidad ng pagbaha at pagtaas ng tubig sa mga ilog at sapa, lalo na sa mga lugar na madalas bahain. 

Ugaliing subaybayan ang mga susunod na abiso mula sa DOST-PAGASA at sa inyong lokal na pamahalaan para sa #WalangPasok announcements.

#EarthShakerPH #WeatherAlert #Habagat #IndayPH",,"3","138","4","30","5",,"180","16","1783626884000","https://www.facebook.com/earthshakerph/posts/pfbid0senoKvgQSxHKm3hoSNQVMosmNCeFzhGHV9eZGCpfxds1Uwhxj9xNTkwupFWzyWY8l"
"No photo description available.","1595207795984205","photo","https://www.facebook.com/photo.php?fbid=1595207795984205&set=a.649184583919869&type=3","May be an image of body of water and text that says '2026-07-08-07:407 807:40 40 2026-07- 6-07-0 08 B6F B6F.SEVLLA B6F.SEVILLACORESTRELLA COR ESTRELLA'","1595207772650874","photo","https://www.facebook.com/photo.php?fbid=1595207772650874&set=a.649184583919869&type=3","May be an image of street and text","1595207742650877","photo","https://www.facebook.com/photo.php?fbid=1595207742650877&set=a.649184583919869&type=3","May be an image of motorcycle, scooter, street and text","1595207862650865","photo","https://www.facebook.com/photo.php?fbid=1595207862650865&set=a.649184583919869&type=3",,,,,"100064849986224","GMA News","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/658216539_1459297662908553_7892569438724908023_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx1200x1200&ctp=s40x40&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=_9Kw3PkUnsIQ7kNvwE9vLA7&_nc_oc=AdpBBrGMKtnDm2hj7zLSiHezcIJTipw2zTNzqjGCKXXCf2iUaigKyB5oVyrYGagXRIo&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=X_B-nwad30isMoC-AqgknQ&_nc_ss=7e2a8&oh=00_AQAKPavF9inwEWr73iYknurg0mUTO2yS6LfE-Wqrhx5eIw&oe=6A5E39BF","https://www.facebook.com/gmanews","1730","1595208742650777","BAHA SA MALABON

Naglabas ng flood advisory ang pamahalaan ng Malabon sa ilang bahagi ng lungsod na nakararanas ng pagbaha as of 7:30 AM ngayong Miyerkoles, July 8.

Kabilang sa mga barangay na nasa ilalim ng flood advisory ang Catmon, Concepcion, Dampalit, Hulong Duhat, Ibaba, Maysilo, San Agustin, Tañong, Tinajeros at Tonsuya.

Courtesy: Malabon City Government/Facebook

Bisitahin ang gmanetwork.com/news para sa iba pang balita.","46","2670","1837","36","608","44","41","5282","653","1783473417000","https://www.facebook.com/gmanews/posts/pfbid02oHrmHKpCuyZExygsvHbmXECoHD7ry8Vnu7kCs8YconXVkcfKukfo9sXQq5pD26DEl"
,,,,,,,,,,,,,,,,,,,,"61551784620037","DPWH Region XII SOCCSKSarGen","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/632675535_122229812954059487_4495242418479831022_n.jpg?stp=c142.142.1764.1764a_cp0_dst-jpg_tt6&cstp=mx1764x1764&ctp=s40x40&_nc_cat=107&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=h23hLdSdFEAQ7kNvwH9UXmp&_nc_oc=Ado3aiVwfCp6RWfREw7Gc894QrOZhPjTE3W1xMO5RF9vaxb9NYBQ0eApkYuofSvjhfw&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=X_B-nwad30isMoC-AqgknQ&_nc_ss=7e2a8&oh=00_AQDWRha0OEQnzQBQYAIWm9_zAqKxRjK2u3jk3WPvVMbBHw&oe=6A5E5145","https://www.facebook.com/DPWHR12","14","1459091876254959","𝐒𝐓𝐀𝐓𝐄𝐌𝐄𝐍𝐓 𝐎𝐍 𝐓𝐇𝐄 𝐃𝐀𝐌𝐀𝐆𝐄𝐃 𝐀𝐒𝐏𝐇𝐀𝐋𝐓 𝐑𝐎𝐀𝐃 𝐈𝐍 𝐌𝐀𝐆𝐔𝐈𝐍𝐃𝐀𝐍𝐀𝐎 𝐃𝐄𝐋 𝐍𝐎𝐑𝐓𝐄

The Department of Public Works and Highways (DPWH) has immediately deployed maintenance personnel to clear the damaged section of the Maharlika Highway in Parang, Maguindanao del Norte to ensure the safety of motorists and pedestrians after layers of freshly-laid asphalt—which have not yet dried or underwent curing period—were separated from the road following a flash flood.

DPWH adheres to strict construction standards and will immediately resume full restoration works once the weather clears, at no additional cost to the government. 

For context: https://www.facebook.com/share/1BWkWmFJsW/?mibextid=wwXIfr

#DPWH #BuildBetterMore #BagongPilipinas",,"19","67",,,,,"86","8","1783634949000","https://www.facebook.com/dpwhph/posts/pfbid02cn8yebVMz8KRnSZ1a7pL3nJg5tiAxJLRvHWERcQRKAnZEeyWnvFF6hrViEhvvtM1l"
,"1561707915354749","video",,,,,,,,,,,,,,,,,,"100064849986224","GMA News","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/658216539_1459297662908553_7892569438724908023_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx1200x1200&ctp=s40x40&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=_9Kw3PkUnsIQ7kNvwE9vLA7&_nc_oc=AdpBBrGMKtnDm2hj7zLSiHezcIJTipw2zTNzqjGCKXXCf2iUaigKyB5oVyrYGagXRIo&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=X_B-nwad30isMoC-AqgknQ&_nc_ss=7e2a8&oh=00_AQAKPavF9inwEWr73iYknurg0mUTO2yS6LfE-Wqrhx5eIw&oe=6A5E39BF","https://www.facebook.com/gmanews","7397","1595206059317712","JUST IN: Atty. Levi Baligod, dating Rep. Mike Defensor at 4 na iba pa, sinampahan ng reklamo ni Sen. Erwin Tulfo sa Mandaluyong Prosecutor’s Office dahil sa pagdawit sa kaniya sa maanomalyang flood control projects. | via Mark Makalalad/DZBB

Bisitahin ang gmanetwork.com/news para sa iba pang balita.","555","17574","2460","110","5","25","64","20793","226","1783473293000","https://www.facebook.com/reel/1561707915354749/"
,"1370421388333845","video",,,,,,,,,,,,,,,,,,"61559954278683","NET25 News and Information","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/436331969_417148224543340_1756920451686923867_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx1080x1080&ctp=s40x40&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=dIjkmzR9wGoQ7kNvwGY1OE3&_nc_oc=Adqenx3LsGKpXI6k-crU36t9HG6VO3GUVdXUlpZvKIYkpcxXZXOC7dUfkt9H4BoHrhU&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=X_B-nwad30isMoC-AqgknQ&_nc_ss=7e2a8&oh=00_AQAthpwsg13_vDJk8Jd9VfX6QB9isvbG_BLjS0f2jddnMA&oe=6A5E4967","https://www.facebook.com/net25news","68","122284685162331809","Naiulat ang pagbaha, pag-apaw ng ilang ilog at sapa, at paglikas ng ilang pamilya sa mas ligtas na lugar sa ilang barangay sa Malaybalay City, dahil sa malalakas na pag-ulan sa iba't ibang bahagi ng Bukidnon.

#NET25NewsandInformation #SiyentoPorSiyento #IndayPH #weather #BagyongInday #Bukidnon #flood #baha","1","3","2415","247","185","85","6","2942","221","1783564057000","https://www.facebook.com/reel/1370421388333845/"
