"attachments/0/accessibilityCaption","attachments/0/id","attachments/0/type","attachments/0/url","attachments/1/accessibilityCaption","attachments/1/id","attachments/1/type","attachments/1/url","attachments/2/accessibilityCaption","attachments/2/id","attachments/2/type","attachments/2/url","attachments/3/accessibilityCaption","attachments/3/id","attachments/3/type","attachments/3/url","attachments/4/accessibilityCaption","attachments/4/id","attachments/4/type","attachments/4/url","author/id","author/name","author/profilePicture","author/profileUrl","commentsCount","postId","postText","reactions/anger","reactions/haha","reactions/like","reactions/love","reactions/sorry","reactions/support","reactions/wow","reactionsCount","sharesCount","timestamp","url"
"No photo description available.","1606389122733077","photo","https://www.facebook.com/photo.php?fbid=1606389122733077&set=a.162321872731550&type=3","No photo description available.","1606389116066411","photo","https://www.facebook.com/photo.php?fbid=1606389116066411&set=a.162321872731550&type=3","No photo description available.","1606389119399744","photo","https://www.facebook.com/photo.php?fbid=1606389119399744&set=a.162321872731550&type=3","No photo description available.","1606389212733068","photo","https://www.facebook.com/photo.php?fbid=1606389212733068&set=a.162321872731550&type=3","No photo description available.","1606389216066401","photo","https://www.facebook.com/photo.php?fbid=1606389216066401&set=a.162321872731550&type=3","100068612142206","MMDA","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/242803846_162321929398211_6744508622629887688_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx604x604&ctp=s40x40&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=-GxMrIa-rlcQ7kNvwHR8jrH&_nc_oc=AdpDpIiJm1ioXByNSUmuAG8QHT4ZMp5oKGrCFHmnPErzbguUaBzLrnixyIctb7jn-HE&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=C_UcfuDVGmH4q1-ITbFlwg&_nc_ss=7c2a8&oh=00_AQAIUXctk7FpFm5aFkjamOzb5ZEx2WsxZR0wPHkK01pshQ&oe=6A5FF692","https://www.facebook.com/MMDAPH","11","1606389442733045","[Admin 25] As of 2:25 pm, knee deep flood .MPCG NAGTAHAN Cleaning of inlets/drainage of flooded areas along RMB Pureza Manila. September 12,2017. #mmda #teamMMDA","2","1","73","1","4",,,"81","6","1505216474000","https://www.facebook.com/MMDAPH/posts/pfbid09QmgvWbXFBhkXpydg92LdSzzjgZkN7kpndMaz9khvpGNQkyctPerkGfTJ9iVKjZcl"
"No photo description available.","1474412092648513","photo","https://www.facebook.com/photo.php?fbid=1474412092648513&set=a.631813382307643&type=3","No photo description available.","1474412109315178","photo","https://www.facebook.com/photo.php?fbid=1474412109315178&set=a.631813382307643&type=3","No photo description available.","1474412142648508","photo","https://www.facebook.com/photo.php?fbid=1474412142648508&set=a.631813382307643&type=3","No photo description available.","1474412159315173","photo","https://www.facebook.com/photo.php?fbid=1474412159315173&set=a.631813382307643&type=3","No photo description available.","1474412185981837","photo","https://www.facebook.com/photo.php?fbid=1474412185981837&set=a.631813382307643&type=3","100064369614244","Affordable Quality Homes","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/348281622_1677498249387081_6527766959105922_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx960x960&ctp=s40x40&_nc_cat=108&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=p1F9M9LlC9UQ7kNvwExfenN&_nc_oc=AdosxkTq6-4-uRKZ56esSPw4Bs2GlDlYFb2Sq9-mT_e8i4lKfst2FNwgDYzK0VkPv0A&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=C_UcfuDVGmH4q1-ITbFlwg&_nc_ss=7c2a8&oh=00_AQASR48j-LaHlmZCtcBPHcfsTE0H6HJJZD2Ohe6dhpgvkg&oe=6A60155A","https://www.facebook.com/aquahrealtyrizal","807","1474412535981802","To know more about Antipolo Residences , dont hesitate to contact us:
Smart/Viber/Whatsapp- +639209381989
Tm/viber - +639357991592
Globe/Viber/Whatsapp - +639778146661
Landline: 861-9924 or  245-9966

For only 13,333 for the downpayment you can own this karen townhouse.

A residential unit subdivision located at buliran-bayugo road,brgy. San isidro , Antipolo City.
It is flood free area with a calm atmosphere,peaceful living and secured environment.

-15mins. Away from Robinson Mall  and Antipolo Cathedral
-5 mins. Away from Assumption School

Hurry .. Reserve Now !",,"2","1261","15",,,"8","1286","48","1505180035000","https://www.facebook.com/aquahrealtyrizal/posts/pfbid022J4jqQZ3WBoty2RG7WbYCV3N5QJPkmz2EijNsmfoZPvm7kfx8yQuZqBuuLWKhAtcl"
"No photo description available.","1921412284785781","photo","https://www.facebook.com/photo.php?fbid=1921412284785781&set=a.473183491506861&type=3","No photo description available.","1921411528119190","photo","https://www.facebook.com/photo.php?fbid=1921411528119190&set=a.473183491506861&type=3","No photo description available.","1921411554785854","photo","https://www.facebook.com/photo.php?fbid=1921411554785854&set=a.473183491506861&type=3","No photo description available.","1921411568119186","photo","https://www.facebook.com/photo.php?fbid=1921411568119186&set=a.473183491506861&type=3","No photo description available.","1921411588119184","photo","https://www.facebook.com/photo.php?fbid=1921411588119184&set=a.473183491506861&type=3","100064456431072","Pamahalaang Barangay Sta. Ana, Taytay, Rizal","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/615559204_1315787573913111_6709049940981676637_n.jpg?stp=c211.211.578.578a_cp0_dst-jpg_tt6&cstp=mx578x578&ctp=s40x40&_nc_cat=100&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=5BpX25xZouQQ7kNvwFKaxb5&_nc_oc=AdrYznKKXJPUZKYCdtCTCokjkfgPTBKOxtC8NtOFJF4XFX8NqHUvpKemj3RsghJuP08&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=C_UcfuDVGmH4q1-ITbFlwg&_nc_ss=7c2a8&oh=00_AQBduEMbotPSgOafcZ6Y-uw5E0Q5d7J1ZzbOljyYfa270g&oe=6A5FFBDE","https://www.facebook.com/BarangayStaAnaTR","8","1921412494785760","Sitwasyon ng mga kalye sa Sta Ana Poblacion ngayong hapon. Nakapag initial warning na po tayo sa ating mga flood-risk areas at nakahanda nang mag force evacuation oras na bumuhos pa ang malakas na ulan. Nakahanda na po ang ating evacuation site sa Sta. Ana Elementary School, at naka stand by din po ang ating mga chairman sa Ilang-Ilang at Dupax na handang tumanggap ng mga evacuees. 

Pinapayuhan ang lahat na manatili sa kanilang mga bahay at iwasang mag lusong sa baha. Kung nakapag lusong, siguraduhing maghugas ng maigi at gumamit ng sabon. 

Sa mga pinapalikas, sumunod po tayo sa ating mga awtoridad para po sa ating kaligtasan. 

Para po sa ano mang emergency, tumawag lang sa ating rescue team sa numerong 658-3967.  

(Mga larawan mula kay Kagawad Tobit Cruz)",,,"82","1","13",,"1","97","60","1505206965000","https://www.facebook.com/BarangayStaAnaTR/posts/pfbid0hBakNKzaZD2WnTrg3XXBauEB43fP1PZish2qE2phQVkXxb8YtCrmKqtBqF62yBEkl"
"No photo description available.","1606110852760904","photo","https://www.facebook.com/photo.php?fbid=1606110852760904&set=a.162321872731550&type=3","No photo description available.","1606110849427571","photo","https://www.facebook.com/photo.php?fbid=1606110849427571&set=a.162321872731550&type=3","No photo description available.","1606110846094238","photo","https://www.facebook.com/photo.php?fbid=1606110846094238&set=a.162321872731550&type=3","No photo description available.","1606110929427563","photo","https://www.facebook.com/photo.php?fbid=1606110929427563&set=a.162321872731550&type=3","No photo description available.","1606110926094230","photo","https://www.facebook.com/photo.php?fbid=1606110926094230&set=a.162321872731550&type=3","100068612142206","MMDA","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/242803846_162321929398211_6744508622629887688_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx604x604&ctp=s40x40&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=-GxMrIa-rlcQ7kNvwHR8jrH&_nc_oc=AdpDpIiJm1ioXByNSUmuAG8QHT4ZMp5oKGrCFHmnPErzbguUaBzLrnixyIctb7jn-HE&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=C_UcfuDVGmH4q1-ITbFlwg&_nc_ss=7c2a8&oh=00_AQAIUXctk7FpFm5aFkjamOzb5ZEx2WsxZR0wPHkK01pshQ&oe=6A5FF692","https://www.facebook.com/MMDAPH","278","1606111179427538","[Admin 22] MPCG NAGTAHAN Cleaning of inlets/drainage of flooded areas. Along España Blvd Manila... September 12,2017. #mmda #teamMMDA","6","50","504","13","52","1","25","651","137","1505187229000","https://www.facebook.com/MMDAPH/posts/pfbid0LysGFuSc5U8qbzuM9Et5LJbUuZw5X8v1Td3FDnACmr6pEe2f2uvJA7XhNim6rV5Jl"
"No photo description available.","1430961393667907","photo","https://www.facebook.com/photo/?fbid=1430961393667907&set=a.226680419493388",,,,,,,,,,,,,,,,,"100064542948515","Marikina City Rescue 161","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/541379745_1210200924474661_5482984993472514193_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx1024x1024&ctp=s40x40&_nc_cat=104&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=JyOFt-nYG3sQ7kNvwFDsnvQ&_nc_oc=AdrGZ1sBpcIANndrd6ROUKu8WSZme97OkqIuYF5nD9ng2tKrU7ZtwSyT5vww89IXlfU&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=C_UcfuDVGmH4q1-ITbFlwg&_nc_ss=7c2a8&oh=00_AQDkmyGUVvVmatsNB4i6f9bJqAK1ztqbGMBjYdns6mDuZw&oe=6A601102","https://www.facebook.com/MarikinaRescue161","15","1430961503667896","#ALISTO_MARIKEÑO
#RAINFALL_READING
Issued at 1:00PM Sept. 12, 2017
Recorded by Effective Flood Control Operation System (EFCOS)-MMDA Monitoring Stations:
Mt. Campana: 19mm
Mt. Boso - Boso: 23mm
Mt. Aries: 46mm
Mt. Oro: 0mm
Nangka: 12mm
#MARIKINA_STO_NIÑO_RIVER WATER LEVEL :
15 meters FIRST ALARM
Live Feed:
https://www.marikina.gov.ph/#livemarikina
#NoFlooded_areas
#MarikinaRescue161",,,"63",,"13",,"1","77","42","1505192700000","https://www.facebook.com/MarikinaRescue161/posts/pfbid0egDwraSYtjj7Wvf7ZrdZUvAXM3hfrxrAcU36SaGhVqiHN2ZACJawSJp1Uet5ofUel"
"No photo description available.","1762433937387812","photo","https://www.facebook.com/photo.php?fbid=1762433937387812&set=a.363745329298317&type=3","No photo description available.","1762433957387810","photo","https://www.facebook.com/photo.php?fbid=1762433957387810&set=a.363745329298317&type=3","No photo description available.","1762433977387808","photo","https://www.facebook.com/photo.php?fbid=1762433977387808&set=a.363745329298317&type=3","No photo description available.","1762434000721139","photo","https://www.facebook.com/photo.php?fbid=1762434000721139&set=a.363745329298317&type=3","No photo description available.","1762434020721137","photo","https://www.facebook.com/photo.php?fbid=1762434020721137&set=a.363745329298317&type=3","100069885572699","Vista Verde Executive Village Homeowners Association Inc","https://scontent-iad3-2.xx.fbcdn.net/v/t39.30808-1/305093958_363745352631648_2115086023015462556_n.jpg?stp=c265.0.1518.1518a_cp0_dst-jpg_tt6&cstp=mx1518x1518&ctp=s40x40&_nc_cat=111&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=r8uXa7B6Q1oQ7kNvwEM6ICQ&_nc_oc=AdowIj9s0qoYKq8-m_SVA4Go00qM_3_4zsNoEYbamHysXYTm3ZGlstNthVKgQG_AUb4&_nc_zt=24&_nc_ht=scontent-iad3-2.xx&_nc_gid=-jyzhu0Wy50waHi2mz4oRw&_nc_ss=7c2a8&oh=00_AQCzFGNfiDLf1v9m6iwIDivBMx9HKO46ZRCdBa3aH6jFRg&oe=6A5FFEE4","https://www.facebook.com/VVEVHAI","12","1762434407387765","Goodmorning VVEV

All streets are cleared from flood

Have a great day!",,,"82","1",,,"3","86","6","1505257858000","https://www.facebook.com/VVEVHAI/posts/pfbid031Zh1qYpKsAZ3z3dEmfS2WBUMy7r2MfEhuFJ9ccmMGWBH4ULX3W5NgBGMVjToRMy1l"
"No photo description available.","1715806075127202","photo","https://www.facebook.com/photo.php?fbid=1715806075127202&set=a.229110792587076&type=3","No photo description available.","1715809205126889","photo","https://www.facebook.com/photo.php?fbid=1715809205126889&set=a.229110792587076&type=3","No photo description available.","1715806108460532","photo","https://www.facebook.com/photo.php?fbid=1715806108460532&set=a.229110792587076&type=3","No photo description available.","1715806105127199","photo","https://www.facebook.com/photo.php?fbid=1715806105127199&set=a.229110792587076&type=3","No photo description available.","1715806148460528","photo","https://www.facebook.com/photo.php?fbid=1715806148460528&set=a.229110792587076&type=3","100064644703855","Pasig River Coordinating and Management Office - PRCMO","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/455233224_903803675117781_5856931914092109523_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx1500x1500&ctp=s40x40&_nc_cat=108&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=PGsipHQQVtoQ7kNvwHZoK3T&_nc_oc=Adr_EtZ5k5g57_kQAZmr8MAsf49x4HZToYwadESeLsfWAMM0ldGDiYZdcwGyObSg3hY&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=-jyzhu0Wy50waHi2mz4oRw&_nc_ss=7c2a8&oh=00_AQA1DwXj5yqtixxHQKsgTvGubaqf2ozpCvtJzkichr-8aA&oe=6A5FF942","https://www.facebook.com/denrprcmo","2","1715811625126647","The lives saved by the PRRC...

IN PRRC, WE GO BEYOND THE CALL OF DUTY.

These are some images of the kids who were given a second chance to live after the PRRC Task Force Flood Control saved them from drowning in the rising waters of Ermitano Creek in San Juan City brought about by tropical depression Maring.

The rescue operation was jointly conducted with the Officials of Barangay Ermitano and members of the Philippine National Police (PNP).

The Task Force Flood Control is PRRC's latest unit under the administration of PRRC Executive Director Jose Antonio ""Pepeton"" E. Goitia which is comprised of members from different divisions.

Kudos to Sir Vir Gutierrez and Sir Bonifacio Jr Aragona and team!

#PRRC #PRRCph #TaskForceFloodControl #PusoParaSaIlogPasig",,,"64","5",,,"2","71","8","1505202162000","https://www.facebook.com/denrprcmo/posts/pfbid02SqHrYaFz1ymRGhzURuxFbqniLVCkQpt417BBWPrUxPfkUM2Nnds6ZCaZmjwQ8sZ4l"
"No photo description available.","1921721571421519","photo","https://www.facebook.com/photo.php?fbid=1921721571421519&set=a.473183481506862&type=3","No photo description available.","1921721568088186","photo","https://www.facebook.com/photo.php?fbid=1921721568088186&set=a.473183481506862&type=3","No photo description available.","1921721564754853","photo","https://www.facebook.com/photo.php?fbid=1921721564754853&set=a.473183481506862&type=3","No photo description available.","1921721834754826","photo","https://www.facebook.com/photo.php?fbid=1921721834754826&set=a.473183481506862&type=3","No photo description available.","1921721884754821","photo","https://www.facebook.com/photo.php?fbid=1921721884754821&set=a.473183481506862&type=3","100064456431072","Pamahalaang Barangay Sta. Ana, Taytay, Rizal","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/615559204_1315787573913111_6709049940981676637_n.jpg?stp=c211.211.578.578a_cp0_dst-jpg_tt6&cstp=mx578x578&ctp=s40x40&_nc_cat=100&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=5BpX25xZouQQ7kNvwFKaxb5&_nc_oc=AdrYznKKXJPUZKYCdtCTCokjkfgPTBKOxtC8NtOFJF4XFX8NqHUvpKemj3RsghJuP08&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=-jyzhu0Wy50waHi2mz4oRw&_nc_ss=7c2a8&oh=00_AQDUaTgMBFP-9T0mESiRoGa7rYH-AhtZv5zkrpXZdxxsSg&oe=6A5FFBDE","https://www.facebook.com/BarangayStaAnaTR","9","1921723321421344","HAPPENING NOW: LABLAB Clearing Operation sa kahabaan ng Isagani Street.
Isinasagawa ng Barangay Sta Ana Flood Control, Fire Brigade at Barangay GSO.
Sa mga kabarangay po natin na hindi pa po nadadaanan ng aming TEAM, humihingi po kami ng kaunting pang-unawa sapagkat inuunti-unti po namin na mahakot at malinis ang mga lablab at pipiliting makarating agad sa inyong lugar. Isa po tayo sa mga Barangay na labis na naapektuhan ng malakas na ulan at pagbaha kahapon.
Magtulungan po tayo para sa ikakalinis ng ating Barangay.
Maraming salamat po!",,,"71","2",,,"1","74","9","1505272442000","https://www.facebook.com/BarangayStaAnaTR/posts/pfbid02Y3UYmMcNpD46WmCFez5KGcuFN4RP7rgQVJ3qWNjPqEEoTwCRmZevqcn8NpNWAccMl"
,,,,,,,,,,,,,,,,,,,,"100053063292463","Ay Nako, Pinas","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/501173925_1242937294151702_2778459296418659908_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx963x966&ctp=s40x40&_nc_cat=107&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=gAvycl6spCoQ7kNvwEEozjK&_nc_oc=AdpeehAhaBP43gsEGkfzo_f-Fp0kYQhK1A2gekkfkkJCcvCJy9CB75vGf4MrJRwcx7w&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=-jyzhu0Wy50waHi2mz4oRw&_nc_ss=7c2a8&oh=00_AQCbD29nTM280XaL8EMVXeurXDwmD1QnHcd5cR_rDAERdQ&oe=6A5FFAA0","https://www.facebook.com/AyNakoPinas","35","1481245071967931","#WalangPasok sa UST due to the reason that España and nearby roads are still flooded.

ALAM NA TAMARAWS! HAHA. INTAY INTAY LANG!",,"153","297","23","10",,"3","486","47","1505218747000","https://www.facebook.com/AyNakoPinas/posts/pfbid034S1yrDH5mkuhfNv8ZAEwNccvzUfpfbSjrcn8FegBYf4RwT6WnEduQSaUXuiwKbtol"
,,,,,,,,,,,,,,,,,,,,"100064741417131","Pasig Shitposting","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/361325839_667802252054483_8764347302764541466_n.jpg?stp=cp6_dst-jpg_tt6&cstp=mx583x584&ctp=s40x40&_nc_cat=104&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=gVmB2S6RQ-cQ7kNvwFffBqj&_nc_oc=Adrx8qZoVzLYGui45rGJrWQcdIjLH7PD1x0FnEC6x6O0YJmlpQqpPoHsI1_JnkFaOPs&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=-jyzhu0Wy50waHi2mz4oRw&_nc_ss=7c2a8&oh=00_AQBSorXVw0O6NAI-E97EpBVgYU-0K1XJh5XXmK2-uyvCgQ&oe=6A600D12","https://www.facebook.com/bravobse","10","816588115169695","ATTN: May pasok po bukas Sept 13, 2017 All levels in Pasig City. No reported flooded area within our AOR. Light to moderate rain. Please bring rain gears and keep safe po. Thank you",,"1","93","1",,,,"95","43","1505227371000","https://www.facebook.com/bravobse/posts/pfbid0225ceCJWjfxkEkmcUPgTQL8A2ATz5E2Yzeqfcp9AePuapqFbYfGX1KKmwJX56VML7l"
