"attachments/0/accessibilityCaption","attachments/0/id","attachments/0/type","attachments/0/url","attachments/1/accessibilityCaption","attachments/1/id","attachments/1/type","attachments/1/url","attachments/2/accessibilityCaption","attachments/2/id","attachments/2/type","attachments/2/url","attachments/3/accessibilityCaption","attachments/3/id","attachments/3/type","attachments/3/url","attachments/4/accessibilityCaption","attachments/4/id","attachments/4/type","attachments/4/url","author/id","author/name","author/profilePicture","author/profileUrl","commentsCount","postId","postText","reactions/haha","reactions/like","reactions/love","reactions/sorry","reactions/support","reactions/wow","reactionsCount","sharesCount","timestamp","url"
,,,,,,,,,,,,,,,,,,,,"100068612142206","MMDA","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/242803846_162321929398211_6744508622629887688_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx604x604&ctp=s40x40&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=-GxMrIa-rlcQ7kNvwHsCJ-2&_nc_oc=AdrGdCHRzhSbOVYY0taJrJ_lhu8gQTjtTH3QMfRmjpATKGzgkv4xJ0IbyloEwAENX7Q&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=QxvkEH_qzufJKr6ZbzYEZw&_nc_ss=7c2a8&oh=00_AQAotoc7VDcCqnNiSirmW-U1gmF5LGteY4hWFH40r4YFEg&oe=6A602ED2","https://www.facebook.com/MMDAPH","18","768172323221432","[Admin 03] FLOOD UPDATES as of 11:54 AM, (2/2)

Quezon Ave.

6:15 AM, Commonwealth T. Sora EB Subsided 6:29 AM. (Passable) 
7:17 AM, Commonwealth Balara (NPATV) Subsided 9:44 AM, (Passable) 
6:19 AM, Maria Clara (NPATV)
11:43 AM, Biak na Bato (NPATV) 
6:42 AM, Quezon Ave Capitol EB Gutter Deep
6:57 AM, Gilmore EB (NPATV) Subsided 10:13 AM, (Passable) 
7:19 AM, Broadway 9th St. (NPATV) Subsided 10:09 AM, (Passable) 
7:24 AM, Aurora SM C. Point (NPATV)
7:36 AM, Kamias/Kalayaan (NPATV)
7:46 AM, Along E. Road (NPATV)
7:51 AM, Chino St. J.P Rizal (NPATV)
8:14 AM, Luna Anonas (NPATV)
8:14 AM, V. Luna Anonas (NPATV)
7: 46 AM, Whiteplains Katipunan Gutter Deep
7:35 AM, Along Project 4 Brgy. Tagumpay (NPATV)

North

6:34 AM, Sangandaan Gutter Deep
8:05 AM, Monumento Circle Gutter Deep
7:25 AM, Calle uno (NPALV)
8:30 AM, Maypajo Caloocan (NPATV)
9:53 AM, C3 10th Ave Dagat Dagatan (NPATV)",,"71",,,,,"71","93","1411099420000","https://www.facebook.com/MMDAPH/posts/pfbid0mSBLjxBgp4x6J7DKXN6Tt8j47aptn5Gs7Yo2Rw8yFh61jq3g8nK5Xx9SMUHunLyUl"
"No photo description available.","768222973216367","photo","https://www.facebook.com/photo.php?fbid=768222973216367&set=a.162321872731550&type=3","No photo description available.","768222996549698","photo","https://www.facebook.com/photo.php?fbid=768222996549698&set=a.162321872731550&type=3","No photo description available.","768222993216365","photo","https://www.facebook.com/photo.php?fbid=768222993216365&set=a.162321872731550&type=3","No photo description available.","768222989883032","photo","https://www.facebook.com/photo.php?fbid=768222989883032&set=a.162321872731550&type=3","No photo description available.","768222983216366","photo","https://www.facebook.com/photo.php?fbid=768222983216366&set=a.162321872731550&type=3","100068612142206","MMDA","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/242803846_162321929398211_6744508622629887688_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx604x604&ctp=s40x40&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=-GxMrIa-rlcQ7kNvwHsCJ-2&_nc_oc=AdrGdCHRzhSbOVYY0taJrJ_lhu8gQTjtTH3QMfRmjpATKGzgkv4xJ0IbyloEwAENX7Q&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=QxvkEH_qzufJKr6ZbzYEZw&_nc_ss=7c2a8&oh=00_AQAotoc7VDcCqnNiSirmW-U1gmF5LGteY4hWFH40r4YFEg&oe=6A602ED2","https://www.facebook.com/MMDAPH","58","768223246549673","[Admin 03] [Admin 03] FLOOD ALERT: Espana cor. P. Noval St. as of 3:38pm. Photo courtesy of Mr. Rolando Claveria",,"732",,,,,"732","761","1411113060000","https://www.facebook.com/MMDAPH/posts/pfbid0d7aa8N1cM7mbtvQZnS9aY7x1uVzmBSgtGPY1aNKEWWgrjMw1PHbUDpbF6g8n4AvEl"
"No photo description available.","768123746559623","photo","https://www.facebook.com/photo.php?fbid=768123746559623&set=a.162321872731550&type=3","No photo description available.","768123739892957","photo","https://www.facebook.com/photo.php?fbid=768123739892957&set=a.162321872731550&type=3","No photo description available.","768123743226290","photo","https://www.facebook.com/photo.php?fbid=768123743226290&set=a.162321872731550&type=3",,,,,,,,,"100068612142206","MMDA","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/242803846_162321929398211_6744508622629887688_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx604x604&ctp=s40x40&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=-GxMrIa-rlcQ7kNvwHsCJ-2&_nc_oc=AdrGdCHRzhSbOVYY0taJrJ_lhu8gQTjtTH3QMfRmjpATKGzgkv4xJ0IbyloEwAENX7Q&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=QxvkEH_qzufJKr6ZbzYEZw&_nc_ss=7c2a8&oh=00_AQAotoc7VDcCqnNiSirmW-U1gmF5LGteY4hWFH40r4YFEg&oe=6A602ED2","https://www.facebook.com/MMDAPH","220","768123919892939","[Admin 09] Flooding along Ortigas Extension. (photo courtesy of Mr. Carlo Briones)",,"1521",,,,,"1521","4731","1411091577000","https://www.facebook.com/MMDAPH/posts/pfbid04euXxa8pBdGSiCckeHw6cpVdwGwZVw5u56bSikCvf96cvSUxP9Aqd8UQ9SfnRMK2l"
,"709211682495336","video",,,,,,,,,,,,,,,,,,"100068351035575","Sa Ngalan Ng Gobyerno","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/352173072_3695302394025220_1289691263157025792_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx409x409&ctp=s40x40&_nc_cat=110&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=ILSoosLTIIkQ7kNvwHxh9Go&_nc_oc=Adp0MGvT5mzDJNAZMxnK8UIS7PbjYuGLHCQSXynSza54eMpqH9t7TnOGmC6Zzw43_5I&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=QxvkEH_qzufJKr6ZbzYEZw&_nc_ss=7c2a8&oh=00_AQCiB4ZkZnLdB9RxvkOfyG-kijiP1sctZhZnpdff7V4H2Q&oe=6A601A01","https://www.facebook.com/snngpage","53","709211682495336","Parang Ilog na ang dating...grabe

video credit to Jeff Alagar

no copyright infringement intended 

Nero Sa Ngalan Ng Gobyerno","42","48","1","15",,"24","130","406","1411166542000","https://www.facebook.com/snngpage/videos/709211682495336/"
"No photo description available.","361081430712211","photo","https://www.facebook.com/photo/?fbid=361081430712211&set=a.602294451934438",,,,,,,,,,,,,,,,,"100064616655120","Philippine Star","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/341858556_918415572727450_374717831366242673_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx1000x1000&ctp=s40x40&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=g5LUxtqmcMcQ7kNvwH8W7DJ&_nc_oc=Ado6Kmy7Ihi6b7aeSbYQKgyYI71to-vff-Df5z3t1dvlc5DIvAMBWuqFle8wUoPs0WU&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=QxvkEH_qzufJKr6ZbzYEZw&_nc_ss=7c2a8&oh=00_AQBt6qE5t-r-CXkseZPXUxoreC4VzhGsZwWZgiIDbKSQDQ&oe=6A6021C0","https://www.facebook.com/PhilippineSTAR","181","361081430712211","#MarioPH UPDATE: Flood situation in Libis, Sto. Niño, Marikina City. Water has now reached roofs of cars. | Photo via @MarikinaPIO",,"1166",,"1",,,"1167","1808","1411089950000","https://www.facebook.com/photo.php?fbid=361081430712211&set=a.602294451934438&type=3"
,,,,,,,,,,,,,,,,,,,,"100068612142206","MMDA","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/242803846_162321929398211_6744508622629887688_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx604x604&ctp=s40x40&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=-GxMrIa-rlcQ7kNvwHsCJ-2&_nc_oc=AdrGdCHRzhSbOVYY0taJrJ_lhu8gQTjtTH3QMfRmjpATKGzgkv4xJ0IbyloEwAENX7Q&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=nUhaLZhnjrZdnEe8Y-AYAg&_nc_ss=7c2a8&oh=00_AQDi-5vDdcTPJgOyoaAsfptkpxrkdIz0jRHwVy-luh-z7Q&oe=6A602ED2","https://www.facebook.com/MMDAPH","44","768172166554781","[Admin 03] FLOOD UPDATES as of 11:54 AM, (1/2)

EDSA
6:12 AM, Fema Rd. Gutter Deep
6:12 AM, Dario Bridge Gutter Deep
6:27 AM, Balintawak Not Passable all Types of Vehicles
6:05 AM, North Ave Subsided 8:06 AM. (Passable).
6:31 AM, Quezon Ave SB Subsided 7:57 AM. (Passable)
6:57 AM, Quezon Ave NB (Not Passable all Types of Vehicles)

C5 Area

7:48 AM, C5 Tiendesitas NB/SB Gutter Deep Subsided 9:41 AM (Passable)
6:39 AM, C5 Libis Gutter Deep
6:23 AM, C5 Ateneo Gate 2 Gutter Deep Subsided 8:48 AM, (Passable)
10:25 AM, C5 Eagle St. Gutter Deep 
7:46 AM, C5 BCDA SB Gutter Deep

Manila Area
7:12 AM, RMB V. Mapa Gutter Deep
7:12 AM, Along España (Not Passable all Types of Vehicles)
7:30 AM, Nagtahan NB/SB Gutter Deep
RMB Vicente Cruz Gutter Deep
M. Dela Fuente Gutter Deep
7:45 AM, Delpan SB Gutter Deep
7:53 AM, RIO Mariones Gutter Deep
RIO Capulong Gutter Deep
7:53 AM, Quirino Taft EB (Not Passable all Types of Vehicles)
8:06 AM, RMB Pureza (Not Passable all Types of Vehicles)
9:18 AM Lacson Fajardo Gutter Deep

South
6:16 AM, Dr, A Santos Subsided 7:59 AM. (Passable.)
7:15 AM, Andrews Tramo Gutter Deep
7:50 AM, Osmeña Buendia (Not Passable all Types of Vehicles)

East
6:10 AM, Ortigas WB C. Raymundo Gutter Deep
7:12 AM, Marcos Highway EB/WB Before Masinag (Not Passable all Types of Vehicles)
Gil Fernando Dragon St. Gutter Deep
7:48 AM, San Juan area
F. Manalo (Not Passable all Types of Vehicles)
Brgy. Salapan (Not Passable all Types of Vehicles)
Brgy. Batis (Not Passable all Types of Vehicles)
8:00 AM, Ortigas Santolan WB Gutter Deep",,"150",,,,,"150","297","1411099362000","https://www.facebook.com/MMDAPH/posts/pfbid02oYbuPvLt5sh6Vkct91QNF6GhU8BpfJdPcdPNE6su8WLejLQBA7cNbYsPW4Z3HPgql"
"No photo description available.","10152466262703791","photo","https://www.facebook.com/photo/?fbid=10152466262703791&set=a.635578005267051",,,,,,,,,,,,,,,,,"100064445723899","ANC 24/7","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/609053834_1328721385952706_4253439834983056076_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx2048x2048&ctp=s40x40&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=RAU_RPiKxxgQ7kNvwGLy_GT&_nc_oc=AdqMSDYmD5Jmt29_RmIjxtU42_IIyv-9xESw2la0kP6qV6sl9_le8xwq5N18SO-COc0&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=nUhaLZhnjrZdnEe8Y-AYAg&_nc_ss=7c2a8&oh=00_AQCKqkT0d-ZoSZEForaymDFppQo2OAIrpd1drwlOQ04lZw&oe=6A60214E","https://www.facebook.com/ANCalerts","76","10152466262703791","Flooding in Brgy. Sto. Domingo, QC reaches 3rd level of houses near river.

(Photo via Jacque Manabat)",,,,,,,"0","557","1411097474000","https://www.facebook.com/photo.php?fbid=10152466262703791&set=a.635578005267051&type=3"
,,,,,,,,,,,,,,,,,,,,"100068612142206","MMDA","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/242803846_162321929398211_6744508622629887688_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx604x604&ctp=s40x40&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=-GxMrIa-rlcQ7kNvwHsCJ-2&_nc_oc=AdrGdCHRzhSbOVYY0taJrJ_lhu8gQTjtTH3QMfRmjpATKGzgkv4xJ0IbyloEwAENX7Q&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=nUhaLZhnjrZdnEe8Y-AYAg&_nc_ss=7c2a8&oh=00_AQDi-5vDdcTPJgOyoaAsfptkpxrkdIz0jRHwVy-luh-z7Q&oe=6A602ED2","https://www.facebook.com/MMDAPH","36","768188553219809","[Admin 03] FLOOD UPDATES as of 12:45 PM:

EDSA

6:12 AM, Fema Rd. Gutter Deep
6:12 AM, Dario Bridge Gutter Deep
6:27 AM, Balintawak Not Passable all Types of Vehicles
6:05 AM, North Ave Subsided 8:06 AM. (Passable).
6:31 AM, Quezon Ave SB Subsided 7:57 AM. (Passable)
6:57 AM, Quezon Ave NB (Not Passable all Types of Vehicles)

C5 Area

7:48 AM, C5 Tiendesitas NB/SB Gutter Deep, Subsided 9:41 AM (Passable)
6:39 AM, C5 Libis Gutter Deep, Subsided 7:30 AM, (Passable)
6:23 AM, C5 Ateneo Gate 2 Gutter Deep, Subsided 8:48 AM, (Passable)
10:25 AM, C5 Eagle St. Gutter Deep, Subsided 9:00 AM, (Passable)
7:46 AM, C5 BCDA SB Gutter Deep, Subsided 9:06 AM, (Passable)
8:06 AM, C5 Ortigas Rd. EB/WB (Not Passable all Types of Vehicles) Subsided 9:47 AM (Passable)

Manila Area

7:12 AM, RMB V. Mapa Gutter Deep
7:12 AM, Along España (Not Passable all Types of Vehicles)
7:30 AM, Nagtahan NB/SB Gutter Deep
RMB Vicente Cruz Gutter Deep
M. Dela Fuente Gutter Deep
7:45 AM, Delpan SB Gutter Deep
7:53 AM, RIO Mariones Gutter Deep
RIO Capulong Gutter Deep
7:53 AM, Quirino Taft EB (Not Passable all Types of Vehicles)
8:06 AM, RMB Pureza (Not Passable all Types of Vehicles)
9:18 AM Lacson Fajardo Gutter Deep

South

6:16 AM, Dr, A Santos Subsided 7:59 AM. (Passable.)
7:15 AM, Andrews Tramo Gutter Deep
11:05 AM, Osmeña Buendia (Not Passable all Types of Vehicles)

East

6:10 AM, Ortigas WB C. Raymundo Gutter Deep
7:12 AM, Marcos Highway EB/WB Before Masinag (Not Passable all Types of Vehicles)
Gil Fernando Dragon St. Gutter Deep
7:48 AM, San Juan area
F. Manalo (Not Passable all Types of Vehicles)
Brgy. Salapan (Not Passable all Types of Vehicles)
Brgy. Batis (Not Passable all Types of Vehicles)
8:00 AM, Ortigas Santolan WB Gutter Deep",,"81",,,,,"81","130","1411103597000","https://www.facebook.com/MMDAPH/posts/pfbid03218t2mfpBCn1fTjHdUA5kuJYAW4c5sQCyL2VTLdeXqoqPur9wZAsvKsSSq4FEdcel"
"No photo description available.","659513667488847","photo","https://www.facebook.com/photo.php?fbid=659513667488847&set=a.532729732375173&type=3","No photo description available.","659513747488839","photo","https://www.facebook.com/photo.php?fbid=659513747488839&set=a.532729732375173&type=3","No photo description available.","659513687488845","photo","https://www.facebook.com/photo.php?fbid=659513687488845&set=a.532729732375173&type=3","No photo description available.","659513714155509","photo","https://www.facebook.com/photo.php?fbid=659513714155509&set=a.532729732375173&type=3","No photo description available.","659513734155507","photo","https://www.facebook.com/photo.php?fbid=659513734155507&set=a.532729732375173&type=3","100069144534674","Eagle News","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/302495836_5446732305433602_2556036293795182370_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx672x672&ctp=s40x40&_nc_cat=107&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=QfC8D-3NrMYQ7kNvwEA5IyH&_nc_oc=AdolkTKEaxEw_og0tlC9yu_J2UN7F2DuuqE1bbHLvyXQ7Msbc71FLn3Rjfkv79vyMZ4&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=nUhaLZhnjrZdnEe8Y-AYAg&_nc_ss=7c2a8&oh=00_AQDpiMk1QlnZ6daFGbd0lnEkZJ5Kdek3RQ_S9nG2f1yWCQ&oe=6A6032A1","https://www.facebook.com/EagleNews","2","659513994155481","Flood situation in Karangalan Village in Pasig City.

Courtesy of Christopher Buenafe, EBC News 360
#EagleNewsPH",,"114",,,,,"114","17","1411098636000","https://www.facebook.com/EagleNews/posts/pfbid0pYA5bwzGmJ6qK9oyMZHWYCZATVQSB2coMxc3beoedHPRQV4DB17L1581Eavx1eFKl"
"No photo description available.","10152466189268791","photo","https://www.facebook.com/photo/?fbid=10152466189268791&set=a.635578005267051",,,,,,,,,,,,,,,,,"100064445723899","ANC 24/7","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/609053834_1328721385952706_4253439834983056076_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx2048x2048&ctp=s40x40&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=RAU_RPiKxxgQ7kNvwGLy_GT&_nc_oc=AdqMSDYmD5Jmt29_RmIjxtU42_IIyv-9xESw2la0kP6qV6sl9_le8xwq5N18SO-COc0&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=nUhaLZhnjrZdnEe8Y-AYAg&_nc_ss=7c2a8&oh=00_AQCKqkT0d-ZoSZEForaymDFppQo2OAIrpd1drwlOQ04lZw&oe=6A60214E","https://www.facebook.com/ANCalerts","119","10152466189268791","Flooding at Cainta Junction in front of Robinsons Cainta.

(Photo via Ryan Chua)",,"1939",,,,,"1939","1442","1411094977000","https://www.facebook.com/photo.php?fbid=10152466189268791&set=a.635578005267051&type=3"
