"attachments/0/accessibilityCaption","attachments/0/id","attachments/0/type","attachments/0/url","attachments/1/accessibilityCaption","attachments/1/id","attachments/1/type","attachments/1/url","attachments/2/accessibilityCaption","attachments/2/id","attachments/2/type","attachments/2/url","attachments/3/accessibilityCaption","attachments/3/id","attachments/3/type","attachments/3/url","attachments/4/accessibilityCaption","attachments/4/id","attachments/4/type","attachments/4/url","author/id","author/name","author/profilePicture","author/profileUrl","commentsCount","postId","postText","reactions/anger","reactions/haha","reactions/like","reactions/love","reactions/sorry","reactions/support","reactions/wow","reactionsCount","sharesCount","timestamp","url"
,"540605773065475","video",,,,,,,,,,,,,,,,,,"100064746458701","MANILA BULLETIN","https://scontent-iad3-2.xx.fbcdn.net/v/t39.30808-1/486278506_1099976158837256_5940999471121737534_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx960x960&ctp=s40x40&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=SPUObSUmnT4Q7kNvwE4CaQB&_nc_oc=AdqgWtevAyMLPUwjrEIFgBZvMBpaVIngwVsqdQvNX-DmgqLbFAHkkRzC43OFBbMwmmI&_nc_zt=24&_nc_ht=scontent-iad3-2.xx&_nc_gid=xG3JSjWlJ2eJuRoslg6wWA&_nc_ss=7c2a8&oh=00_AQDtHmcE9uzMnK7biaOMWiebTZb87sarVopSks0oxGi5ag&oe=6A5FEFE9","https://www.facebook.com/ManilaBulletin","39","540605773065475","Raging flood caused by heavy downpour and strong winds along Kennon Road, Tuba, Benguet due to #OmpongPH. (Video courtesy of Jordan Rae Salinas)",,,"148","1","195",,"46","390","277","1536992705000","https://www.facebook.com/ManilaBulletin/videos/540605773065475/"
,"1000689990114665","video",,,,,,,,,,,,,,,,,,"100064957951102","ABS-CBN News","https://scontent-iad3-2.xx.fbcdn.net/v/t39.30808-1/612193561_1385784586930127_8766501501849307524_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx513x511&ctp=s40x40&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=jjMlUL_Ip04Q7kNvwEzDYDU&_nc_oc=AdpHBL7nJN2UDVeZWfmwUR6zj2e4o4Lg0rUTe9YSIZZxU_Liri74NllJJdRrexLGmKY&_nc_zt=24&_nc_ht=scontent-iad3-2.xx&_nc_gid=xG3JSjWlJ2eJuRoslg6wWA&_nc_ss=7c2a8&oh=00_AQDX24ISMWMB0lGlB7KlRe6QvyudOUA3kK9m0M9r1ULLFA&oe=6A600EDC","https://www.facebook.com/abscbnNEWS","5","1000689990114665","WATCH: Flood in Brgy Nalasin, Paoay, Ilocos Norte. 344 families were evacuated to different centers but are now back in their homes trying to fix whatever Typhoon Ompong left.  Report from Raphael Bosano, ABS-CBN News","1",,"223","3","47",,"5","279","75","1537065508000","https://www.facebook.com/abscbnNEWS/videos/1000689990114665/"
"No photo description available.","1794414600668441","photo","https://www.facebook.com/photo/?fbid=1794414600668441&set=a.365711365600523",,,,,,,,,,,,,,,,,"100064849864375","DOST-PAGASA","https://scontent-iad3-2.xx.fbcdn.net/v/t39.30808-1/487303686_1099355335569452_7045424019269009221_n.png?stp=cp0_dst-png&cstp=mx1001x1001&ctp=s40x40&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=8-rGnn6nM6QQ7kNvwFTuQ74&_nc_oc=AdrEYDQ3EYqHxLxobTmImWtGV7g1XU5cA8UN4gOVWE8KX74zKA-gvo2lBAvea5iHEyk&_nc_zt=24&_nc_ht=scontent-iad3-2.xx&_nc_gid=xG3JSjWlJ2eJuRoslg6wWA&_nc_ss=7c2a8&oh=00_AQAfT4gGs8hclj9k8B81k8Kin0jRA_0AkEfQhIdgRbY1fg&oe=6A5FFFDF","https://www.facebook.com/PAGASA.DOST.GOV.PH","111","1794414817335086","Rainfall Warning No. 4 #NCR_PRSD
Weather System: Typhoon Ompong
Issued at: 09:00 AM 15 September 2018

Red Warning Level: TORRENTIAL RAINS may cause Serious FLOODING in #Zambales and #Bataan.

Orange Warning Level: INTENSE RAINS threaten flooding in flood-prone areas in #Pampanga, #Tarlac and #NuevaEcija

Yellow Warning Level: HEAVY RAINS may cause flooding in flood-prone areas in #MetroManila, #Rizal, #Bulacan, #Cavite and #Laguna.

•Light to moderate with occasional heavy rains affecting #Batangas and #Quezon which may persist for 3 hours.

•This information is based on current radar trends, predicted tropical cyclone track and all available meteorological data.

•The public and the disaster risk reduction and management council concerned are advised to take appropriate actions, MONITOR the weather condition and watch for the next advisory to be issued at 12:00 PM Today.

•For more information and queries, please call telephone numbers 927-1335 and 927-2877","1",,"327","1","51",,"3","383","456","1536975132000","https://www.facebook.com/PAGASA.DOST.GOV.PH/posts/pfbid0RkPRX4Rxi6TeEuoXNzNB7quHUpBPhxsEsW6XHmcSoDuou3etuBV694BQ2mpXbtcAl"
"No photo description available.","10156848600551977","photo","https://www.facebook.com/photo.php?fbid=10156848600551977&set=a.649184583919869&type=3","No photo description available.","10156848600571977","photo","https://www.facebook.com/photo.php?fbid=10156848600571977&set=a.649184583919869&type=3","No photo description available.","10156848600561977","photo","https://www.facebook.com/photo.php?fbid=10156848600561977&set=a.649184583919869&type=3","No photo description available.","10156848600661977","photo","https://www.facebook.com/photo.php?fbid=10156848600661977&set=a.649184583919869&type=3",,,,,"100064849986224","GMA News","https://scontent-iad3-2.xx.fbcdn.net/v/t39.30808-1/658216539_1459297662908553_7892569438724908023_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx1200x1200&ctp=s40x40&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=_9Kw3PkUnsIQ7kNvwEZxspv&_nc_oc=AdrYzyPEQZvd1aXSslgi2YH5Urx86Ck9WUrUHkZCXFiYehKWQpym-zo-IcToHU-fU9s&_nc_zt=24&_nc_ht=scontent-iad3-2.xx&_nc_gid=xG3JSjWlJ2eJuRoslg6wWA&_nc_ss=7c2a8&oh=00_AQCBmINL2QcZWzJLwen0Ws8hs2T8gPU3QPfYjLhVrXrQfw&oe=6A5FFBBF","https://www.facebook.com/gmanews","433","10156848600991977","LOOK: San Miguel, Bulacan, naapektuhan ng flash flood mula sa Sierra Madre, ayon kay Gov. Wilhelmino Sy-Alvarado. #OmpongPH | 📸: Bulacan PDRRMO via Jonathan Andal/DZBB","4","6","2937","16","1336",,"106","4405","3278","1536986636000","https://www.facebook.com/gmanews/posts/pfbid0285Lh3bb9bpYsByBF2dDnW1LfyvCTUxKkbNwWB7a4zQ7Fjtkkpo4H31tTSiCQUciAl"
"No photo description available.","2059571894063201","photo","https://www.facebook.com/photo/?fbid=2059571894063201&set=a.354237689405375",,,,,,,,,,,,,,,,,"100044574393245","Emilio Jose Andres del Pilar / The Philippines of PlanetPuto","https://scontent-iad3-2.xx.fbcdn.net/v/t39.30808-1/471184866_1114161596746310_1022693905580394101_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx2000x2000&ctp=s40x40&_nc_cat=103&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=BQ-N_D94JAIQ7kNvwF54uGp&_nc_oc=AdoRL5AerBoPG7ZslMx3cSVIrKYOjeCLBGpT5Xey2drTCcnD4-FQh6Fc9DMvspE1pPE&_nc_zt=24&_nc_ht=scontent-iad3-2.xx&_nc_gid=xG3JSjWlJ2eJuRoslg6wWA&_nc_ss=7c2a8&oh=00_AQAGki3wiTWF7kNESIxIm5fm2ghdznlnnoe1495wDrU3ZA&oe=6A60158B","https://www.facebook.com/PhilLovesThemMangoes","7","2059572464063144","MARIKINAAAAAAAAAAAAAAAAAAAAA

Tornado in Marikina:
https://news.abs-cbn.com/trending/09/14/18/watch-marikina-tornado-crashes-wedding-party-sends-guests-panicking
and
https://newsinfo.inquirer.net/1032614/2-hurt-as-tornado-strikes-in-marikina

Flood in Marikina: 
https://www.rappler.com/nation/212056-marikina-river-water-level-typhoon-ompong-september-2018

#planetputo",,"36","28",,"47",,"1","112","22","1536990110000","https://www.facebook.com/PhilLovesThemMangoes/posts/pfbid0g5FutxTKkBkUuziS44eEj63ZZdXxsSSaTMEGBiZpWj18poLx92WQkDeaZzboAkBZl"
,"700436933649327","video",,,,,,,,,,,,,,,,,,"100064746458701","MANILA BULLETIN","https://scontent-iad3-2.xx.fbcdn.net/v/t39.30808-1/486278506_1099976158837256_5940999471121737534_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx960x960&ctp=s40x40&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=SPUObSUmnT4Q7kNvwE4CaQB&_nc_oc=AdqgWtevAyMLPUwjrEIFgBZvMBpaVIngwVsqdQvNX-DmgqLbFAHkkRzC43OFBbMwmmI&_nc_zt=24&_nc_ht=scontent-iad3-2.xx&_nc_gid=Y1mnl-gqjxszx_XlVDKPIA&_nc_ss=7c2a8&oh=00_AQBB6yFLwSM4bO37UbJJLw_YyqpB8SOm4_MH58Hx-9isTA&oe=6A5FEFE9","https://www.facebook.com/ManilaBulletin","47","700436933649327","A man was safely rescued from a raging flood at Malacampa along Romulo Highway in Tarlac. (Video courtesy: Lord Aquino)",,"4","448","6","122",,"59","639","325","1537003519000","https://www.facebook.com/ManilaBulletin/videos/700436933649327/"
,"2512577282301964","video",,,,,,,,,,,,,,,,,,"100064360824747","ONE News","https://scontent-iad3-2.xx.fbcdn.net/v/t39.30808-1/352658401_6225502244210342_1920176872751359948_n.png?stp=cp0_dst-png&cstp=mx1638x1638&ctp=s40x40&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=D1IHy-HhIG8Q7kNvwEGlHUX&_nc_oc=AdplVb-7C9eghOEl5uyfXt-QPKfcacAgcMc6pJfEsBzoWPrWlfk57fFflm6WX_RrDWM&_nc_zt=24&_nc_ht=scontent-iad3-2.xx&_nc_gid=Y1mnl-gqjxszx_XlVDKPIA&_nc_ss=7c2a8&oh=00_AQCSEz3P0z4hNhRedIr960jaUz2qYsUIkNNcOKmdQJVQ3w&oe=6A5FF207","https://www.facebook.com/ONENewsPH","24","2512577282301964","WATCH | Calumpit, Bulacan is submerged anew in knee-deep flood due to the heavy downpour brought by Typhoon #OmpongPH (via Shyla Francisco)","1","3","60",,"15",,,"79","145","1537070973000","https://www.facebook.com/ONENewsPH/videos/2512577282301964/"
"No photo description available.","1159804010839945","photo","https://www.facebook.com/photo.php?fbid=1159804010839945&set=a.602294451934438&type=3","No photo description available.","1159804230839923","photo","https://www.facebook.com/photo.php?fbid=1159804230839923&set=a.602294451934438&type=3","No photo description available.","1159803990839947","photo","https://www.facebook.com/photo.php?fbid=1159803990839947&set=a.602294451934438&type=3","No photo description available.","1159804024173277","photo","https://www.facebook.com/photo.php?fbid=1159804024173277&set=a.602294451934438&type=3","No photo description available.","1159804164173263","photo","https://www.facebook.com/photo.php?fbid=1159804164173263&set=a.602294451934438&type=3","100064616655120","Philippine Star","https://scontent-iad3-2.xx.fbcdn.net/v/t39.30808-1/341858556_918415572727450_374717831366242673_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx1000x1000&ctp=s40x40&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=g5LUxtqmcMcQ7kNvwGjIjkC&_nc_oc=Adrp_u_cks5A8GSbyymWqepUvLOZLsxqH_Jo9wK_b_t_KTdVEc1VZbOhF1QPxiUFGNU&_nc_zt=24&_nc_ht=scontent-iad3-2.xx&_nc_gid=Y1mnl-gqjxszx_XlVDKPIA&_nc_ss=7c2a8&oh=00_AQAecDme5fGabAcQIf-t8raejtTHde5q5SkNiQi2u7DCtw&oe=6A5FE980","https://www.facebook.com/PhilippineSTAR","45","1159804414173238","IN PHOTOS: Motorists wade through ankle-deep flood on Roxas Boulevard on Saturday morning due to typhoon #OmpongPH.",,"2","344","1","119",,"24","490","244","1536989248000","https://www.facebook.com/PhilippineSTAR/posts/pfbid02MWzStSeDEQ1agEsZrBmLQ1Dxb5hRRXPM2Wq5sEDMTnfP74i23jtrZbMgeCMsiZV5l"
"No photo description available.","1159706860849660","photo","https://www.facebook.com/photo.php?fbid=1159706860849660&set=a.602294451934438&type=3","No photo description available.","1159706857516327","photo","https://www.facebook.com/photo.php?fbid=1159706857516327&set=a.602294451934438&type=3","No photo description available.","1159706847516328","photo","https://www.facebook.com/photo.php?fbid=1159706847516328&set=a.602294451934438&type=3","No photo description available.","1159706910849655","photo","https://www.facebook.com/photo.php?fbid=1159706910849655&set=a.602294451934438&type=3","No photo description available.","1159706917516321","photo","https://www.facebook.com/photo.php?fbid=1159706917516321&set=a.602294451934438&type=3","100064616655120","Philippine Star","https://scontent-iad3-2.xx.fbcdn.net/v/t39.30808-1/341858556_918415572727450_374717831366242673_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx1000x1000&ctp=s40x40&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=g5LUxtqmcMcQ7kNvwGjIjkC&_nc_oc=Adrp_u_cks5A8GSbyymWqepUvLOZLsxqH_Jo9wK_b_t_KTdVEc1VZbOhF1QPxiUFGNU&_nc_zt=24&_nc_ht=scontent-iad3-2.xx&_nc_gid=Y1mnl-gqjxszx_XlVDKPIA&_nc_ss=7c2a8&oh=00_AQAecDme5fGabAcQIf-t8raejtTHde5q5SkNiQi2u7DCtw&oe=6A5FE980","https://www.facebook.com/PhilippineSTAR","6","1159707110849635","Flood situation on Saturday morning in different parts of Ibayo, Marilao, Bulacan. (Photos courtesy of Brgy. Ibayo Rescue)",,,"91","1","22",,"4","118","76","1536979137000","https://www.facebook.com/PhilippineSTAR/posts/pfbid033211N1ULZqDTBUQMBtKR1CpkdbQKUvQi9vRnNjzHz6QMmt75JiVKJhLYhtYtzEcGl"
"No photo description available.","10156848900721977","photo","https://www.facebook.com/photo.php?fbid=10156848900721977&set=a.649184583919869&type=3","No photo description available.","10156848900731977","photo","https://www.facebook.com/photo.php?fbid=10156848900731977&set=a.649184583919869&type=3","No photo description available.","10156848900726977","photo","https://www.facebook.com/photo.php?fbid=10156848900726977&set=a.649184583919869&type=3","No photo description available.","10156848900871977","photo","https://www.facebook.com/photo.php?fbid=10156848900871977&set=a.649184583919869&type=3",,,,,"100064849986224","GMA News","https://scontent-iad3-2.xx.fbcdn.net/v/t39.30808-1/658216539_1459297662908553_7892569438724908023_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx1200x1200&ctp=s40x40&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=_9Kw3PkUnsIQ7kNvwEZxspv&_nc_oc=AdrYzyPEQZvd1aXSslgi2YH5Urx86Ck9WUrUHkZCXFiYehKWQpym-zo-IcToHU-fU9s&_nc_zt=24&_nc_ht=scontent-iad3-2.xx&_nc_gid=Y1mnl-gqjxszx_XlVDKPIA&_nc_ss=7c2a8&oh=00_AQB-uUuFaXnzk5iSySNiv2hr8Cr_cqQzAyfywbjn3mFbEg&oe=6A5FFBBF","https://www.facebook.com/gmanews","65","10156848902116977","EARLIER: Roads and crops are immersed in flood in Samoki, Bontoc, Mountain Province. Photo courtesy: Philippine Red Cross #OmpongPH","1","1","604",,"333",,"21","960","341","1536999471000","https://www.facebook.com/gmanews/posts/pfbid02zeWEyccyuhafE5HHqqqcvqrhJFuXNVpFhvFKjmHwXqTvMHKmhkfN2SYk9zpPccpml"
