"attachments/0/accessibilityCaption","attachments/0/id","attachments/0/type","attachments/0/url","attachments/1/accessibilityCaption","attachments/1/id","attachments/1/type","attachments/1/url","attachments/2/accessibilityCaption","attachments/2/id","attachments/2/type","attachments/2/url","attachments/3/accessibilityCaption","attachments/3/id","attachments/3/type","attachments/3/url","attachments/4/accessibilityCaption","attachments/4/id","attachments/4/type","attachments/4/url","author/id","author/name","author/profilePicture","author/profileUrl","commentsCount","postId","postText","reactions/anger","reactions/haha","reactions/like","reactions/love","reactions/sorry","reactions/support","reactions/wow","reactionsCount","sharesCount","timestamp","url"
"No photo description available.","3284047651705121","photo","https://www.facebook.com/photo.php?fbid=3284047651705121&set=a.365711365600523&type=3","No photo description available.","3284047728371780","photo","https://www.facebook.com/photo.php?fbid=3284047728371780&set=a.365711365600523&type=3","No photo description available.","3284047671705119","photo","https://www.facebook.com/photo.php?fbid=3284047671705119&set=a.365711365600523&type=3","No photo description available.","3284047761705110","photo","https://www.facebook.com/photo.php?fbid=3284047761705110&set=a.365711365600523&type=3","No photo description available.","3284047775038442","photo","https://www.facebook.com/photo.php?fbid=3284047775038442&set=a.365711365600523&type=3","100064849864375","DOST-PAGASA","https://scontent-iad3-2.xx.fbcdn.net/v/t39.30808-1/487303686_1099355335569452_7045424019269009221_n.png?stp=cp0_dst-png&cstp=mx1001x1001&ctp=s40x40&_nc_cat=103&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=8-rGnn6nM6QQ7kNvwGevvgF&_nc_oc=Adqw4PjjoyOQSL9mX_IJmkp6P9ksbSMIA-nlh29eOprUHTqt1yar4F-7KhTFCOxSQKY&_nc_zt=24&_nc_ht=scontent-iad3-2.xx&_nc_gid=-YGKr5TqaRMz9Pk7y0mxgQ&_nc_ss=7c2a8&oh=00_AQAt6bKF-RATFsan0BqlEopMa5JmybknyUecfoDpSrteLQ&oe=6A5FC79F","https://www.facebook.com/PAGASA.DOST.GOV.PH","11","3284048281705058","General Flood Advisories issued at 6AM, 02 November 2020

NCR GFA#3Final - (National Capital Region)
CAR GFA#4Final - (Cordillera Administrative Region) 
Region 2 GFA#4 - (CAGAYAN VALLEY)
Region 3 GFA#4Final - (CENTRAL LUZON)
Region 4A GFA#4Final - (CALABARZON)
Region 4B GFA#4Final - (MIMAROPA)
Region 5 GFA#4 - (BICOL REGION)
Region 6 GFA#4FInal - (WESTERN VISAYAS)
Region 7 GFA#5Final - (CENTRAL VISAYAS)
Region 8 GFA#4Final - (EASTERN VISAYAS)
Region 13 GFA#5Final - (CARAGA REGION)",,,"109","1","1",,,"111","44","1604266339000","https://www.facebook.com/PAGASA.DOST.GOV.PH/posts/pfbid02Qh7tJ98ETm15HenLj1CSk4womrJpwxMtumLcVEw68Qr6fwBDp19t2gZbvMVZa777l"
,"404376717415008","video",,,,,,,,,,,,,,,,,,"100069028928005","INQUIRER.net","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/278901640_295125766131719_6117651967592833577_n.png?stp=cp0_dst-png&cstp=mx320x320&ctp=s40x40&_nc_cat=100&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=4sYjAojLiwAQ7kNvwH3LDmd&_nc_oc=AdoBHTOvYcpts45s5fLaT5On4tFkq3Gmjo5e3SbXjB2ewnXpnG85ddm4i1BqhGM-rhw&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=-YGKr5TqaRMz9Pk7y0mxgQ&_nc_ss=7c2a8&oh=00_AQAE43u8mX3yYqQ2-4ZeXLHOvbTen2a7DKJAB94HMytBNQ&oe=6A5FA681","https://www.facebook.com/inquirerdotnet","98","10160781176154453","WARNING: The following footage may be disturbing for animal lovers.

A dog was caught on video as it was swept away by the floodwaters this Sunday morning in Polangui town, Albay. #RollyPH

📹: Ryan Agustin","94",,"102","3","955","5","5","1164","122","1604268001000","https://www.facebook.com/inquirerdotnet/videos/404376717415008/"
"No photo description available.","10157372260221400","photo","https://www.facebook.com/photo.php?fbid=10157372260221400&set=a.629030382589895&type=3","No photo description available.","10157372260456400","photo","https://www.facebook.com/photo.php?fbid=10157372260456400&set=a.629030382589895&type=3","No photo description available.","10157372260551400","photo","https://www.facebook.com/photo.php?fbid=10157372260551400&set=a.629030382589895&type=3","No photo description available.","10157372260601400","photo","https://www.facebook.com/photo.php?fbid=10157372260601400&set=a.629030382589895&type=3",,,,,"100064488172797","Greenpeace Philippines","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/348226032_780811170382641_6442675747656716525_n.png?stp=cp0_dst-png&cstp=mx714x714&ctp=s40x40&_nc_cat=108&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=fSdxqtFN-XUQ7kNvwHiXLwA&_nc_oc=Adr0iG6g2Hb2qX4MROAt1BZV6tD6Uhd7dpos1wsIbS6K_UGPV6BPuesul-tMcYgvs00&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=-YGKr5TqaRMz9Pk7y0mxgQ&_nc_ss=7c2a8&oh=00_AQA5WQg1saVPLQBgYRRDn77rqNh9PZSPTjhK9Mswum4uSw&oe=6A5FA2D2","https://www.facebook.com/greenpeaceph","5","10157372266531400","IN PHOTOS: Situation at an evacuation center in Tondo, Manila. Thousands of families from flood-prone and coastal areas 🌊 were evacuated due to #RollyPH that almost hit the Philippine capital.

Climate change affects all of us and impacts our cities' basic services which are already strained by the ongoing health crisis. 😷

Our government leaders must acknowledge the urgent situation we are facing and declare a #ClimateEmergency now >> act.gp/35wrVj2
-
 📷: Basilio Sepe / Greenpeace","2",,"147","10","169","34","3","365","43","1604294881000","https://www.facebook.com/greenpeaceph/posts/pfbid02vKixgPHKQqVh9XTR5c3Er3dkab3ZWfd6bM8u8H1xJtHJPXfH8eF967truyXSEhMl"
"No photo description available.","2006291046191233","photo","https://www.facebook.com/photo.php?fbid=2006291046191233&set=a.602294451934438&type=3","No photo description available.","2006291156191222","photo","https://www.facebook.com/photo.php?fbid=2006291156191222&set=a.602294451934438&type=3","No photo description available.","2006291129524558","photo","https://www.facebook.com/photo.php?fbid=2006291129524558&set=a.602294451934438&type=3",,,,,,,,,"100064616655120","Philippine Star","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/341858556_918415572727450_374717831366242673_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx1000x1000&ctp=s40x40&_nc_cat=104&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=g5LUxtqmcMcQ7kNvwGrCCb_&_nc_oc=AdqwT0iSHfjJrEynTvWl_Rf75EUvulu_kXSCM0TGB40aoEpO5Rc5l7oXfm4I20RFPo8&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=-YGKr5TqaRMz9Pk7y0mxgQ&_nc_ss=7c2a8&oh=00_AQDD82_HJWYvmjRqOPwQzR0fStTLzdo1hdchS79XFy3fng&oe=6A5FB140","https://www.facebook.com/PhilippineSTAR","34","2006291896191148","The Philippine Coast Guard retrieved on Monday the body of a missing person who was washed away by strong waters in Ibaan, Batangas on Sunday. 

The PCG said the victim was riding a motorcycle with his wife when flash flood hit them at the highway of Ibaan. He was found dead at Barangay Tinga, Batangas. His wife survived the incident. (Photos/PCG) | via Evelyn Macairan",,"1","249","7","972","3","2","1234","232","1604324876000","https://www.facebook.com/PhilippineSTAR/posts/pfbid05FJoYQspctRC7oZeeHJkEGZikuP6vsVqGbNspJZaRNfzFNtwBGhjnkSXC4rv8be8l"
"No photo description available.","2326638787513930","photo","https://www.facebook.com/photo.php?fbid=2326638787513930&set=a.644501674388271&type=3","No photo description available.","2326638857513923","photo","https://www.facebook.com/photo.php?fbid=2326638857513923&set=a.644501674388271&type=3","No photo description available.","2326638914180584","photo","https://www.facebook.com/photo.php?fbid=2326638914180584&set=a.644501674388271&type=3","No photo description available.","2326639004180575","photo","https://www.facebook.com/photo.php?fbid=2326639004180575&set=a.644501674388271&type=3","No photo description available.","2326639040847238","photo","https://www.facebook.com/photo.php?fbid=2326639040847238&set=a.644501674388271&type=3","100064853313922","Kami.com.ph","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/448628929_891054446399658_5666656251783435864_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx630x630&ctp=s40x40&_nc_cat=109&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=MqKJammmfT8Q7kNvwHPQE8V&_nc_oc=Adq4k0g5tHoNGrsJf7FcENuHnS7GEg4Zx6_luWGIwhRAzPHlo7CdAL1AhdqmYlKH5Wo&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=-YGKr5TqaRMz9Pk7y0mxgQ&_nc_ss=7c2a8&oh=00_AQB3LqCp0OGjBFOAqXM-xUNWVh4rwppbu9vRv0KObhsWBQ&oe=6A5FB7BF","https://www.facebook.com/kamicomph","3528","2326639320847210","Netflix and Chill in the flood 

Sa Batangas City isang lalake ang nakuha pang mag post sa baha sa kanilang bahay sabay nag caption ng Netflix and Chill.

Tunay na ang pinoy kayang kaya harapin ano mang pagsubok ang dumating sa ating buhay,  nasabi din pala ni Victor Jose na nalimas na ang baha sa kanilang bahay. 

Photo by Gino Lontoc 
Story by Victor Jose","4","5895","3792","100","17","19","173","10000","8316","1604250807000","https://www.facebook.com/kamicomph/posts/pfbid02gjUnyS5BQPhCnXa6nHs9XA51sHPsWcAQgAchp253n3wrcZosjnNS2Yu95iLXK4ULl"
"No photo description available.","2006215406198797","photo","https://www.facebook.com/photo.php?fbid=2006215406198797&set=a.602294451934438&type=3","No photo description available.","2006215462865458","photo","https://www.facebook.com/photo.php?fbid=2006215462865458&set=a.602294451934438&type=3","No photo description available.","2006215342865470","photo","https://www.facebook.com/photo.php?fbid=2006215342865470&set=a.602294451934438&type=3",,,,,,,,,"100064616655120","Philippine Star","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/341858556_918415572727450_374717831366242673_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx1000x1000&ctp=s40x40&_nc_cat=104&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=g5LUxtqmcMcQ7kNvwGrCCb_&_nc_oc=AdqwT0iSHfjJrEynTvWl_Rf75EUvulu_kXSCM0TGB40aoEpO5Rc5l7oXfm4I20RFPo8&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=IYn9whKvbYWfID3FLjn_bQ&_nc_ss=7c2a8&oh=00_AQCSEA2k9Y1uyjFCkpYgFgVyzI_yQ1_qgEan8vhP3tO_Ow&oe=6A5FB140","https://www.facebook.com/PhilippineSTAR","177","2006215972865407","Residents on Monday wash their belongings drenched in flood under the Tagas Bridge in Tabaco, Albay after the province was hit by #RollyPH.","4","12","1963","54","5929","149","14","8125","775","1604321293000","https://www.facebook.com/PhilippineSTAR/posts/pfbid02Cs4W5kEvbziQymYMP22nFU47va5N9e6FSL8qaTPwHvvDCmgo4MtXLWLtaQH6Uq9Dl"
"No photo description available.","987573931648493","photo","https://www.facebook.com/photo.php?fbid=987573931648493&set=a.653315383490483&type=3","No photo description available.","987573131648573","photo","https://www.facebook.com/photo.php?fbid=987573131648573&set=a.653315383490483&type=3","No photo description available.","987573141648572","photo","https://www.facebook.com/photo.php?fbid=987573141648572&set=a.653315383490483&type=3","No photo description available.","987573768315176","photo","https://www.facebook.com/photo.php?fbid=987573768315176&set=a.653315383490483&type=3","No photo description available.","987573051648581","photo","https://www.facebook.com/photo.php?fbid=987573051648581&set=a.653315383490483&type=3","100064360824747","ONE News","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/352658401_6225502244210342_1920176872751359948_n.png?stp=cp0_dst-png&cstp=mx1638x1638&ctp=s40x40&_nc_cat=101&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=D1IHy-HhIG8Q7kNvwFI1zXs&_nc_oc=AdrIkGjUr1y772R9qcMaAzXe8n5KeAYuOkXwsEe5CR8Fjnb-PYDwQEoHIYmLs8PD5vI&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=IYn9whKvbYWfID3FLjn_bQ&_nc_ss=7c2a8&oh=00_AQCrFAppYg3KX-WE8b87W7-KKWBtCMPotAAE8dTt8ocM5w&oe=6A5FB9C7","https://www.facebook.com/ONENewsPH","537","987574061648480","LOOK | Typhoon #RollyPH left knee-deep flood in Brgy. Tinago in Ligao, Albay. Power has yet to be restored in the area but so far rain and wind from the typhoon have subsided.

📷: Joshua Roi Reaso",,"2","420","3","353","15","11","804","117","1604231193000","https://www.facebook.com/ONENewsPH/posts/pfbid02DGKgcuzvM7h3ZxNStbtkGVmShpZSNZw2zk5VV3eZzoTzjgHMGWqfzLu5Sf8qPBJSl"
,"992977197870165","video",,,,,,,,,,,,,,,,,,"100064746458701","MANILA BULLETIN","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/486278506_1099976158837256_5940999471121737534_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx960x960&ctp=s40x40&_nc_cat=110&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=SPUObSUmnT4Q7kNvwGAFLfI&_nc_oc=Adrocg2nlAB89HU-fjv2KqMSdCEvZr3GXnPJiSreXG2Qt6a-2TFn-d7dIlHMtM4UJFI&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=IYn9whKvbYWfID3FLjn_bQ&_nc_ss=7c2a8&oh=00_AQBTzl019fSxRDoPHEhREfAN_ERKA5ndTlnCO6nG2kd_9w&oe=6A5FB7A9","https://www.facebook.com/ManilaBulletin","163","10159629009447985","Raging flood waters were caught in a video by a netizen residing in Ilawod, Camalig, Albay.","1","1","438","5","1967","13","83","2508","940","1604203515000","https://www.facebook.com/ManilaBulletin/videos/992977197870165/"
"No photo description available.","10158948058360168","photo","https://www.facebook.com/photo/?fbid=10158948058360168&set=a.650104283831498",,,,,,,,,,,,,,,,,"100064957951102","ABS-CBN News","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/612193561_1385784586930127_8766501501849307524_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx513x511&ctp=s40x40&_nc_cat=108&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=jjMlUL_Ip04Q7kNvwF4TNen&_nc_oc=AdrC8nawXAAO_fy2a5NStkhSoggXKXJWQMLyxUgINYAmwV25YJ99__cyxy9kdOzTZyE&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=IYn9whKvbYWfID3FLjn_bQ&_nc_ss=7c2a8&oh=00_AQCkHcPnhNJzf_6ztGRHNV__1aRhm55cmStfdTAYjXaO4g&oe=6A5F9E5C","https://www.facebook.com/abscbnNEWS","14","10158948059580168","Residents wade through flood in Nabua, Camarines Sur affected by storm #RollyPH on November 2, 2020. Vincent Go, ABS-CBN News","1",,"253","4","181","10",,"449","26","1604287200000","https://www.facebook.com/abscbnNEWS/posts/pfbid0AUap9z8rryVmRFQW7DPvdEXngg8GitcELo7MnZrdtMZuKdcAZMKZCr8ViE49ot48l"
"No photo description available.","3977792538908166","photo","https://www.facebook.com/photo.php?fbid=3977792538908166&set=a.362804292548312&type=3","No photo description available.","3977792735574813","photo","https://www.facebook.com/photo.php?fbid=3977792735574813&set=a.362804292548312&type=3",,,,,,,,,,,,,"100064562324642","Rappler","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/312485121_544389621056444_1709176195648106042_n.jpg?stp=c214.214.652.652a_cp0_dst-jpg_tt6&cstp=mx652x652&ctp=s40x40&_nc_cat=108&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=ivhhtnso5b0Q7kNvwEWcFnv&_nc_oc=AdqyTnDpPLhHCKuMwFFXnSnsvm7GKGsCmmsFKAXiqzFFthuUFW3grIBm6Mzq92H0kBs&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=IYn9whKvbYWfID3FLjn_bQ&_nc_ss=7c2a8&oh=00_AQBFZn6A6q4dEO7__C2niDsZboUAYdd85GJYEkdDJddGHA&oe=6A5FBBC0","https://www.facebook.com/rapplerdotcom","181","3977792845574802","LOOK: A car is washed away on a riverbank in Brgy. San Isidro, Batangas City after flood waters rose due to Typhoon #RollyPH. | via Nick Villavecer/Rappler

Click here for more #RollyPH updates: http://rplr.co/RollyPH",,"6","291","3","540","6","16","862","115","1604286659000","https://www.facebook.com/rapplerdotcom/posts/pfbid02rNxq5habSPzuVx8w12sPJTR5MyxdiM5rE8Fqv5XjcVsCYN4JPRocYu4ePou4fsDXl"
