"attachments/0/accessibilityCaption","attachments/0/id","attachments/0/type","attachments/0/url","attachments/1/accessibilityCaption","attachments/1/id","attachments/1/type","attachments/1/url","attachments/2/accessibilityCaption","attachments/2/id","attachments/2/type","attachments/2/url","attachments/3/accessibilityCaption","attachments/3/id","attachments/3/type","attachments/3/url","attachments/4/accessibilityCaption","attachments/4/id","attachments/4/type","attachments/4/url","author/id","author/name","author/profilePicture","author/profileUrl","commentsCount","postId","postText","reactions/anger","reactions/haha","reactions/like","reactions/love","reactions/sorry","reactions/support","reactions/wow","reactionsCount","sharesCount","timestamp","url"
,"363948248212543","video",,,,,,,,,,,,,,,,,,"100064957951102","ABS-CBN News","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/612193561_1385784586930127_8766501501849307524_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx513x511&ctp=s40x40&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=jjMlUL_Ip04Q7kNvwHUpHy-&_nc_oc=AdrBWc1V8ISUMdKeYT8oCBRc6l0gqGdcCQVrsyB3vZYU3jbjRizolRMLiFuHIvlLzUc&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=71qzNPD9LxDAS1lbDvsqxg&_nc_ss=7e2a8&oh=00_AQCmqFNJLXSJK2g1uRWWBI742tRtgAKur4Ph5z1-SURg4Q&oe=6A5EF59C","https://www.facebook.com/abscbnNEWS","2","10158978190725168","TINGNAN: Lumampas ang baha sa unang palapag ng bahay ni Jerome Malazo sa Dela Costa Homes, Rodriguez, Rizal sa kasagsagan ng pananalasa ng bagyong #UlyssesPH Huwebes ng umaga.
 
Aniya, unti-unti naman ding humupa ang baha at nasa ligtas na silang kalagayan ngayon ng kaniyang mga kasama. #FloodPatrol | via Josiah Antonio, ABS-CBN News
 
BASAHIN DITO ang mga kaugnay na ulat: bit.ly/UlyssesPH",,,"69","2","52","1","3","127","25","1605178786000","https://www.facebook.com/abscbnNEWS/videos/363948248212543/"
"No photo description available.","10158602310916026","photo","https://www.facebook.com/photo.php?fbid=10158602310916026&set=a.803178314709699&type=3","No photo description available.","10158602311141026","photo","https://www.facebook.com/photo.php?fbid=10158602311141026&set=a.803178314709699&type=3","No photo description available.","10158602311166026","photo","https://www.facebook.com/photo.php?fbid=10158602311166026&set=a.803178314709699&type=3","No photo description available.","10158602311031026","photo","https://www.facebook.com/photo.php?fbid=10158602311031026&set=a.803178314709699&type=3","No photo description available.","10158602311046026","photo","https://www.facebook.com/photo.php?fbid=10158602311046026&set=a.803178314709699&type=3","100050526127909","Kapuso Mo, Jessica Soho (One at Heart, Jessica Soho)","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/573594536_1414875950206596_7954563101066584290_n.jpg?stp=cp6_dst-jpg_tt6&cstp=mx2048x2048&ctp=s40x40&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=Q8n4Rgzf8JoQ7kNvwFykwIb&_nc_oc=AdpgBwquKH5xoF4zThc3xnQwpLmC9BS8ZZCjKKpUNNcZePwK3of-4d8kzA8CI62UK3c&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=71qzNPD9LxDAS1lbDvsqxg&_nc_ss=7e2a8&oh=00_AQATnZ1MCdPy450zonRJgIwrmCdRq8VN4Jr3eWddz-_BGw&oe=6A5ED7F6","https://www.facebook.com/kapusomojessicasoho","11485","10158602314461026","#RescuePH: Halos lamunin na ng baha ang ilang kabahayan sa Provident Village, Marikina dulot ng matinding pag-ulan ng bagyong Ulysses. 

Courtesy: Jinky Mejia 
Address: 33A St. Anne, Provident Village, Marikina
Contact number: 09267495457

Mag-ingat po tayong lahat.

Bisitahin ang www.gmanews.tv para sa iba pang updates sa bagyong Ulysses.","3","7","2950","106","6747","134","53","10000","43840","1605161830000","https://www.facebook.com/kapusomojessicasoho/posts/pfbid02EiQywjWHMQ2vPbLT5TqzXMTgcCRzu5cMmLmYaSgVJSN9RyGiBZeRnbECRpaQ16B5l"
,"728872921391524","video",,,,,,,,,,,,,,,,,,"100064773907046","TV Patrol","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/608518829_1379498824219235_6894079646221905019_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx1079x1079&ctp=s40x40&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=eBZ3DoBYorkQ7kNvwFlHg1X&_nc_oc=AdpkWlKEEAU3JR6x4pMfE1Q97rp7KQMh6wFOV776q0PNu95oYXl8AqgUz4ip9IxjIVw&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=71qzNPD9LxDAS1lbDvsqxg&_nc_ss=7e2a8&oh=00_AQDGx7ps4oRHmjKilTi2FtycLffOuA0REBu5mkJLGW7CwA&oe=6A5EE78F","https://www.facebook.com/tvpatrol.abscbn","556","3616762815045748","Lumubog sa baha ang malaking bahagi ng Marikina dahil sa walang tigil na ulan dulot ni typhoon #UlyssesPH.
  

Panoorin ang #TVPatrolLive ngayong araw, Nobyembre 12, 2020
Facebook: bit.ly/35osU5L
YouTube: bit.ly/3pjvwd7","12","10","6408","209","3256","88","17","10000","1480","1605181677000","https://www.facebook.com/tvpatrol.abscbn/videos/728872921391524/"
,"284031519582813","video",,,,,,,,,,,,,,,,,,"100064905991443","Super Radyo DZBB 594khz","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/304782900_5485953098188721_3419247570684307902_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx435x435&ctp=s40x40&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=oB_3qfN5b8MQ7kNvwHdY9d7&_nc_oc=AdpMtBSS_jIc3VFTpK2BTYg0drXNQzFuFBEd3dUShTu4tt2rF5ZXaelV6pNWMemBa8k&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=71qzNPD9LxDAS1lbDvsqxg&_nc_ss=7e2a8&oh=00_AQBJ9gfsvs0BuHpVHj76wpcPDiBjt86zHvEMi5ksxY4CQQ&oe=6A5EF22B","https://www.facebook.com/dzbb594","25","3476118835838834","#BantayBagyo: Bahagi ng Brgy. Tumana sa Marikina City, lubog sa baha dahil sa pag-ulan.","1",,"357","8","119","1","1","487","107","1605133860000","https://www.facebook.com/dzbb594/videos/284031519582813/"
"No photo description available.","899902574084807","photo","https://www.facebook.com/photo.php?fbid=899902574084807&set=a.560986126238205&type=3","No photo description available.","899902680751463","photo","https://www.facebook.com/photo.php?fbid=899902680751463&set=a.560986126238205&type=3","No photo description available.","899906910751040","photo","https://www.facebook.com/photo.php?fbid=899906910751040&set=a.560986126238205&type=3",,,,,,,,,"100069804660667","One PH","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/352501237_782570273579321_6360131420091538342_n.png?stp=cp0_dst-png&cstp=mx1638x1638&ctp=s40x40&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=6i8mf1wK5esQ7kNvwHez3yt&_nc_oc=AdqeVBlkooG1R6QljyXhrvYMCJ4wrecELAVBp11wsdvPnnHTHJif-5dLp4N5YElh7Yo&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=71qzNPD9LxDAS1lbDvsqxg&_nc_ss=7e2a8&oh=00_AQCkCtRhcwHlU4R-nP5Iv9KwEdRIzonIIiCQoLsHz_VXng&oe=6A5ED86E","https://www.facebook.com/OnePHonCignal","647","899902704084794","Nilusong ni Marikina Mayor Marcy Teodoro ang baha sa gitna ng pananalasa ng Bagyong #UlyssesPH. 

Kasalukuyang nasa 21.5-m na ang water level sa Marikina River. 

📸 Marikina PIO",,,"1561","41","1042","53","11","2708","852","1605139083000","https://www.facebook.com/OnePHonCignal/posts/pfbid02P5k8ZdBps9cos6E3PXMEzY3dc88pM7hKYjqbqZXgoQEL8zx52xAtgB8aKD9yuAwLl"
,"373207980563960","video",,,,,,,,,,,,,,,,,,"100064518591460","DZMM Radyo Patrol 630","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/668587708_1384714187022521_8343581617824766493_n.jpg?stp=c33.0.1012.1012a_cp6_dst-jpg_tt6&cstp=mx1012x1012&ctp=s40x40&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=SNb0wvffI00Q7kNvwGxCzFg&_nc_oc=AdqIHouJwhftZlGWEl8f5vBZkLUfDpZzh1wKrutYbKEMdyxg8HMvBc4HikPibKTwRUM&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=t9A-EjKc3GHAhEmdK4Xg9g&_nc_ss=7e2a8&oh=00_AQBrL1DpHNhZVTjmKdbgOs7Jujm7e3UbwvYHtoh7uGdmmw&oe=6A5EF316","https://www.facebook.com/DZMMRadyo630","11","10158099840284620","Hindi pa rin humuhupa ang baha sa Barangay San Isidro, Cainta, Rizal. 

Ilang residente ay wala pa ring kuryente at koneksyon sa internet. #UlyssesPH | ulat ni  Radyo Patrol 49 Zhander Cayabyab","1",,"459","15","106","8",,"589","16","1605187075000","https://www.facebook.com/DZMMRadyo630/videos/373207980563960/"
,,,,,,,,,,,,,,,,,,,,"100064957951102","ABS-CBN News","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/612193561_1385784586930127_8766501501849307524_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx513x511&ctp=s40x40&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=jjMlUL_Ip04Q7kNvwHUpHy-&_nc_oc=AdrBWc1V8ISUMdKeYT8oCBRc6l0gqGdcCQVrsyB3vZYU3jbjRizolRMLiFuHIvlLzUc&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=t9A-EjKc3GHAhEmdK4Xg9g&_nc_ss=7e2a8&oh=00_AQAXjv-FPY99ki9ApnAXv0VOB8SRfJ1t9dibRNnyGWQAmg&oe=6A5EF59C","https://www.facebook.com/abscbnNEWS","21","10158977931430168","Nanumbalik ang alaala ng paghagupit ng bagyong Ondoy noong 2009 nang manalasa ang bagyong #UlyssesPH sa Kamaynilaan, na binayo ng malakas na hangin at pag-ulang nagdulot ng baha. #FloodPatrol",,,"405","10","429","13","1","858","103","1605175501000","https://www.facebook.com/abscbnNEWS/posts/pfbid0jQ1hgCHLdzJmBgHAxWCEoJWhZjySApMLuZe5XS8vp4H9HRmRtgDZVPxba4g1emuzl"
,"817230345786195","video",,,,,,,,,,,,,,,,,,"100064456281701","News5","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/352531091_590012623265943_7503745415624331533_n.png?stp=cp0_dst-png&cstp=mx719x719&ctp=s40x40&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=VZI5zKGnILYQ7kNvwFZ-aU7&_nc_oc=Adov2SHTR5ivvQxikHza6HjFuXXhBW0vS9AWaYf8Ue3hhFTRmNmI7oWA1rT6Dr8MC8c&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=t9A-EjKc3GHAhEmdK4Xg9g&_nc_ss=7e2a8&oh=00_AQAT_jtfTB85lXyqfWPOB8_H1GNYq2Q4zT4ETFPxgphGvQ&oe=6A5ECDCF","https://www.facebook.com/News5Everywhere","46","2273364862820255","#FrontlinePilipinas | Kaunti lang ang dalang ulan ng bagyong #UlyssesPH pero mabilis na tumaas ang baha dahil sa naipong tubig sa Sierra Madre, ayon sa eksperto. | via Patricia Mangune

For more latest stories, visit us at www.news5.com.ph","4","3","373","11","141","7","1","540","117","1605192601000","https://www.facebook.com/News5Everywhere/videos/817230345786195/"
,"713773615938502","video",,,,,,,,,,,,,,,,,,"100064773907046","TV Patrol","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/608518829_1379498824219235_6894079646221905019_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx1079x1079&ctp=s40x40&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=eBZ3DoBYorkQ7kNvwFlHg1X&_nc_oc=AdpkWlKEEAU3JR6x4pMfE1Q97rp7KQMh6wFOV776q0PNu95oYXl8AqgUz4ip9IxjIVw&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=t9A-EjKc3GHAhEmdK4Xg9g&_nc_ss=7e2a8&oh=00_AQCGPQhpjhe8TZw5vJ1DROkw8HPkTOdWchPNRy9Bf01KXw&oe=6A5EE78F","https://www.facebook.com/tvpatrol.abscbn","99","3616784348376928","Matinding baha ang naranasan sa Cainta, Rizal kung saan nahirapan pa ang mga rescuer sa pagligtas sa mga residente dahil sa taas at lakas ng agos ng tubig.

Panoorin ang #TVPatrolLive ngayong araw, Nobyembre 12, 2020
Facebook: bit.ly/35osU5L
YouTube: bit.ly/3pjvwd7","6","9","5201","146","1952","60","10","7384","590","1605182185000","https://www.facebook.com/tvpatrol.abscbn/videos/713773615938502/"
"No photo description available.","2272687202888021","photo","https://www.facebook.com/photo.php?fbid=2272687202888021&set=a.647063397452197&type=3","No photo description available.","2272687212888020","photo","https://www.facebook.com/photo.php?fbid=2272687212888020&set=a.647063397452197&type=3","No photo description available.","2272687236221351","photo","https://www.facebook.com/photo.php?fbid=2272687236221351&set=a.647063397452197&type=3",,,,,,,,,"100064456281701","News5","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/352531091_590012623265943_7503745415624331533_n.png?stp=cp0_dst-png&cstp=mx719x719&ctp=s40x40&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=VZI5zKGnILYQ7kNvwFZ-aU7&_nc_oc=Adov2SHTR5ivvQxikHza6HjFuXXhBW0vS9AWaYf8Ue3hhFTRmNmI7oWA1rT6Dr8MC8c&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=t9A-EjKc3GHAhEmdK4Xg9g&_nc_ss=7e2a8&oh=00_AQAT_jtfTB85lXyqfWPOB8_H1GNYq2Q4zT4ETFPxgphGvQ&oe=6A5ECDCF","https://www.facebook.com/News5Everywhere","126","2272687336221341","Nagdulot ng pila ng mga sasakyan sa bahagi ng EDSA Shaw kaninang umaga dahil sa mataas na baha sa underpass na dulot ng Bagyong #UlyssesPH.

📷: Henry Hung Hawson","1","10","485","3","154","1","8","662","164","1605157414000","https://www.facebook.com/News5Everywhere/posts/pfbid02qVdjjDDRGLXRpQyxQpfBaAEZddozjTMjw5Nzq1i6ZL5iW88SYK4rB4jRJbo9NnzTl"
